²	<i>symbol</i><br><ol><li>(linguistics) Used after an isolated affix or clitic to indicate that it has two variant forms, dependent on the vowel harmony of the preceding stem or word.</li></ol>
³	<i>symbol</i><br><ol><li>(linguistics) Used after an isolated affix or clitic to indicate that it has three variant forms, dependent on the vowel harmony of the preceding stem or word.</li></ol>
Ё|Yo|yo|ё	<i>character</i><br><ol><li>The seventh letter of the Mongolian alphabet, called ё (yo), and written in the Cyrillic script.</li></ol>
Є|Ö|ö|є	<i>character</i><br><ol><li>Nonstandard form of Ө (Ö).</li></ol>
А|а|a	<i>character</i><br><ol><li>The first letter of the Mongolian alphabet, called а (a), and written in the Cyrillic script.</li></ol>
АНУ|ANU	<i>name</i><br><ol><li>USA (a country in North America) (initialism of Америкийн Нэгдсэн Улс (Amyörikiyn Negdsen Uls, “United States of America”))</li></ol>
Австрали|Avstrali	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Австри|Avstri	<i>name</i><br><ol><li>Austria (a country in Europe)</li></ol>
Азербайжан|Adzyörbayjan|ᠠᠽᠧᠷᠪᠠᠶ᠋ᠢᠵᠠᠨ	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Ази|Adzi	<i>name</i><br><ol><li>(Khalkha) Asia (a continent)</li></ol>
Албани|Албанидаа|ᠠᠯᠪᠠᠨ᠋ᠢ|Албаниас|Албанид|Албанийгаа|Албанийнхаа|Albani|Албаниа|Албанийн|Албаниасаа|Албаниар|Албаниараа|Албанитай|Албани руугаа|Албанитайгаа|Албанийг|Албанийнх|Албани руу	<i>name</i><br><ol><li>Albania (a country in Southeast Europe)</li></ol>
Алжир|Aljir	<i>name</i><br><ol><li>Algeria (a country in North Africa)</li><li>Algiers (the capital city of Algeria)</li></ol>
Аллах|Allah	<i>name</i><br><ol><li>Allah (God, in Islam)</li></ol>
Алматы|Алматытай|Алматыдаа|Алматынхтай|Алматыг|Алматынхнаас|Алматынхтайгаа|Алматынх руу|Алматыд|Алматыгаа|Алматынхантай|Алматынхнаасаа|Алматынхандаа|Алматы руу|Алматыгаасаа|Алматынхнаараа|Алматынхангүй|Almatï|Алматынхад|Алматыгаар|Алматынхаараа|Алматынхгүй|Алматынхан|Алматынхан руугаа|Алматытайгаа|Алматыгүйгээ|Алматынхаас|Алматыгүй|Алматынхныгаа|Алматынхаасаа|Алматынхгүйгээ|Алматыгаараа|Алматынх|Алматынхнаа|Алматынхыг|Алматынхныг|Алматынхны|Алматынхан руу|Алматынхыгаа|Алматынхнаар|Алматынханд|Алматын|Алматынхдаа|Алматыгаас|Алматынхантайгаа|Алматынхаа|Алматынхаар|Алматынх руугаа|Алматынхангүйгээ|Алматы руугаа	<i>name</i><br><ol><li>Almaty (the largest city in Kazakhstan; formerly Alma-Ata)</li></ol>
Америк|Amyörik	<i>name</i><br><ol><li>America; Americas</li><li>America; USA</li></ol>
Америкийн Нэгдсэн Улс|Amyörikiyn Negdsen Uls	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Англи|Angli	<i>name</i><br><ol><li>England (country)</li></ol>
Англи улс|Angli uls	<i>name</i><br><ol><li>England</li></ol>
Андорра|Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Антарктид|Антарктидынхангүй|Антарктидынхандаа|Антарктидын|Антарктиддаа|Антарктидгүйгээ|Антарктидынхаасаа|Антарктидынхыгаа|Антарктидынхаараа|Антарктидынхыг|Антарктидынхаа|Антарктидынхгүй|Антарктидынхад|Антарктидынхнаа|Антарктидынхдаа|Антарктидад|Антарктидынхнаас|Антарктидынх руугаа|Антарктидынх руу|Антарктидаас|Антарктидынхны|Антарктидынхан|Антарктидынхантайгаа|Антарктидаараа|Антарктид руу|Антарктидынханд|Антарктидынхнаасаа|Антарктидгүй|Антарктидынхан руу|Антарктидынхангүйгээ|Антарктидынхаар|Антарктидыг|Антарктидынхантай|Антарктидтай|Антарктидтайгаа|Антарктидынхныгаа|Антарктидынхаас|Антарктидынхныг|Антарктидынхтайгаа|Антарктидаасаа|Антарктидынхан руугаа|Антарктидынх|Антарктидынхтай|Антарктидынхнаар|Антарктидынхнаараа|Антарктидаар|Антарктидынхгүйгээ|Антарктидаа|Антарктид руугаа|Антарктидыгаа|Antarktid	<i>name</i><br><ol><li>Antarctica (continent)</li></ol>
Аргентин|Argyöntin	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Армен|ᠠᠷᠮᠧᠨ|Armyön	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Архангай|Arhangay	<i>name</i><br><ol><li>Arkhangai (a province of Mongolia)</li></ol>
Афганистан|Afganistan	<i>name</i><br><ol><li>Afghanistan (a country in Central Asia; capital: Kabul)</li></ol>
Африк|Afrik	<i>name</i><br><ol><li>Africa</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The second letter of the Mongolian alphabet, called бэ (be), and written in the Cyrillic script.</li></ol>
БНМАУ|BNMAU	<i>name</i><br><ol><li>(historical) Initialism of Бүгд Найрамдах Монгол Ард Улс (Bügd Nayramdah Mongol Ard Uls, “Mongolian People's Republic”).</li></ol>
БНХАУ|БНХАУ-тай|БНХАУ-аар|БНХАУ руу|БНХАУ-ыг|БНХАУ-ад|БНХАУ-ын|BNHAU|БНХАУ-аас	<i>name</i><br><ol><li>PRC (a country in East Asia) (initialism of Бүгд Найрамдах Хятад Ард Улс (Bügd Nayramdah Hyatad Ard Uls, “People’s Republic of China”))</li></ol>
БХ|BH	<i>name</i><br><ol><li>Initialism of Баянхонгор (Bayanhongor, “Bayankhongor”).</li></ol>
Багануур|Baganuur	<i>name</i><br><ol><li>Baganuur (a city and district of Ulaanbaatar, Mongolia)</li></ol>
Багахангай|Bagahangay	<i>name</i><br><ol><li>Bagakhangai (a city and district of Ulaanbaatar, Mongolia)</li></ol>
Балба|Balba	<i>name</i><br><ol><li>Nepal (a country in South Asia)</li></ol>
Бангладеш|Bangladyösh	<i>name</i><br><ol><li>Bangladesh (a country in South Asia)</li></ol>
Баян-Өлгий|Bayan-Ölgiy	<i>name</i><br><ol><li>Bayan-Ölgii (a province of Mongolia)</li></ol>
Баянгол|Bayangol	<i>name</i><br><ol><li>Bayangol (a district of Ulaanbaatar, Mongolia)</li></ol>
Баянхонгор|Bayanhongor	<i>name</i><br><ol><li>Bayankhongor (a city, the administrative center of Bayankhongor Province, Mongolia)</li></ol>
Беларусь|Byölarusĭ	<i>name</i><br><ol><li>Belarus (a country in Eastern Europe)</li></ol>
Бельги|Byölĭgi	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Битлз|Bitldz	<i>name</i><br><ol><li>The Beatles</li></ol>
Болгар|Bolgar	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Бразил|Бразилын|Бразилынхгүйгээ|Бразилыг|Бразилынхгүй|Бразилынхаас|Бразилынхан руу|Бразилынхнаа|Бразилынхан|Бразилынхнаараа|Бразилаасаа|Бразилынхнаасаа|Бразил руугаа|Бразилынханд|Бразилынхангүй|Бразилтайгаа|Бразилынхны|Бразилынхыгаа|Бразилаас|Бразилтай|Бразилынхныгаа|Бразилгүйгээ|Бразилынхнаас|Бразилынхтайгаа|Бразилаараа|Бразилынхдаа|Бразил руу|Бразилынхтай|Bradzil|Бразилд|Бразилынхныг|Бразилынхаараа|Бразилынх руугаа|Бразилынх|Бразилынхандаа|Бразилынхантайгаа|Бразилыгаа|Бразилгүй|Бразилынхангүйгээ|Бразилынхантай|Бразилынхаасаа|Бразилынхнаар|Бразилынхаар|Бразилдаа|Бразилаар|Бразилынхан руугаа|Бразилынх руу|Бразилынхыг|Бразилынхад|Бразилынхаа|Бразилаа	<i>name</i><br><ol><li>(⁓ улс) Brazil (a country in South America)</li></ol>
Будда|Budda	<i>name</i><br><ol><li>Buddha</li></ol>
Буриад|Буриадынхангүй|Буриадын|Буриадынх|Буриадаас|Буриадаасаа|Буриадынхангүйгээ|Буриадыгаа|Буриадынхныгаа|Буриадынхнаа|Буриадгүйгээ|Буриадынхантай|Буриадынхандаа|Буриадынхаасаа|Буриадынханд|Буриадыг|Буриадынхаараа|Буриадгүй|Буриадаараа|Буриадынхтайгаа|Буриад руу|Буриадтай|Буриадынхнаар|Буриадынхантайгаа|Буриадынх руу|Буриадад|Буриадынхныг|Буриадынхны|Буриадынхаас|Буриадынхан руу|Буриадынхан руугаа|Буриадынхнаасаа|Буриадынхгүй|Буриадынхаа|Буриадынхад|Буриадынхдаа|Буриадтайгаа|Буриадынхаар|Буриадаа|Буриадынхтай|Buriad|Буриадынхыгаа|Буриадаар|Буриадынхнаас|Буриадынхнаараа|Буриадынх руугаа|Буриаддаа|Буриадынхан|Буриадынхгүйгээ|Буриад руугаа|Буриадынхыг	<i>name</i><br><ol><li>Buryatia</li></ol>
Бутан|Butan	<i>name</i><br><ol><li>Bhutan (a country in South Asia)</li></ol>
Бээжин|Бээжингийнх|Бээжинтэйгээ|Бээжингээ|Бээжингүй|Бээжингийнхэнтэйгээ|Beejingeer|Бээжингийнхнээс|Бээжингийнхэн рүү|Beejingüy|Бээжинд|Бээжинтэй|Бээжингийнхийг|Бээжингийнхнээ|Бээжингийнхэн|Бээжингийнхнээр|Бээжингийнхэнтэй|Бээжингийнхний|Бээжингийнхтэйгээ|Бээжиндээ|Бээжин рүү|Бээжингийнхэндээ|Бээжингийнхнийгээ|Бээжингийнхэнгүйгээ|Бээжингийнхнийг|Бээжингийнхгүйгээ|Бээжинг|Бээжингийнх рүү|Бээжингүйгээ|Бээжингийнхээс|Бээжингийнхдээ|Бээжингийн|Бээжингээс|hidden-g declension|Бээжингийнхэнд|Бээжингийнхэнгүй|Бээжингээрээ|Бээжингийнхээр|Бээжингийнхээрээ|Бээжингийнхэд|Бээжингийнхийгээ|Бээжинггээ|Бээжингийнх рүүгээ|Beejing|Бээжингийнхнээсээ|Beejintey|Beejin|Бээжингээсээ|Бээжингийнхэн рүүгээ|Beejind|Бээжингийнхээсээ|Бээжин рүүгээ|Beejingiyn|Бээжингийнхээ|Бээжингээр|Beejingees|Бээжингийнхгүй|Бээжингийнхтэй|Бээжингийнхнээрээ	<i>name</i><br><ol><li>Beijing (a direct-administered municipality, the capital city of China)</li></ol>
