agžï|agži	<i>noun</i><br><ol><li>lightning</li></ol>
aya	<i>adj</i><br><ol><li>good</li></ol>
ayšïn|aysin	<i>noun</i><br><ol><li>gold</li></ol>
aŋga	<i>noun</i><br><ol><li>net</li></ol>
aŋma|angma	<i>noun</i><br><ol><li>mouth</li></ol>
ašï	<i>noun</i><br><ol><li>wife</li></ol>
ažïn	<i>noun</i><br><ol><li>large sturgeon</li></ol>
balapčï|balapči	<i>adj</i><br><ol><li>ancient</li></ol>
bägži	<i>noun</i><br><ol><li>foot</li></ol>
bäyä	<i>noun</i><br><ol><li>man, person</li></ol>
büa	<i>noun</i><br><ol><li>place</li></ol>
bülü|bolo	<i>noun</i><br><ol><li>autumn</li></ol>
büsü|boso	<i>noun</i><br><ol><li>cloth</li></ol>
daüsün|daoson	<i>noun</i><br><ol><li>salt</li></ol>
daŋsa|dangsa	<i>noun</i><br><ol><li>book</li></ol>
däŋsä	<i>noun</i><br><ol><li>scale</li></ol>
dülbü|dolbo	<i>noun</i><br><ol><li>night</li></ol>
gamasün|gamason	<i>noun</i><br><ol><li>niece</li></ol>
guluxin	<i>noun</i><br><ol><li>soot</li></ol>
gïrsü	<i>noun</i><br><ol><li>woman's knife</li></ol>
gürü|goro	<i>adv</i><br><ol><li>far</li></ol>
güčïšïï	<i>adj</i><br><ol><li>bitter</li></ol>
kadar	<i>noun</i><br><ol><li>stone, rock</li></ol>
kamür|kamor	<i>adv</i><br><ol><li>together</li></ol>
kaylan	<i>noun</i><br><ol><li>turtle</li></ol>
küldün	<i>noun</i><br><ol><li>cedar</li></ol>
kütülï	<i>noun</i><br><ol><li>sail</li></ol>
küčüa	<i>noun</i><br><ol><li>walnut</li></ol>
lüxü	<i>noun</i><br><ol><li>sword</li></ol>
mapa	<i>noun</i><br><ol><li>bear</li><li>old man</li></ol>
muä	<i>noun</i><br><ol><li>water</li></ol>
mürïn	<i>noun</i><br><ol><li>horse</li></ol>
namü|namo	<i>noun</i><br><ol><li>sea</li></ol>
nämdäkän	<i>adj</i><br><ol><li>thin</li></ol>
paa	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
palan	<i>noun</i><br><ol><li>floor</li></ol>
piktärän	<i>noun</i><br><ol><li>niece, nephew</li></ol>
puŋku	<i>noun</i><br><ol><li>shawl</li></ol>
pülü	<i>noun</i><br><ol><li>aspen</li></ol>
saŋar	<i>noun</i><br><ol><li>hole</li></ol>
sügbü	<i>noun</i><br><ol><li>fish skin</li></ol>
tamna	<i>noun</i><br><ol><li>mist, fog</li></ol>
tugdä	<i>noun</i><br><ol><li>rain</li></ol>
tukpä	<i>noun</i><br><ol><li>nail</li></ol>
tuŋgän	<i>noun</i><br><ol><li>breast</li></ol>
türakï	<i>noun</i><br><ol><li>crow</li></ol>
waaksa|vaaksa	<i>noun</i><br><ol><li>nose</li></ol>
wäčän	<i>noun</i><br><ol><li>bitch (female dog)</li></ol>
xadükü	<i>noun</i><br><ol><li>sickle, scythe</li></ol>
xasar	<i>noun</i><br><ol><li>wing</li></ol>
xaŋgü	<i>noun</i><br><ol><li>carp</li></ol>
xuktä|hukte	<i>noun</i><br><ol><li>tooth</li></ol>
xulu|khulu	<i>noun</i><br><ol><li>squirrel, chipmunk</li></ol>
xurmä|khurme	<i>noun</i><br><ol><li>needle</li></ol>
xuygu|khuygu	<i>noun</i><br><ol><li>tail</li></ol>
xädun|khedun	<i>noun</i><br><ol><li>wind</li></ol>
xäsä	<i>noun</i><br><ol><li>word, language</li></ol>
ägä	<i>noun</i><br><ol><li>elder sister</li></ol>
äktä	<i>noun</i><br><ol><li>woman</li></ol>
üktü	<i>noun</i><br><ol><li>drug, medicine</li></ol>
ümü	<i>noun</i><br><ol><li>band, sash</li></ol>
üňïkan	<i>noun</i><br><ol><li>brook, stream</li></ol>
čüwü	<i>noun</i><br><ol><li>thief</li></ol>
