'E Paise Vasce	<i>name</i><br><ol><li>the Netherlands</li></ol>
'a|la	<i>article</i><br><ol><li>the</li></ol><br><i>pron</i><br><ol><li>her (accusative)</li></ol><br><i>prep</i><br><ol><li>from</li><li>by (indicating the actor in a passive voice)</li><li>to (something that has to be done)</li></ol>
'chiòtula	<i>noun</i><br><ol><li>drink</li></ol>
'e|le|’e pl and|’e	<i>prep</i><br><ol><li>of</li><li>from (only with verb esse)</li></ol><br><i>article</i><br><ol><li>the</li></ol><br><i>pron</i><br><ol><li>him (dative)</li><li>her (dative)</li><li>them (accusative)</li></ol>
'i|li	<i>pron</i><br><ol><li>him (dative)</li><li>them (masculine, accusative)</li></ol>
'llustrà|’llustrà	<i>verb</i><br><ol><li>to illustrate</li><li>(of books) to illuminate</li><li>to honor (someone) for their accomplishments</li></ol>
'mbriacòne	<i>noun</i><br><ol><li>drunkard</li></ol>
'mbòllo	<i>noun</i><br><ol><li>postage stamp</li></ol>
'mbòmma	<i>noun</i><br><ol><li>bomb</li></ol>
'mbómma	<i>noun</i><br><ol><li>bomb</li></ol>
'mmericina	<i>noun</i><br><ol><li>medicine (science)</li></ol>
'mmiria	<i>noun</i><br><ol><li>jealousy</li></ol>
'mmito	<i>noun</i><br><ol><li>invitation</li></ol>
'mmìdia	<i>noun</i><br><ol><li>jealousy</li></ol>
'mparà	<i>verb</i><br><ol><li>to teach</li><li>to learn</li></ol>
'nciarmo	<i>noun</i><br><ol><li>charm</li><li>the fixing of something so as to make it functional</li></ol>
'nfiétto	<i>noun</i><br><ol><li>infection</li></ol>
'ngiarmo	<i>noun</i><br><ol><li>charm</li><li>seduction, beguilement</li></ol>
'ngigniére	<i>noun</i><br><ol><li>engineer</li></ol>
'nnìzio	<i>noun</i><br><ol><li>evidence</li></ol>
'ntréllece|’ntréllece	<i>adv</i><br><ol><li>vivaciously, briskly</li><li>brilliantly</li></ol>
'ntussecoso|'ntussecosa|'ntussecose	<i>adj</i><br><ol><li>poisonous</li></ol>
'nu	<i>article</i><br><ol><li>a, an</li></ol>
'nzegnale	<i>noun</i><br><ol><li>signal</li></ol>
'nzularchìa	<i>noun</i><br><ol><li>jaundice</li></ol>
'o|lo	<i>article</i><br><ol><li>the</li></ol><br><i>pron</i><br><ol><li>him</li><li>it</li></ol>
'o mmangià	<i>noun</i><br><ol><li>food</li></ol>
'rara	<i>noun</i><br><ol><li>threshold</li></ol>
'rrevutà	<i>verb</i><br><ol><li>to revolt or disgust</li></ol>
'u|lu	<i>pron</i><br><ol><li>him (accusative)</li></ol>
Custantenobbule	<i>name</i><br><ol><li>Constantinople</li></ol>
Danemarca	<i>name</i><br><ol><li>Denmark (a country in Western Europe)</li></ol>
Franza	<i>name</i><br><ol><li>France</li></ol>
Gran Vretagna	<i>name</i><br><ol><li>Great Britain</li></ol>
Innia	<i>name</i><br><ol><li>India (a country in Asia)</li></ol>
Ischia	<i>name</i><br><ol><li>Ischia (an island in Italy)</li></ol>
Islanna	<i>name</i><br><ol><li>Iceland</li></ol>
Juann	<i>name</i><br><ol><li>John</li></ol>
Naggitto	<i>name</i><br><ol><li>Egypt</li></ol>
Napule|Nàpule	<i>name</i><br><ol><li>Naples (a province and city in Italy)</li></ol>
Proceta	<i>name</i><br><ol><li>Procida (an island and municipality of Italy)</li></ol>
Sciorenza	<i>name</i><br><ol><li>Florence (a province and city in Tuscany, Italy)</li></ol>
Sguizzera	<i>name</i><br><ol><li>Switzerland</li></ol>
Surriento	<i>name</i><br><ol><li>Sorrento (a town in the province of Naples, Italy)</li></ol>
Ulanna	<i>name</i><br><ol><li>Holland</li></ol>
a	<i>prep</i><br><ol><li>from (referring to a place)</li><li>by (introducing the actor in the passive voice)</li><li>to (implying necessity)</li><li>in (locative: staying in a place of relative width)</li><li>to (locative: moving towards a place of relative width)</li><li>to (dative)</li></ol>
abbaccamiento	<i>noun</i><br><ol><li>secret pact</li></ol>
abbafaogno|abbafaogne|abbafaogna	<i>adj</i><br><ol><li>hot</li></ol><br><i>noun</i><br><ol><li>(archaic) a hot south or west wind</li><li>scorching heat</li></ol>
abballà|abballajemo|abballarrissemo|abballassemo|abballeno|abballarranno|abballano|abballarrissevo|abballarrimmo|abballammo|abballavate|abballassero|abballavo|abballarrite|abballanno|abballarrisse|abballarraje|abballa|abballasse|abballato|abballe|abballarriano|abballarrà|abballante|abballavamo|abballajeno|abballate|abballaste|abballaje|abballassevo|abballavano|abballava|abballarria|abballave|abballastevo|abballarraggio|abballo	<i>verb</i><br><ol><li>to dance</li></ol>
abbanunà|abbanunajeno|abbanunammo|abbanunarria|abbanunavamo|abbanunarrisse|abbanunasse|abbanunato|abbanunante|abbanunava|abbanunarraje|abbanunarrà|abbanunarrite|abbanunassemo|abbanunanno|abbanunarraggio|abbanunate|abbanunarrimmo|abbanunajemo|abbanunastevo|abbanunarrissevo|abbanunarranno|abbanunano|abbanunavo|abbanunaje|abbanunave|abbanunassero|abbanunassevo|abbanunarriano|abbanunarrissemo|abbanune|abbanuna|abbanunavano|abbanunaste|abbanunavate|abbanuneno|abbanuno	<i>verb</i><br><ol><li>to abandon</li></ol>
abbascio	<i>adv</i><br><ol><li>downstairs</li></ol>
abbastante	<i>adj</i><br><ol><li>sufficient</li></ol><br><i>adv</i><br><ol><li>quite</li></ol>
abbastà|abbastarranno|abbastavamo|abbastassero|abbastasse|abbastarria|abbastave|abbastato|abbastarrissevo|abbastaje|abbasteno|abbasto|abbastante|abbasta|abbastanno|abbastarraje|abbastavo|abbastarriano|abbaste|abbastassevo|abbastate|abbastajeno|abbastarrà|abbastarrissemo|abbastassemo|abbastaste|abbastano|abbastarraggio|abbastavate|abbastavano|abbastastevo|abbastarrimmo|abbastammo|abbastava|abbastarrisse|abbastarrite|abbastajemo	<i>verb</i><br><ol><li>to suffice</li></ol>
abbate	<i>noun</i><br><ol><li>abbot</li><li>priest</li></ol>
abbenì	<i>noun</i><br><ol><li>The future</li></ol>
abberbio	<i>noun</i><br><ol><li>adverb</li></ol>
abbiccià	<i>verb</i><br><ol><li>to light (a fire etc)</li></ol>
abbià	<i>verb</i><br><ol><li>to begin</li><li>to initiate</li></ol>
abbrunzo	<i>noun</i><br><ol><li>bronze</li></ol>
abbuscà|abbuscano|abbuscaje|abbuscarraggio|abbuscammo|abbuscato|abbuscarria|abbuscassevo|abbusceno|abbuscastevo|abbuscasse|abbuscave|abbuscanno|abbuscarrisse|abbuscajeno|abbuscaste|abbuscassero|abbusco|abbuscate|abbuscava|abbuscarrà|abbuscavate|abbuscavano|abbuscarrite|abbuscarranno|abbuscarrissevo|abbuscarrimmo|abbusce|abbuscarraje|abbuscavo|abbuscajemo|abbuscarriano|abbusca|abbuscassemo|abbuscarrissemo|abbuscante|abbuscavamo	<i>verb</i><br><ol><li>(transitive) to get (e.g. money, a beating-up)</li><li>(intransitive) to lose</li></ol>
abolemiento	<i>noun</i><br><ol><li>abolition</li></ol>
acalà|acalajemo|acalammo|acalarranno|acalaste|acalarrà|acalato|acalanno|acalarrissevo|acalavamo|acalave|acalarria|acalarraggio|acalarrimmo|acaleno|acale|acalante|acalastevo|acalarraje|acalano|acalassero|acalajeno|acalarrisse|acalarrite|acalaje|acalarriano|acalassemo|acalavate|acala|acalate|acalasse|acalarrissemo|acalassevo|acalavo|acalavano|acalo|acalava	<i>verb</i><br><ol><li>to lower</li></ol>
accadèmmia	<i>noun</i><br><ol><li>academy</li></ol>
accapputtà|accapputto|accapputtarrisse|accapputtastevo|accapputtava|accapputtassevo|accapputtavate|accapputtarrissemo|accapputtassemo|accapputtavo|accapputtarria|accapputtaste|accapputtante|accapputtavano|accapputteno|accapputtaje|accapputte|accapputtarriano|accapputta|accapputtajeno|accapputtarranno|accapputtate|accapputtassero|accapputtarrà|accapputtano|accapputtarrimmo|accapputtarrite|accapputtarrissevo|accapputtato|accapputtanno|accapputtavamo|accapputtarraje|accapputtasse|accapputtammo|accapputtajemo|accapputtarraggio|accapputtave	<i>verb</i><br><ol><li>to upset, turn over</li></ol>
accaremmia	<i>noun</i><br><ol><li>academy</li></ol>
accattà	<i>verb</i><br><ol><li>to buy</li></ol>
accavallà|accavalla|accavallasse|accavallaste|accavallante|accavallassemo|accavallajeno|accavallajemo|accavallarrimmo|accavallaje|accavallavate|accavallava|accavallassevo|accavallastevo|accavallavamo|accavalleno|accavallarrisse|accavallarriano|accavallarranno|accavallarrissemo|accavallammo|accavallave|accavallano|accavallate|accavallato|accavallavo|accavallarrà|accavalle|accavallavano|accavallo|accavallarria|accavallanno|accavallarraje|accavallarrissevo|accavallassero|accavallarraggio|accavallarrite	<i>verb</i><br><ol><li>to command</li><li>to dominate</li><li>to take control of</li><li>to superimpose</li></ol>
acchiale	<i>noun</i><br><ol><li>eyeglasses</li></ol>
acchiano acchiano	<i>adv</i><br><ol><li>slowly</li></ol>
acchiare	<i>noun</i><br><ol><li>glasses, spectacles</li></ol>
accidere|accidisseve|accidiano|accidarriano|accidarrisseve|accidisse|accidenno|accidarriamo|accidevamo|accidono|accidevo|accidessemo|accidarria|accido|accidite|accidarraggio|accidiamo|accidiveve|accidiste|accidettero|acciduto|accidettemo|accidarrammo|accidimmo|accidevano|accidive|accide|accidarrà|accidette|accidente|accideva|accidarranno|accidesseno|accidisteve|accidarrisse|accidarraje|accidetteno|accidarrate|accidesse	<i>verb</i><br><ol><li>to kill</li></ol>
accio	<i>noun</i><br><ol><li>celery</li></ol>
accirere|accirisse|acciriano|accire|acciriste|accirive|accirettero|acciro|accirimmo|accirevano|acciriamo|accirarrisseve|accirarrà|accirite|accirono|accirarriano|accirarrammo|accirarriamo|accirenno|accirarrate|accirevo|accirente|accirarrisse|acciressemo|acciruto|acciriveve|accirarraggio|accirarraje|accireva|acciresse|accirettemo|accirarranno|accirevamo|acciresseno|accirarria|acciretteno|acciristeve|accirette|accirisseve	<i>verb</i><br><ol><li>to kill</li></ol>
accirerse	<i>verb</i><br><ol><li>to kill oneself</li></ol>
acconciaòsse	<i>noun</i><br><ol><li>surgeon</li></ol>
accrianzatézza	<i>noun</i><br><ol><li>education, training</li></ol>
accummincià	<i>verb</i><br><ol><li>to begin</li></ol>
accuppatura	<i>noun</i><br><ol><li>The filling of a vessel</li></ol>
accussì	<i>adv</i><br><ol><li>therefore, hence, thus</li></ol><br><i>conj</i><br><ol><li>so</li><li>like this/that</li></ol>
aco	<i>noun</i><br><ol><li>needle</li></ol>
acqua|acque	<i>noun</i><br><ol><li>water</li><li>rain</li></ol>
acìto	<i>noun</i><br><ol><li>vinegar</li></ol>
addenucchiarse	<i>verb</i><br><ol><li>To kneel, to kneel down, to go down on one's knees.</li><li>To fall to one's knees.</li></ol>
addimannà	<i>verb</i><br><ol><li>to ask</li></ol>
addivinà	<i>verb</i><br><ol><li>to guess by an unqualified conclusion</li></ol>
addore	<i>noun</i><br><ol><li>odor</li><li>perfume</li></ol>
addorme	<i>verb</i><br><ol><li>to make someone to fall asleep</li></ol>
addovonca|dovonca	<i>adv</i><br><ol><li>wherever</li><li>everywhere</li></ol>
addu	<i>prep</i><br><ol><li>to</li></ol>
addò	<i>adv</i><br><ol><li>where</li></ol>
aecche	<i>adv</i><br><ol><li>(Scanno) here</li></ol>
aggrisse	<i>noun</i><br><ol><li>eclipse</li></ol>
aglia	<i>noun</i><br><ol><li>garlic</li></ol>
agliàneca	<i>noun</i><br><ol><li>a kind of black grape</li></ol>
agnulillo	<i>noun</i><br><ol><li>silkworm</li></ol>
ajere	<i>adv</i><br><ol><li>yesterday</li></ol><br><i>noun</i><br><ol><li>yesterday</li></ol>
ajutà	<i>verb</i><br><ol><li>to help</li></ol>
ajùto	<i>noun</i><br><ol><li>help</li></ol>
alarbo	<i>adj</i><br><ol><li>Arabian</li></ol><br><i>noun</i><br><ol><li>Arab</li></ol>
albèrgo	<i>noun</i><br><ol><li>hotel</li></ol>
alevento	<i>noun</i><br><ol><li>treason, betrayal</li></ol>
alimento	<i>noun</i><br><ol><li>element</li></ol>
allazzà	<i>verb</i><br><ol><li>To tie</li><li>To bind</li></ol>
allerezza	<i>noun</i><br><ol><li>happiness</li></ol>
alliccarse	<i>verb</i><br><ol><li>to lick oneself</li></ol>
