А|a|А (A)|а	<i>character</i><br><ol><li>The first letter of the Nivkh alphabet, written in the Cyrillic script.</li></ol>
Лоча	<i>name</i><br><ol><li>(Amur) Russia</li></ol>
Ниӿоӈ|Nihoŋ	<i>name</i><br><ol><li>Japan</li></ol>
Нуча	<i>name</i><br><ol><li>(Sakhalin) Russia</li></ol>
Ньи|Ņi	<i>pron</i><br><ol><li>(West Sakhalin) I</li></ol>
Чока	<i>name</i><br><ol><li>Sakhalin</li></ol>
а|a|А (A)|А	<i>noun</i><br><ol><li>(Amur, Sakhalin) armspan</li></ol><br><i>character</i><br><ol><li>The first letter of the Nivkh alphabet, written in the Cyrillic script.</li></ol>
авсӄ|avsq	<i>noun</i><br><ol><li>(Amur) ruff (Gymnocephalus cernua, syn. Acerina cernua)</li></ol>
авғс|avꜧs	<i>noun</i><br><ol><li>(Amur) glue, made from fish skin and bladder</li></ol>
авғур̌|avꜧuř	<i>noun</i><br><ol><li>(East Sakhalin) glue, made from fish skin and bladder</li></ol>
аг|ag	<i>adv</i><br><ol><li>(Amur, Sakhalin) there</li></ol>
азмыть|azməț	<i>noun</i><br><ol><li>(Amur, East Sakhalin) man</li></ol>
азмытьэӻлӈ|azməțeꜧ̇lŋ	<i>noun</i><br><ol><li>(Sakhalin) boy; male child</li></ol>
айс|ajs	<i>noun</i><br><ol><li>(Amur, West Sakhalin) gold</li></ol>
акан|akan	<i>noun</i><br><ol><li>(South Sakhalin) elder brother</li></ol>
амра|amra	<i>noun</i><br><ol><li>taste</li></ol>
антӽ|antẋ	<i>noun</i><br><ol><li>(Amur) guest</li></ol>
ань|aņ	<i>noun</i><br><ol><li>year</li></ol>
ань ырӈ|aņ ərŋ	<i>noun</i><br><ol><li>(East Sakhalin) season</li></ol>
анғи|anꜧi	<i>noun</i><br><ol><li>(Sakhalin) heel (of foot)</li></ol>
арак|arak	<i>noun</i><br><ol><li>vodka</li></ol>
арфэӄ|arfeq	<i>noun</i><br><ol><li>rooster/cock</li></ol>
асӄ|asq|asqa|асӄа	<i>noun</i><br><ol><li>younger brother; little brother</li><li>younger sister; little sister</li></ol>
ат|at	<i>noun</i><br><ol><li>(zoology) lion; tiger</li></ol>
атак|atak	<i>noun</i><br><ol><li>grandfather</li></ol>
атик|atika|atik|атика	<i>noun</i><br><ol><li>(Sakhalin) younger sibling; younger brother; younger sister</li><li>(Amur) grandmother</li></ol>
атим|atim	<i>noun</i><br><ol><li>(Sakhalin) grandmother</li></ol>
атк|atk	<i>noun</i><br><ol><li>father-in-law, wife's father</li><li>grandfather</li><li>great-grandfather</li><li>paternal uncle, father's elder brother</li><li>brother-in-law, husband's elder brother</li></ol>
ау|au	<i>noun</i><br><ol><li>(Amur) voice</li><li>(Amur) sound</li></ol>
аф|af	<i>noun</i><br><ol><li>facial hair; beard; mustache</li></ol>
ая|aja	<i>noun</i><br><ol><li>turtle (land or marine reptile with a shell)</li></ol>
ағр̌|aꜧř	<i>adv</i><br><ol><li>(Amur) when</li></ol>
аӈ|aŋ	<i>pron</i><br><ol><li>(Amur) who, whom</li></ol>
аӈӿагин|aŋhagin	<i>pron</i><br><ol><li>(Amur) nobody, noöne</li></ol>
аӻаӄм|aꜧ̇aqm	<i>noun</i><br><ol><li>(meteorology, East Sakhalin) hail</li></ol>
вавд|vavd	<i>verb</i><br><ol><li>(Sakhalin) live together; lives together; lived together</li><li>(Sakhalin) pound; pounds; pounded</li><li>(Sakhalin) crush; crushes; crushed</li><li>(Sakhalin) grind; grinds; ground</li></ol>
вал|val	<i>noun</i><br><ol><li>color</li></ol>
вань|vaņ	<i>noun</i><br><ol><li>(East Sakhalin) cauldron; pot</li></ol>
ват|vat	<i>noun</i><br><ol><li>(Sakhalin) iron</li></ol>
ваӄи|vaqi	<i>noun</i><br><ol><li>box</li></ol>
ваӻс|vaꜧ̇s	<i>noun</i><br><ol><li>(zoology) shark</li><li>whitefish</li></ol>
вед|ved	<i>verb</i><br><ol><li>(Sakhalin) go; goes; went (of an animal)</li><li>(Sakhalin) run; runs; ran (of an animal)</li></ol>
вердь|verd̦	<i>verb</i><br><ol><li>(Amur) am wide; are wide; is wide; was wide; were wide</li></ol>
вид|vid	<i>verb</i><br><ol><li>(Sakhalin) go; goes; went (of a person)</li></ol>
видь|vid̦	<i>verb</i><br><ol><li>(Amur) go; goes; went (of a person)</li></ol>
вить|viț	<i>noun</i><br><ol><li>body</li></ol>
вих|vix	<i>noun</i><br><ol><li>nose</li></ol>
во|vo	<i>noun</i><br><ol><li>nomadic camp</li><li>village, settlement, town</li></ol>
вонӈ|vonŋ	<i>noun</i><br><ol><li>(East Sakhalin) villager; inhabitant</li></ol>
восӄ|vosq	<i>noun</i><br><ol><li>bush, shrub</li></ol>
вукс|vuks	<i>noun</i><br><ol><li>leash, tether</li></ol>
вывдь|vəvd̦	<i>verb</i><br><ol><li>(Amur) live together; lives together; lived together</li><li>(Amur) pound; pounds; pounded</li><li>(Amur) crush; crushes; crushed</li><li>(Amur) grind; grinds; ground</li></ol>
вызғалр̌|vəzꜧalř	<i>noun</i><br><ol><li>(East Sakhalin) a dessert, similar to tolkusha or pemmican, traditionally made with boiled fish (chum salmon or pink salmon), berries (bog bilberry, lingonberry, and cloudberry), and seal fat.</li></ol>
выскть|vəskț	<i>verb</i><br><ol><li>(Amur) fight; fights; fought (competitively)</li></ol>
выскф|vəskf	<i>noun</i><br><ol><li>place where competitive fights are carried out</li></ol>
выть|vəț	<i>noun</i><br><ol><li>(Amur) iron</li></ol>
выч|vəț’	<i>noun</i><br><ol><li>metallic decorations on a woman's gown</li></ol>
вығдь|vəꜧd̦	<i>verb</i><br><ol><li>(Amur, intransitive) break; breaks; broke</li><li>(Amur, intransitive) rip; rips; ripped</li></ol>
ед|jed	<i>verb</i><br><ol><li>(Sakhalin) cook; cooks; cooked</li><li>(Sakhalin) stew; stews; stewed (over a low flame)</li></ol>
едь|jed̦	<i>verb</i><br><ol><li>(Amur) cook; cooks; cooked</li><li>(Amur) stew; stews; stewed (over a low flame)</li></ol>
ераӄ|jeraq	<i>noun</i><br><ol><li>porridge, gruel</li></ol>
еф|jef	<i>noun</i><br><ol><li>kitchen</li></ol>
зозудь|zozud̦	<i>verb</i><br><ol><li>(Amur) turn off; turns off; turned off</li><li>(Amur) put out; puts out</li><li>(Amur) extinguish; extinguishes; extinguished</li></ol>
зом|zom	<i>noun</i><br><ol><li>(zoology) harlequin duck</li></ol>
зосӄть|zosqț	<i>verb</i><br><ol><li>(Amur) break; breaks; broke</li><li>(Amur) ruin; ruins; ruined</li><li>(Amur) violate; violates; violated</li></ol>
и|i	<i>particle</i><br><ol><li>yes, yeah, right</li></ol><br><i>noun</i><br><ol><li>river</li></ol>
ивдь|ivd̦	<i>verb</i><br><ol><li>(Amur) have; has; had</li></ol>
имӈ|imŋ	<i>pron</i><br><ol><li>(Amur) they, their</li></ol>
ин|in	<i>pron</i><br><ol><li>(Sakhalin) they, their</li></ol>
иньд|iņd	<i>verb</i><br><ol><li>(Sakhalin) eat; eats; ate</li></ol>
иньдь|iņd̦	<i>verb</i><br><ol><li>(Amur) eat; eats; ate</li></ol>
ирпф|irpf	<i>verb</i><br><ol><li>(Amur) saddle</li></ol>
итть|itț	<i>verb</i><br><ol><li>(Amur) say; says; said</li><li>(Amur) talk; talks; talked</li></ol>
иу|iu	<i>noun</i><br><ol><li>(Amur, zoology) duck</li></ol>
иус|ius	<i>noun</i><br><ol><li>(Amur) pike (fish)</li></ol>
иф|if	<i>pron</i><br><ol><li>(Amur) he, she, it</li></ol>
иў|iw	<i>noun</i><br><ol><li>(Sakhalin, zoology) duck</li></ol>
иғлуладь|iꜧlulad̦	<i>noun</i><br><ol><li>(zoology) tiger</li></ol>
йыскымдь|jəskəmd̦	<i>verb</i><br><ol><li>(Amur) explain; explains; explained</li><li>(Amur) convince; convinces; convinced</li></ol>
