Actions dé Grâces	<i>name</i><br><ol><li>(Jersey) Thanksgiving</li></ol>
Afghanistan	<i>name</i><br><ol><li>(Jersey) Afghanistan (a country in Asia)</li></ol>
Afrique	<i>name</i><br><ol><li>(Jersey) Africa</li></ol>
Afrique du Sud	<i>name</i><br><ol><li>(Jersey) South Africa</li></ol>
Albannie	<i>name</i><br><ol><li>(Jersey) Albania (a country in Europe)</li></ol>
Algérie	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Allémand|Allémandes|Allémande|Allémands	<i>adj</i><br><ol><li>(Jersey) German</li></ol><br><i>noun</i><br><ol><li>(Jersey) German person</li></ol><br><i>name</i><br><ol><li>(Jersey) the German language</li></ol>
Allémande|Allémandes	<i>noun</i><br><ol><li>(Jersey) German woman</li></ol>
Allémangne	<i>name</i><br><ol><li>(Jersey) Germany</li></ol>
Alpes|L's Alpes	<i>noun</i><br><ol><li>(Jersey) Alps (a mountain range in Western Europe)</li></ol>
Améthique	<i>name</i><br><ol><li>(Jersey) America (myriad senses)</li></ol>
Améthitchain|Améthitchains|Améthitchaines|Améthitchaine	<i>adj</i><br><ol><li>(Jersey) American; pertaining to America or the American people</li></ol><br><i>noun</i><br><ol><li>(Jersey) American; someone born in, or a citizen or inhabitant of, the United States of America</li></ol>
Andorre	<i>name</i><br><ol><li>(Jersey) Andorra (a country in Europe)</li></ol>
Angliais|Angliaîches|Angliaîche	<i>adj</i><br><ol><li>(Jersey) English</li></ol><br><i>name</i><br><ol><li>(Jersey) the English language</li></ol>
Angliétèrre	<i>name</i><br><ol><li>(Jersey) England</li></ol>
Angllais	<i>name</i><br><ol><li>(Guernsey) the English language</li></ol>
Anglléterre	<i>name</i><br><ol><li>(Guernsey) England</li></ol>
Anglyican|Anglyicannes|Anglyicanne|Anglyicans	<i>adj</i><br><ol><li>(Jersey) Anglican</li></ol><br><i>noun</i><br><ol><li>(Jersey) Anglican</li></ol>
Angola	<i>name</i><br><ol><li>(Jersey) Angola (a country in Africa)</li></ol>
Anguilla	<i>name</i><br><ol><li>(Jersey) Anguilla (an archipelago and overseas territory of the United Kingdom, in the Caribbean Sea)</li></ol>
Antarctique	<i>name</i><br><ol><li>(Jersey) Antarctica</li></ol>
Antigua et Barbuda	<i>name</i><br><ol><li>(Jersey) Antigua and Barbuda (a country in the Caribbean)</li></ol>
Antilles des Pays Bas	<i>name</i><br><ol><li>(Jersey) Netherlands Antilles</li></ol>
Aoeur'gny	<i>name</i><br><ol><li>(Alderney) Alderney</li></ol>
Août|Aoûts	<i>noun</i><br><ol><li>(Jersey) August</li></ol>
Arabe	<i>name</i><br><ol><li>(Jersey) Arabic</li></ol>
Arabie Saudi	<i>name</i><br><ol><li>(Jersey) Saudi Arabia</li></ol>
Argentinne	<i>name</i><br><ol><li>(Jersey) Argentina</li></ol>
Arménie	<i>name</i><br><ol><li>(Jersey) Armenia (a country in Europe and Asia)</li></ol>
Arménien	<i>name</i><br><ol><li>(Jersey) Armenian (language)</li></ol>
Art Nouvé	<i>noun</i><br><ol><li>(Jersey) art nouveau</li></ol>
Aruba	<i>name</i><br><ol><li>(Jersey) Aruba (an island, a dependent territory and constituent country of the Netherlands, in the Caribbean Sea)</li></ol>
Ascension	<i>noun</i><br><ol><li>(Jersey, Christianity) Ascension</li></ol>
Assamais	<i>name</i><br><ol><li>(Jersey) Assamese</li></ol>
Atchitaine	<i>name</i><br><ol><li>(Jersey) Aquitaine</li></ol>
Aunglléterre	<i>name</i><br><ol><li>(France) England</li></ol>
Aur'gny	<i>name</i><br><ol><li>(Jersey) Alderney</li></ol>
Aurni	<i>name</i><br><ol><li>(Guernsey) Alderney</li></ol>
Australie	<i>name</i><br><ol><li>(Jersey) Australia (a continent and country in Oceania)</li></ol>
Australie Méridionale	<i>name</i><br><ol><li>(Jersey) South Australia</li></ol>
Australie Occidentale	<i>name</i><br><ol><li>(Jersey) Western Australia</li></ol>
Australâsie	<i>name</i><br><ol><li>(Jersey) Australasia</li></ol>
Autriche	<i>name</i><br><ol><li>(Jersey) Austria (a country in Europe)</li></ol>
Avri|Avris	<i>noun</i><br><ol><li>(Jersey) April (month)</li></ol>
Azerbaidgian	<i>name</i><br><ol><li>(Jersey) Azerbaijan (a country in Europe and Asia)</li></ol>
Bahames	<i>name</i><br><ol><li>(Jersey) Bahamas (an archipelago and country in the Caribbean)</li></ol>
Bastchais|Bastchaise|Bastchaises	<i>adj</i><br><ol><li>(Jersey) Basque</li></ol><br><i>noun</i><br><ol><li>(Jersey) Basque person</li></ol><br><i>name</i><br><ol><li>(Jersey) the Basque language</li></ol>
Bastchaise|Bastchaises	<i>noun</i><br><ol><li>(Jersey) Basque woman</li></ol>
Belgique	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Bermude	<i>name</i><br><ol><li>(Jersey) Bermuda (an archipelago and overseas territory of the United Kingdom in the North Atlantic Ocean)</li></ol>
Bibl'ye	<i>name</i><br><ol><li>(Jersey, Christianity) Bible</li></ol>
Bliues Montangnes|Les Bliues Montangnes	<i>name</i><br><ol><li>(Jersey) the Blue Mountains</li></ol>
Bolivie	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Bordgieaux	<i>noun</i><br><ol><li>(Jersey) claret</li></ol>
Bosnie et Herzegovina	<i>name</i><br><ol><li>(Jersey) Bosnia and Herzegovina (a country in Europe)</li></ol>
Bouonne Saint Dâvi|Bouônne Saint Dâvi!	<i>intj</i><br><ol><li>(Jersey) Happy Saint David's Day!</li></ol>
