'k	<i>pron</i><br><ol><li>Contraction of ik.</li></ol>
Aast|Aaster	<i>noun</i><br><ol><li>(Sylt) cheese</li></ol>
Baabe	<i>name</i><br><ol><li>Father</li></ol>
Blör	<i>noun</i><br><ol><li>(Sylt) blood</li></ol>
Brain|Brainen	<i>noun</i><br><ol><li>(Sylt) brain (anatomy)</li></ol>
Bruar|Bruarer	<i>noun</i><br><ol><li>(Sylt) bread</li></ol>
Bröch|Bröchen	<i>noun</i><br><ol><li>(Sylt) bridge (structure)</li></ol>
Bröđer|Bröđern	<i>noun</i><br><ol><li>(Sylt) brother</li></ol>
Buat|Buaten	<i>noun</i><br><ol><li>(Sylt) boat</li></ol>
Buusem|Buusemer	<i>noun</i><br><ol><li>(Sylt) barn</li></ol>
Dai|Daagen	<i>noun</i><br><ol><li>(Sylt) day</li></ol>
Dreeng|Dreenger	<i>noun</i><br><ol><li>(Sylt) boy, son</li></ol>
Dånmark	<i>name</i><br><ol><li>(Mooring) Denmark</li></ol>
Dörp|Dörper	<i>noun</i><br><ol><li>(Heligoland) village</li></ol>
En|Enen	<i>noun</i><br><ol><li>(Sylt) duck (waterfowl)</li></ol>
Faamen|Faamner	<i>noun</i><br><ol><li>(Sylt) girl, daughter</li></ol>
Faađer|Faađern	<i>noun</i><br><ol><li>(Sylt) father</li></ol>
Flāg|Flāgen	<i>noun</i><br><ol><li>(Sylt) flag</li></ol>
Fođer	<i>noun</i><br><ol><li>(Sylt) hay</li></ol>
Frinj|Frinjer	<i>noun</i><br><ol><li>(Sylt) friend</li></ol>
Fut|Fet|Futten	<i>noun</i><br><ol><li>(Heligoland, Sylt) foot</li></ol>
Gooki|Gookis	<i>noun</i><br><ol><li>(Sylt) grandfather, grandpa</li></ol>
Guus|Gös	<i>noun</i><br><ol><li>(Sylt) goose</li></ol>
Gögeler|Gögelers	<i>noun</i><br><ol><li>(Sylt) magician, wizard, witch</li></ol>
Gērs	<i>noun</i><br><ol><li>(Sylt) grass</li></ol>
Haur|Hauđer	<i>noun</i><br><ol><li>(Sylt) head (body part)</li></ol>
Hüs|Hüüsing	<i>noun</i><br><ol><li>(Sylt) house</li></ol>
Hārefst	<i>noun</i><br><ol><li>(Sylt) autumn, fall</li></ol>
Jungen	<i>noun</i><br><ol><li>(Sylt) child</li></ol>
Knif|Kniiwer	<i>noun</i><br><ol><li>(Sylt) knife</li></ol>
Kü|Kin	<i>noun</i><br><ol><li>(Sylt) cow</li></ol>
Lun|Lun'n	<i>noun</i><br><ol><li>(Heligoland) land</li></ol>
Man|Maaner	<i>noun</i><br><ol><li>(Sylt) man (adult male human)</li></ol>
