A|a	<i>character</i><br><ol><li>The first letter of the Northern Kurdish alphabet, called a and written in the Latin script.</li></ol>
AY	<i>name</i><br><ol><li>USA (a country in North America); initialism of Ameriqayê Yekbûyî (literally “United America”)</li></ol>
Ameriqayê Yekbûyî	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Amerîka|Emerîka	<i>noun</i><br><ol><li>America</li></ol>
Amerîkaya Bakur	<i>noun</i><br><ol><li>North America</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Asya	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Bangladeş	<i>name</i><br><ol><li>Bangladesh (a country in Asia)</li></ol>
Berlîn	<i>name</i><br><ol><li>Berlin (the capital and largest city of Germany)</li><li>Berlin (a state of Germany, containing the capital city)</li></ol>
Bexda	<i>name</i><br><ol><li>Baghdad</li></ol>
Bruksel	<i>name</i><br><ol><li>Brussels (the capital city of Belgium)</li></ol>
Bêrût	<i>name</i><br><ol><li>Beirut (the capital of Lebanon)</li></ol>
Deryaya Navîn	<i>name</i><br><ol><li>Mediterranean Sea (the sea between Europe and Africa)</li></ol>
Dîcle	<i>name</i><br><ol><li>the Tigris</li></ol>
Enqere	<i>name</i><br><ol><li>Ankara (the capital city of Turkey)</li></ol>
Ermenistan	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Erîs	<i>name</i><br><ol><li>(astronomy) Eris</li></ol>
Estonya	<i>name</i><br><ol><li>Estonia</li></ol>
Ferat	<i>name</i><br><ol><li>Euphrates river</li></ol>
Firat	<i>name</i><br><ol><li>Euphrates (a river in the Middle East)</li></ol>
Frensa	<i>noun</i><br><ol><li>France</li></ol>
Heleb|Helebeke|Heleba|Helebê|wê Helebê|Helebek|Helebekê	<i>name</i><br><ol><li>Aleppo (a city in Syria)</li></ol>
Helsinkî	<i>name</i><br><ol><li>Helsinki (the capital city of Finland)</li></ol>
Hindistan	<i>name</i><br><ol><li>India (a country in Asia)</li></ol>
Kirwatya	<i>name</i><br><ol><li>Croatia</li></ol>
Kriwatya	<i>name</i><br><ol><li>Croatia</li></ol>
Kroatya	<i>name</i><br><ol><li>Croatia</li></ol>
Kurdistan|kurdistan|کوردستان	<i>name</i><br><ol><li>Kurdistan</li></ol>
Kurmancî	<i>noun</i><br><ol><li>Kurmanji, Northern Kurdish (northern Kurdish language, spoken predominantly in Turkey)</li></ol>
Mezopotamya	<i>name</i><br><ol><li>Mesopotamia (region between Euphrates and Tigris)</li></ol>
Mosko	<i>name</i><br><ol><li>Moscow (a federal city, the capital of Russia)</li><li>Moscow (an oblast of Russia, surrounding the city of Moscow)</li></ol>
Nîl	<i>name</i><br><ol><li>the Nile (river)</li></ol>
PYD	<i>noun</i><br><ol><li>(politics, Syria) Initialism of Partiya Yekitîya Demokrat (“Democratic Union Party”).</li></ol>
Pergala Navneteweyî ya Pîvanê	<i>noun</i><br><ol><li>International System of Units</li></ol>
Qahîre	<i>name</i><br><ol><li>Cairo (the capital of Egypt)</li></ol>
Rîga	<i>name</i><br><ol><li>Riga (the capital of Latvia)</li></ol>
Rûsya	<i>name</i><br><ol><li>Russia</li></ol>
Spanya	<i>name</i><br><ol><li>Spain</li></ol>
Sêrt	<i>name</i><br><ol><li>Siirt (a city in Turkey)</li></ol>
Sûriye|Sûriya	<i>name</i><br><ol><li>Syria</li></ol>
Taran	<i>name</i><br><ol><li>Tehran (the capital of Iran)</li></ol>
Tirkiye	<i>name</i><br><ol><li>Turkey</li></ol>
Tîr	<i>name</i><br><ol><li>Mercury (Planet)</li></ol>
Tîrana	<i>name</i><br><ol><li>Tirana (the capital of Albania)</li></ol>
Xirvatistan	<i>name</i><br><ol><li>Croatia</li></ol>
Xwedê	<i>noun</i><br><ol><li>God</li></ol>
YPG	<i>name</i><br><ol><li>Initialism of Yekîneyên Parastina Gel (“People's Protection Units”).</li></ol>
YPJ	<i>name</i><br><ol><li>Initialism of Yekîneyên Parastina Jinê (“Women's Protection Units”).</li></ol>
Yewnanistan	<i>name</i><br><ol><li>Greece</li></ol>
abone	<i>noun</i><br><ol><li>subscriber</li></ol>
aboriya neteweyî	<i>noun</i><br><ol><li>national economy</li></ol>
aborî|aborîtir|aborîtirîn	<i>adj</i><br><ol><li>economic</li></ol><br><i>noun</i><br><ol><li>economy</li></ol>
aborînas	<i>noun</i><br><ol><li>economist</li></ol>
aborînasî	<i>noun</i><br><ol><li>economics</li></ol>
absans	<i>noun</i><br><ol><li>absence</li></ol>
adaptasyon	<i>noun</i><br><ol><li>adaptation</li></ol>
ade	<i>noun</i><br><ol><li>weed</li><li>island</li></ol>
adilî	<i>noun</i><br><ol><li>fairness</li></ol>
adrenalîn	<i>noun</i><br><ol><li>adrenaline</li></ol>
afirandibûya	<i>verb</i><br><ol><li>first/second/third-person singular/plural conditional II of afirandin</li></ol>
