akha	<i>verb</i><br><ol><li>to build</li></ol>
ala	<i>verb</i><br><ol><li>to refuse</li></ol>
amafutha|ámáfûtha	<i>noun</i><br><ol><li>fat</li></ol>
amanzi	<i>noun</i><br><ol><li>water</li></ol>
ambatha	<i>verb</i><br><ol><li>to cover oneself with blanket</li><li>to wear</li></ol>
anela	<i>verb</i><br><ol><li>to suffice</li><li>(intransitive) to become enough</li></ol>
azi	<i>verb</i><br><ol><li>to know</li></ol>
baleka	<i>verb</i><br><ol><li>to run away, to flee</li></ol>
bhadala	<i>verb</i><br><ol><li>to pay</li></ol>
bhala	<i>verb</i><br><ol><li>to write</li></ol>
bhibhidla	<i>verb</i><br><ol><li>to fester</li></ol>
bhubhudla	<i>verb</i><br><ol><li>to foam</li></ol>
bhukuda	<i>verb</i><br><ol><li>to stab</li></ol>
bhukutsha	<i>verb</i><br><ol><li>to swim</li></ol>
bili|esibabili|babili|ombili|sibabili|obubili|libili|elibili|mabili|mbili|olubili|mibili|engimbili|elibabili|imbili|amabili|ezimbili|esibili|lubili|libabili|okubili|emibili|zimbili|ababili|kubili|sibili|ngimbili|embili|umbili|bubili	<i>adj</i><br><ol><li>two</li></ol>
biza	<i>verb</i><br><ol><li>to call</li></ol>
bomvu|kubomvu|sibomvu|olubomvu|elibomvu|ebomvu|esibomvu|obubomvu|libomvu|ezibomvu|ubomvu|engibomvu|okubomvu|obomvu|ibomvu|babomvu|ababomvu|zibomvu|ngibomvu|bubomvu|lubomvu|abomvu	<i>conj</i><br><ol><li>red</li></ol>
bona|boná	<i>pron</i><br><ol><li>they, them; class 2 absolute pronoun.</li><li>it; class 14 absolute pronoun.</li></ol><br><i>verb</i><br><ol><li>to see</li></ol>
bulala	<i>verb</i><br><ol><li>to kill</li></ol>
butha	<i>verb</i><br><ol><li>to collect</li></ol>
buthana	<i>verb</i><br><ol><li>to assemble</li></ol>
buya	<i>verb</i><br><ol><li>to come</li></ol>
buza	<i>verb</i><br><ol><li>to ask</li><li>to interrogate, to question</li></ol>
cabanga	<i>verb</i><br><ol><li>to think</li></ol>
cacada	<i>verb</i><br><ol><li>to shell nuts</li></ol>
cela	<i>verb</i><br><ol><li>to ask for</li></ol>
chaza	<i>verb</i><br><ol><li>to explain</li></ol>
chitha	<i>verb</i><br><ol><li>to spill</li></ol>
cunula	<i>verb</i><br><ol><li>to offend</li></ol>
dabula	<i>verb</i><br><ol><li>to tear</li></ol>
dala|midala|engimdala|amadala|umdala|mdala|omdala|lidala|zindala|sidala|ngimdala|madala|libadala|emidala|endala|obudala|kudala|elibadala|oludala|abadala|indala|esidala|ludala|sibadala|esibadala|elidala|budala|okudala|badala|ezindala	<i>adj</i><br><ol><li>old</li></ol><br><i>verb</i><br><ol><li>to create</li></ol>
de|ende|bade|libade|mude|emide|obude|engimude|abade|omude|olude|amade|bude|okude|kude|eside|inde|made|umude|elibade|esibade|sibade|lide|mide|side|lude|zinde|ezinde|ngimude|elide	<i>adj</i><br><ol><li>tall</li></ol>
diliza	<i>verb</i><br><ol><li>to demolish</li></ol>
dinga	<i>verb</i><br><ol><li>to look for, to search</li></ol>
dla	<i>verb</i><br><ol><li>to eat</li></ol>
dlala	<i>verb</i><br><ol><li>to play</li></ol>
dlephuna	<i>verb</i><br><ol><li>to scratch, to tear</li></ol>
duma	<i>verb</i><br><ol><li>to thunder, to rumble</li></ol>
eba	<i>verb</i><br><ol><li>to steal</li></ol>
eboleka	<i>verb</i><br><ol><li>to borrow, to lend</li></ol>
edlula	<i>verb</i><br><ol><li>to pass</li></ol>
elapha	<i>verb</i><br><ol><li>to cure</li></ol>
elusa	<i>verb</i><br><ol><li>to herd</li></ol>
enda	<i>verb</i><br><ol><li>to marry, to be married</li></ol>
enza	<i>verb</i><br><ol><li>to do, to make</li></ol>
ephula	<i>verb</i><br><ol><li>to break</li></ol>
ethuka	<i>verb</i><br><ol><li>to be startled</li></ol>
eyama	<i>verb</i><br><ol><li>to lean on, to lean against</li></ol>
fa	<i>verb</i><br><ol><li>to die</li></ol>
faka	<i>verb</i><br><ol><li>to put</li></ol>
fika	<i>verb</i><br><ol><li>to arrive</li></ol>
fumana	<i>verb</i><br><ol><li>to find</li></ol>
funa	<i>verb</i><br><ol><li>to want</li></ol>
funda	<i>verb</i><br><ol><li>(intransitive) to learn</li><li>(transitive) to read</li></ol>
gagasa	<i>verb</i><br><ol><li>to stammer</li></ol>
galula	<i>verb</i><br><ol><li>to drown</li></ol>
gcina	<i>verb</i><br><ol><li>to keep</li></ol>
gebenga	<i>verb</i><br><ol><li>to act lawlessly</li></ol>
gomonqa	<i>verb</i><br><ol><li>to slope</li></ol>
gongoda	<i>verb</i><br><ol><li>to hammer</li></ol>
goqa	<i>verb</i><br><ol><li>to fold</li></ol>
gqoka	<i>verb</i><br><ol><li>to wear</li></ol>
gubuda	<i>verb</i><br><ol><li>to turn upside-down</li></ol>
guga	<i>verb</i><br><ol><li>(intransitive) to be old</li></ol>
gula	<i>verb</i><br><ol><li>to be sick/ill</li></ol>
guqa	<i>verb</i><br><ol><li>to kneel</li></ol>
halada	<i>verb</i><br><ol><li>to speak harshly</li></ol>
hamba	<i>verb</i><br><ol><li>to go, to walk, to move</li><li>to travel</li></ol>
hlafuna	<i>verb</i><br><ol><li>to chew</li></ol>
hlala	<i>verb</i><br><ol><li>to sit</li></ol>
hlamba	<i>verb</i><br><ol><li>to swim</li></ol>
hlangana	<i>verb</i><br><ol><li>to meet</li></ol>
hlanu|ezinhlanu|mihlanu|umhlanu|inhlanu|mhlanu|engimhlanu|amahlanu|zinhlanu|emihlanu|abahlanu|mahlanu|sibahlanu|libahlanu|ngimhlanu|buhlanu|esibahlanu|enhlanu|sihlanu|esihlanu|bahlanu|elihlanu|omhlanu|luhlanu|oluhlanu|elibahlanu|kuhlanu|okuhlanu|obuhlanu|lihlanu	<i>adj</i><br><ol><li>five</li></ol>
hle|abahle|omuhle|amahle|oluhle|bahle|zinhle|mihle|engimuhle|lihle|buhle|luhle|sibahle|okuhle|enhle|libahle|esihle|ngimuhle|mahle|emihle|umuhle|muhle|inhle|elihle|obuhle|elibahle|sihle|kuhle|ezinhle|esibahle	<i>adj</i><br><ol><li>beautiful, handsome</li><li>good</li></ol>
hleka	<i>verb</i><br><ol><li>(intransitive) to laugh</li><li>(transitive) to laugh at</li></ol>
hlephuna	<i>verb</i><br><ol><li>to break off a piece</li></ol>
hlikihla	<i>verb</i><br><ol><li>to wipe</li></ol>
hluthuna	<i>verb</i><br><ol><li>to snatch</li></ol>
hudula	<i>verb</i><br><ol><li>to drag along</li></ol>
humutsha	<i>verb</i><br><ol><li>to translate</li></ol>
ibele|íbéle|ámábéle	<i>noun</i><br><ol><li>breast</li></ol>
ibhanana|amabhanana	<i>noun</i><br><ol><li>banana</li></ol>
ibhasikithi|amabhasikithi	<i>noun</i><br><ol><li>basket</li></ol>
ibhokisi|íbhókisi|ámábhókisi	<i>noun</i><br><ol><li>box</li></ol>
ibholoho|amabholoho	<i>noun</i><br><ol><li>bridge</li></ol>
ibizo|ámábîzo|íbîzo	<i>noun</i><br><ol><li>name</li></ol>
ichibana|ámáchibána|íchibána	<i>noun</i><br><ol><li>puddle</li></ol>
ichibi|íchibí|ámáchibí	<i>noun</i><br><ol><li>lake, pond, pool</li></ol>
icici|amacici	<i>noun</i><br><ol><li>earring</li></ol>
idada|ámádada|ídada	<i>noun</i><br><ol><li>duck</li></ol>
idolo|ámádolo|ídolo	<i>noun</i><br><ol><li>knee</li></ol>
idube|ámádúbe|ídúbe	<i>noun</i><br><ol><li>zebra</li></ol>
idwala|ídwalá|ámádwalá	<i>noun</i><br><ol><li>rock</li></ol>
iganga|amaganga	<i>noun</i><br><ol><li>forest</li></ol>
igazi|ámágazí|ígazí	<i>noun</i><br><ol><li>blood</li></ol>
igolide|ígolíde	<i>noun</i><br><ol><li>gold</li></ol>
igundwane|ígúndwane|ámágúndwane	<i>noun</i><br><ol><li>rat, mouse</li></ol>
ihlamvu|amahlamvu	<i>noun</i><br><ol><li>leaf</li></ol>
ihlobo|íhlobo	<i>noun</i><br><ol><li>summer</li></ol>
ihloka|amahloka	<i>noun</i><br><ol><li>axe</li></ol>
ihlosi|amahlosi	<i>noun</i><br><ol><li>leopard</li></ol>
ikama|amakama	<i>noun</i><br><ol><li>comb</li></ol>
ikhala|ámákhala|íkhala	<i>noun</i><br><ol><li>nose</li></ol>
