A|a	<i>character</i><br><ol><li>The first letter of the Northern Sami alphabet, written in the Latin script.</li></ol>
Afrihkká|Afrihkkáset|Afrihkkámet|Afrihkkát|Afrihkkádet|Afrihkkás|Afrihkkáid|Afrihkkáiguin|Afrihkkáska|Afrihkkáme|Afrihkkáde|Afrihkkáin|Afrihkkái|Afrihkkán|Afrihkkáide	<i>name</i><br><ol><li>Africa</li></ol>
Albánia	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Amerihkká|Amerihkás|Amerihkáiguin|Amerihkkáska|Amerihkkámet|Amerihkkát|Amerihkáin|Amerihkkás|Amerihkkán|Amerihkáid|Amerihkkáme|Amerihkát|Amerihkkái|Amerihkkáset|Amerihkkádet|Amerihkáide|Amerihká|Amerihkkáde	
Amerihká ovttastuvvan stáhtat	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Antárktis	<i>name</i><br><ol><li>Antarctica</li></ol>
Anár|Anáreaskkạ|Anáris|Anárin|Anáreattẹt|Anáriin|Anárat|Anáran|Anáreattẹ|Anáreamẹt|Anára|Anárii|Anáreasẹt|Anáreamẹ	<i>name</i><br><ol><li>Inari (a village in Finland)</li><li>Inari (a municipality of Finland)</li></ol>
Anárjávri|Anárjávrádet|Anárjávráme|Anárjávrát|Anárjávriset|Anárjávrámet|Anárjávrri|Anárjávrris|Anárjávris|Anárjávrin|Anárjávráde|Anárjávrrẹ|Anárjávrái|Anárjávriska|Anárjávrriin|Anárjávrán	<i>name</i><br><ol><li>Lake Inari (a lake in Finland)</li></ol>
Arjepluovvi	<i>name</i><br><ol><li>Arjeplog (a locality in Sweden)</li><li>Arjeplog (a municipality of Sweden)</li></ol>
Aserbaižan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Austrália	<i>name</i><br><ol><li>Australia (country)</li></ol>
Badje-Duortnus|Badje-Dūrdnoseattẹt|Badje-Dūrdnoseaskkạ|Badje-Dūrdnosii|Badje-Dūrdnoseamẹ|Badje-Dūrdnosiin|Badje-Dūrdnoseamẹt|Badje-Dūrdnosis|Badje-Dūrdnosan|Badje-Dūrdnoseattẹ|Badje-Dūrdnoseasẹt|Badje-Dūrdnosat|Badje-Dūrdnosa|Badje-Duortnusin	<i>name</i><br><ol><li>Övertorneå (a locality in Sweden)</li><li>Övertorneå (a municipality of Sweden)</li><li>Ylitornio (a municipality of Finland)</li></ol>
Bahamas sullot	<i>name</i><br><ol><li>Bahamas (an archipelago and country in the Caribbean)</li></ol>
Bearalváhki|Bearalváhkáme|Bearalváhkáde|Bearalváhkiset|Bearalváhkámet|Bearalváhkiska|Bearalvági|Bearalváhkán|Bearalváhkis|Bearalváhkádet|Bearalvágis|Bearalvágiin|Bearalvágẹ|Bearalváhkái|Bearalváhkát|Bearalváhkin	<i>name</i><br><ol><li>Berlevåg (a village in Norway)</li><li>Berlevåg (a municipality of Norway)</li></ol>
Biehtár	<i>name</i><br><ol><li>Peter (Biblical figure)</li></ol>
Bulgária	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Burru|Burˈron|Burˈrui|Burˈrodet|Burrọ|Burˈruset|Burrūin|Burˈrome|Burˈrun|Burrus|Burˈrot|Burˈruska|Burˈrus|Burˈrode|Burˈromet|Burˈru	<i>name</i><br><ol><li>Taurus (constellation)</li><li>Taurus (zodiac sign)</li></ol>
Báhcavuotna|Báhcavuotnadet|Báhcavuotnade|Báhcavuotnaska|Báhcavuona|Báhcavuonain|Báhcavuonas|Báhcavuotnat|Báhcavuotnas|Báhcavūtnii|Báhcavuotnan|Báhcavuotnaset|Báhcavuotnamet|Báhcavuotname	<i>name</i><br><ol><li>Båtsfjord (a village in Norway)</li><li>Båtsfjord (a municipality of Norway)</li></ol>
Bájil|Bájilan|Bájileattẹt|Bájila|Bájileattẹ|Bájileamẹ|Bájileasẹt|Bájilin|Bájilis|Bájileaskkạ|Bájilii|Bájileamẹt|Bájiliin|Bájilat	<i>name</i><br><ol><li>Pajala (a locality in Sweden)</li><li>Pajala (a municipality of Sweden)</li></ol>
Bávlos	<i>name</i><br><ol><li>Paul (Biblical figure)</li></ol>
Davvesiida|Davvesiidamet|Davvesiidda|Davvesiidadet|Davvesiidaska|Davvesiidas|Davvesiidat|Davvesiidii|Davvesiidade|Davvesiiddain|Davvesiidaset|Davvesiiddas|Davvesiidame|Davvesiidan	<i>name</i><br><ol><li>Lebesby (a village in Norway)</li><li>Lebesby (a municipality of Norway)</li></ol>
Davvi-Amerihkká|Davvi-Amerihkkádet|Davvi-Amerihká|Davvi-Amerihkkái|Davvi-Amerihkáiguin|Davvi-Amerihkkámet|Davvi-Amerihkáide|Davvi-Amerihkáin|Davvi-Amerihkáid|Davvi-Amerihkkáde|Davvi-Amerihkkán|Davvi-Amerihkkáme|Davvi-Amerihkkáset|Davvi-Amerihkás|Davvi-Amerihkkát|Davvi-Amerihkát|Davvi-Amerihkkáska|Davvi-Amerihkkás	<i>name</i><br><ol><li>North America</li></ol>
Davvi-Korea	<i>name</i><br><ol><li>North Korea</li></ol>
Davvi-Norga|Davvi-Norgga|Davvi-Norggas|Davvi-Norgaska|Davvi-Norgat|Davvi-Norgaset|Davvi-Norgadet|Davvi-Norgamet|Davvi-Norgade|Davvi-Norggain|Davvi-Norgas|Davvi-Norgii|Davvi-Norgame|Davvi-Norgan	<i>name</i><br><ol><li>Northern Norway (a region of Norway)</li></ol>
Davvinjárga|Davvinjárgamet|Davvinjárgame|Davvinjárggas|Davvinjárgaset|Davvinjárggain|Davvinjárgaska|Davvinjárgade|Davvinjárgan|Davvinjárgadet|Davvinjárgga|Davvinjárgat|Davvinjárgas|Davvinjárgii	<i>name</i><br><ol><li>North Cape (a cape in Norway)</li><li>Nordkapp (a municipality of Norway)</li></ol>
