17. mai-tale|17. mai-taler|17. mai-talen|17. mai-talene	<i>noun</i><br><ol><li>speech held on the 17th of May (on the Constitution Day of Norway)</li></ol>
2A0	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A|A-en|a|a-ene|A-ene|A-er|a-en|a-er	<i>character</i><br><ol><li>The first letter of the Norwegian Bokmål alphabet, written in the Latin script.</li></ol><br><i>noun</i><br><ol><li>the letter A</li><li>(horology) symbol for avance</li><li>(physics) symbol for ampere</li><li>(physics) symbol for massetall (“nucleon number”)</li></ol>
A-dur|A-durer|A-durene|A-duren	<i>noun</i><br><ol><li>(music) A major</li></ol>
A-format|A-formata|A-formater|A-formatet|A-formatene	<i>noun</i><br><ol><li>standard paper format series based on the basic format A0 = 841 x 1189 mm and the surface content 1 m2, where each new format is half of the previous</li></ol>
A-klinikk|A-klinikkene|A-klinikken|A-klinikker	<i>noun</i><br><ol><li>a place of treatment for people with severe alcohol problems</li></ol>
A-lag|A-laga|A-laget|A-lagene	<i>noun</i><br><ol><li>Alternative letter-case form of a-lag</li></ol>
A-menneske|A-mennesker|A-menneskene|A-mennesket|A-menneska	<i>noun</i><br><ol><li>a morning person (a person who wakes up, without difficulty, early each morning and is alert and active during the first part of the day)</li><li>(obsolete, rare) a very healthy person</li></ol>
A-våpen|A-våpnene|A-våpna|A-våpenet	<i>noun</i><br><ol><li>Alternative letter-case form of a-våpen</li></ol>
A0	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A1	<i>noun</i><br><ol><li>A1 (a standard paper size, defined by ISO 216)</li></ol>
A10	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A2	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A3	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A3-ark|A3-arka|A3-arket|A3-arkene	<i>noun</i><br><ol><li>A piece of paper in the standard A3 format</li></ol>
A3-format|A3-formater|A3-formata|A3-formatet|A3-formatene	<i>noun</i><br><ol><li>A piece of paper in the standard A3 format</li></ol>
A3-papir|A3-papira|A3-papiret|A3-papirene|A3-papirer	<i>noun</i><br><ol><li>A piece of paper in the standard A3 format</li></ol>
A4|mest A4|mer A4	<i>noun</i><br><ol><li>(uncountable, often the first part of a compound noun) a standard paper size, defined by ISO 216.</li></ol><br><i>adj</i><br><ol><li>(colloquial, used in a compound noun, indicating that something is standard or unexciting)</li><li>(colloquial) being the typical, what one would expect, without deviating from the norm</li></ol>
A4-ark|A4-arka|A4-arket|A4-arkene	<i>noun</i><br><ol><li>A piece of paper in the standard A4 format</li></ol>
A4-format|A4-formatet|A4-formata|A4-formatene|A4-formater	<i>noun</i><br><ol><li>a piece of paper in the standard A4 format</li><li>(colloquial) unimaginative, uniform standard</li></ol>
A4-liv|A4-liva|A4-livet|A4-livene	<i>noun</i><br><ol><li>a person's life that's lived exactly as society would expect, with all that's expected and nothing outside the norm</li></ol>
A4-menneske|A4-menneska|A4-menneskene|A4-mennesker|A4-mennesket	<i>noun</i><br><ol><li>a person who lives a perfect, average life, and who does nothing one wouldn't expect from an average person</li></ol>
A4-papir|A4-papira|A4-papiret|A4-papirer|A4-papirene	<i>noun</i><br><ol><li>A piece of paper in the standard A4 format</li></ol>
A5	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A5-ark|A5-arkene|A5-arka|A5-arket	<i>noun</i><br><ol><li>A piece of paper in the standard A5 format</li></ol>
A5-format|A5-formatet|A5-formatene|A5-formata|A5-formater	<i>noun</i><br><ol><li>A piece of paper in the standard A5 format</li></ol>
A5-papir|A5-papiret|A5-papira|A5-papirer|A5-papirene	<i>noun</i><br><ol><li>A piece of paper in the standard A5 format</li></ol>
A6	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A8	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
A9	<i>noun</i><br><ol><li>A standard paper size, defined by ISO 216.</li></ol>
ABC|ABC-a|ABC-ene|ABC-en|ABC-er	<i>noun</i><br><ol><li>an ABC (a primer for teaching the Latin alphabet and first elements of reading and spelling)</li><li>(figuratively) basic knowledge of a subject</li><li>a textbook that contains elementary knowledge within a topic or subject</li><li>(rare) alphabet (the set of letters used when writing in a language)</li></ol><br><i>adj</i><br><ol><li>(weaponry) Initialism of atom-, biologisk and kjemisk: ("atomic, biological and chemical") the three main categories of weapons of mass destruction.</li><li>(geography) Initialism of Argentina, Brasil and Chile: ("Argentina, Brazil and Chile") the three richest countries in South America.</li></ol>
ABC-bok|ABC-bøkene|ABC-bøker|ABC-boken|ABC-boka	<i>noun</i><br><ol><li>Alternative letter-case form of abc-bok</li></ol>
ABC-krig|abc-krigene|ABC-krigen|abc-krig|ABC-krigene|abc-kriger|ABC-kriger|abc-krigen	<i>noun</i><br><ol><li>(military) a war where atomic, biological and chemical weapons are used</li></ol>
ABC-krigføring|abc-krigføring|ABC-krigføringa|ABC-krigføringene|abc-krigføringen|abc-krigføringa|ABC-krigføringer|ABC-krigføringen|abc-krigføringene|abc-krigføringer	<i>noun</i><br><ol><li>(military) atomic, biological and chemical weapons used in warfare</li></ol>
ABC-offiser|ABC-offiseren|ABC-offiserer|abc-offiseren|abc-offiserene|abc-offiser|abc-offiserer|ABC-offiserene	<i>noun</i><br><ol><li>(military) a professionally trained officer to lead defense against atomic, biological and chemical weapons for a department</li></ol>
ABC-område|ABC-områdene|ABC-området|abc-områdene|ABC-områda|abc-områder|abc-områda|abc-området|abc-område|ABC-områder	<i>noun</i><br><ol><li>(military) a field of study comprising of knowledge about atomic, biological and chemical weapons</li></ol>
ABC-statene	<i>noun</i><br><ol><li>ABC countries, ABC powers (the three states of Argentina, Brazil and Chile in South America)</li></ol>
ABC-vern|abc-vern|ABC-vernene|ABC-verna|abc-vernene|ABC-vernet|abc-vernet|abc-verna	<i>noun</i><br><ol><li>(military) protection against atomic, biological and chemical weapons</li></ol>
ABC-våpen|abc-våpenet|ABC-våpenet|ABC-våpnene|abc-våpen|abc-våpnene|ABC-våpna|abc-våpna	<i>noun</i><br><ol><li>(military) atomic, biological and chemical weapons</li></ol>
ABC-øyene	<i>noun</i><br><ol><li>ABC Islands, a common term for the three islands of Aruba, Bonaire and Curaçao in the Leeward Islands</li><li>a common term for the three islands of Admiralty Island, Baranof Island and Chichagof Island in Alaska, USA</li></ol>
AD|a.D.	<i>phrase</i><br><ol><li>Initialism of anno Domini (“Anno Domini”).</li></ol>
Abessinia	<i>name</i><br><ol><li>(historical) Abyssinia (a monarchy that spanned a geographical area in the current states of Ethiopia and Eritrea)</li></ol>
Abild	<i>name</i><br><ol><li>Abild (a town and parish of Tønder, Region of Southern Denmark, Denmark)</li><li>Abild (a village and parish of Falkenberg, Halland, Sweden)</li></ol>
Abkhasia	<i>name</i><br><ol><li>Abkhazia (a de facto republic in the Caucasus without international recognition)</li></ol>
Adam og Eva	<i>name</i><br><ol><li>Adam and Eve</li></ol>
Afghanistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika	<i>name</i><br><ol><li>Africa (continent south of Europe and the Middle East)</li></ol>
Agdenes	<i>name</i><br><ol><li>A municipality of Trøndelag, Norway, formerly in Sør-Trøndelag (until 1 January 2018).</li></ol>
Aiss|Aissene|Aisser|Aissen	<i>noun</i><br><ol><li>Alternative letter-case form of aiss</li></ol>
Akershus	<i>name</i><br><ol><li>A county of Norway</li></ol>
Akilles	<i>name</i><br><ol><li>Achilles (hero in Greek mythology)</li></ol>
Alaska	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
Albania	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Algerie	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Alpene	<i>name</i><br><ol><li>Alps (a mountain range in Western Europe)</li></ol>
Alstahaug	<i>name</i><br><ol><li>A municipality of Nordland, Norway</li></ol>
Alta	<i>name</i><br><ol><li>A town with bystatus and municipality of Finnmark, Norway</li></ol>
Alvdal	<i>name</i><br><ol><li>A municipality of Hedmark, Norway</li><li>A small town within the municipality which is its administrative centre</li></ol>
Alzheimers sykdom	<i>noun</i><br><ol><li>Alzheimer's disease</li></ol>
Amazonas	<i>name</i><br><ol><li>the Amazon, river in South America</li><li>Amazonas, a state in Brazil</li><li>Amazonas, a province in Colombia</li><li>Amazonas, a region in Peru</li><li>Amazonas, a state in Venezuela</li></ol>
Amerika	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>America, United States of America (a country in North America)</li></ol>
Amerikansk Samoa	<i>name</i><br><ol><li>American Samoa (an archipelago and overseas territory of the United States in Polynesia)</li></ol>
Amerikas forente stater	<i>name</i><br><ol><li>United States of America (a country in North America)</li></ol>
Andebu	<i>name</i><br><ol><li>A former municipality of Vestfold, Norway, which was merged into Sandefjord municipality on 1 January 2017.</li></ol>
Andesfjellene	<i>name</i><br><ol><li>the Andes Mountains</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a small country in Europe, between Spain and France)</li><li>Andorra (a neighborhood of Philadelphia, Pennsylvania, United States)</li><li>Andorra (a town, a municipality of Teruel, Aragon)</li></ol>
Andøy	<i>name</i><br><ol><li>A municipality in Vesterålen, Nordland, Norway</li></ol>
Angola	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Antarktika	<i>name</i><br><ol><li>Antarctica, the continent.</li></ol>
Antarktis	<i>name</i><br><ol><li>the Antarctic; the south polar region, which includes the continent of Antarctica</li></ol>
Antigua og Barbuda	<i>name</i><br><ol><li>Antigua and Barbuda (a country in the Caribbean)</li></ol>
Ap	<i>name</i><br><ol><li>(politics) Initialism of Arbeiderpartiet.</li></ol>
Apostlenes gjerninger	<i>name</i><br><ol><li>(Bible) Acts of the Apostles (fifth book of the New Testament)</li></ol>
Arabia	<i>name</i><br><ol><li>Arabia</li></ol>
Aralsjøen	<i>name</i><br><ol><li>Aral Sea (a saline lake straddling the Kazakhstan-Uzbekistan border)</li></ol>
Arendal	<i>name</i><br><ol><li>Arendal (a municipality, an urban area and city in Agder, Norway)</li></ol>
Argentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
