1. mai-demonstrasjon|1. mai-demonstrasjonen|1. mai-demonstrasjonane|1. mai-demonstrasjonar	<i>noun</i><br><ol><li>a protest on Labour Day (1st of May)</li></ol>
17. mai-feiring|17. mai-feiringar|17. mai-feiringane|17. mai-feiringa	<i>noun</i><br><ol><li>celebration on the 17th of May (Constitution Day of Norway)</li></ol>
17. mai-sløyfe|17. mai-sløyfa|17. mai-sløyfene|17. mai-sløyfer	<i>noun</i><br><ol><li>a ribbon worn for the 17th of May (Constitution Day of Norway)</li></ol>
17. mai-tale|17. mai-talen|17. mai-tala|17. mai-talane|17. mai-talar|17. mai-taler|17. mai-talene	<i>noun</i><br><ol><li>speech held on the 17th of May (on the Constitution Day of Norway)</li></ol>
17. mai-tog|17. mai-toga|17. mai-toget	<i>noun</i><br><ol><li>a parade on the 17th of May (Constitution Day of Norway)</li></ol>
3D	<i>noun</i><br><ol><li>Abbreviation of tre dimensjonar (“three dimensions”).</li></ol>
A|A-en|a-ane|a|A-ane|a-en|a-ar|A-ar	<i>character</i><br><ol><li>The first letter of the Norwegian Nynorsk alphabet, written in the Latin script.</li></ol><br><i>noun</i><br><ol><li>letter A</li></ol>
A-dur|A-duren|A-durane|A-durar	<i>noun</i><br><ol><li>(music) A major</li></ol>
A-menneske|A-mennesket|A-menneska	<i>noun</i><br><ol><li>morning person</li></ol>
A4|mest A4|meir A4	<i>adj</i><br><ol><li>A standard paper paper size that's in common use</li><li>Being the typical, what one would expect, without deviating from the norm, average.</li></ol>
A4-ark|A4-arka|A4-arket	<i>noun</i><br><ol><li>A piece of paper in the standard A4 format</li></ol>
A4-liv|A4-liva|A4-livet	<i>noun</i><br><ol><li>A person's life that's lived exactly as society would expect, with all that's expected and nothing outside the norm.</li></ol>
A4-menneske|A4-menneska|A4-mennesket	<i>noun</i><br><ol><li>A person who lives a perfect, average life, and who does nothing one wouldn't expect from an average person.</li></ol>
ABC|ABC-ene|ABC-a|ABC-er	<i>noun</i><br><ol><li>ABC (often in book form), alphabet</li></ol>
AS	<i>noun</i><br><ol><li>(law) initialism of aksjeselskap.</li></ol>
AUF-ar|AUF-arar|AUF-aren|AUF-arane	<i>noun</i><br><ol><li>member of AUF, the youth organization of the Norwegian Labour Party</li></ol>
Aa|Aaerna	<i>noun</i><br><ol><li>obsolete typography of å</li></ol>
Abessinia	<i>name</i><br><ol><li>Abyssinia</li></ol>
Abkhasia	<i>name</i><br><ol><li>Abkhazia (a de facto republic in the Caucasus without international recognition)</li></ol>
Adam og Eva	<i>name</i><br><ol><li>Adam and Eve</li></ol>
Afghanistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afrika	<i>name</i><br><ol><li>Africa (continent)</li></ol>
Agdenes	<i>name</i><br><ol><li>A municipality of Trøndelag, Norway, formerly in Sør-Trøndelag (until 1 January 2018).</li></ol>
Aiss|Aissane|Aissar|Aissen	<i>noun</i><br><ol><li>Alternative letter-case form of aiss</li></ol>
Akershus	<i>name</i><br><ol><li>A county of Norway</li></ol>
Alaska	<i>name</i><br><ol><li>Alaska (a state of the United States)</li></ol>
Albania	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Algerie	<i>name</i><br><ol><li>Algeria (a country in Africa)</li></ol>
Alpane	<i>name</i><br><ol><li>Alps (a mountain range in Western Europe)</li></ol>
Alstahaug	<i>name</i><br><ol><li>A municipality of Nordland, Norway</li></ol>
Alta	<i>name</i><br><ol><li>A town with bystatus and municipality of Finnmark, Norway</li></ol>
Alvdal	<i>name</i><br><ol><li>A municipality of Hedmark, Norway</li><li>A small town within the municipality which is its administrative centre</li></ol>
Amerika	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>America, United States of America (a country in North America)</li></ol>
Amerikansk Samoa	<i>name</i><br><ol><li>American Samoa (an archipelago and overseas territory of the United States in Polynesia)</li></ol>
Andebu	<i>name</i><br><ol><li>A former municipality of Vestfold, Norway, which was merged into Sandefjord municipality on 1 January 2017.</li></ol>
Andorra	<i>name</i><br><ol><li>Andorra (a country in Europe)</li></ol>
Andøy	<i>name</i><br><ol><li>A municipality in Vesterålen, Nordland, Norway</li></ol>
Angola	<i>name</i><br><ol><li>Angola (a country in Africa)</li></ol>
Antarktika	<i>name</i><br><ol><li>Antarctica, the continent.</li></ol>
Antarktis	<i>name</i><br><ol><li>the Antarctic; the south polar region, which includes the continent of Antarctica</li></ol>
Antigua og Barbuda	<i>name</i><br><ol><li>Antigua and Barbuda (a country in the Caribbean)</li></ol>
Ap	<i>name</i><br><ol><li>(politics) Initialism of Arbeidarpartiet.</li></ol>
Arabia	<i>name</i><br><ol><li>Arabia</li></ol>
Aralsjøen	<i>name</i><br><ol><li>Aral Sea (a saline lake straddling the Kazakhstan-Uzbekistan border)</li></ol>
Arbeidarpartiet|Arbeidarparti	<i>name</i><br><ol><li>(politics) the Norwegian Labour Party</li></ol>
Arendal	<i>name</i><br><ol><li>A town with bystatus and municipality of Aust-Agder, Norway</li></ol>
Argentina	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Aristoteles	<i>name</i><br><ol><li>Aristotle</li></ol>
Arkhangelsk	<i>name</i><br><ol><li>Arkhangelsk (an oblast of Russia)</li><li>Arkhangelsk (a city, the administrative center of Arkhangelsk Oblast, Russia)</li></ol>
Arktis	<i>name</i><br><ol><li>the Arctic (as above)</li></ol>
Armenia	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Aruba	<i>name</i><br><ol><li>Aruba (an island, a dependent territory and constituent country of the Netherlands, in the Caribbean Sea)</li></ol>
Aserbajdsjan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Ask	<i>name</i><br><ol><li>(Norse mythology) Ask, the first male human according to the Poetic Edda</li></ol>
Askepott	<i>name</i><br><ol><li>Cinderella</li></ol>
Asker	<i>name</i><br><ol><li>A municipality of Akershus, Norway</li></ol>
Askim	<i>name</i><br><ol><li>A town with bystatus and municipality of Østfold, Norway</li></ol>
Ass|Assar|Assane|Assen	<i>noun</i><br><ol><li>Alternative letter-case form of ass</li></ol>
Assyria	<i>name</i><br><ol><li>Assyria</li></ol>
