Anishinaabe|Anishinaabeg|ᐊᓂᔑᓈᐯᒃ|syllabics spelling ᐊᓂᔑᓈᐯᒃ	<i>noun</i><br><ol><li>an Ojibwe</li><li>an Indian, a Native, an Aboriginal</li><li>a person, a human, a man</li></ol>
Gakaabikaang	<i>name</i><br><ol><li>Minneapolis, Minnesota</li></ol>
aabaabiigin|ayaabaabiiginaad	<i>verb</i><br><ol><li>to unravel</li><li>to unwind</li></ol>
aabaabiiginan	<i>verb</i><br><ol><li>to unravel</li><li>to unwind</li></ol>
aabajitoon|form aayaabajitoon|ayaabajitood	<i>verb</i><br><ol><li>use</li></ol>
aabaʼ	<i>verb</i><br><ol><li>loosen</li><li>undo</li><li>unharness</li><li>unswaddle</li><li>untie</li></ol>
aabiding	<i>adv</i><br><ol><li>once, one time</li></ol>
aabita	<i>adv</i><br><ol><li>half</li></ol>
aabita-niibino-giizis	<i>noun</i><br><ol><li>July (month)</li></ol>
aabitaa-biboon|aabitaa-biboonzinini|aabitaa-biboonini|aabitaa-biboonzinoon|aabitaa-biboonzinog|aabitaa-biboong|aabitaa-bibooninig|aabitaa-biboonzininig	<i>verb</i><br><ol><li>it is midwinter</li></ol>
aabitoose|aabitooseni|aabitoosesininig|aabitoosesinini|aabitoosesinog|aabitoosesinoon|aabitoosenig|aabitooseg	<i>verb</i><br><ol><li>it’s Wednesday (literally, "midweek")</li></ol>
aaboodaashi|aaboodaashising|aaboodaashiyeg|nindaaboodaashisii|aaboodaashiyaan|aaboodaashisiwaad|aaboodaashisiwaan|siwing|aaboodaashisii|aaboodaashiyaang|aaboodaashisiwang|aaboodaashid|aaboodaashisiin|nindaaboodaashimin|siwin|sinig|aaboodaashiyan|nindaaboodaashisiimin|aaboodaashisiiwag|aaboodaashisiim|nindaaboodaash|gidaaboodaashisiin|aaboodaashinid|gidaaboodaashim|aaboodaashisiwaang|aaboodaashisiwan|aaboodaashisinid|aaboodaashisig|aaboodaashim|aaboodaashisiweg|gidaaboodaash|aaboodaashiyang|aaboodaashiwaad|gidaaboodaashisiimin|aaboodaashing|nindaaboodaashisiin|aaboodaashiwag|aaboodaashiwan|gidaaboodaashisii|ying|yin|gidaaboodaashisiim|aaboodaashisiiwan|gidaaboodaashimin	<i>verb</i><br><ol><li>(to have somebody or something animate) be flipped over by the wind</li></ol>
aaboodaasin|aaboodaasinini|aaboodaasininig|aaboodaasing|aaboodaasinzinoon|aaboodaasinzinini|aaboodaasinoon|aaboodaasinzininiwan|aaboodaasininiwan|aaboodaasinzinog|aaboodaasinzininig	<i>verb</i><br><ol><li>(something inanimate) is flipped over by the wind</li></ol>
aagim|aagimag	<i>noun</i><br><ol><li>snowshoe</li></ol>
aagimaak|aagimaakwag	<i>noun</i><br><ol><li>ash (tree)</li><li>black ash (Fraxinus nigra)</li><li>red ash (Fraxinus pennsylvanica)</li></ol>
aakozi|gidaakozisiin|aakoziyaang|nindaakozimin|aakozisiiwan|aakozid|aakozisiwaan|aakoziyan|aakozisiiwag|nindaakozisiin|form aayaakozid|aakozisiwaang|gidaakoz|aakoziwan|aakozisig|siwing|siwin|sinig|gidaakozisii|aakoziyang|aakozim|aakoziwag|aakozising|aakozing|aakozinid|aakozisinid|gidaakozimin|ayaakozid|nindaakoz|aakozisiwang|aakozisiweg|aakozisiim|aakozisiin|nindaakozisii|aakoziyaan|gidaakozim|aakozisii|aakoziwaad|gidaakozisiim|aakozisiwaad|gidaakozisiimin|ying|aakoziyeg|nindaakozisiimin|aakozisiwan|yin	<i>verb</i><br><ol><li>be sick</li></ol>
aakoziwin|aakoziwinan	<i>noun</i><br><ol><li>sickness</li></ol>
aamoo|syllabics spelling ᐋᒨᒃ|aamoog	<i>noun</i><br><ol><li>bee, wasp</li></ol>
aanakwad|aanakwadoon|aanakwadoons|aanakwadong	<i>noun</i><br><ol><li>cloud</li></ol>
aanawi	<i>adv</i><br><ol><li>anyhow</li><li>although, despite</li><li>but</li></ol>
aandeg|aandegwag	<i>noun</i><br><ol><li>crow</li></ol>
aandego-giizis|aandego-giizisoog	<i>noun</i><br><ol><li>March (month)</li></ol>
aandegobag|aandegobagoon	<i>noun</i><br><ol><li>hedge-nettle</li></ol>
aandegopin|aandegopiniig	<i>noun</i><br><ol><li>bugleweed</li><li>crowberry</li></ol>
aandi	<i>adv</i><br><ol><li>where</li></ol>
aaniin	<i>adv</i><br><ol><li>how?</li><li>in what way?</li><li>why?</li></ol><br><i>particle</i><br><ol><li>greetings!, hello!, hi!</li></ol>
aaniin apii	<i>adv</i><br><ol><li>when</li></ol>
aaniin dash	<i>adv</i><br><ol><li>why?</li></ol>
aaniin endaso-biboonagiziyan	<i>phrase</i><br><ol><li>how old are you?</li></ol>
aaniin ezhinikaazoyan	<i>phrase</i><br><ol><li>what's your name?</li></ol>
aaniindi	<i>adv</i><br><ol><li>where (emphatic)</li></ol>
aaniish	<i>adv</i><br><ol><li>how?; why?; in what way?; what?; which?; where?</li><li>just, just this way, thus</li></ol><br><i>intj</i><br><ol><li>of course</li><li>well now; well now, you see</li></ol>
aaniish naa	<i>phrase</i><br><ol><li>you see; well then; well now; well; that is</li><li>how</li><li>why?!</li><li>what in the world!</li><li>how are you? (as greeting only)</li></ol>
aanikanootan	<i>verb</i><br><ol><li>translate</li><li>interpret</li></ol>
aanind	<i>adv</i><br><ol><li>some</li></ol>
aanish	<i>intj</i><br><ol><li>well then, of course, you see</li></ol>
aapiji	<i>adv</i><br><ol><li>right, eminently, entirely, exactly, exceedingly, extremely, much, perfectly, quite, really, truly, very</li></ol>
aasaakamig|aasaakamigoon	<i>noun</i><br><ol><li>moss</li></ol>
aasamaabik	<i>adv</i><br><ol><li>on the rock cut, on the rock face</li></ol>
aateʼishkodawewinini	<i>noun</i><br><ol><li>fireman</li></ol>
aawadaasoowidaabaan	<i>noun</i><br><ol><li>truck</li></ol>
aawan|aawaniniwan|aawang|ayaawang|aawanoon|aawanzinini|aawanzininig|aawaninig|aawanzinoon|aawanzininiwan|aawanini|aawanzinog	<i>verb</i><br><ol><li>be (a certain thing)</li></ol>
aawi|aawid|aawising|nindaawisii|aawisiiwan|aawisiwaan|aawiyan|gidaawim|aawiwag|aawiyang|aawiyeg|aawiyaang|aawisiin|nindaaw|nindaawisiin|aawisig|aawisiim|gidaawisiin|aawisiwaang|siwing|gidaawisiim|aawiwaad|siwin|sinig|gidaaw|nindaawisiimin|aawisiiwag|aawiyaan|aawisiweg|gidaawisiimin|aawinid|aawisii|gidaawisii|aawing|nindaawimin|aawiwan|aawisiwang|gidaawimin|aawim|ying|aawisiwaad|aawisinid|ayaawid|yin|aawisiwan	<i>verb</i><br><ol><li>be (a certain thing or being)</li></ol>
aazhawaʼoodoon	<i>noun</i><br><ol><li>ferry</li></ol>
abi|abisiwang|abisiiwag|gidabisiim|nindabisiimin|abising|abiyaang|nindabisii|nindabisiin|nindabimin|abiwan|abiyan|abiwaad|abisiwaad|gidabisii|abisii|gidabisiimin|abisiweg|siwing|ebid|siwin|sinig|nindab|abisig|abing|abiyang|abinid|abisiim|abiyeg|form ayabi|abisiwaan|abisiiwan|gidabisiin|abiwag|abisiin|gidabim|abiyaan|abisiwan|gidab|abim|gidabimin|abid|ying|abisiwaang|yin|abisinid	<i>verb</i><br><ol><li>be at home</li><li>sit in (a certain place)</li></ol>
abinoojiinh|abinoojiiyens|abinoojiins|abinoojiinyag	<i>noun</i><br><ol><li>child</li></ol>
abinoojiiyens	<i>noun</i><br><ol><li>baby</li></ol>
abwaan|abwaanan	<i>noun</i><br><ol><li>roasted meat</li></ol>
abwe|abweyang|gidabwem|abwesiwang|abwesiwaad|abwewag|abwesiiwag|nindabwesiimin|siwing|abwesiim|abwesiweg|nindabwesiin|gidabwesiim|siwin|sinig|abwesiwaan|abwesii|abwenid|abweyaang|abweyan|abwesig|abweyeg|nindabwe|abwewan|abwem|abwesiwan|gidabwesii|abwesiin|gidabwe|abwesing|gidabwesiimin|abwesinid|nindabwesii|gidabwemin|abwesiwaang|ying|nindabwemin|abweng|abwewaad|abweyaan|yin|gidabwesiin|abwesiiwan|abwed	<i>verb</i><br><ol><li>S/he roasts, cooks over a fire, roasts meat over an open fire</li></ol>
achigaade|achigaadeniwan|achigaadesininig|achigaadesinog|echigaadeg|achigaadeni|achigaadeg|achigaademagad|achigaadesinoon|form ayachigaade|achigaadesininiwan|achigaadesinini|achigaadenig|achigaadewan	<i>verb</i><br><ol><li>be put in a certain place (by someone), "they" put (it) in a certain place</li></ol>
achigaazo|achigaazosii|gidachigaazosii|gidachigaazom|achigaazosiiwag|gidachigaazosiin|achigaazosiwaang|achigaazonid|achigaazosiin|achigaazosig|achigaazoyeg|achigaazosiwang|nindachigaaz|achigaazoyaang|achigaazoyan|achigaazosiwan|siwing|nindachigaazosii|achigaazowag|form ayachigaazo|nindachigaazosiin|gidachigaazosiim|siwin|echigaazod|achigaazom|sinig|nindachigaazomin|achigaazowaad|achigaazosing|nindachigaazosiimin|achigaazoyaan|gidachigaaz|gidachigaazomin|achigaazowan|achigaazosiiwan|gidachigaazosiimin|achigaazosiim|achigaazosiwaan|achigaazosinid|achigaazod|achigaazosiwaad|achigaazong|achigaazoyang|ying|yin|achigaazosiweg	<i>verb</i><br><ol><li>be put in a certain place (by someone), "they" put (him/her) in a certain place</li></ol>
achige|achigeyaang|achigenid|gidachigesiim|achigesiwaad|form ayachige|nindachigesiin|nindachige|gidachigesii|achigesiwaan|achigesii|achigesiiwag|gidachigesiimin|achigeng|achigesing|nindachigemin|nindachigesiimin|achigeyan|siwing|achigesiin|achigeyang|achigesiim|siwin|sinig|achigesiwaang|achigesinid|achigesig|gidachigem|gidachigesiin|achigesiwang|achigewaad|achigesiiwan|gidachige|achigeyeg|gidachigemin|achigesiweg|achigewan|nindachigesii|achigeyaan|achigewag|ying|achiged|echiged|achigesiwan|yin|achigem	<i>verb</i><br><ol><li>put (things) in a certain place</li><li>bet, place a bet</li></ol>
adik|adikong|adikoons|adikosh|adikwag	<i>noun</i><br><ol><li>caribou, reindeer (Rangifer tarandus)</li></ol>
adisigan|adisiganan	<i>noun</i><br><ol><li>dye</li></ol>
agaamindesi	<i>adv</i><br><ol><li>on the other side of the lodge (across the fire)</li></ol>
agaamindesiing	<i>adv</i><br><ol><li>on the other side of the lodge (across the fire)</li></ol>
agaamishkode	<i>adv</i><br><ol><li>on the other side of the fire, across the fire</li></ol>
