'njiyun	<i>romanization</i><br><ol><li>Rōmaji transcription of っんじゆん</li></ol>
'nmaribī	<i>romanization</i><br><ol><li>Rōmaji transcription of っんまりびー</li></ol>
'wījun	<i>romanization</i><br><ol><li>Rōmaji transcription of っゐーじゅん</li></ol>
Betonamu	<i>romanization</i><br><ol><li>Rōmaji transcription of ベトナム</li></ol>
Fuchan	<i>romanization</i><br><ol><li>Rōmaji transcription of ふちゃん</li><li>Rōmaji transcription of フチャン</li></ol>
Furanshi	<i>romanization</i><br><ol><li>Rōmaji transcription of フランシ</li></ol>
Kagushima	<i>romanization</i><br><ol><li>Rōmaji transcription of かぐしま</li></ol>
Kwantun	<i>romanization</i><br><ol><li>Rōmaji transcription of くゎんとぅん</li><li>Rōmaji transcription of クヮントゥン</li></ol>
Mongoru	<i>romanization</i><br><ol><li>Rōmaji transcription of モンゴル</li></ol>
Uchinā	<i>romanization</i><br><ol><li>Rōmaji transcription of うちなー</li></ol>
Uchināguchi	<i>romanization</i><br><ol><li>Rōmaji transcription of うちなーぐち</li></ol>
Yamatu	<i>romanization</i><br><ol><li>Rōmaji transcription of やまとぅ</li></ol>
achi	<i>romanization</i><br><ol><li>Rōmaji transcription of あち</li></ol>
aka	<i>romanization</i><br><ol><li>Rōmaji transcription of あか</li></ol>
angwā	<i>romanization</i><br><ol><li>Rōmaji transcription of あんぐゎー</li></ol>
ashi	<i>romanization</i><br><ol><li>Rōmaji transcription of あし</li></ol>
bushi	<i>romanization</i><br><ol><li>Rōmaji transcription of ぶし</li></ol>
fuyu	<i>romanization</i><br><ol><li>Rōmaji transcription of ふゆ</li></ol>
gōburēki	<i>romanization</i><br><ol><li>Rōmaji transcription of ゴーブレーキ</li></ol>
hachā	<i>romanization</i><br><ol><li>Rōmaji transcription of はちゃー</li></ol>
hai	<i>romanization</i><br><ol><li>Rōmaji transcription of はい</li></ol>
haisai	<i>romanization</i><br><ol><li>Rōmaji transcription of はいさい</li></ol>
haitai	
