Աբրահամ|Abraam|u-type|Աբրաամ|Աբրաամէ|Աբրահամու|Աբրահամէ|Աբրաամու|Abraham	<i>name</i><br><ol><li>(biblical) Abraham</li></ol>
Աբրամ|Աբրամէ|Abram|u-type|Աբրամու	<i>name</i><br><ol><li>Abram (biblical character)</li></ol>
Ագամեմնոն|i-type|Ագամեմնոնիւ|Ագամեմնոնէ|Ագամեմնոնի|Agamemnon	<i>name</i><br><ol><li>(Greek mythology) Agamemnon</li></ol>
Ագրիպպաս|a-type|Ագրիպպայ|Agrippas|Ագրիպպաւ	<i>name</i><br><ol><li>(biblical) Agrippa</li></ol>
Ադամ|a-type|Ադամայ|Adam|Ադամաւ	<i>name</i><br><ol><li>(biblical) Adam</li></ol>
Աժդահակ|Աժդահակայ|a-type|Աժդահակաւ|Aždahak	<i>name</i><br><ol><li>(Armenian mythology) Azhdahak</li><li>(historical) Astyages</li></ol>
Ալանք|Ալանս|Ալանաւք = Ալանօք (Alanawkʿ = Alanōkʿ)|a-type|Ալանաց|Alankʿ	<i>name</i><br><ol><li>(historical) country of the Alans</li></ol>
Ախուրեան|Ախուրենաւ|a-type|Axurean|Ախուրենայ	<i>name</i><br><ol><li>Akhuryan (river)</li></ol>
Աղուան|Ałuan	<i>name</i><br><ol><li>Alazani (river in the Caucasus and main tributary of the Kura)</li></ol>
Աղուանք|i-type|Ałuankʿ|Աղուանիւք|Աղուանից|Աղուանս	<i>name</i><br><ol><li>Caucasian Albania</li></ol>
Անահիտ|Անահտէ|Անահտայ|Անահտաւ|a-type|Anahit|Անահտի	<i>name</i><br><ol><li>(Armenian mythology) Anahit</li><li>(Greek mythology) Aphrodite or Artemis</li><li>(Roman mythology) Diana or Venus</li></ol>
Անաքսագորաս|Անաքսագորաւ|Anakʿsagoras|a-type|Անաքսագորայ	<i>name</i><br><ol><li>Anaxagoras</li></ol>
Անաքսարքոս|Անաքսարքոսէ|Անաքսարքոսիւ|i-type|a-type|Anakʿsarkʿos|Անաքսարքեայ|Անաքսարքեաւ|Անաքսարքոսի	<i>name</i><br><ol><li>Anaxarchus</li></ol>
Անդրէաս|Անդրեաւ|Անդրեայ|Andrēas|a-type	<i>name</i><br><ol><li>(biblical) Andrew</li></ol>
Աննա|Աննայիւ|i-type|Աննայի|Աննաւ|Anna|a-type|Աննայէ|Աննայ	<i>name</i><br><ol><li>(biblical) Anna; Ann; Hannah</li></ol>
Ասենեթ|Ասանէթաւ|Ասանէթայ|Ասանեթաւ|Ասենեթաւ|Asanētʿ|a-type|Ասենեթայ|Asanetʿ|Ասանէթ|Asenetʿ|Ասանեթայ|Ասանեթ	<i>name</i><br><ol><li>Asenath</li></ol>
Ասիա|Ասիով|Ասիայ|o-type|Ասիաւ|Ասիոյ|a-type|Asia	<i>name</i><br><ol><li>Asia Minor</li><li>Asia</li></ol>
Ասորեստան|Ասորեստանաւ|Ասորեստանեաւ|Ասորեստանի|Ասորեստանւոյ|o-type|a-type|Asorestan|Ասորեստանոյ|Ասորեստանէ|Ասորեստանով	<i>name</i><br><ol><li>Assyria</li></ol>
Ասորիք|Ասորիս|Asorikʿ|Ասորեաւք = Ասորեօք (Asoreawkʿ = Asoreōkʿ)|o-type|a-type|Ասորւոց|Ասորւովք|Ասորեաց|Ասորս	<i>name</i><br><ol><li>(historical) Syria</li></ol>
Ասպահան|Ասպահանայ|Ասպահանէ|u-type|Ասպահանաւ|Aspahan|a-type|Ասպահանու	<i>name</i><br><ol><li>Isfahan (the capital city of modern Isfahan Province, Iran)</li></ol>
Աստղիկ|Աստղկամբ|Աստղկանէ|Աստղկան|n-type|Astłik|Աստղկաւ|a-type|Աստղկայ	<i>name</i><br><ol><li>(Armenian mythology) Astghik</li><li>(Greek mythology, Roman mythology) Aphrodite, Venus</li><li>(astronomy) planet Venus; the morning star</li></ol>
Արա|i-type|Արայէ|Ara|Արայիւ|Արայի	<i>name</i><br><ol><li>(Armenian mythology) a mythical king of Armenia known as Արա Գեղեցիկ (Ara Gełecʿik), Ara the Beautiful</li><li>a constellation</li></ol>
Արածանի|Արածանւով|Արածանւոյ|o-type|Aracani	<i>noun</i><br><ol><li>Eastern Euphrates, Aratsani, Murat (a river in Armenia)</li></ol>
Արամազդ|Aramazd|a-type|Արամազդաւ|Արամազդայ	<i>name</i><br><ol><li>(Armenian mythology) Aramazd</li></ol>
Արարատ|Արարատայ|a-type|Ararat|Արարատաւ	<i>name</i><br><ol><li>(biblical) Ararat</li></ol>
Արեգ քաղաք|Areg kʿałakʿ	<i>name</i><br><ol><li>Heliopolis (an ancient city in Lower Egypt, near modern Cairo, Egypt)</li></ol>
Արիստոտէլ|i-type|Aristotēl|Արիստոտէլէ|Արիստոտելէ|Արիստոտէլի|Արիստոտելիւ|Արիստոտէլիւ|Արիստոտելի	<i>name</i><br><ol><li>Aristotle</li></ol>
Արիստոփանէս|Արսիստոփանեաւ|Արսիստոփանեայ|a-type|Aristopʿanēs	<i>name</i><br><ol><li>Aristophanes</li></ol>
Արծրունի|Արծրունեաւք = Արծրունեօք (Arcruneawkʿ = Arcruneōkʿ)|Arcruni|Արծրունեաւ|Արծրունիք|a-type|Արծրունիս|Արծրունեաց|Արծրունւոյ	<i>name</i><br><ol><li>a member of the Artsruni noble family</li></ol>
Արհմն|Արհմնաւ|i-type|Arhmn|Արհմենի|Արհմնի|Արհմենէ|a-type|Արհմնէ|Արհմենայ|Արհմնայ|Արհմենաւ	<i>name</i><br><ol><li>(Zoroastrianism) Ahriman</li></ol>
Արշակունի|Արշակունիս|Արշակունեաց|Aršakuni|Արշակունեաւ|Արշակունիք|a-type|Արշակունւոյ|Արշակունեաւք = Արշակունեօք (Aršakuneawkʿ = Aršakuneōkʿ)	<i>name</i><br><ol><li>Arsacid</li></ol>
Արուսեակ|Aruseak|a-type|Արուսեկայ|Արուսեկաւ	<i>name</i><br><ol><li>Venus (planet); morning star; evening star</li><li>(figuratively) the Sun</li><li>(figuratively) John the Baptist; baptism</li><li>(figuratively) Lucifer (the devil)</li></ol>
Արտեմիս|Արտեմեայ|a-type|Artemis|Արտեմեաւ	<i>name</i><br><ol><li>(Greek mythology) Artemis</li></ol>
Արցախ|Արձախ|Արցախայ|Arcʿax|Արցախաւ|Արձախայ|a-type|Արձախաւ|Arjax	<i>noun</i><br><ol><li>Artsakh (one of the 15 provinces of Greater Armenia)</li></ol>
Աքիլլէս|Աքիւլլէս|Akʿiwllēs|Աքիլլեայ|Աքիւլլեաւ|a-type|Աքիլլեաւ|Աքիւլլեայ|Akʿillēs	<i>name</i><br><ol><li>(Greek mythology) Achilles</li></ol>
Բագրատունի|Բագրատունւոյ|Բագրատունեաց|Bagratuni|Բագրատունիք|Բագրատունեաւք = Բագրատունեօք (Bagratuneawkʿ = Bagratuneōkʿ)|a-type|Բագրատունիս|Բագրատունեաւ	<i>name</i><br><ol><li>Bagratid</li></ol>
Բէլ|Բելաւ|Bēl|Բէլայ|Բէլաւ|a-type|Բելայ	<i>name</i><br><ol><li>(Armenian mythology) Bel (evil giant ruler of Babylon, defeated by Hayk)</li><li>(biblical) Bel (a Babylonian deity)</li></ol>
Բոսոր|Բոսորայ|Bosor|a-type|Բոսորաւ	<i>name</i><br><ol><li>Bozrah</li></ol>
Գաբրիէլ|Գաբրիէլէ|i-type|Gabriēl|Գաբրիէլիւ|Գաբրիէլի	<i>name</i><br><ol><li>(biblical) Gabriel</li></ol>
Գալիլեա|Գալիլիա|Գալիլեաւ|Galilia|Գալիլեայ|Galilea|a-type	<i>name</i><br><ol><li>Galilee</li></ol>
Գաղիանոս|Գաղիանոսէ|i-type|Gałianos|Գաղիանոսիւ|Գաղիանոսի	<i>name</i><br><ol><li>Galen (ancient Greek physician)</li></ol>
Գաղինոս|Gałinos	<i>name</i><br><ol><li>Gallienus</li></ol>
Գամիրք|Գամիրս|Gamirkʿ|Գամրաց|a-type|Գամրաւք = Գամրօք (Gamrawkʿ = Gamrōkʿ)	<i>name</i><br><ol><li>Cappadocia</li></ol>
Գերմանիա|Գերմանիայ|o-type|a-type|Գերմանիով|Գերմանիաւ|Գերմանիոյ|Germania	<i>name</i><br><ol><li>Germania, Germany</li></ol>
Գողգոթա|Գողգոթաւ|a-type|Գողգոթայ|Gołgotʿa	<i>name</i><br><ol><li>(biblical) Golgotha, Calvary</li></ol>
Գուգարք|Գուգարաց|Գուգարաւք = Գուգարօք (Gugarawkʿ = Gugarōkʿ)|a-type|Գուգարս|Gugarkʿ	<i>name</i><br><ol><li>Gugark</li></ol>
Դամասկոս|i-type|Damaskos|Դամասկոսիւ|Դամասկոսի|a-type|Դամասկոսէ|Դամասկեայ|Դամասկեաւ	<i>name</i><br><ol><li>Damascus (an ancient city in Western Asia)</li></ol>
Դատոյեան|Դատոյենաւ|Datoyean|a-type|Դատոյենայ	<i>name</i><br><ol><li>Datoyean (the name of the commander of the Sassanian Persian army which invaded Armenia in c. 604/605)</li></ol>
Դարեհ|i-type|Դարեհէ|Դարեհիւ|Dareh|Դարեհի	<i>name</i><br><ol><li>Darius</li></ol>
Դաւիթ|Դաւթայ|i-type|Դաւթաւ|Dawitʿ|Դաւթէ|Դաւթիւ|a-type|Դաւթի	<i>name</i><br><ol><li>David (Biblical figure)</li></ol>
Դեմոկրիտոս|Դեմոկրիտեաւ|i-type|Demokritos|Դեմոկրիտեայ|Դեմոկրիտոսի|a-type|Դեմոկրիտոսէ	<i>name</i><br><ol><li>Democritus</li></ol>
Դիոգինէս|Diogenēs|a-type|Dioginēs|Դիոգենէս|Դիոգինեայ|Դիոգինեաւ	<i>name</i><br><ol><li>Diogenes</li></ol>
Դիոկղետիանոս|i-type|Դիոկղետիանոսէ|Diokłetianos|Դիոկղետիանոսի|Դիոկղետիանոսիւ	<i>name</i><br><ol><li>Diocletian</li></ol>
