А|а|a|ⰰ	<i>character</i><br><ol><li>A letter of the Old Church Slavonic alphabet, called азъ (azŭ), and written in the Old Cyrillic script.</li></ol>
Ареи|Арисома|Арисе|Arei|Арисомь|Arisŭ|Арисꙑ|Арисомъ|Ареѥмь|Ареѩ|Ареꙗ|Ареѥма|Арисоу|Areja|Ареихъ|Ариса|Арисѣхъ|Ареѥмъ|Арею|Ариси|Арисѣ|Арисъ	<i>noun</i><br><ol><li>The planet Mars</li></ol>
Арисъ|Арисоу|Арисома|Arisŭ|Арисꙑ|Арисомъ|Ариса|Ариси|Арисомь|Арисе|Арисѣ|Арисѣхъ	<i>name</i><br><ol><li>the Greek god Ares</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>A letter of the Old Church Slavonic alphabet, called боукꙑ (buky), and written in the Old Cyrillic script.</li></ol>
В|в|v|V	<i>character</i><br><ol><li>A letter of the Old Church Slavonic alphabet, called вѣдѣ (vědě), and written in the Old Cyrillic script.</li></ol>
Вечерьница|вечерьницъ|вечерьница|вечерьницоѭ|вечерьницоу|вечерьницами|вечерьницахъ|Večerĭnica|вечерьницамъ|вечерьницꙑ|вечерьницѣ|вечерьницо|вечерьницама|вечерьницѫ	<i>noun</i><br><ol><li>the morning star, the planet Venus</li></ol>
Г|г|g	<i>character</i><br><ol><li>A letter of the Old Church Slavonic alphabet, called глаголи (glagoli), and written in the Old Cyrillic script.</li></ol>
Диꙗ|Диѭ|Диꙗхъ|Дии|Диꙗми|Diję|Диѥѭ|Диѩ|Диꙗма|Диꙗмъ|Диѥ|Дию|Dija	<i>noun</i><br><ol><li>The planet Jupiter</li></ol>
Дьньница|дьньницеѭ|дьньницамъ|дьньнице|дьньницама|дьньницахъ|дьньница|дьньницѫ|Dĭnĭnica|дьньницами|дьньницоу|дьньницѧ|дьньници|дьньниць	<i>noun</i><br><ol><li>the morning star, the planet Venus</li></ol>
Ермии|Ермиси|Ермисоу|Ermii|Ермисомъ|Ермисъ|ермии|Ермисѣ|ермиихъ|Ермиса|Ермисомь|Ермисѣхъ|Ermisŭ|ермию|ермиѥмъ|Ермисома|Ермисꙑ|Ермисе|ермиѥмь|ермиѩ|ермиѥма|ермиꙗ	<i>noun</i><br><ol><li>The planet Mercury</li></ol>
Ермисъ|Ермисѣ|Ermisŭ|Ермисомъ|Ермиса|Ермиси|Ермисомь|Ермисома|Ермисꙑ|Ермисе|Ермисѣхъ|Ермисоу	<i>name</i><br><ol><li>the Greek god Hermes</li></ol>
Заходьнаꙗ ѕвѣзда|Zaxodĭnaja dzvězda	<i>noun</i><br><ol><li>the morning star, the planet Venus</li></ol>
Кронъ|кронъ|кроноу|крономъ|кронома|кронѣ|Kronŭ|крони|кроне|кронѣхъ|крономь|кронꙑ|крона	<i>noun</i><br><ol><li>The planet Saturn</li><li>the Titan Cronus</li></ol>
О|о|O|o	<i>character</i><br><ol><li>A letter.</li></ol>
Прѣходьница|прѣходьницъ|прѣходьницоѭ|прѣходьницахъ|прѣходьницо|прѣходьницꙑ|прѣходьницѫ|прѣходьницами|прѣходьница|прѣходьницама|прѣходьницѣ|прѣходьницоу|Prěxodĭnica|прѣходьницамъ	<i>noun</i><br><ol><li>the morning star, the planet Venus</li></ol>
а|a|ⰰ|А	<i>character</i><br><ol><li>A letter of the Old Church Slavonic alphabet, called азъ (azŭ), and written in the Old Cyrillic script.</li></ol><br><i>conj</i><br><ol><li>and</li><li>but</li></ol>
абиѥ|abije|abĭe|абьѥ|abĭje|abie|абие|абье	<i>adv</i><br><ol><li>immediately, at once</li></ol>
аблань|ablanĭ|jablanĭ|ꙗблань	<i>noun</i><br><ol><li>apple tree</li></ol>
аблъко|ⰰⰱⰾⱏⰽⱁ|аблъкꙑ|аблъкоу|аблъкомь|ablŭko|аблъкома|аблъкъ|аблъцѣхъ|аблъка|аблъцѣ|аблъкомъ	<i>noun</i><br><ol><li>apple</li></ol>
авити|авѥно|авимѣ|бихомъ|авѧщами|авьшами|авꙗахъ|авьшихъ|авѥнама|авьшиимь|бѫдѫ|авьшѫѭ|ѥсвѣ|бꙑлѣ ѥста|авимомь|авимоѭ|авьше|biste|авѥнаꙗ|авьшь|авѧщѧѩ|авь|авѥнꙑихъ|авьшемъ|авѧ|бѣаше|авѭ|авимꙑѩ|авимаѥго|бꙑла ѥстъ|авѥнома|авѧщамъ|авимами|ависте|ꙗвита|авꙗаше|авѧще|ѥси|авѧщю|авихъ|авилa|бѫдевѣ|авимахъ|авьшамъ|авимии|авѥнaѥго|авитъ|ѥста|бѫдете|авимоу|авимоуѥмоу|бѣ|авѥнѣ|ꙗвитъ|авимомъ|авѥнамъ|авиховѣ|би|авимо|авимѫ|бꙑлꙑ ѥсте|ѥстъ|авьшиимъ|авихомъ|авѧщьи|авѥноѭ|бѫдемъ|авьшиима|бѣахомъ|ꙗвѭ|авимѣѥмь|авѥномъ|jestŭ|авѥнии|bimŭ|авимоую|авꙗахѫ|bixomŭ|бѣахъ|бꙑлъ ѥстъ|бꙑла ѥси|авѥнахъ|авьшеѥ|авѧщеѥ|авимꙑимъ|авьши|бꙑли ѥсте|авѥноѥ|авꙗашета|авѧщь|бꙑла ѥсмь|авѧщиима|авѧщахъ|авѧщаꙗ|авилѣ|авꙗаховѣ|бꙑла ѥсвѣ|авꙗашете|бимъ|авьшии|авьшеѭ|авѥнѫѭ|авиши|авѧщемъ|авѧщихъ|авѧщема|авѧщѫѭ|бѣахѫ|бѣховѣ|авѥнꙑ|бѫдетъ|авѥнами|авимѣхъ|ꙗвивѣ|авимꙑихъ|авьшемь|авѥноую|aviti|авѧтъ|авилꙑ|авѧщиимъ|бꙑли сѫтъ|авѥноу|авѧщиими|авима|бѫ (бишѧ)|javiti|авѧщѧ|бꙑла ѥсте|авѥнъ|авѥни|авьшѧ|авѥнꙑима|бꙑлъ ѥси|бꙑла ѥста|авимaѥго|бꙑлѣ ѥсте|ꙗвѭтъ|бѫдѫтъ|авимꙑима|авьшеи|ѥсте|бѣсте|бꙑли ѥсмъ|авимꙑими|авьшю|авьшьи|авьшаꙗ|авимаꙗ|ꙗвиши|авимъ|авѥнꙑи|авьшюю|авила|ꙗвимъ|авѧща|сѫтъ|авѥна|авьи|авимꙑ|авѥнѫ|авили|авимамъ|авѧи|авьшема|авило|авѧщиимь|авимома|авьшиꙗ|бꙑлѣ ѥсвѣ|авѧщиихъ|авѥноуѥмоу|бимь|авѥнꙑими|авимѫѭ|авите|авꙗахомъ|бѣашета|авѧщама|авьшѫ|sǫtŭ|авимѣи|bǫtŭ|ⰱⱘⱅⱏ|авита|авѧщѫ|авѥномь|авѧщемь|авилъ|бꙑлꙑ сѫтъ|авѧщеи|бѣаховѣ|авѥнѣи|bi|авѥнꙑѩ|авѥнꙑимъ|бѣашете|авивѣ|ѥсмь|бꙑлъ ѥсмь|авими|авьшама|авьшахъ|авьшюѥмоу|авьшиими|авѧщи|ꙗвити|авѧщии|авьшѧѩ|авьшаѥго|бѣста|авишѧ|ѥсмъ|bimĭ|авѥнѣѥмь|авьша|бꙑлꙑ ѥсмъ|авимꙑи|бѫдета|авимꙑимь|авѥнаѥго|ависта|бисте|авѧщаѥго|авѧщеѭ|бѫдеши|авѧщюю|бѣхъ|авимоѥ|ави|авѧщиꙗ|бѣхомъ|авѥнѣхъ|авѧщюѥмоу|бивѣ|авѥнꙑимь|ꙗвите|биста|бѣшѧ|авимама|авьшиихъ	<i>verb</i><br><ol><li>(reflexive) to show</li><li>(reflexive) to appear</li></ol>
авьнъ|avĭnŭ	<i>adj</i><br><ol><li>obvious, apparent</li><li>clear</li></ol>
агарѣнинъ|агарѣнина|агарѣниноу|агарѣнинѣ|агарѣнъ|agarěninŭ|агарѣнинома|агарѣньмъ|агарѣнине|агарѣниномь|агарѣньхъ|агарѣнинови|агарѣне|агарѣнꙑ	<i>noun</i><br><ol><li>Hagrite, Hagarene</li></ol>
агньць|агньцѧ|jagnĭcĭ|ⱑⰳⱀⱐⱌⱐ|ꙗгньць|агньцемъ|агньцема|агньцемь|агньцю|agnĭcĭ|агньцоу|агньцихъ|ⰰⰳⱀⱐⱌⱐ|агньца|агньци	<i>noun</i><br><ol><li>lamb</li></ol>
агнѧ|агнѧтоу|ⰰⰳⱀⱔ|агнѧтъ|агнѧта|агнѧтьма|агнѧтьхъ|агнѧтьмь|агнѧтьмъ|агнѧти|агнѧтꙑ|agnę|агнѧте|агнѧтѣ	<i>noun</i><br><ol><li>lamb</li></ol>
агода|jagoda|agoda|ⱑⰳⱁⰴⰰ	<i>noun</i><br><ol><li>fruit</li></ol>
аг҃гл|ag҃gl	<i>noun</i><br><ol><li>(abbreviation) Alternative form of ангелъ (angelŭ)</li></ol>
адовъ|adovŭ	<i>noun</i><br><ol><li>hell</li></ol>
адовьскъ|adovĭskŭ	<i>adj</i><br><ol><li>hell's, infernal</li></ol>
адъ|adŭ	<i>noun</i><br><ol><li>hell, Hades, Sheol, the abode of the dead before the Last Judgement</li><li>(less commonly) hell, Gehenna, the abode of the damned after judgement</li></ol>
адьскъ|adĭskŭ	<i>adj</i><br><ol><li>hell's, infernal</li></ol>
азъ|своѥ|своѥмоу|наю|нꙑ|твоѭ|твоими|своимь|мѧ|моимъ|сѧ|нашѫ|насъ|мене|нашеѭ|моѥѭ|sebe|vašǐ|моихъ|нашѧ|твоꙗ|своѥѩ|твоѩ|своѥго|своѥѭ|нашемь|ми|tvoi|своѥи|твоимь|тѧ|vě|mene|своѭ|си|ва|нашь|своѥю|тебе|вама|тꙑ|namŭ|нашею|našǐ|нашеѩ|намъ|своѩ|себѣ|ⱅⱏⰺ|наши|vy|моѥго|моѥмоу|нашего|твоима|нашими|твоѥмь|моꙗ|вами|našimi|вꙑ|твоѥю|вашь|мꙑ|мъноѭ|тобоѭ|моимь|твоѥѭ|твоѥмоу|ваю|ⰰⰸⱏ|азъ|ти|моѥ|собоѭ|моѥмь|нашимъ|наше|твоѥѩ|свои|моѩ|нашемоу|наша|našego|нама|вамъ|своихъ|твоимъ|va|svoi|твоихъ|моѭ|azŭ|mojǐ|nama|ty|nami|тебѣ|твоѥго|нашимь|sę|твоѥи|vami|своими|моѥѩ|ⰲⱑ|моими|vama|tebe|своѥмь|своима|мои|моима|мьнѣ|нашихъ|вѣ|моѥи|на|васъ|moimi|нашима|твоѥ|своимъ|себе|нашеи|твои|моѥю|my|нами|своꙗ	<i>pron</i><br><ol><li>I</li></ol>
аице|аиць|аицоу|аицемь|aice|ⰰⰹⱌⰵ|аици|аицихъ|аицема|аица|аицемъ	<i>noun</i><br><ol><li>egg</li></ol>
акꙑ|aky	<i>conj</i><br><ol><li>as, like</li></ol>
алкати|алчєши|alkati|алчєта|алчємъ|алчѫтъ|алчѫ|алчєте|алчєвѣ|алчєтъ	<i>verb</i><br><ol><li>to starve</li></ol>
алпъ|алпоу|алпомь|алпѣ|алпе|алпома|алпи|алпомъ|алпꙑ|алпѣхъ|алпа|alpŭ	<i>noun</i><br><ol><li>(military) troop commander</li><li>(specifically) alp (in context of Turkic military organization)</li></ol>
алъдии|алъдьѩ|алъдиꙗхъ|alŭdii|алъдью|alŭdĭi|алъдьѭ|алъдиѥѭ|алъдьꙗма|алъдиѭ|алъдиꙗма|алъдьѥѭ|алъдьи|алъдьꙗхъ|алъдьꙗми|алъдиꙗми|алъдию|алъдьꙗмъ|алъдиѩ|алъдиꙗмъ	<i>noun</i><br><ol><li>boat</li><li>ship</li></ol>
алъдьи|алъдьѩ|алъдиꙗхъ|алъдью|alŭdii|alŭdĭi|алъдьѭ|алъдиѥѭ|алъдьꙗма|алъдиѭ|алъдиꙗма|алъдьѥѭ|алъдьꙗхъ|алъдии|алъдьꙗми|алъдиꙗми|алъдию|алъдьꙗмъ|алъдиѩ|алъдиꙗмъ	<i>noun</i><br><ol><li>boat</li><li>ship</li></ol>
алъкати|alŭkati	<i>verb</i><br><ol><li>to starve</li></ol>
алънии|алъниꙗми|alŭnii|алъниѥѭ|алъниѩ|алъньꙗмъ|алъньꙗхъ|алъниꙗма|alŭnĭi|алъньи|алъньѥѭ|алънию|алъниѭ|алънью|алъньꙗми|алъньꙗма|алъниꙗхъ|алъниꙗмъ|алъньѭ|алъньѩ	<i>noun</i><br><ol><li>doe, hind</li></ol>
алъньи|алънии|алъниꙗми|alŭnii|алъниѥѭ|алъниѩ|алъньꙗмъ|алъньꙗхъ|алъниꙗма|alŭnĭi|алъньѥѭ|алънию|алъниѭ|алънью|алъньꙗми|алъньꙗма|алъниꙗхъ|алъниꙗмъ|алъньѭ|алъньѩ	<i>noun</i><br><ol><li>doe, hind</li></ol>
алъчьнъ|alŭčĭnŭ	<i>adj</i><br><ol><li>hungry, starving</li></ol>
амемоурмнии|amemurmnĭi|амемоурмньꙗми|амемоурмньѭ|амемоурмньѥѭ|амемоурмньꙗхъ|amemurmnii|амемоурмнью|амемоурмниѥѭ|амемоурмниꙗми|амемоурмньꙗмъ|амемоурмньꙗма|амемоурмньи|амемоурмниѩ|амемоурмнию|амемоурмниꙗмъ|амемоурмниѭ|амемоурмниꙗма|амемоурмньѩ|амемоурмниꙗхъ	<i>noun</i><br><ol><li>caliph</li></ol>
амемоурмнинъ|амемоурмнина|амемоурмньмъ|амемоурмньхъ|амемоурмниноу|амемоурмнꙑ|амемоурмнинови|амемоурмне|амемоурмнъ|amemurmninŭ|амемоурмнинома|амемоурмнине|амемоурмнинѣ|амемоурмниномь	<i>noun</i><br><ol><li>caliph</li></ol>
амемоурмньи|amemurmnĭi|амемоурмньꙗми|амемоурмньѭ|амемоурмньѥѭ|амемоурмньꙗхъ|amemurmnii|амемоурмнью|амемоурмниѥѭ|амемоурмниꙗми|амемоурмнии|амемоурмньꙗмъ|амемоурмньꙗма|амемоурмниѩ|амемоурмнию|амемоурмниꙗмъ|амемоурмниѭ|амемоурмниꙗма|амемоурмньѩ|амемоурмниꙗхъ	<i>noun</i><br><ol><li>caliph</li></ol>
аминъ|aminŭ	<i>intj</i><br><ol><li>amen</li></ol>
аможе|amože	<i>adv</i><br><ol><li>whither</li></ol>
