Rotta|Rotta.	
a|ā	<i>noun</i><br><ol><li>river, stream, water</li></ol>
afterthinsan	<i>verb</i><br><ol><li>to pull back</li><li>to pull away</li></ol>
aftir	<i>prep</i><br><ol><li>after</li></ol>
aginnan|āginnan	<i>verb</i><br><ol><li>to begin</li></ol>
ahton	
al|allu|olla|allan|allin|allis|allon|allno|allro|alle|allo|alla|allrō	<i>adj</i><br><ol><li>all, every</li><li>whole, entire</li></ol><br><i>adv</i><br><ol><li>completely, wholly</li></ol><br><i>conj</i><br><ol><li>even though</li></ol>
also|alsō	<i>adv</i><br><ol><li>so, thus</li><li>so, to that degree</li><li>therefore</li></ol><br><i>conj</i><br><ol><li>as, like</li><li>as if</li><li>when</li><li>because</li><li>so that</li></ol>
alt|alda|alde|aldrō|aldo|aldin|aldro|aldon|aldis|aldan|aldno|aldu	<i>adj</i><br><ol><li>old</li></ol>
ambahtman	<i>noun</i><br><ol><li>servant, civil servant</li></ol>
anafallan	<i>verb</i><br><ol><li>to let oneself fall upon, to attack</li></ol>
anafan	<i>verb</i><br><ol><li>to commence, to begin</li></ol>
anafehtan	<i>verb</i><br><ol><li>to fight against, to combat</li></ol>
anafindan	<i>verb</i><br><ol><li>to find, to come across</li></ol>
anagan|anagān	<i>verb</i><br><ol><li>to go, to walk</li><li>to undergo, to suffer</li></ol>
ananeman	
anasian	<i>verb</i><br><ol><li>to watch, to view</li></ol>
anasprecan	<i>verb</i><br><ol><li>to speak to, to address</li></ol>
anastotan|anastōtan	<i>verb</i><br><ol><li>to bump against</li></ol>
ande	<i>conj</i><br><ol><li>and</li></ol>
ando	<i>noun</i><br><ol><li>zeal</li></ol>
andon	<i>verb</i><br><ol><li>to be jealous of</li></ol>
antbidan|antbidin|antbīdunt|antbeid|antbīdit|antbīdandi|antbīdes|antbīd|antbidi|antbidun|antbīdist|antbīdan|antbīde|antbidis|antbīdis|antbīdu|antbidint|antbidut|antbīdent|antbīdet|antbidit|antbidist|antbīdon|geantbidon|antbīdest|antbīden	<i>verb</i><br><ol><li>to wait for, to expect</li></ol>
antbindan	<i>verb</i><br><ol><li>to untie, to loosen</li></ol>
antfan|antfān	<i>verb</i><br><ol><li>to receive, to get</li><li>to take in</li></ol>
antfliegan	<i>verb</i><br><ol><li>to fly away, to escape by flying</li></ol>
antgan|antgān	<i>verb</i><br><ol><li>to get away, to escape</li></ol>
antgeldan	<i>verb</i><br><ol><li>to pay for (as punishment)</li></ol>
antlatan|antlātan	<i>verb</i><br><ol><li>to let go</li></ol>
antlucan|antlūcan	<i>verb</i><br><ol><li>to open</li></ol>
antquethan	<i>verb</i><br><ol><li>to answer</li></ol>
antrinnan	<i>verb</i><br><ol><li>to escape, to run away</li></ol>
antstan|antstān	<i>verb</i><br><ol><li>to begin, to come</li></ol>
anttian	<i>verb</i><br><ol><li>to not give, to refuse, to keep from</li></ol>
antwican|antwīcan	<i>verb</i><br><ol><li>to disappear, to go away</li></ol>
antworden	<i>verb</i><br><ol><li>to answer</li></ol>
appoldro	<i>noun</i><br><ol><li>Apeldoorn (a city in modern Gelderland, the Netherlands)</li></ol>
ardon	<i>verb</i><br><ol><li>to live, to dwell</li></ol>
arm	<i>noun</i><br><ol><li>arm</li></ol><br><i>adj</i><br><ol><li>poor</li></ol>
armo	<i>noun</i><br><ol><li>poor person</li></ol>
arnon	<i>verb</i><br><ol><li>to earn</li></ol>
ars	<i>noun</i><br><ol><li>arse, buttock</li></ol>
aton|āton	<i>verb</i><br><ol><li>to feed</li></ol>
avacuman	<i>verb</i><br><ol><li>to rid oneself of, to distance oneself from</li></ol>
avagan|avagān	<i>verb</i><br><ol><li>to leave, to go away from</li><li>to stray from, to not follow</li></ol>
avaneman	<i>verb</i><br><ol><li>to take from, to take away</li></ol>
avaslan|avaslān	<i>verb</i><br><ol><li>to slice off, to sever</li></ol>
avastan|avastān	<i>verb</i><br><ol><li>to separate oneself from, to leave</li><li>to relinquish, to give up</li></ol>
baco	<i>noun</i><br><ol><li>bacon</li></ol>
balco	<i>noun</i><br><ol><li>beam, log</li></ol>
bar	<i>adj</i><br><ol><li>bare, naked</li></ol>
baron	<i>verb</i><br><ol><li>to reveal, to make public</li><li>to reveal, to lay bare, to make public</li></ol>
bathon	<i>verb</i><br><ol><li>to bathe</li></ol>
bedon	<i>verb</i><br><ol><li>to worship</li></ol>
behalvo	<i>adv</i><br><ol><li>back</li></ol>
beki|beke	<i>noun</i><br><ol><li>brook</li></ol>
belgan	<i>verb</i><br><ol><li>to get angry</li></ol>
ben|bēnis|bēn|bēnon|bēno|bēne	<i>noun</i><br><ol><li>leg</li><li>bone</li></ol>
beran	<i>verb</i><br><ol><li>to bear, to carry</li></ol>
berg	<i>noun</i><br><ol><li>mountain, hill</li></ol>
bergan	<i>verb</i><br><ol><li>to shelter, to hide</li></ol>
bethiu	<i>adv</i><br><ol><li>therefore, thus</li></ol>
bevar	<i>noun</i><br><ol><li>beaver</li></ol>
bi|bī	<i>prep</i><br><ol><li>by, near</li><li>at, with</li></ol>
bia|bīa	<i>noun</i><br><ol><li>bee</li></ol>
bicuman	<i>verb</i><br><ol><li>to approach, to come to meet</li></ol>
bidan|bidut|bīdunt|gebidon|bidint|bidist|bidit|bīdist|bīdet|bīdan|bīd|bīdandi|bīdis|bīdon|bīden|bīdest|bīdent|bidun|bīde|bīdit|bīdes|bidis|beid|bīdu|bidi|bidin	<i>verb</i><br><ol><li>to wait</li><li>to remain, stay</li></ol>
bidden	<i>verb</i><br><ol><li>to ask urgently, to request, to beg</li></ol>
bidriegan	<i>verb</i><br><ol><li>to deceive</li></ol>
biedan	<i>verb</i><br><ol><li>to offer</li></ol>
bifan|bifān	<i>verb</i><br><ol><li>to catch, to grab</li><li>to learn, to understand</li></ol>
bifelan	<i>verb</i><br><ol><li>to entrust to</li><li>to command</li></ol>
bifindan	<i>verb</i><br><ol><li>to find out</li><li>to experience</li></ol>
bigan|bigān	<i>verb</i><br><ol><li>to do, to carry out</li><li>to hold, to celebrate</li></ol>
bigian	<i>verb</i><br><ol><li>to profess, to acknowledge (God)</li></ol>
biginnan	<i>verb</i><br><ol><li>to begin</li><li>to form</li></ol>
biglidan|biglīdan	<i>verb</i><br><ol><li>to slide away</li></ol>
bigravan	<i>verb</i><br><ol><li>to bury</li></ol>
bigripan|bigrīpan	<i>verb</i><br><ol><li>to encompass, to include</li><li>to enclose</li><li>to conquer</li></ol>
bihaldan	<i>verb</i><br><ol><li>to keep, to hold</li><li>to retain</li><li>to rescue</li></ol>
bihelan	<i>verb</i><br><ol><li>to hide, to conceal</li></ol>
bihouwan	<i>verb</i><br><ol><li>to work by hewing</li></ol>
bilithen	<i>verb</i><br><ol><li>to form, to shape</li><li>to raise, to educate</li><li>to follow, to imitate</li></ol>
bilivan|bilīvan	<i>verb</i><br><ol><li>to remain, to stay, to continue</li><li>to remain behind, to stay behind</li><li>to dwell</li><li>to die</li></ol>
bilucan|bilūcan	<i>verb</i><br><ol><li>to close, to shut</li><li>to lock up</li></ol>
bindan|bindit|binde|bint|bundint|bundut|bundist|bindandi|gebundon|bant|bindest|bundi|bindu|binden|bindon|bindent|bindes|bundit|bindis|bindet|bindist|bindunt|bundin|bundun|bundis	<i>verb</i><br><ol><li>to bind, to join</li></ol>
bineman	<i>verb</i><br><ol><li>to take from, to rob of</li></ol>
biradan|birādan	<i>verb</i><br><ol><li>to advise</li></ol>
birinnan	<i>verb</i><br><ol><li>to wash over, to flood</li></ol>
bisian	<i>verb</i><br><ol><li>to look at, to inspect</li></ol>
bisitten	<i>verb</i><br><ol><li>to own</li></ol>
bislidan|bislīdan	<i>verb</i><br><ol><li>to lubricate, to make slippery</li></ol>
bisnithan|bisnīthan	<i>verb</i><br><ol><li>to circumcise</li></ol>
bisprecan	<i>verb</i><br><ol><li>to discuss</li></ol>
bistan|bistān	<i>verb</i><br><ol><li>to continue, to persevere</li></ol>
bisweren	<i>verb</i><br><ol><li>to beg, to request urgently</li></ol>
biswican|biswīcan	<i>verb</i><br><ol><li>to make stumble, to make fall down</li><li>to deceive</li></ol>
bitan|bītunt|bitis|bitist|bitit|bīten|bītis|bitun|bitin|bītist|bitint|bītit|bīton|gebiton|bēt|bītandi|bīte|biti|bītan|bītest|bitut|bīt|bītu|bītet|bītent|bītes	<i>verb</i><br><ol><li>to bite</li></ol>
bithervi	<i>adj</i><br><ol><li>brave, bold</li></ol>
bithwingan	<i>verb</i><br><ol><li>to restrain, to subdue</li></ol>
biwaldan	<i>verb</i><br><ol><li>to possess</li></ol>
biwellan	<i>verb</i><br><ol><li>to dirty, to soil</li><li>to defile</li><li>to curse</li></ol>
biwerpan	<i>verb</i><br><ol><li>to reject</li></ol>
blican|blīcan	<i>verb</i><br><ol><li>to shine</li></ol>
blindo	<i>noun</i><br><ol><li>blind person</li></ol>
blint|blindo|blindrō|blindno|blindan|blindin|blinda|blindis|blindu|blinde|blindro|blindon	<i>adj</i><br><ol><li>blind</li></ol>
blithen|blīthen	<i>verb</i><br><ol><li>to be/become happy</li></ol>
blithi|blīthi	<i>adj</i><br><ol><li>calm</li><li>happy</li></ol>
bliuwan	<i>verb</i><br><ol><li>to beat</li></ol>
blivan|blivist|blīvent|blīve|blīvu|blivit|blivi|blīven|blēf|blīvan|blīvunt|blīvest|blīvandi|blīvit|blīv|blīvis|blivin|blivint|blivun|blīvet|blīves|blivut|blīvist|geblivon|blīvon|blivis	<i>verb</i><br><ol><li>to remain</li><li>to stay</li></ol>
bluoien	<i>verb</i><br><ol><li>to bloom</li></ol>
bluot|bluote|bluoton|bluoto|bluotis	<i>noun</i><br><ol><li>blood</li></ol>
bodo	<i>noun</i><br><ol><li>messenger</li></ol>
bogen	<i>verb</i><br><ol><li>to cause to bend</li></ol>
bogo|bogin|bogono|bogon	<i>noun</i><br><ol><li>bow (weapon)</li></ol>
bom|bōm	<i>noun</i><br><ol><li>tree</li></ol>
bona|bōna	<i>noun</i><br><ol><li>bean</li></ol>
bort	<i>noun</i><br><ol><li>board, plank</li></ol>
bosi|bōsi	<i>adj</i><br><ol><li>evil</li></ol>
bradan|brādan	<i>verb</i><br><ol><li>to roast</li></ol>
brado|brādo	<i>noun</i><br><ol><li>roast, roasted meat</li></ol>
brecan|breket|breku|brākist|breken|brekandi|brākin|breke|gebrokon|brāki|brik|brikis|brākit|brekent|brekes|brikist|brekunt|brikit|brekon|brak|brākint|brekest|brākun|brākut|brākis|brekan	<i>verb</i><br><ol><li>to break</li></ol>
bred|brēd	<i>adj</i><br><ol><li>broad, wide</li></ol>
breiden	<i>verb</i><br><ol><li>to widen, to broaden</li></ol>
brennen	<i>verb</i><br><ol><li>to burn</li></ol>
brestan	<i>verb</i><br><ol><li>to burst</li><li>to be missing</li></ol>
bringan|bringon|gebraht|brāhti|brāhtis|bringandi|bringu|bringes|bringis|bringunt|bringit|brāhtin|brāhtun|bring|brāhtist|bringet|bringen|bringe|braht|bringist|bringent|brāhtut|brāhtit|bringest|brāhtint	<i>verb</i><br><ol><li>to bring</li></ol>
brinnan	<i>verb</i><br><ol><li>to burn</li></ol>
brudigomo|brūdigomo	<i>noun</i><br><ol><li>bridegroom</li></ol>
brugga	<i>noun</i><br><ol><li>bridge</li></ol>
brunno	<i>noun</i><br><ol><li>well, source</li></ol>
bruoc	<i>noun</i><br><ol><li>trousers, pants, breeches</li><li>wetland, marsh</li></ol>
buc|būc	<i>noun</i><br><ol><li>buck, male goat</li><li>belly, stomach</li><li>womb</li></ol>
budilio	<i>noun</i><br><ol><li>Budel (a village in modern North Brabant, the Netherlands)</li></ol>
bugan|būgan	<i>verb</i><br><ol><li>to bend</li></ol>
buok|Book.	
burg	<i>noun</i><br><ol><li>fortress, castle</li><li>city</li></ol>
burstil	<i>noun</i><br><ol><li>bristle, prickle</li></ol>
busc	<i>noun</i><br><ol><li>bush</li></ol>
calf	<i>noun</i><br><ol><li>calf</li></ol>
casto	<i>noun</i><br><ol><li>cupboard</li></ol>
clagon	<i>verb</i><br><ol><li>to complain</li></ol>
cleini	<i>adj</i><br><ol><li>small</li></ol>
clievan	<i>verb</i><br><ol><li>to cleave</li></ol>
climban	<i>verb</i><br><ol><li>to climb</li></ol>
clingan	<i>verb</i><br><ol><li>to sound</li></ol>
clivan|clīvan	<i>verb</i><br><ol><li>to stick, to cling</li></ol>
clivon	<i>verb</i><br><ol><li>to be stuck</li></ol>
cnapo	<i>noun</i><br><ol><li>servant, assistant</li></ol>
cnio	<i>noun</i><br><ol><li>knee</li></ol>
copon|cōpon	<i>verb</i><br><ol><li>to buy</li></ol>
coron	<i>verb</i><br><ol><li>to assess, to test</li></ol>
craft	<i>noun</i><br><ol><li>strength, power, force</li></ol>
craien|krāien	<i>verb</i><br><ol><li>to crow</li></ol>
crampo	<i>noun</i><br><ol><li>cramp</li></ol>
crano|cranon|cranin|cranono	<i>noun</i><br><ol><li>crane (bird)</li></ol>
crigan|crīgan	<i>verb</i><br><ol><li>to strive</li><li>to gain</li></ol>
crimpan	<i>verb</i><br><ol><li>to shrink</li></ol>
criscan|crīscan	<i>verb</i><br><ol><li>to scream, to screech</li></ol>
critan|crītan	<i>verb</i><br><ol><li>to shout</li><li>to call out, scream</li></ol>
crudan|crūdan	<i>verb</i><br><ol><li>to push</li></ol>
crupan|crūpan	<i>verb</i><br><ol><li>to creep</li></ol>
cuman	<i>verb</i><br><ol><li>to come</li></ol>
cunden	<i>verb</i><br><ol><li>to announce, to make known</li><li>to preach</li></ol>
cundo|cundin|cundono|cundon	<i>noun</i><br><ol><li>acquaintance, familiar person</li></ol>
cunnan	<i>verb</i><br><ol><li>to know, to be familiar with</li><li>(auxiliary) can, to be able to</li></ol>
cunt	<i>adj</i><br><ol><li>known, familiar</li></ol>
cuo	<i>noun</i><br><ol><li>cow</li></ol>
dag|daga|dagon|dago|dage|dages	<i>noun</i><br><ol><li>day</li></ol>
dal	<i>noun</i><br><ol><li>valley</li></ol>
delvan|delvest|delves|dulvist|delvent|dulvin|dulvint|gedulvon|delvunt|delven|delvit|dulvun|dulvit|dalv|delvu|delvandi|delve|dulvi|delvist|dulvis|delvon|delvet|delvis|dulvut|delv	<i>verb</i><br><ol><li>to dig, excavate</li></ol>
dier	<i>noun</i><br><ol><li>animal</li></ol>
diuri	<i>adj</i><br><ol><li>precious, valuable</li></ol>
dodo|dōdon|dōdono|dōdo|dōdin	<i>noun</i><br><ol><li>dead person</li></ol>
dopen|dōpen	<i>verb</i><br><ol><li>to dip, to immerse</li><li>to baptise</li></ol>
dot|dōt	<i>adj</i><br><ol><li>dead</li></ol>
dragan	<i>verb</i><br><ol><li>to carry</li><li>to wear (clothes)</li></ol>
dragon	<i>verb</i><br><ol><li>to behave</li><li>to acquire</li></ol>
dran|drān	<i>verb</i><br><ol><li>to emit an odour</li></ol>
drenken	<i>verb</i><br><ol><li>to give drink to</li><li>to drench, to drown</li></ol>
drepan	<i>verb</i><br><ol><li>to reach (a place)</li><li>to achieve, accomplish</li></ol>
driegan	<i>verb</i><br><ol><li>to deceive</li></ol>
driepan	<i>verb</i><br><ol><li>to drip</li></ol>
