Афетъ|Afetŭ|Афетъмь|Афета|Афетови|Афету	<i>name</i><br><ol><li>(biblical) Japheth</li></ol>
Ватрь|Ватри|Ватрьѭ|Vatrĭ|Ватриѭ	<i>name</i><br><ol><li>Bactria</li></ol>
Галичь|Galičĭ	<i>name</i><br><ol><li>Halych, a town in Ukraine</li><li>Galicia, (2) the duchy or principality that grew around this town</li></ol>
Киевъ|Кꙑева|Kyevŭ|Киеве|Киевъмь|Кꙑевъ|Кꙑеву|Киева|Кꙑеве|Киевѣ|Киеву|Кꙑевѣ|Kievŭ|Кꙑевъмь	<i>name</i><br><ol><li>Kiev (a city in Kievan Rus)</li></ol>
Китаи|Kitai	<i>name</i><br><ol><li>China (a region and country in East Asia)</li></ol>
Кꙑѥвъ|Kyjevŭ	<i>name</i><br><ol><li>alternative typography of Кꙑевъ (Kyevŭ)</li></ol>
Львовъ|Lĭvovŭ	<i>name</i><br><ol><li>Lviv, city in present-day Western Ukraine</li></ol>
Москꙑ|Москъву|Москъвамъ|Москъвами|Москъве|Москъвама|Москъвь|Москъвахъ|Москъвиѭ|Москъвъ|Москъви|Москъвьѭ	<i>name</i><br><ol><li>Moscow (the capital city of modern Russia)</li></ol>
Мѣньскъ|Měnĭskŭ	<i>name</i><br><ol><li>Minsk</li></ol>
Новъгородъ|Новѣгородѣ|Novŭgorodŭ|Nověgorodě	<i>name</i><br><ol><li>Novgorod</li></ol>
Персида|Перъсида|Персидꙑ|Persida|Персидоѭ|Персидѣ|Персидо|Персидѫ|Perŭsida	<i>name</i><br><ol><li>Persia</li></ol>
Пльсковъ|Plĭskovŭ	<i>name</i><br><ol><li>Pskov</li></ol>
Полотьскъ|Полотьску|Полотьскъмь|Polótĭskŭ|Поло́тьскъ|Полотьске|Полотьскѣ|Полотьска	<i>name</i><br><ol><li>Polotsk (a city in Kievan Rus, Principality of Polotsk)</li></ol>
Припѧть|Pripętĭ	<i>name</i><br><ol><li>Pripyat (a river in Ukraine and Belarus)</li></ol>
Римъ|Римъмь|Риму|Рима|Римѣ|Rimŭ|Риме	<i>name</i><br><ol><li>Rome (the capital of the Roman Empire)</li></ol>
Русь|Rusĭ|Роусь|Роуси	<i>name</i><br><ol><li>(collectively) Name of a group of Varangians, the ruling class in the principalities of Rus.</li><li>(collectively) Inhabitants of Rus; East Slavic people.</li></ol>
Русьскаꙗ землꙗ|Rusĭskaja zemlja	<i>name</i><br><ol><li>Used other than figuratively or idiomatically: see русьскъ (rusĭskŭ), землꙗ (zemlja).</li><li>(historical) Rus (region in Eastern Europe, land of the Rus, East Slavic lands)</li></ol>
Сварогъ|Сварогу|Свароже|Сварожь|Svarogŭ|Сварога|Сварогъмь|Сварозѣ	<i>name</i><br><ol><li>(Slavic mythology) Svarog (Slavic god of fire)</li></ol>
Симарьглъ|Симарьгломъ|Симарьглѣхъ|Симарьглу|Симарьгли|Симарьглꙑ|Симарьгле|Симарьгла|Simarĭglŭ|Симарьглъмь|Симарьглѣ|Симарьглома	<i>name</i><br><ol><li>(Slavic mythology) Simargl (a Slavic god)</li></ol>
Симъ|Симовꙑихъ|Симовѣхъ|Симовии|Симового|Симъмь|Симовъ|Симовому|Симови|Сима|Симоваꙗ|Симовама|Симовъмь|Симовоѭ|Симу|Симово|Симовои|Симовую|Симовꙑима|Симовѣ|Симовꙑѣ|Симовома|Симовѫ|Симовꙑимь|Симовами|Симовамъ|Симовꙑими|Симовомъ|Симовꙑ|Simŭ|Simovŭ|Симова|Симовꙑи|Симову|Симовомь|Симовахъ|Симовое|Симовꙑимъ|Симовѣи|Симовѫѭ	<i>name</i><br><ol><li>(biblical) Shem</li></ol>
Стрибогъ|Стрибоже|Стрибога|Стрибогъмь|Стрибожь|Stribogŭ|Стрибогу|Стрибозѣ	<i>name</i><br><ol><li>(Slavic mythology) Stribog (Slavic god of the sea or wind)</li></ol>
Тъмоуторокань|Tŭmutorokanĭ	<i>noun</i><br><ol><li>Tmutarakan</li></ol>
Хамъ|Хаму|Xamŭ|Хамови|Хама|Хамъмь	<i>name</i><br><ol><li>(biblical) Ham</li></ol>
Хърсъ|Xŭrsŭ|Хърсъмь|Хърса|Хърсови|Хърсу	<i>name</i><br><ol><li>(Slavic mythology) Khors (Slavic god of the Moon)</li></ol>
а|a	<i>conj</i><br><ol><li>but, and</li></ol>
аблъко|аблоко|abloko|аблъкꙑ|аблъка|аблъкъ|аблъкома|аблъкомъ|аблъцѣхъ|ablŭko|ꙗблъко|аблъцѣ|аблъкъмь|jablŭko|аблъку	<i>noun</i><br><ol><li>apple</li></ol>
абꙑ|aby	<i>conj</i><br><ol><li>so that, in order that</li><li>as long as</li><li>if</li></ol>
авва|avva	<i>noun</i><br><ol><li>father</li></ol>
агньць|агнецъ|agnĭcĭ|agnicĭ|агнець|agnecĭ|агниць|agnecŭ	<i>noun</i><br><ol><li>lamb</li></ol>
агнѧ|jagnę|ꙗгнѧ|agnę	<i>noun</i><br><ol><li>lamb</li></ol>
агода|agoda|jagoda|ꙗгода	<i>noun</i><br><ol><li>berry</li></ol>
баба|baba	<i>noun</i><br><ol><li>married woman</li><li>midwife</li><li>fortune teller, hex</li><li>(in the plural) women</li></ol>
багръ|баграма|багъру|багромь|багърое|багъръ|bagŭrŭ|багърꙑими|багра|баграхъ|багрѫѭ|багърами|багрꙑи|багърꙑѣ|багрꙑ|багърую|багърꙑимъ|багро|багърꙑ|баграмъ|багърꙑима|багрого|багъра|багрꙑимъ|багърѫѭ|багърои|багру|багъръмь|багърого|багрꙑима|багъроѭ|багърамъ|багъромъ|багърꙑихъ|багрии|багъри|багрꙑимь|багърѣи|багрꙑими|багрѣ|багъро|bagrŭ|багърома|багърому|багърꙑимь|баграꙗ|багрꙑихъ|багрѣи|багрꙑѣ|багре|багрѣхъ|багрома|багрѫ|багри|багроѭ|багрому|багъромь|баграми|багърахъ|багърꙑи|багъраꙗ|багрое|багрую|багърама|багърѣ|багромъ|багърии|багръмь|багърѫ|багрои|багърѣхъ|багъре	<i>noun</i><br><ol><li>purple</li><li>purple fabric</li><li>purple clothing</li></ol><br><i>adj</i><br><ol><li>purple</li></ol>
банꙗ|banja	<i>noun</i><br><ol><li>bath, bathing place</li></ol>
баранъ|baranŭ|боранъ|boranŭ	<i>noun</i><br><ol><li>ram (male sheep)</li></ol>
батѧ|батѧта|батѧтѣ|батѧтьмъ|батѧтьма|batę|батѧти|батѧтьхъ|батѧтьмь|батѧтꙑ|батѧтъ|батѧте|батѧту	<i>noun</i><br><ol><li>(rare) Synonym of отьць (otĭcĭ)</li></ol>
безмьздьнꙑи|bezmĭzdĭnyi	<i>adj</i><br><ol><li>disinterested, gratuitous; incorruptible</li></ol>
безмѣнъ|bezměnŭ	<i>noun</i><br><ol><li>stilyard</li></ol>
берегъ|beregŭ	<i>noun</i><br><ol><li>bank (of a river)</li><li>shore (of the sea)</li></ol>
береза|bereza	<i>noun</i><br><ol><li>birch</li></ol>
бити|бьевѣ|бьѭ|бихъ|бише|бьеши|битъ|бьѭть|биховѣ|бьивѣ|бьимъ|бивъ|бьи|биꙗ|L-Participle|биста|бихомъ|бьеть|бьете|бьета|бьемъ|билъ|бьите|бьита|бихѫть|бихѫ|бисте|би|биша|biti	<i>verb</i><br><ol><li>(transitive) to beat, hit</li></ol>
блаженъ|блаженого|блаженъмь|блаженои|blaženŭ|блажении|блаженꙑима|блаженѣи|блажено|блаженꙑ|блаженаꙗ|блаженую|блажена|блаженѣхъ|блажени|блаженѫѭ|блаженома|блаженому|блаженѣ|блаженама|блажену|блаженꙑи|блаженꙑимь|блаженами|блаженахъ|блаженꙑѣ|блаженоѭ|блаженамъ|блаженомь|блаженꙑимъ|блаженомъ|блаженое|блаженꙑихъ|блаженꙑими|блаженѫ	<i>adj</i><br><ol><li>blessed</li></ol>
блъха|блъха́|blŭxá|bloxa|бълоха|блоха|bŭloxa	<i>noun</i><br><ol><li>flea</li></ol>
блꙋдъ|bludŭ	<i>noun</i><br><ol><li>adultery</li><li>prostitution</li><li>fornication</li></ol>
бо|bo	<i>conj</i><br><ol><li>for</li></ol>
богъ|б҃ъмь|б҃ꙑ|богъмь|б҃ъ|б҃ома|б҃у|божьскꙑи|б҃ѣхъ|бози|б҃а|богомъ|б҃омъ|богꙑ|богу|б҃и|b҃ŭ|bogŭ|божии|бозѣхъ|бога|богома|бозѣ|боже|б҃е|б҃ѣ	<i>noun</i><br><ol><li>god</li></ol>
божьница|božĭnica	<i>noun</i><br><ol><li>church</li></ol>
боль|bolĭ	<i>noun</i><br><ol><li>pain, ache</li></ol>
борода|boroda	<i>noun</i><br><ol><li>beard</li><li>chin</li></ol>
бородатъ|borodatŭ	<i>adj</i><br><ol><li>bearded</li></ol>
бороти|boroti	<i>verb</i><br><ol><li>to fight</li></ol>
брада|brada	<i>noun</i><br><ol><li>beard</li><li>chin</li></ol>
брадатъ|bradatŭ	<i>adj</i><br><ol><li>bearded</li></ol>
братиꙗ|братиꙗхъ|bratija|братию|братиѭ|братие|братии|братиꙗми|братиь|братиѣ|братиеѭ|братиꙗмъ|братиꙗма	<i>noun</i><br><ol><li>(collective) brothers; brotherhood</li></ol>
братъ|братѣхъ|брату|братома|братъмь|братомъ|брате|братѣ|брата|брати|bratŭ|братꙑ	<i>noun</i><br><ol><li>brother</li></ol>
бръвь|brŭvĭ	<i>noun</i><br><ol><li>eyebrow</li></ol>
брѣгъ|brěgŭ|брегъ|bregŭ	<i>noun</i><br><ol><li>bank (of a river)</li><li>shore (of the sea)</li><li>precipice</li></ol>
брѣза|brěza	<i>noun</i><br><ol><li>birch</li></ol>
бързо|bŭrzo	<i>adv</i><br><ol><li>quickly</li></ol><br><i>adj</i><br><ol><li>short nominative/accusative singular neuter of бързъ (bŭrzŭ)</li></ol>
бързъ|бързи|бързо|бързии|бързую|бързѣхъ|бързому|бързого|bŭrzŭ|бързамъ|бързама|бързаꙗ|bŭrzo|бързои|бързꙑимь|бързꙑѣ|бързѣ|бързꙑ|бързѫѭ|бързꙑими|бързое|бързѫ|бързами|бързу|бързомъ|бързꙑимъ|бързома|бързоѭ|бързꙑи|бързѣи|бързахъ|бързꙑихъ|бърза|бързъмь|бързꙑима|бързомь	<i>adj</i><br><ol><li>quick, fast</li></ol>
бѣгати|běgati	<i>verb</i><br><ol><li>to run</li><li>to flee</li></ol>
