Abraham|a-stem|Ābrahāma|Ābrahāme|Ābrahāmum|Ābrahām|Ābrahāmas|Ābrahāmes	<i>name</i><br><ol><li>Abraham</li></ol>
Affrica	<i>name</i><br><ol><li>Africa</li></ol>
Africanisc|Āfricānisċne|Āfricānisċre|Āfricānsċes|Āfricānsċan|Āfricānisċa|Āfricānsċena|Āfricānisċes|Āfricānisċan|Āfricānisċe|Āfricānsċum|Āfricānsċa|Āfricānisċra|Āfricānisċena|Āfricānsċe|Āfricānisċum|Āfricānisċ	<i>adj</i><br><ol><li>African</li></ol>
Afrisc|Āfrisċena|Āfrisċe|Āfrisċ|Āfrisċes|Āfrisċra|Āfrisċa|Āfrisċne|Āfrisċre|Āfrisċan|Āfrisċum	<i>adj</i><br><ol><li>African</li></ol>
Andefera|Andeferan	<i>name</i><br><ol><li>Andover</li></ol>
Angel|ō-stem|Angle	<i>name</i><br><ol><li>Anglia (peninsula in Jutland, in Schleswig in northermost Germany, where the Angles are supposed to have originated)</li></ol>
Angelcirice|Angelċiriċe|Angelċirican	<i>name</i><br><ol><li>the Church of England</li></ol>
Angelcyning|Angelcyninga|Angelcyninge|Angelcyningas|a-stem|Angelcyninges|Angelcyningum	<i>noun</i><br><ol><li>king of England</li></ol>
Angelcynn|Angelcynne|Angelcynnes|a-stem	<i>name</i><br><ol><li>the Anglo-Saxon people; the English</li><li>England</li></ol>
Angelseaxan|Angolseaxan|Angolseaxena|Angolseaxum|Angelseaxum|Angelseaxena	<i>name</i><br><ol><li>(rare) the Anglo-Saxons</li></ol>
Angelþeod|Angelþēode|Angelþēod|ō-stem	<i>noun</i><br><ol><li>England, the English nation</li></ol>
Antecrist|Antecristum|Antecristas|a-stem|Antecriste|Antecristes|Antecrista	<i>noun</i><br><ol><li>Antichrist</li></ol>
Arabia|ō-stem|Arabie	<i>name</i><br><ol><li>Arabia</li></ol>
Arabisc|Arabisċum|Arabisċre|Arabisċne|a-stem|Arabisċena|Arabisċan|Arabisċa|Arabisċes|Arabisċe|Arabisċ|Arabisċra	<i>adj</i><br><ol><li>Arabic, Arabian</li><li>(substantive) an Arab</li></ol><br><i>noun</i><br><ol><li>the Arabic language</li></ol>
Athenisc|Athēnisċa|Athēnisċes|Athēnsċe|Athēnsċes|Athēnisċe|Athēnsċena|Athēnisċum|Athēnisċra|Athēnisċne|Athēnisċre|Athēnisċena|Athēnsċa|Athēnsċum|Athēnisċan|Athēnsċan|Athēnisċ	<i>adj</i><br><ol><li>Athenian</li></ol>
Augustus	<i>name</i><br><ol><li>the Roman emperor Augustus</li><li>the month of August</li></ol>
Aulixes	<i>name</i><br><ol><li>Odysseus</li></ol>
Babilon|Babilōn	<i>name</i><br><ol><li>Babylon (the ancient capital of the kingdom of Babylonia, in modern Iraq)</li></ol>
Babilonie|Babilōnie	<i>name</i><br><ol><li>Babylon (the ancient capital of the kingdom of Babylonia, in modern Iraq)</li></ol>
Babilonige|Babilōniġena|Babilōniġum|Babilōniġe|Babilōniġan	<i>name</i><br><ol><li>Babylon (the ancient capital of the kingdom of Babylonia, in modern Iraq)</li></ol>
Baðanceaster|Baðanċeastre|ō-stem|Baðanċeaster|Baðanċeastra|Baðanċeastrum	<i>noun</i><br><ol><li>the city of Bath</li></ol>
Beowulf|Bēowulf|Bēowulfes|Bēowulfas|a-stem|Bēowulfum|Bēowulfa|Bēowulfe	<i>name</i><br><ol><li>(poetic) Beowulf</li></ol>
Breten|Bryten|ō-stem|Brytene|Breoton|Breotone|Bretene	<i>name</i><br><ol><li>Britain</li></ol>
Bretland|Bretlande|Bretlanda|a-stem|Bretlandum|Bretlandes	<i>name</i><br><ol><li>Britain</li></ol>
Brett|Brettes|a-stem|Bryttas|Bret|Brettas|Bryttum|Brettum|Brette|Brytta|Bretta	<i>name</i><br><ol><li>Briton (indigenous person of Britain)</li><li>Breton (inhabitant of Brittany)</li></ol>
Brettas|a-stem|Bryttas|Bryttum|Brettum|Brytta|Bretta	<i>name</i><br><ol><li>Britons (indigenous people of Britain)</li><li>Bretons (inhabitants of Brittany)</li></ol>
Brettisc|Bretsċa|Britsċum|Bryttisċe|Brettisċ|Britsċe|Bretsċum|Brytsċena|Brytsċan|Bryttisċes|Bretsċan|Brittisċena|Brittisċ|Britsċena|Brittisc|Bretsċe|Bryttisċena|Bretsċes|Brettisċan|Brittisċum|Britsċan|Bryttisċum|Bryttisċan|Brittisċre|Brettisċa|Britsċa|Brettisċe|Brittisċra|Brittisċan|Bretsċena|Brittisċes|Bryttisċra|Brytsċum|Brettisċre|Brittisċa|Bryttisċ|Bryttisċne|Brettisċra|Britsċes|Brytsċes|Brettisċum|Brittisċe|Brettisċena|Brytsċa|Brettisċne|Brettisċes|Brytsċe|Bryttisċa|Bryttisċre|Brittisċne|Bryttisc	<i>adj</i><br><ol><li>British</li><li>Breton</li><li>(substantive) a Briton or Breton</li></ol>
Bryt|Bryte|a-stem|Bryta|Brytas|Brytes|Brytum	<i>name</i><br><ol><li>Briton, British person (especially someone Celtic)</li><li>Breton (especially someone Celtic)</li></ol>
Brytenlond	<i>name</i><br><ol><li>Britain</li></ol>
Brytland|Brytlandum|Brytlandes|a-stem|Brytlanda|Brytlande	<i>name</i><br><ol><li>Britain</li></ol>
Bulgarisc|Bulgarisċe|Bulgarisċne|Bulgarisċa|Bulgarisċan|Bulgarisċ|Bulgarisċra|Bulgarisċes|Bulgarisċum|Bulgarisċena|Bulgarisċre	<i>adj</i><br><ol><li>Bulgarian</li></ol>
Burgenda land	<i>name</i><br><ol><li>the land of the Burgundians; Bornholm</li></ol>
Cantwara burg|Cantwara byrig|Cantwara byriġ|Cantwara byrġ	<i>name</i><br><ol><li>Canterbury</li></ol>
Cantware|i-stem|Cantwara|Cantwarum	<i>name</i><br><ol><li>the people of Kent</li><li>Kent</li></ol>
Cent|i-stem|Cente	<i>name</i><br><ol><li>Kent</li></ol>
Centisc|Centsċena|Centisċe|Centsċan|Centsċe|Centisċes|Centisċre|Centsċum|Centisċan|Centisċra|Centisċena|Centisċa|Centisċne|Centsċa|Centisċ|Centsċes|Centisċum	<i>adj</i><br><ol><li>Kentish</li><li>(substantive) someone from Kent</li></ol>
Centland|Centlande|Centlandum|a-stem|Centlanda|Centlandes	<i>name</i><br><ol><li>Kentish land, Kent</li></ol>
Ciricburh|Ċiriċburh|Ċiriċbyriġ|Ċiriċburge	<i>name</i><br><ol><li>Chirbury, a village in Shropshire</li></ol>
Cornweal	<i>name</i><br><ol><li>Cornwall</li></ol>
Crecas|Crēcum|Crēca|Crēcas|a-stem	<i>name</i><br><ol><li>the Greeks</li><li>Greece</li></ol>
Crecisc|Crēċisċum|a-stem|Crēċisċra|Crēcsċa|Crēċisċena|Crēċisċes|Crēċisċne|Crēcsċan|Crēcsċena|Crēċisċe|Crēcsċum|Crēċisċa|Crēċisċ|Crēcsċe|Crēcsċes|Crēċisċan|Crēċisċre	<i>name</i><br><ol><li>the Greek language</li></ol><br><i>adj</i><br><ol><li>Greek</li><li>(substantive) a Greek</li></ol>
Crist|Cristes|Criste|a-stem	<i>noun</i><br><ol><li>Christ</li></ol>
Cristes mæsse|Cristesmæsse|Cristes mæssan|Cristes mæssum|Cristes mæssena	<i>noun</i><br><ol><li>Christmas</li></ol>
Cumbtun|Cumbtūnes|Cumbtūna|a-stem|Cumbtūnas|Cumbtūn|Cumbtūne|Cumbtūnum	<i>name</i><br><ol><li>Compton (already a name of various places in Anglo-Saxon England)</li></ol>
Cwenland|Cwēnlande|Cwēnland|Cwēnlandum|a-stem|Cwēnlanda|Cwēnlandes	<i>name</i><br><ol><li>historical Lapland, or roughly Finland</li></ol>
Cædmon	<i>name</i><br><ol><li>a famous Northumbrian poet, the author of Cædmon's Hymn</li></ol>
December	<i>name</i><br><ol><li>December</li></ol>
Defena scir|Defena sċīre|Defenasċīr|ō-stem|Defenasċīre|Defena sċīr|Defenascir	<i>name</i><br><ol><li>Devon</li></ol>
Defenas|Defenum|Defena|a-stem	<i>name</i><br><ol><li>Devonians</li><li>Devon</li></ol>
Defenisc|Defenisċne|Defenisċra|Defenisċan|Defenisċum|Defenisċ|Defenisċre|Defenisċa|Defenisċes|Defenisċena|Defenisċe	<i>adj</i><br><ol><li>Devonian, (relational) Devon</li><li>(substantive) a Devonian</li></ol>
Dena lagu|ō-stem|Dene laga|Dene lage|Dene lagu|Dene lagum	<i>name</i><br><ol><li>Danelaw</li></ol>
Dene|Dena|Denum	<i>noun</i><br><ol><li>Danes</li><li>Denmark</li></ol>
Denemearc|ō-stem|Denemearce	<i>name</i><br><ol><li>Denmark</li></ol>
Denisc|Denisċan|Denisċum|Denisċre|Denisċes|Denisċra|Denisċ|Denisċne|Denisċa|Denisċena|Denisċe	<i>adj</i><br><ol><li>Danish, Norse</li><li>(substantive) a Dane or Norseman</li></ol>
Deorby|Dēorbȳ|Dēorbȳes|Dēorbȳe|a-stem	<i>name</i><br><ol><li>Derby</li></ol>
Deorbyscir|Dēorbȳsċīre|ō-stem|Dēorbȳsċīr	<i>name</i><br><ol><li>Derbyshire</li></ol>
Deorwente|Deorwentan	<i>name</i><br><ol><li>Derwent (a river in Yorkshire, Derbyshire, Cumbria and County Durham)</li></ol>
Donua	<i>name</i><br><ol><li>(indeclinable) Danube</li></ol>
Dryhten|Dryhtnum|a-stem|Dryhtnas|Dryhtne|Dryhtnes|Dryhtna	<i>name</i><br><ol><li>the Lord</li></ol>
Dunholm	<i>name</i><br><ol><li>County Durham (a county of England)</li><li>Durham (the county town of County Durham)</li></ol>
Ealdseaxan|Ealdseaxe|i-stem|Ealdseaxum|Ealdseaxena	<i>name</i><br><ol><li>the continental Saxons</li><li>Saxony</li></ol>
Earendel|Ēarendel	<i>name</i><br><ol><li>personification of the morning star</li></ol>
Eastengle|i-stem|Ēastenglum|Ēastengle|Ēastengla	<i>name</i><br><ol><li>the East Angles</li><li>East Anglia</li></ol>
