Abevile	<i>name</i><br><ol><li>Abbeville (a city in France)</li></ol>
Adan|Adans	<i>name</i><br><ol><li>(biblical) Adam</li></ol>
Affrican|Affricans	<i>noun</i><br><ol><li>African person</li></ol>
Affrike	<i>name</i><br><ol><li>Africa (continent)</li></ol>
Affrique	<i>name</i><br><ol><li>Africa (continent)</li></ol>
Albanie	<i>name</i><br><ol><li>Albania</li></ol>
Alemaigne	<i>name</i><br><ol><li>the part of Europe equivalent to modern Germany</li></ol>
Alemant|Alemande	<i>noun</i><br><ol><li>A German; someone from the territory that is now called Germany</li></ol>
Amiens	<i>name</i><br><ol><li>Amiens (the capital city of the modern Somme department, in the modern region of Hauts-de-France, France)</li></ol>
Anjou	<i>name</i><br><ol><li>Anjou</li></ol>
Apostoile|Apostoiles	<i>name</i><br><ol><li>the Pope</li></ol>
Arabe|Arabes	<i>noun</i><br><ol><li>Arab (person)</li></ol>
Artur|Artus	<i>name</i><br><ol><li>(by ellipsis) King Arthur</li></ol>
Aufrican|Aufricans	<i>noun</i><br><ol><li>African (person)</li></ol>
Baex	<i>name</i><br><ol><li>Bayeux (a city in France)</li></ol>
Baudas	<i>name</i><br><ol><li>Baghdad</li></ol>
Besençun	<i>name</i><br><ol><li>Besançon (city)</li></ol>
Bretaigne	<i>name</i><br><ol><li>what is now known as Britain or the United Kingdom</li><li>Brittany (a region of France)</li></ol>
Bretaigne la Menur	<i>name</i><br><ol><li>Brittany (a region of France)</li></ol>
Breton|Bretons	<i>noun</i><br><ol><li>Breton (inhabitant of Brittany)</li></ol>
Bretun|Bretuns	<i>noun</i><br><ol><li>(Anglo-Norman) Breton person</li><li>(Anglo-Norman) Britton</li></ol>
Caameiz|Caameizes|Caameize	<i>noun</i><br><ol><li>Someone from Caen, France</li></ol>
Caem|Caëm	<i>name</i><br><ol><li>Caen (a city in Normandy)</li></ol>
Camaalot|Camaaloz	<i>name</i><br><ol><li>Camelot</li></ol>
Cantorbire|Quantorbire	<i>name</i><br><ol><li>Canterbury (a cathedral city in modern Kent, England)</li></ol>
Carles li magnes	<i>name</i><br><ol><li>Charlemagne (emperor of France in the Middle Ages)</li></ol>
Carlon|Carles	<i>name</i><br><ol><li>(12th century or Anglo-Norman) Alternative form of Charlon</li></ol>
Carlun|Carles	<i>name</i><br><ol><li>(12th century or Anglo-Norman) Alternative form of Charlon</li></ol>
Chanpaigne	<i>name</i><br><ol><li>Champagne (a region of France)</li></ol>
Charlun|Charles	<i>name</i><br><ol><li>(Anglo-Norman) Alternative form of Charlon</li></ol>
Cistials	<i>name</i><br><ol><li>Cîteaux (abbey in Côte-d'Or, France)</li></ol>
Cornewaleys|Cornewaleyses|Cornewaleyse	<i>noun</i><br><ol><li>Cornish person</li></ol>
Cornoailles	<i>name</i><br><ol><li>Cornwall</li></ol>
Cornuaille	<i>name</i><br><ol><li>Cornwall (a region in southern England)</li></ol>
Costantinople	<i>name</i><br><ol><li>Constantinople (the ancient capital of the Byzantine Empire, in modern Turkey; modern Istanbul)</li></ol>
Creator|Criator|Creators|Criators	<i>name</i><br><ol><li>the Creator; God</li></ol>
Damnedeu	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Daneis	<i>noun</i><br><ol><li>Dane (Danish person)</li></ol>
Danemarche|Danemarches	<i>name</i><br><ol><li>Denmark (country)</li></ol>
Deu|Dieu|Dex|Diex|Dieus|Deus	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Diex aie|Dex aie	<i>intj</i><br><ol><li>(Norman) The battle cry of the Dukes of Normandy, and the Normans at the Battle of Hastings.</li></ol>
Dovre	<i>name</i><br><ol><li>Dover (a town and port in modern Kent, in southeast England)</li></ol>
Dunoe	<i>name</i><br><ol><li>Danube (river)</li></ol>
Egypte	<i>name</i><br><ol><li>Egypt (country)</li></ol>
Egyptien|Egyptienes|Egyptiene|Egyptiens	<i>noun</i><br><ol><li>Egyptian person</li></ol>
Einglois	<i>noun</i><br><ol><li>Englishman</li></ol>
Engleis|Engleize|Angleche|Angloises|Engleise|Engleiz|Angleches|Engleizes|Angloise|Engleises|Anglois	<i>noun</i><br><ol><li>Englishman; English person</li></ol>
Engletere	<i>name</i><br><ol><li>England</li></ol>
Engleterre	<i>name</i><br><ol><li>England (country)</li></ol>
Escoce|Ecoce	<i>name</i><br><ol><li>Scotland</li></ol>
Escriture	<i>name</i><br><ol><li>the Scripture (the Christian Bible)</li></ol>
Espaigne|Espayne	<i>name</i><br><ol><li>Iberia, the Iberian Peninsula; modern day Spain and Portugal</li></ol>
France	<i>name</i><br><ol><li>France (country)</li></ol>
François|Françoys|Frauncheize|Françoise|Frauncheiz|Frauncheizes|Françoyse	<i>noun</i><br><ol><li>Frenchman</li></ol>
Fraunce	<i>name</i><br><ol><li>France (country)</li></ol>
Fraunceis|Fraunceise|Fraunceises	<i>noun</i><br><ol><li>Frenchman</li></ol>
Gales	<i>name</i><br><ol><li>Wales (country)</li></ol>
Galois|Galoises|Galoise	<i>noun</i><br><ol><li>Welsh person; Welshman</li></ol>
Gascoigne	<i>name</i><br><ol><li>Gascony</li></ol>
Gauvain|Gauvains	<i>name</i><br><ol><li>Gawain (Arthurian mythology)</li></ol>
Gersui	<i>name</i><br><ol><li>Jersey (island)</li></ol>
Giu|Gius|juiu|juius	<i>noun</i><br><ol><li>Alternative letter-case form of giu (sometimes capitalized by scholars)</li></ol>
Glocestre	<i>name</i><br><ol><li>Gloucester (a city in England)</li></ol>
Grant Bretaigne	<i>name</i><br><ol><li>Britain; Great Britain</li></ol>
Grece|Gresse	<i>name</i><br><ol><li>(Ancient) Greece</li></ol>
Grezois|Grezoise|Grezoises	<i>noun</i><br><ol><li>Greek (a person of Greek descent)</li></ol>
Griu|Grius	<i>noun</i><br><ol><li>Greek (Greek person)</li></ol>
Guinesores	<i>name</i><br><ol><li>Windsor (town)</li></ol>
Hames	<i>name</i><br><ol><li>Homs</li></ol>
Hastingues	<i>name</i><br><ol><li>Hastings</li></ol>
Irlande	<i>name</i><br><ol><li>Ireland</li></ol>
Itaire	<i>name</i><br><ol><li>Italy (European country)</li></ol>
Jehan Baptiste	<i>name</i><br><ol><li>John the Baptist</li></ol>
Jherusalem|Ierusalem	<i>name</i><br><ol><li>Jerusalem (a city in Levant; the claimed (and de-facto) capital city of modern Israel; the claimed capital city of modern Palestine)</li></ol>
Jhesu|Jhesus	<i>name</i><br><ol><li>Jesus (religious figure)</li></ol>
Jhesu Christ|Jhesucrist|Jhesucriz	<i>name</i><br><ol><li>Jesus Christ (religious figure)</li></ol>
Kardif	<i>name</i><br><ol><li>Cardiff (a city in Wales)</li></ol>
Karlemaigne|Karlemaignes	<i>name</i><br><ol><li>Charlemagne (former European emperor)</li></ol>
Karlon|Karles	<i>name</i><br><ol><li>(12th century or Anglo-Norman) Alternative form of Charlon</li></ol>
Karlun|Karles	<i>name</i><br><ol><li>(12th century or Anglo-Norman) Alternative form of Charlon</li></ol>
Lancelot|Lanceloz	<i>name</i><br><ol><li>(Arthurian legend) Lancelot</li></ol>
Lazaron|Lazares	<i>name</i><br><ol><li>Lazarus (New Testament)</li></ol>
Londres|Londrez	<i>name</i><br><ol><li>London (the capital city of the modern United Kingdom; capital city of England)</li></ol>
Lundres	<i>name</i><br><ol><li>(Anglo-Norman) Alternative form of Londres (London)</li></ol>
Lutice	<i>name</i><br><ol><li>Paris (the capital city of France)</li></ol>
Mahumet|Mahumez	<i>name</i><br><ol><li>Muhammad (prophet)</li></ol>
Mancel|Manceus|Mancele|Manciax|Manciaus|Manceaus|Mancels|Manceax|Manceles	<i>noun</i><br><ol><li>Someone from Le Mans, France</li></ol>
Mansel|Mansiax|Manseus|Mansele|Manseaus|Manseax|Mansiaus|Manseles|Mansels	<i>noun</i><br><ol><li>Someone from Le Mans, France</li></ol>
Noel|Noiax|Noiaus|Noeax|Noels|Noeaus	<i>noun</i><br><ol><li>Christmas</li></ol>
Norgales	<i>name</i><br><ol><li>North Wales</li></ol>
Norgege	<i>name</i><br><ol><li>Norway</li></ol>
Norman|Normanz|Normans	<i>noun</i><br><ol><li>Norman (someone from Normandy)</li></ol>
Normant|Normande	<i>noun</i><br><ol><li>Norman (person)</li></ol>
Normaundie	<i>name</i><br><ol><li>Normandy</li></ol>
Normendie	<i>name</i><br><ol><li>Normandy (region in Northern France)</li></ol>
Northonblonde	<i>name</i><br><ol><li>Northumberland</li></ol>
Norweie	<i>name</i><br><ol><li>Norway</li></ol>
Notingeham	<i>name</i><br><ol><li>Nottingham (a city in England)</li></ol>
Ostriche	<i>name</i><br><ol><li>Austria (country)</li></ol>
Paradis|Parais	<i>name</i><br><ol><li>Paradise (Heaven)</li></ol>
Paris	<i>name</i><br><ol><li>Paris (the capital and largest city of modern France)</li></ol>
Pasque	<i>name</i><br><ol><li>Easter</li></ol>
Peitiers	<i>name</i><br><ol><li>Poitiers (a city in France)</li></ol>
Pere|le Pere	<i>name</i><br><ol><li>(Christianity) God</li></ol>
Petite Bretaigne	<i>name</i><br><ol><li>Brittany (a region of France)</li></ol>
Plymuth	<i>name</i><br><ol><li>Plymouth (English city)</li></ol>
Polain	<i>noun</i><br><ol><li>a Poulain</li></ol>
Rencesvals	<i>name</i><br><ol><li>Roncesvalles</li></ol>
Roem	<i>name</i><br><ol><li>Rouen (a city in Normandy)</li></ol>
