Angelond|Angelondes|Angelonde	<i>name</i><br><ol><li>England</li></ol>
Auwesburg|Auwesburges|Auwesburge	<i>noun</i><br><ol><li>Augsburg</li></ol>
Kerl	<i>name</i><br><ol><li>Charles</li></ol>
Master|Māstere|Māsteres|Māster	<i>name</i><br><ol><li>God, the Lord, the Creator</li></ol>
abba|abbaar|abbaum|abbaem|abbaes|abbaa|abbae	<i>noun</i><br><ol><li>abbot</li></ol>
achta	<i>num</i><br><ol><li>eight</li></ol>
achtende	<i>adj</i><br><ol><li>eighth</li></ol>
achttwintegosta	<i>adj</i><br><ol><li>twenty-eighth</li></ol>
advent|adventar|adventes|adventum|adventem|adventa|advente	<i>noun</i><br><ol><li>advent</li></ol>
afte|efte|ēfte|āfte	<i>adj</i><br><ol><li>lawful</li></ol>
aga|āga	<i>verb</i><br><ol><li>(auxiliary) to have to</li></ol>
age|āga|āgene|āgum|āge|āgnem|āgne|āgem|āgena|āgnum	<i>noun</i><br><ol><li>(anatomy) eye</li></ol>
ain|ein|ēin|āin	<i>adj</i><br><ol><li>own</li></ol>
ak|āk	<i>adv</i><br><ol><li>also, too</li></ol>
aland|alondum|āland|ālandes|ālande|ālanda|alondem|alonde|alonda|alondes|ālandum|ālond|alond|ālandem	<i>noun</i><br><ol><li>island</li></ol>
aldafeder|aldafedere|aldafedrum|aldafederem|aldafederum|aldafedrem|aldafederes|aldafedera	<i>noun</i><br><ol><li>grandfather</li></ol>
aldemoder|aldemōdera|aldemōdrum|aldemōderem|aldemōdrem|aldemōdere|aldemōderum|aldemōder	<i>noun</i><br><ol><li>grandmother</li></ol>
alderman|aldirmonna|aldirmonnum|aldirmonnem|aldirmen|aldermannem|aldirmonnes|aldermannes|aldermen|aldermannum|aldermanne|aldirmon|aldermanna|aldirmonne	<i>noun</i><br><ol><li>alderman</li></ol>
alsa	<i>conj</i><br><ol><li>so</li><li>also</li><li>as</li></ol>
altare|altāra|altārum|altāru|altāre|altāres|altārar|altārem	<i>noun</i><br><ol><li>altar</li></ol>
and	<i>conj</i><br><ol><li>and</li></ol>
andern|anderne|andernem|andernes|anderna|andernum	<i>noun</i><br><ol><li>window</li></ol>
andlofta	<i>adj</i><br><ol><li>eleventh</li></ol>
andlova	<i>num</i><br><ol><li>eleven</li></ol>
angel|angele|angelum|angelar|angela|angelem|angeles	<i>noun</i><br><ol><li>angel</li><li>fishhook</li><li>stinger</li></ol>
anker|ankerum|ankera|ankerar|ankere|ankerem|ankeres	<i>noun</i><br><ol><li>anchor</li></ol>
apostol|apostelem|aposteles|apostelar|apostele|apostel|apostole|apostolar|apostela|apostoles|apostolum|apostelum|apostola|apostolem	<i>noun</i><br><ol><li>apostle</li></ol>
apostolisdi|apostolisdegar|apostolisdegem|apostolisdega|apostolisdegum|apostolisdīs|apostolisdī	<i>noun</i><br><ol><li>day dedicated to an apostle</li></ol>
appel	<i>noun</i><br><ol><li>apple</li></ol>
are|āra|ārena|ārum|ārnum|ārem|ārne|ārene|ārnem|āre	<i>noun</i><br><ol><li>ear</li></ol>
askia|āskiath|āskaden|āskia|āska|āskath|āskast|āskien|eāskad|āskade|āskadest|āskie|āskad|āskande	<i>verb</i><br><ol><li>to ask, to demand</li></ol>
aththa	<i>noun</i><br><ol><li>juror, juryman</li></ol>
athum|āthoma|āthem|āthum|āthomem|āthomes|athom|āthom|athem|āthomum|āthomar|āthome	<i>noun</i><br><ol><li>son-in-law</li></ol>
atta|aththa	<i>noun</i><br><ol><li>father</li></ol>
bag|bāga|bāge|bāg|bāgum|bāges|bāgar|bāgem	<i>noun</i><br><ol><li>a ring</li></ol>
bam|bāmar|bām|baem|bāmum|bāma|bāmes|bāme|bāmem	<i>noun</i><br><ol><li>tree</li><li>bench</li><li>seat</li></ol>
bane|bāne	<i>noun</i><br><ol><li>bean</li></ol>
bedd	<i>noun</i><br><ol><li>bed</li></ol>
ben|bēn	<i>noun</i><br><ol><li>bone</li><li>leg</li></ol>
besluta|beslāt|beslūten|beslūtest|besleten|beslūtst|beslete|beslūta|beslūtath|beslātest|beslūt|beslātst|beslūteth|beslūte|beslūtande|ebesleten|beslūtth	<i>verb</i><br><ol><li>to lock up</li></ol>
biada|biādeth|bād|bede|biādande|biudeth|ebeden|biād|biudest|bādst|biudst|biādath|biāda|bādest|beden|biāde|biudth|biāden	<i>verb</i><br><ol><li>to offer, give</li></ol>
bidda|bed|bidden|bidd|bedest|bidde|biddande|bēden|ebeden|biddeth|biddest|biddath|biddth|bēde|beden|bedst|biddst	<i>verb</i><br><ol><li>to ask</li></ol>
bideithingia	<i>verb</i><br><ol><li>to decide</li></ol>
bifestnia	<i>verb</i><br><ol><li>to fix</li></ol>
bifiuchta|bifuchte|bifiuchtande|bifachtest|bifachtst|bifiuchte|bifiuchtth|bifiuchten|ebifuchten|bifiuchtath|bifiuchtest|bifacht|bifiuchteth|bifiucht|bifuchten|bifiuchtst	<i>verb</i><br><ol><li>to attack, to fight (over something)</li></ol>
biforaworda	<i>verb</i><br><ol><li>to contract</li></ol>
bigunga	<i>verb</i><br><ol><li>to start</li></ol>
bihefta	<i>verb</i><br><ol><li>to fix</li></ol>
bihella	<i>verb</i><br><ol><li>to cover</li></ol>
biliaga|biliāgest|biliāgeth|ebilegen|bilāg|biliāg|biliāgath|biliāgst|biliāge|biliāgth|bilāgst|bilegen|bilege|biliāgen|biliāgande|bilāgest|biliāga	<i>verb</i><br><ol><li>to tell lies</li></ol>
binda	<i>verb</i><br><ol><li>to bind</li></ol>
binima	<i>verb</i><br><ol><li>to take</li></ol>
bired|birēda|birēdem|birēd|birēde|birēdes|birēdum|birēdar	<i>noun</i><br><ol><li>advice, council</li></ol>
biriuchta	<i>verb</i><br><ol><li>to declare</li></ol>
bisia	<i>verb</i><br><ol><li>to detect</li></ol>
biskathigia	<i>verb</i><br><ol><li>to damage</li></ol>
biskera	<i>verb</i><br><ol><li>to cut off</li></ol>
biswera	<i>verb</i><br><ol><li>to swear</li></ol>
bita|bīta	<i>verb</i><br><ol><li>to bite</li></ol>
bitella|ebitelled|bitellest|bitellth|bitellande|bitalde|bitalden|bitelled|bitellath|bitellen|bitellst|bitelle|bitelleth|bitaldest	<i>verb</i><br><ol><li>to calculate</li></ol>
bithanka	<i>verb</i><br><ol><li>to consider</li></ol>
bithekka	<i>verb</i><br><ol><li>to deck</li><li>to cover</li></ol>
bitrachtia	<i>verb</i><br><ol><li>to consider</li></ol>
bled|bleda|bledum|blede|bledes|bledem	<i>noun</i><br><ol><li>leaf</li></ol>
blixenia	<i>verb</i><br><ol><li>to flash</li></ol>
boes-doer	<i>noun</i><br><ol><li>(Old West Frisian) door of a byre</li></ol>
bos|bōs	<i>noun</i><br><ol><li>stall, byre</li></ol>
boste|bōste	<i>noun</i><br><ol><li>marriage</li></ol>
brad|brād	<i>noun</i><br><ol><li>bread</li></ol>
bred|brēd	<i>adj</i><br><ol><li>broad, wide</li></ol>
breda|brēde|brēdst|brēdath|brēda|brēdest|brēdth|brēdeth|brēden|brēdande|brēd|ebrēden	<i>verb</i><br><ol><li>to roast</li></ol>
bredgoma|brēdgoma|breidgoma	<i>noun</i><br><ol><li>bridegroom</li></ol>
breka	<i>verb</i><br><ol><li>to break</li></ol>
brenga|ebrocht|brength|brengen|brochte|brengeth|brengath|brochten|brenge|brengest|brocht|bringa|branga|brengst|brochtest|brengande	<i>verb</i><br><ol><li>to bring</li></ol>
briuwa|briūwa	<i>verb</i><br><ol><li>to brew</li></ol>
brom|brōm	<i>noun</i><br><ol><li>furze</li><li>broom</li></ol>
brother|brōther	<i>noun</i><br><ol><li>brother</li></ol>
bruka|brūkst|ebreken|brūkath|breke|brākest|brūka|brāk|brūketh|brūkande|brūke|brūk|brūkth|brākst|brūken|breken|brūkest	<i>verb</i><br><ol><li>to use</li></ol>
buk|būkum|būkem|būk|būka|būkar|būke|būkes	<i>noun</i><br><ol><li>belly</li></ol>
bur|būrar|būres|būrem|būra|būrum|būr|būre	<i>noun</i><br><ol><li>a peasant, farmer</li></ol>
buta|būta	<i>conj</i><br><ol><li>unless</li></ol>
damma	<i>verb</i><br><ol><li>to dam</li></ol>
dath|dāthe|dātha|dāthum|dāthar|dāth|dāthes|dāthem	<i>noun</i><br><ol><li>death</li></ol>
davia|dāva|dāvie|dāvaden|dāvade|dāviath|dāvadest|dāvande|dāvast|edāvad|dāvien|dāvia|dāvath|dāvad	<i>verb</i><br><ol><li>to become deaf</li></ol>
ded|dēd	<i>noun</i><br><ol><li>deed</li></ol>
dei|degar|di|deis|dīs|dī|dega|degem|degum	<i>noun</i><br><ol><li>day</li></ol>
dela|dēlande|dēla|dēlden|dēlst|dēlath|dēldest|dēleth|dēlest|edēled|dēled|dēlth|dēle|dēlen|dēlde	<i>verb</i><br><ol><li>to distribute</li></ol>
depa|dēpte|dēpeth|dēpth|dēped|dēpe|edēped|dēpen|dēpten|dēpath|dēpa|dēptest|dēpest|dēpande|dēpst	<i>verb</i><br><ol><li>to baptize</li></ol>
diore	<i>adj</i><br><ol><li>expensive</li></ol>
dochter|dochtere|dochterum|dochtera|dochterem|dochtrem|dochtrum	<i>noun</i><br><ol><li>daughter</li></ol>
dokke|dokkan|dokku|dokka	<i>noun</i><br><ol><li>A wisp or bundle of straw tied at the head, used to fill gaps in tiles, roofs, etc.</li></ol>
dram|drāmar|drāmum|drāmem|drāme|drāmes|drām|drāma	<i>noun</i><br><ol><li>a dream</li></ol>
drinka|drankest|drank|dranke|dranken|drankst|drinketh|drinkst|edrunken|drinkande|drink|drinkth|drinke|drunken|drinken|drinkath|drinkest	<i>verb</i><br><ol><li>to drink</li></ol>
driva|drēfst|drīv|drīven|drēfest|driven|drīvande|drīvth|drīvest|drīve|drīvath|drēf|drīveth|drive|edriven|drīvst|drīva	<i>verb</i><br><ol><li>to drive away</li></ol>
drochten	<i>noun</i><br><ol><li>lord</li></ol>
dwa|duan|dūa|dwān|dua|dwan|duān|dwā|duā	<i>verb</i><br><ol><li>(transitive) to do</li></ol>
eala|ēala	<i>intj</i><br><ol><li>hail!</li></ol>
eftergunga	<i>verb</i><br><ol><li>to follow</li></ol>
efterkuma	<i>verb</i><br><ol><li>to follow</li></ol>
eide|eida|eidon|eidena|eidum|eidem	<i>noun</i><br><ol><li>harrow</li></ol>
ek|ēk	<i>noun</i><br><ol><li>oak</li></ol>
ellefte	<i>adj</i><br><ol><li>eleventh</li></ol>
em|ēma|ēmar|ēmum|ēmes|ēm|ēmem|ēme	<i>noun</i><br><ol><li>an uncle, mother's brother</li></ol>
en|an|ēne|ēnne|ēnes|ēnere|een|ānne|anne|ēn|ān|ēnre	<i>num</i><br><ol><li>one</li></ol><br><i>article</i><br><ol><li>a, an</li></ol>
en and twintegosta	<i>adj</i><br><ol><li>twenty-first</li></ol>
en and twintich	<i>num</i><br><ol><li>twenty-one</li></ol>
endia	<i>verb</i><br><ol><li>to finish</li></ol>
enich|āng|eng|ānich|anich|ēng|ēnich|ang	<i>det</i><br><ol><li>any</li></ol>
er|ēr	<i>adv</i><br><ol><li>earlier, previously</li></ol><br><i>prep</i><br><ol><li>(of time) before</li></ol>
ere|ērem|ērena|ēr|ēron|er|ērum|ēre|ēra	<i>noun</i><br><ol><li>honour</li></ol>
erest|erst|arst|ārist|ērst|arist|erost|ērest|ērost|ārst	<i>adj</i><br><ol><li>first</li></ol>
erm|erme|ermem|ermum|erma|ermes|ermar	<i>noun</i><br><ol><li>(anatomy) arm</li></ol><br><i>adj</i><br><ol><li>poor</li></ol>
erthbivinge|erthbivingum|irthbivingena|erthbivingem|erthbivinga|erthbivingena|irthbivingon|irthbivingem|erthbivingon|irthbivinge|irthbivinga|irthbivingum	<i>noun</i><br><ol><li>earthquake</li></ol>
erthe|erthena|erthon|ertha|erthem|erthum	<i>noun</i><br><ol><li>earth</li></ol>
ettinge|ettingem|ettingum|ettinga|ettingena|ettingon	<i>noun</i><br><ol><li>pasture</li></ol>
evest|evēst	<i>noun</i><br><ol><li>envy, jealousy</li></ol>
fa|fā	<i>verb</i><br><ol><li>(transitive) to catch</li></ol>
fach|fāch	<i>adj</i><br><ol><li>outlawed</li></ol>
