აბანოჲ|abanoy	<i>noun</i><br><ol><li>bathhouse</li></ol>
აბრეშუმი|abrešumi	<i>noun</i><br><ol><li>silk</li></ol>
აგარაკი|agaraḳi	<i>noun</i><br><ol><li>field; village; garden</li></ol>
აგური|aguri	<i>noun</i><br><ol><li>brick</li></ol>
ადგილი|adgili	<i>noun</i><br><ol><li>place</li></ol>
ადვილ|advil	<i>adv</i><br><ol><li>easily</li></ol>
ადრე|adre	<i>adv</i><br><ol><li>early</li><li>tomorrow</li></ol>
ავაზანი|avazani	<i>noun</i><br><ol><li>pool, water tank</li><li>cauldron, basin</li><li>(Christianity) baptismal font</li></ol>
ავარი|avari	<i>noun</i><br><ol><li>plunder, booty</li></ol>
ავთოლოფოსი|avtoloposi	<i>noun</i><br><ol><li>antelope</li></ol>
ათი|ati	<i>num</i><br><ol><li>ten</li></ol>
აკუმი|aḳumi	<i>noun</i><br><ol><li>chair, bench</li><li>pile, heap</li></ol>
ალაგი|alagi	<i>noun</i><br><ol><li>trail, road, way</li></ol>
ამეთჳსტონი|ametwisṭoni	<i>noun</i><br><ol><li>amethyst</li></ol>
ამინატონი|aminaṭoni	<i>noun</i><br><ol><li>asbestos stone</li></ol>
ანაზდი|anazdi	<i>adj</i><br><ol><li>sudden</li></ol><br><i>adv</i><br><ol><li>suddenly</li></ol>
ანგარი|angari	<i>noun</i><br><ol><li>avaricious, greedy</li></ol>
ანგელოზი|angelozi	<i>noun</i><br><ol><li>angel</li></ol>
ანდამატიაჲ|andamaṭiay	<i>noun</i><br><ol><li>diamond</li><li>adamant</li></ol>
ანთრაკი|antraḳi	<i>noun</i><br><ol><li>a deep red precious stone, a carbuncle</li></ol>
ანუ|anu	<i>conj</i><br><ol><li>or</li></ol>
აპნისი|aṗnisi	<i>name</i><br><ol><li>January</li></ol>
არწივი|arc̣ivi	<i>noun</i><br><ol><li>eagle</li></ol>
ასი|asi	<i>num</i><br><ol><li>hundred</li></ol>
ასული|asuli	<i>noun</i><br><ol><li>daughter</li></ol>
ატამი|aṭami	<i>noun</i><br><ol><li>peach (Prunus persica)</li></ol>
აფსინდი|apsindi	<i>noun</i><br><ol><li>absinthe wormwood (Artemisia absinthium)</li></ol>
აქატჱ|akaṭē	<i>noun</i><br><ol><li>agate</li></ol>
აქლემი|aklemi	<i>noun</i><br><ol><li>camel</li></ol>
