Adalfrao	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Adalhaoh	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Aginesheim	<i>name</i><br><ol><li>a place name</li></ol>
Aguringas	<i>name</i><br><ol><li>a place name</li></ol>
Aotakchar	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Aothram	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Aotker	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Aotuni	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Apendorf	<i>name</i><br><ol><li>a place name</li></ol>
Apinheim	<i>name</i><br><ol><li>a place name</li></ol>
Balder	<i>name</i><br><ol><li>Balder</li></ol>
Beiara	<i>name</i><br><ol><li>Bavaria</li><li>Bavarians</li></ol>
Bertcaoz	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Coazmar	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Deonant	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Deotolf	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Diotmar	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Donar|Donarum|Donara|Donare|Donaro|Donares|Donaru	<i>name</i><br><ol><li>the god of thunder</li></ol>
Egilolfesheim	<i>name</i><br><ol><li>a place name</li></ol>
Einharteshuson	<i>name</i><br><ol><li>a place name</li></ol>
Elba	<i>name</i><br><ol><li>the river Elbe</li></ol>
Eodunc	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Eonolt	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Feoht	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Franko|Frankōno|Frankon|Franken|Frankōm	<i>noun</i><br><ol><li>a Frank</li></ol>
Fria|Frīa	<i>name</i><br><ol><li>Goddess Frigg</li><li>(astronomy) Venus</li></ol>
Friia|Friiōno|Friiu|Friiōm|Friiā	<i>name</i><br><ol><li>Frigga</li></ol>
Godan	<i>name</i><br><ol><li>Woden, Odin</li></ol>
Hadubraht	<i>name</i><br><ol><li>(Hildebrandslied) Misspelling of Hadubrant.</li></ol>
Herideo	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
Hiltibraht	<i>name</i><br><ol><li>(Hildebrandslied) Misspelling of Hiltibrant.</li></ol>
Hruodgaoz	<i>name</i><br><ol><li>(Bavaria) an unknown-gender given name</li></ol>
