pitötu	<i>num</i><br><ol><li>one</li></ol>
あかとき|akato₂ki₁	<i>noun</i><br><ol><li>曉: the dawn, daybreak</li></ol>
あが|aga	<i>pron</i><br><ol><li>吾が: my</li></ol><br><i>particle</i><br><ol><li>吾が: I am</li></ol>
あきやま|aki₁yama	<i>noun</i><br><ol><li>秋山: large hill, mountain, or peak in the autumn</li></ol>
あしひ|asipi₂	<i>noun</i><br><ol><li>葦火: a bonfire of dried reeds</li></ol>
あしひきの|asi pi₁ki₂ no₂	<i>phrase</i><br><ol><li>足引きの: pillow word of uncertain meaning, allusion to 山 (yama, “mountain”), 峰 (wo, “peak, hilltop”), 岩根 (ipane, “rock”), etc.</li></ol>
あしふ|asipu	<i>noun</i><br><ol><li>葦火: (regional, Central Eastern Old Japanese) a bonfire of dried reeds</li></ol>
あづき|aduki₁	<i>noun</i><br><ol><li>小豆: the azuki bean, Vigna angularis</li></ol>
あづさゆみ|adusa yumi₁	<i>noun</i><br><ol><li>梓弓: bow made from the wood of the Japanese cherry birch (Betula grossa); allusion to い (i), いる (iru), はる (paru), ひく (pi₁ku), もと (moto₂), すゑ (suwe), つる (turu), よる (yo₁ru), おと (oto₂), や (ya), etc.</li></ol>
あめのかぐやま|Ame₂ no₂ Kaguyama	<i>name</i><br><ol><li>天香具山, 天香久山: a mountain in Kashihara, Nara Prefecture</li></ol>
いかり|ikari	<i>noun</i><br><ol><li>an anchor</li></ol>
いくさ|ikusa	<i>noun</i><br><ol><li>軍: soldier, warrior; army</li><li>射: archery</li></ol>
いづく|iduku	<i>pron</i><br><ol><li>indefinite interrogative pronoun: where, whence, whither, which</li><li>indefinite demonstrative pronoun: anywhere, everywhere, somewhere</li></ol>
いとこ|ito₁ko₁	<i>noun</i><br><ol><li>a person close, familial, or otherwise beloved (to the speaker, etc.)</li><li>(by extension) one's cousin</li></ol>
いへつとり|ipe₁ tu to₂ri	<i>noun</i><br><ol><li>家つ鳥: bird kept in a house, allusion to 鷄 (kake₁, “chicken”)</li></ol>
いまし|ima si	<i>phrase</i><br><ol><li>今し: just now; now; more</li></ol>
おきつとり|oki₁ tu to₂ri	<i>noun</i><br><ol><li>沖つ鳥: bird at sea, allusion to 鴨 (kamo, “duck”); from the cry of the 䳑鴨 (ajikamo, “Baikal teal”), allusion to 味經 (Adipu, a placename); allusion to 胸見る (munami₁ru, “look at one's chests”)</li></ol>
おつ|otu	<i>verb</i><br><ol><li>落つ, 堕つ, 墜つ: to fall down, drop</li></ol>
かなるましづみ|kanaru ma-sidumi₁	<i>phrase</i><br><ol><li>The meaning of this term is uncertain. Possibilities include: clamor or some other sounds dying down</li></ol>
かぬち|kanuti	<i>noun</i><br><ol><li>鍛: forging, smithing; metalsmith, smith</li></ol>
かはる|kaparu	<i>verb</i><br><ol><li>變はる: to change, become different; to renew (said of months and/or years)</li><li>替はる: to alternate, take turns</li></ol>
かふ|かひき|kafazu|kafitari|かへたり|kafemu|かへよ|かは|かはず|kafeba|かへず|かへつ|kafeki|kafetu|kafureba|かふ|かへぬ|kafaba|かへど|かへ|kafinu|kafu|かふれ|かへけり|kafezu|かへば|kafenu|kafekeri|kafeyo|かひけり|かへむ|kafi|kafuru|kafamu|kafikeri|かふる|kafa|kafe|kafitu|kafiki|かひたり|kafure|kapu|kafuredo|かはば|kafetari|kaferi|かふれば|かへき|kafedo|かひつ|かひ|かふれど|かひぬ|かはむ|かへり	<i>verb</i><br><ol><li>飼ふ: to raise, rear, keep (livestock)</li><li>買ふ: to buy, exchange</li><li>換ふ, 易ふ: to replace; to exchange, interchange</li></ol>
かへす|kape₁su	<i>verb</i><br><ol><li>返す, 反す: return something</li><li>歸す: send someone home</li></ol>
かへる|kape₁ru	<i>verb</i><br><ol><li>反る, 返る: to turn backwards, to flip or turn so the back side is facing forwards; to turn upside-down; to fall over on a side; to turn over</li><li>反る: to change in shape or quality</li><li>返る: to start again, to renew (generally in reference to the new year)</li><li>歸る: to arrive back home; to leave in order to go home</li></ol>
かまめ|kamame₂	<i>noun</i><br><ol><li>The meaning of this term is uncertain. Possibilities include: a seagull, gull; a white waterfowl</li></ol>
かめ|kame₁|kame₂	<i>noun</i><br><ol><li>龜: tortoise, turtle</li><li>甁: bottle, jar, or any other vessel made of earthenware, ceramic, or metal</li></ol>
くぢら|kudira	<i>noun</i><br><ol><li>a whale</li></ol>
けふ|ke₂pu|ke₁pu	<i>noun</i><br><ol><li>today</li><li>(regional, Central Eastern Old Japanese) today</li></ol>
けり|けりけり|keritu|kerinu|keriki|keri|けらむ|kerazu|けれ|keru|けらば|ける|keredo|けりつ|kera|kerikeri|ke₁ri|keritari|けれど|けら|ければ|kereba|けりき|keraba|keramu|けりたり|kere|けりぬ|けらず	<i>suffix</i><br><ol><li>auxiliary verb indicating past tense: -ed</li><li>auxiliary verb indicating that the speaker has just realized something</li><li>auxiliary verb indicating that the speaker already realized something and points out a rationale: that's why it was...</li></ol><br><i>verb</i><br><ol><li>著り, 服り: wearing</li><li>來り: coming</li></ol>
こそ|ko₂so₂	<i>particle</i><br><ol><li>emphatic particle used for emphasis</li><li>sentence-ending particle expressing humility</li><li>sentence-ending particle expressing hope for others</li></ol>
こち|ko₂ti	<i>pron</i><br><ol><li>this direction, this way</li></ol><br><i>noun</i><br><ol><li>東風: spring easterly</li></ol>
ことだまのさきはふくに|ko₂to₂dama no₂ saki₁papu kuni	<i>noun</i><br><ol><li>言靈の幸ふ國: epithet for ancient Japan; literally "a country blessed with kotodama"</li></ol>
さかき|sakaki₂	<i>noun</i><br><ol><li>any evergreen tree planted within precincts of a Shinto shrine</li></ol>
ささのは|sasa no₂ pa	<i>noun</i><br><ol><li>笹の葉: leaves of small bamboo</li></ol>
さし|sasi|サシ	<i>noun</i><br><ol><li>城: castle</li></ol>
しだ|sida	<i>noun</i><br><ol><li>a (particular) time, circumstance, occasion</li></ol>
しまつとり|sima tu to₂ri	<i>noun</i><br><ol><li>島つ鳥: island bird, allusion to 鵜 (u, “cormorant”)</li></ol>
