adĕg	<i>verb</i><br><ol><li>to stand</li></ol>
agajih	<i>adj</i><br><ol><li>fatty</li><li>greasy</li></ol>
agni	<i>noun</i><br><ol><li>fire</li></ol>
agöṅ|agĕṅ|göṅ|aguṅ|magĕṅ|magöṅ	<i>adj</i><br><ol><li>big</li><li>large</li><li>great</li><li>strong</li></ol>
ajudi	<i>verb</i><br><ol><li>to gamble</li></ol>
aku	<i>pron</i><br><ol><li>I (personal pronoun)</li><li>me (direct object of a verb)</li><li>me (object of a preposition)</li><li>me (indirect object of a verb)</li><li>my (belonging to me)</li></ol>
akṣara	<i>noun</i><br><ol><li>letter (of the alphabet)</li></ol>
alas	<i>noun</i><br><ol><li>wood, forest</li><li>quantity of flowers or plants growing in a thick cluster</li></ol>
alas-alas	<i>noun</i><br><ol><li>grove</li></ol>
alas-alasan	<i>noun</i><br><ol><li>woodland</li><li>wasteland</li></ol>
alun	<i>noun</i><br><ol><li>long rolling wave</li><li>swell of the sea</li></ol>
alĕmu	<i>adj</i><br><ol><li>fat</li></ol>
amarwa	<i>verb</i><br><ol><li>(transitive) to halve, divide in two</li><li>(intransitive) to become two</li></ol>
amarwani	<i>verb</i><br><ol><li>to occupy half,</li><li>to share with another</li></ol>
ambo	<i>noun</i><br><ol><li>escort (who walks beside a horse, etc.)</li></ol>
anak	<i>noun</i><br><ol><li>child (a female or male child, a daughter or son)</li></ol>
aneh	<i>adj</i><br><ol><li>foreign</li></ol>
antan	<i>noun</i><br><ol><li>pestle</li></ol>
antru	<i>noun</i><br><ol><li>beam</li></ol>
aparwa	<i>adj</i><br><ol><li>divided, split in two;</li><li>(of the mind) wavering, drawn in two directions</li></ol><br><i>verb</i><br><ol><li>to compose a story</li><li>to be the subject of a story</li></ol>
api	<i>noun</i><br><ol><li>fire</li></ol>
apuy	<i>noun</i><br><ol><li>fire (oxidation reaction)</li></ol>
ari	<i>noun</i><br><ol><li>younger sibling (sister or brother)</li></ol>
artha	<i>noun</i><br><ol><li>aim, purpose.</li><li>wealth, possessions; money</li><li>sense, meaning.</li></ol>
arus	<i>noun</i><br><ol><li>(water) current, tidal current, breaker</li></ol>
asu	<i>noun</i><br><ol><li>dog</li></ol>
athawa	<i>conj</i><br><ol><li>or</li></ol>
ayam alas	<i>noun</i><br><ol><li>jungle fowl</li></ol>
aḍi	<i>noun</i><br><ol><li>sibling ((younger) person who shares same parents)</li></ol>
aḍom	<i>adj</i><br><ol><li>cold</li></ol>
aṅantiga	<i>verb</i><br><ol><li>to lay eggs</li></ol>
aṅapuy	<i>verb</i><br><ol><li>to set of fire, inflame</li></ol>
aṅdilahi	<i>verb</i><br><ol><li>to kindle</li></ol>
aṇḍa	<i>noun</i><br><ol><li>egg</li><li>world egg</li></ol>
aṇḍaja	<i>noun</i><br><ol><li>bird</li><li>egg</li></ol>
bahitra	<i>noun</i><br><ol><li>vessel</li></ol>
bahu	<i>noun</i><br><ol><li>shoulder</li></ol>
bala	<i>noun</i><br><ol><li>strength, power</li><li>troops, army, soldiers of lesser rank</li></ol>
balabag	<i>noun</i><br><ol><li>plank</li></ol>
balumbang	<i>noun</i><br><ol><li>pond</li></ol>
baluṅ	<i>noun</i><br><ol><li>bone</li></ol>
bebek	<i>noun</i><br><ol><li>duck</li></ol>
belaṅ|bêlang	<i>noun</i><br><ol><li>tan line (the division between skin that has darkened or tanned from exposure to sun and skin that has not been exposed to sun)</li></ol>
besar	<i>adj</i><br><ol><li>big (of a great size)</li><li>big (adult)</li></ol>
bhagala	<i>noun</i><br><ol><li>male goat</li></ol>
bhagalī	<i>noun</i><br><ol><li>female goat</li></ol>
bhakti	<i>noun</i><br><ol><li>devotion, attachment, trust, homage, worship, piety, faith, loyalty</li></ol><br><i>adj</i><br><ol><li>devoted</li><li>faithful</li><li>loyal</li></ol>
bhaṭāra	<i>noun</i><br><ol><li>god</li></ol>
bheda	<i>adj</i><br><ol><li>other, different, wrong</li></ol><br><i>noun</i><br><ol><li>difference, separation, division, partition</li></ol>
bhāṣa	<i>noun</i><br><ol><li>speech</li><li>language</li><li>poem</li></ol>
bhūpati	<i>noun</i><br><ol><li>king</li></ol>
biru	<i>adj</i><br><ol><li>blue</li></ol>
biāṅlala	<i>noun</i><br><ol><li>rainbow (multicoloured arch in the sky)</li></ol>
blĕḍog	<i>verb</i><br><ol><li>to explode</li></ol>
bot	<i>adj</i><br><ol><li>heavy</li></ol>
botoh|bobotoh	<i>verb</i><br><ol><li>to bet</li><li>to wager</li></ol><br><i>noun</i><br><ol><li>gambler</li></ol>
bubuk	<i>noun</i><br><ol><li>weevil</li></ol>
buhaya	<i>noun</i><br><ol><li>crocodile</li></ol>
bulan	<i>noun</i><br><ol><li>moon (largest natural satellite of planet Earth)</li><li>month (period into which a year is divided)</li></ol>
buntut	<i>noun</i><br><ol><li>tail (of an animal)</li></ol>
buntĕr	<i>adj</i><br><ol><li>round</li></ol>
buru	<i>verb</i><br><ol><li>to hunt</li></ol>
buḍĕg	<i>adj</i><br><ol><li>deaf</li></ol>
buṭak	<i>adj</i><br><ol><li>bald (having no hair)</li></ol>
