Aldafǫðr	<i>name</i><br><ol><li>(poetic, heiti) Odin, literally “leader of men”</li></ol>
Alfr|Alfs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Alfǫðr	<i>name</i><br><ol><li>a kenning for Odin</li></ol>
Alvíss|Alvís|Alvísi	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Alvíssmál|Alvíssmálum|Alvíssmála	<i>name</i><br><ol><li>the Speeches of All-wise; a poem of the Poetic Edda.</li></ol>
Alþjófr|Alþjófs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Andvari|Andvara	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Arnhǫfði	<i>name</i><br><ol><li>(poetic, heiti) Odin, literally “the eagle-headed one”</li></ol>
Askr|Asks	<i>name</i><br><ol><li>(Norse mythology) Ask, the first male human according to the Poetic Edda</li></ol>
Aurvangr|Aurvangs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li><li>(Norse mythology, in the plural) place-name</li></ol>
Austri|Austra	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Auðhumbla	<i>name</i><br><ol><li>The primeval cow.</li></ol>
Baldr|Baldrs|Balldr|Baldri	<i>name</i><br><ol><li>(Norse mythology) Baldur, one of the Norse gods.</li></ol>
Biflindi	<i>name</i><br><ol><li>name of Odin, meaning either "one with the painted shield/spear", or "shield/spear shaker"</li></ol>
Bifrǫst	<i>name</i><br><ol><li>(Norse mythology) Bifrost, the rainbow bridge connecting Asgard with Midgard</li></ol>
Bifurr|Bifurs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Bileygr	<i>name</i><br><ol><li>the one who lacks an eye (a kenning for Odin)</li></ol>
Billingr|Billings	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Bjǫrgvin	<i>name</i><br><ol><li>Bergen (a city in Norway)</li></ol>
Bláinn|Bláin|Bláni|Bláins	<i>name</i><br><ol><li>(Norse mythology, heiti) Bláinn, name of Ymir</li></ol>
Borr|Bors	<i>name</i><br><ol><li>(Norse mythology) Borr</li></ol>
Brimir|Brimis|Brimi	<i>name</i><br><ol><li>(Norse mythology, heiti) Brimir, name of Ymir</li><li>(Norse mythology) name of a sword</li></ol>
Brúni|Brúna	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Buri|Bura	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Báleygr	<i>name</i><br><ol><li>the one with flaming eyes (a kenning for Odin)</li></ol>
Bíldr|Bílds	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Bǫfurr|Bǫfurs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Bǫlverkr	<i>noun</i><br><ol><li>evildoer (a pseudonym used by Odin when lying to the giants)</li></ol>
Bǫmburr|Bǫmburs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Danmǫrk|Danmarkar|Danmerkr	<i>name</i><br><ol><li>Denmark</li></ol>
Dolgþrasir|Dolgþrasis	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Draupnir|Draupni|Draupnis	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Durinn|Durins	<i>name</i><br><ol><li>(Norse mythology) Durin, name of a dwarf</li></ol>
Dvalinn|Dvalins	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li><li>(Norse mythology) One of four stags that live around Yggdrasil and feed on the tree's branches</li></ol>
Dáinn|Dáin|Dáni|Dáins	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li><li>(Norse mythology) One of four stags that live around Yggdrasil and feed on the tree's branches</li></ol>
Dómaldi|Dómalda	<i>name</i><br><ol><li>Domalde, a legendary Swedish king of the Yngling dynasty.</li></ol>
Dóri|Dóra	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Dúfr|Dúfar	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Dǫrruðr	<i>noun</i><br><ol><li>spear-fighter (heiti for Odin)</li></ol>
Egiptaland|Egiptalands|Egiptalandi	<i>name</i><br><ol><li>Egypt</li></ol>
Eikinskjaldi|Eikinskjalda	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Eylúðr	<i>name</i><br><ol><li>the one that is ever making noise (a kenning for Odin)</li><li>the constant roarer (a kenning for the ocean)</li></ol>
Finnland|Finnlands|Finnlandi	<i>name</i><br><ol><li>Finland</li></ol>
Fjalarr|Fjalars	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf who created the Mead of Poetry out of the blood of Kvasir</li><li>(Norse mythology) A red rooster that is said to herald the onset of Ragnarök</li></ol>
Fjörgyn	<i>name</i><br><ol><li>The mother of Thor in Norse mythology.</li></ol>
Frakkland|Frakklands|Frakklandi	<i>name</i><br><ol><li>land of the Franks; Francia</li></ol>
Freyja|Freyju	<i>name</i><br><ol><li>(Norse mythology) Freya, goddess associated with sex, death, and magic (see Freyja)</li></ol>
Freyr|Freys|Frey	<i>name</i><br><ol><li>Freyr, a god associated with kingship and virility</li></ol>
Frosti|Frosta	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Frár|Frás	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Frægr|Frægar	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Fundinn|Fundins	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Færeyjar|Færeyjunum|Færeyjanna|Færeyjarnar|Færeyja|Færeyjum	<i>name</i><br><ol><li>the Faroe Islands</li></ol>
Fíli|Fíla	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Galiza|Galizu	<i>noun</i><br><ol><li>Galicia (an autonomous community of Spain)</li></ol>
Gandalfr|Gandalf|Gandalfi|Gandálfr|Gandalfs|Gandálfs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Gauti|Gauta	<i>name</i><br><ol><li>(heiti) the pourer of libations? (Odin)</li></ol>
Gautr	<i>name</i><br><ol><li>"Geat", (a kenning for Odin)</li></ol>
Ginnarr|Ginnars	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Ginnungagap|Ginnungagaps	<i>name</i><br><ol><li>(Norse mythology) Ginnungagap, primordial chaos</li></ol>
Gizurr	<i>name</i><br><ol><li>One of the names of Odin.</li></ol>
Glóinn|Glóins	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Grikkland	<i>name</i><br><ol><li>Byzantium</li></ol>
Grœnland	<i>name</i><br><ol><li>Greenland</li></ol>
Hafrsfjǫrðr|Hafrsfjǫrð|Hafrsfirði|Hafrsfjarðar	<i>name</i><br><ol><li>Hafrsfjord (fjord in Norway)</li></ol>
Hanarr|Hanars	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Hangi|Hanga	<i>name</i><br><ol><li>"the hanging one" (a heiti for Odin)</li></ol>
Harvaðafjǫll	<i>name</i><br><ol><li>(hapax) the Carpathian Mountains</li></ol>
Haugspori|Haugspora	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Heimdallr|Heimdallar|Heimdall	<i>name</i><br><ol><li>(Norse mythology) Heimdall</li></ol>
Helluland	<i>name</i><br><ol><li>Helluland: Baffin Island (an island in Nunavut, Canada, in the Canadian Arctic Archipelago)</li></ol>
Hepti|Hepta	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Herjann|Herjans	<i>name</i><br><ol><li>(heiti) leader of armies (Odin)</li></ol>
Hjaltland|Hjaltlandi|Hjaltlands	<i>name</i><br><ol><li>Shetland</li></ol>
Hlévangr|Hlévangs	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Hlǫkk|Hlakkar	<i>name</i><br><ol><li>(Norse mythology) Hlǫkk, a valkyrie</li></ol>
Hornbori|Hornbora	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Hár|Hás	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Iðavǫllr|Iðavallar	<i>name</i><br><ol><li>(Norse mythology) Iðavöllr</li></ol>
Jari|Jara	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Jaðarr|Jaðars|Jaðar|Jaðri	<i>name</i><br><ol><li>Jæren (a traditional district of Norway)</li><li>A farm name</li></ol>
Jórsalir|Jórsali|Jórsǫlum|Jórsala	<i>name</i><br><ol><li>Jerusalem (a city in Levant; the claimed (and de-facto) capital city of modern Israel; the claimed capital city of modern Palestine)</li></ol>
Jórvík	<i>name</i><br><ol><li>York (a city and unitary authority in modern North Yorkshire, England)</li></ol>
Jótland|Jótlands|Jótlandi	<i>name</i><br><ol><li>Jutland</li></ol>
Jǫrmungandr|Jǫrmungandi|Jǫrmungands|Jǫrmungand	<i>name</i><br><ol><li>(Norse mythology) The World Serpent or Midgard Serpent, an offspring of Loki, which is thrown into the ocean by Odin but grows to encircle the world, and is finally slain during Ragnarok by Thor, who then succumbs to its poisonous breath.</li></ol>
Jǫruvǫllr|Jǫruvallar	<i>name</i><br><ol><li>(Norse mythology) place-name</li></ol>
Jǫtunheimr|Jǫtunheims	<i>name</i><br><ol><li>(Norse mythology) Jotunheim</li></ol>
Kristr|Krists|Krist|Kristi	<i>name</i><br><ol><li>Christ</li></ol>
Kvasir	<i>name</i><br><ol><li>Kvasir, one of the Norse gods.</li></ol>
Kíli|Kíla	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
Litr|Litar	<i>name</i><br><ol><li>(Norse mythology) name of a dwarf</li></ol>
