Arpaon	<i>name</i><br><ol><li>Arpavon (a village in the Drôme department, France)</li></ol>
Deus	<i>name</i><br><ol><li>God</li></ol>
Dieu|Dieus	<i>name</i><br><ol><li>God</li></ol>
Domnedeus	<i>name</i><br><ol><li>God; Lord God</li></ol>
Espanha	<i>name</i><br><ol><li>Iberia; modern day Spain and Portugal</li></ol>
Fransa	<i>name</i><br><ol><li>France</li></ol>
Grec|Grecs	<i>noun</i><br><ol><li>Greek (someone from Greece)</li></ol>
Jhesu|Jhesus	<i>name</i><br><ol><li>Jesus (religious figure)</li></ol>
Jhesu Crist	<i>name</i><br><ol><li>Jesus Christ</li></ol>
Jusio|Jusios	<i>noun</i><br><ol><li>Jew</li></ol>
Norman|Normans	<i>noun</i><br><ol><li>Norman (someone from Normandy)</li></ol>
Normandia	<i>name</i><br><ol><li>Normandy (a region of France)</li></ol>
Peire|Peires	<i>name</i><br><ol><li>(Christianity) Father (God)</li></ol>
Saraçin|Saraçins	<i>noun</i><br><ol><li>Saracen (term for a Muslim during the Middle Ages)</li></ol>
Xrist	<i>name</i><br><ol><li>Christ</li></ol>
Yeshu	<i>name</i><br><ol><li>Jesus</li></ol>
Yeshu Xrist	<i>name</i><br><ol><li>Jesus Christ</li></ol>
ab	<i>prep</i><br><ol><li>with</li></ol>
abadia|abadias	<i>noun</i><br><ol><li>abbey</li></ol>
acordamen|acordamens	<i>noun</i><br><ol><li>accord; agreement</li></ol>
adormir	<i>verb</i><br><ol><li>(reflexive, s'adormir) to fall asleep</li></ol>
aigron|aigrons	<i>noun</i><br><ol><li>heron (animal)</li></ol>
aigua|aiga|aiguas|aigas	<i>noun</i><br><ol><li>water</li></ol>
ailas|ailas!	<i>intj</i><br><ol><li>alas!</li></ol>
aissi	<i>adv</i><br><ol><li>thus; so</li></ol>
aize|aizes	<i>noun</i><br><ol><li>ease (lack of anxiety)</li></ol>
albergar	<i>verb</i><br><ol><li>to host; to lodge (provide a place to stay)</li></ol>
alberguar	<i>verb</i><br><ol><li>to house; to shelter (provide accommodation)</li></ol>
alegransa|alegransas	<i>noun</i><br><ol><li>joy; elation</li></ol>
amador|amadors	<i>noun</i><br><ol><li>lover (one who loves)</li></ol>
amar	<i>verb</i><br><ol><li>to love</li></ol>
ambedui	<i>det</i><br><ol><li>both</li></ol>
amic|amics	<i>noun</i><br><ol><li>friend</li></ol>
amistat|amistats	<i>noun</i><br><ol><li>friendship</li></ol>
amor|amors	<i>noun</i><br><ol><li>love</li></ol>
amoros|amoroza	<i>adj</i><br><ol><li>characterized by love</li></ol>
an|ans	<i>noun</i><br><ol><li>year</li></ol>
anc	<i>adv</i><br><ol><li>(with ne) never</li></ol>
angoissos	<i>adj</i><br><ol><li>worried; anxious</li></ol>
antexrist	<i>name</i><br><ol><li>(Christianity) the Antichrist</li></ol>
antic	<i>adj</i><br><ol><li>ancient; very old</li></ol>
anunciar	<i>verb</i><br><ol><li>to announce</li></ol>
aparelhar	<i>verb</i><br><ol><li>to prepare</li></ol>
apelar	<i>verb</i><br><ol><li>to call (signal to someone orally)</li></ol>
apostol|apostols	<i>noun</i><br><ol><li>apostle</li></ol>
apres	<i>prep</i><br><ol><li>after (later, at a later time)</li></ol>
aquest	<i>pron</i><br><ol><li>this (this thing; the one in question)</li></ol>
arbre|arbres	<i>noun</i><br><ol><li>tree</li></ol>
argent|argents	<i>noun</i><br><ol><li>silver</li></ol>
arma|armas	<i>noun</i><br><ol><li>weapon</li></ol>
arnes	<i>noun</i><br><ol><li>suit of armor</li></ol>
arquier|arquiers	<i>noun</i><br><ol><li>archer (one who fires arrows from a bow)</li></ol>
asegurar	<i>verb</i><br><ol><li>to reassure; to embolden; to encourage</li></ol>
asorar	<i>verb</i><br><ol><li>to adore</li></ol>
assatz	<i>adv</i><br><ol><li>much; a lot</li></ol>
aucir|ausire|aucire	<i>verb</i><br><ol><li>to kill; to murder</li></ol>
audir	<i>verb</i><br><ol><li>to hear</li></ol>
aunir	<i>verb</i><br><ol><li>to shame, humiliate</li></ol>
aur|aurs	<i>noun</i><br><ol><li>gold (metal)</li></ol>
auranja|auranjas	<i>noun</i><br><ol><li>orange (fruit)</li></ol>
aurelha|aurelhas	<i>noun</i><br><ol><li>ear</li></ol>
autre|autras|autra|autres	<i>adj</i><br><ol><li>other</li></ol>
autrier|l'autrier	<i>noun</i><br><ol><li>(with definite article) the other day (in the recent past)</li></ol>
auzel|auzelh|auzels|auzelhs	<i>noun</i><br><ol><li>bird (flying animal)</li></ol>
auzentre	<i>adv</i><br><ol><li>in earshot</li></ol>
aver	<i>verb</i><br><ol><li>to have; to possess</li></ol>
avol|avolas|avols|avola	<i>adj</i><br><ol><li>bad, vile</li></ol>
babau	<i>adj</i><br><ol><li>foolish, idiotic, stupid</li></ol>
baizar	<i>verb</i><br><ol><li>to kiss</li></ol>
baptisme|baptismes	<i>noun</i><br><ol><li>baptism</li></ol>
batalha|batalhas	<i>noun</i><br><ol><li>battle</li></ol>
bel|belas|belazor|bela|bels	<i>adj</i><br><ol><li>beautiful</li></ol>
beltat|beltats	<i>noun</i><br><ol><li>beauty</li></ol>
ben	<i>adj</i><br><ol><li>well</li></ol>
beure	<i>verb</i><br><ol><li>to drink</li></ol>
beutat|beutats	<i>noun</i><br><ol><li>beauty</li></ol>
blanc|blancs|blanchas|blancha	<i>adj</i><br><ol><li>white</li></ol>
blasmar	<i>verb</i><br><ol><li>to blame</li></ol>
bocha|bochas	<i>noun</i><br><ol><li>mouth (anatomy)</li></ol>
bon|bona|bons|bonas	<i>adj</i><br><ol><li>good (not evil)</li><li>good (not of poor quality)</li></ol>
bontat	<i>noun</i><br><ol><li>goodness (quality of that which is good)</li></ol>
bosc|boscs	<i>noun</i><br><ol><li>wood; woods</li></ol>
boschatge|boschatges	<i>noun</i><br><ol><li>woods; wood; wooded area</li></ol>
bou|bueu|bous|bueus	<i>noun</i><br><ol><li>ox</li></ol>
bratz	<i>noun</i><br><ol><li>arm (anatomy)</li></ol>
breu	<i>adj</i><br><ol><li>short</li></ol>
calendier|calendiers	<i>noun</i><br><ol><li>calendar (system describing time)</li><li>calendar (object)</li></ol>
caler	<i>verb</i><br><ol><li>(reflexive, se caler) to care about; to be concerned about</li></ol>
camarlenc|camarlencs	<i>noun</i><br><ol><li>chamberlain (officer in charge of managing a household)</li></ol>
cambra|cambras	<i>noun</i><br><ol><li>room, in particular a bedroom</li></ol>
camiza|camizas	<i>noun</i><br><ol><li>shirt</li></ol>
camjar	<i>verb</i><br><ol><li>to change</li></ol>
can|quan	<i>conj</i><br><ol><li>when</li></ol><br><i>adv</i><br><ol><li>(interrogative) when</li></ol>
canczon|canczons	<i>noun</i><br><ol><li>song</li></ol>
capella|capellas	<i>noun</i><br><ol><li>(Christianity) chapel</li></ol>
cardon|cardons	<i>noun</i><br><ol><li>thistle</li></ol>
carn	<i>noun</i><br><ol><li>flesh</li></ol>
cascun	<i>adj</i><br><ol><li>every; each</li></ol>
castel|castels	<i>noun</i><br><ol><li>castle (large fortified medieval building)</li></ol>
catre	<i>num</i><br><ol><li>four</li></ol>
caval|cavals	<i>noun</i><br><ol><li>horse</li></ol>
cavec|cavecs	<i>noun</i><br><ol><li>owl</li></ol>
cazer	<i>verb</i><br><ol><li>to fall</li></ol>
cel	<i>noun</i><br><ol><li>Heaven</li></ol>
celestial|celestials	<i>adj</i><br><ol><li>celestial</li></ol>
certan|certana|certans|certanas	<i>adj</i><br><ol><li>sure; certain</li></ol>
chaitiu|chaitius	<i>noun</i><br><ol><li>miserable, wretched person</li></ol>
chan|chans	<i>noun</i><br><ol><li>song</li></ol>
chanso|chansos	<i>noun</i><br><ol><li>song</li></ol>
chansoneta|chansonetas	<i>noun</i><br><ol><li>small song</li></ol>
chantador|chantadors	<i>noun</i><br><ol><li>singer; one who sings</li></ol>
chantar	<i>verb</i><br><ol><li>to sing</li></ol>
charn|charns	<i>noun</i><br><ol><li>flesh</li></ol>
chascun|chascuna|chascuns|chascunas	<i>adj</i><br><ol><li>each one; every one</li></ol>
chavaler|chavalers	<i>noun</i><br><ol><li>knight</li></ol>
chazer	<i>verb</i><br><ol><li>to fall</li></ol>
citation	<i>noun</i><br><ol><li>citation</li></ol>
ciutad|ciutads	<i>noun</i><br><ol><li>city</li></ol>
clardat|clardats	<i>noun</i><br><ol><li>light; brilliance</li></ol>
clausa|clausas	<i>noun</i><br><ol><li>(poetry) couplet; rhyming couplet</li></ol>
clerc|clercs	<i>noun</i><br><ol><li>a clergyman, usually in Christianity</li></ol>
cobla|coblas	<i>noun</i><br><ol><li>couplet (in poetry)</li></ol>
cobrir	<i>verb</i><br><ol><li>to cover</li></ol>
colhir|cuolh	<i>verb</i><br><ol><li>to receive</li></ol>
color|colors	<i>noun</i><br><ol><li>color, colour</li></ol>
colp|colps	<i>noun</i><br><ol><li>blow; strike; hit</li></ol>
com	<i>conj</i><br><ol><li>like; as</li></ol><br><i>adv</i><br><ol><li>how (in what fashion)</li></ol>
comandamen|comandamens	<i>noun</i><br><ol><li>command; order</li></ol>
comandament|comandaments	<i>noun</i><br><ol><li>order; command</li><li>(Christianity) Commandment</li></ol>
comensar|començar	<i>verb</i><br><ol><li>to start; to begin</li></ol>
començament|començaments|comensamen|comensamens	<i>noun</i><br><ol><li>beginning; start</li></ol>
cominal	<i>adj</i><br><ol><li>common; public (belonging to all/to the public)</li></ol>
comte|comtes	<i>noun</i><br><ol><li>count (nobleman)</li></ol>
concluire	<i>verb</i><br><ol><li>to convict (someone of a crime, etc.)</li><li>to conclude; to finish</li></ol>
confrairia|confrairias	<i>noun</i><br><ol><li>brotherhood (association of male members)</li></ol>
conoiser	<i>verb</i><br><ol><li>to know, to recognise</li></ol>
conoyser	<i>verb</i><br><ol><li>to know</li></ol>
conselh|conselhs	<i>noun</i><br><ol><li>piece of advice</li></ol>
contener	<i>verb</i><br><ol><li>to contain</li><li>(reflexive, se contener) to behave</li></ol>
cor|cors	<i>noun</i><br><ol><li>heart (organ which pumps blood)</li><li>heart (metaphorically, human emotion)</li></ol>
