Bożyc	<i>name</i><br><ol><li>Son of God</li></ol>
a	<i>intj</i><br><ol><li>ah! (used when the speaker has remembered or noticed something)</li></ol><br><i>conj</i><br><ol><li>and (used to continue a previous statement or to add to it)</li><li>and, but, whereas (used contrastively)</li><li>and then (used to say an event will occur if some requirement is fulfilled)</li><li>Emphasizes a question.</li><li>Introduces a new sentences.</li></ol>
abo	<i>conj</i><br><ol><li>or</li><li>because</li></ol>
abociem	<i>conj</i><br><ol><li>because, for</li></ol>
abojem	<i>conj</i><br><ol><li>because, for</li></ol>
abowiem|abowim	<i>conj</i><br><ol><li>because, for</li></ol>
aboć	
aboś	<i>conj</i><br><ol><li>but</li></ol>
abszlag	<i>noun</i><br><ol><li>decorative inset or fringe</li></ol>
aby	<i>conj</i><br><ol><li>to, in order to, so that (connects sentences either to express the goal of a speaker, when the speaker wishes to communicate a command or wish) [+past tense = to do what]</li><li>even though, although</li><li>if</li></ol><br><i>particle</i><br><ol><li>may, I wish, if only</li></ol>
ach	<i>intj</i><br><ol><li>ah! (expresses surprise)</li></ol>
achtel|wachtele|wachtel|hachtel|achtela	<i>noun</i><br><ol><li>one-eighth (especially of a barrel)</li></ol>
acz	<i>conj</i><br><ol><li>Introducing a real conditional; if</li><li>it is allowed</li><li>Introducing a clause which is the subject or object of a verb or which is a complement to a previous statement; that</li><li>(in acz jedno) if only</li><li>(in acz nic ale) at least</li><li>(in jedno acz) unless, if not</li><li>(in le acz) if</li></ol><br><i>particle</i><br><ol><li>Interrogative particle: introduces a yes-no question.</li></ol>
aczby	<i>conj</i><br><ol><li>Introducing an unreal conditional; if</li><li>though, although, even if, yet</li></ol>
aczci	<i>conj</i><br><ol><li>Introduces a real conditional clause; if</li></ol>
aczciby	<i>conj</i><br><ol><li>although</li></ol>
aczkakole	<i>conj</i><br><ol><li>although</li></ol>
aha	
aj	<i>intj</i><br><ol><li>oh!, whoa! (used as a reaction to an unexpected and unpleasant event or sensation)</li></ol>
aksamit	<i>noun</i><br><ol><li>velvet</li></ol>
aksamitny	<i>adj</i><br><ol><li>(relational) velvet</li></ol>
alabaster|alabastyr	<i>noun</i><br><ol><li>alabaster</li></ol>
alabastrowy	<i>adj</i><br><ol><li>(relational) alabaster (made of alabaster)</li></ol>
albo	<i>conj</i><br><ol><li>or</li><li>because</li></ol>
alboż	<i>conj</i><br><ol><li>(emphatic) or</li></ol>
