Alemanna	<i>name</i><br><ol><li>Germany (the land of the German people)</li></ol>
Alenquer	<i>name</i><br><ol><li>A village in Portugal</li></ol>
Armenia	<i>name</i><br><ol><li>Armenia (the land of the Armenian people)</li></ol>
Beja	<i>name</i><br><ol><li>Beja (a city in southern Portugal)</li></ol>
Brutus	<i>name</i><br><ol><li>Brutus, legendary king of Britain</li></ol>
Cesaira	<i>name</i><br><ol><li>Caesarea, Caesarea Maritima (an ancient city in Levant)</li></ol>
Deus	<i>name</i><br><ol><li>God</li></ol>
Egipto	<i>name</i><br><ol><li>Egypt</li></ol>
Elvas|Eluaſ	<i>name</i><br><ol><li>Elvas (a city and municipality in modern Portalegre district, Alentejo region, Portugal)</li><li>A Portuguese city in Alentejo.</li></ol>
Espanna	<i>name</i><br><ol><li>the Iberian Peninsula</li></ol>
Estremoz	<i>name</i><br><ol><li>Estremoz (a city and municipality in modern Évora district, Alentejo region, Portugal)</li></ol>
Evora|Euora	<i>name</i><br><ol><li>Évora (a city and municipality, the capital of modern Évora district, Alentejo region, Portugal)</li></ol>
Faaron	<i>name</i><br><ol><li>Faro (a city in the Algarve region, in modern Portugal)</li></ol>
Faraon	<i>noun</i><br><ol><li>pharaoh (sovereign of ancient Egypt)</li></ol>
Frandes	<i>name</i><br><ol><li>Flanders (a county northwestern Europe)</li></ol>
Galiza	<i>name</i><br><ol><li>(Kingdom of) Galicia.</li></ol>
Guimarães	<i>name</i><br><ol><li>A city in northern Portugal</li></ol>
Leirẽa	<i>name</i><br><ol><li>A village in central Portugal</li></ol>
Leon	<i>name</i><br><ol><li>(Kingdom of) León</li><li>León (city)</li></ol>
Lisbõa	<i>name</i><br><ol><li>A city in central Portugal.</li></ol>
Mercuiro	<i>name</i><br><ol><li>Saint Mercurius, an early Christian saint</li></ol>
Moura	<i>name</i><br><ol><li>A city in southern Portugal.</li></ol>
Nero	<i>name</i><br><ol><li>Nero (Roman emperor)</li></ol>
Odimira	<i>name</i><br><ol><li>A city in southern Portugal.</li></ol>
Pena cova	<i>name</i><br><ol><li>A village in central Portugal</li></ol>
Portugal	<i>name</i><br><ol><li>(Kingdom of) Portugal.</li></ol>
Recessiundo	<i>name</i><br><ol><li>Recceswinth, Visigothic king of Hispania from 649 to 672</li></ol>
Rocamador	<i>name</i><br><ol><li>Rocamadour (a village in southern France)</li></ol>
Roma	<i>name</i><br><ol><li>Rome (the ancient capital of the Roman Empire; capital city of the Papal States, in modern-day Italy)</li></ol>
Santaren	<i>name</i><br><ol><li>A village in central Portugal.</li></ol>
Silve	<i>name</i><br><ol><li>A city in southern Portugal.</li></ol>
Suria	<i>name</i><br><ol><li>Syria (Roman province in the Levant)</li></ol>
Sẽa	<i>name</i><br><ol><li>A village in central Portugal</li></ol>
a	<i>prep</i><br><ol><li>to; towards</li></ol>
aa	<i>abbrev</i><br><ol><li>Contraction of a a (“to/at the”).</li></ol><br><i>noun</i><br><ol><li>wing</li></ol>
abade|abades	<i>noun</i><br><ol><li>abbot (superior or head of an abbey or monastery)</li></ol>
abadessa|abadessas	<i>noun</i><br><ol><li>abbess (female superior of a nunnery or convent)</li></ol>
abadia|abadias	<i>noun</i><br><ol><li>abbey (monastery headed by an abbot)</li></ol>
abella|abellas	<i>noun</i><br><ol><li>bee (flying insect)</li></ol>
abril	<i>noun</i><br><ol><li>April</li></ol>
abrir	<i>verb</i><br><ol><li>to open</li></ol>
acalçar	<i>verb</i><br><ol><li>to reach</li></ol>
acender	<i>verb</i><br><ol><li>to light a fire</li></ol>
adega	<i>noun</i><br><ol><li>cellar (collection of wine)</li></ol>
adiano	<i>noun</i><br><ol><li>a precious gift</li></ol>
adormecer	<i>verb</i><br><ol><li>to fall asleep (to pass from a state of wakefulness into sleep)</li></ol>
adufe|aduffe	<i>noun</i><br><ol><li>(music) a traditional square tambourine of Moorish origin</li></ol>
africão	<i>adj</i><br><ol><li>African</li></ol>
agor'	<i>adv</i><br><ol><li>(sometimes before a vowel) Apocopic form of agora.</li></ol>
agora	<i>adv</i><br><ol><li>now</li></ol>
agosto	<i>noun</i><br><ol><li>August</li></ol>
agoyro|aguyro|agoiro	<i>noun</i><br><ol><li>omen, augury</li></ol>
agua|augua|auga	<i>noun</i><br><ol><li>water</li></ol>
aguyon	<i>noun</i><br><ol><li>north wind</li><li>north (compass point)</li></ol>
ajudar	<i>verb</i><br><ol><li>to help</li></ol>
allur	<i>adv</i><br><ol><li>somewhere else, elsewhere</li></ol>
alma|almas	<i>noun</i><br><ol><li>soul</li></ol>
altar|altares	<i>noun</i><br><ol><li>altar (flat structure used for religious rites)</li></ol>
alva|alvas	<i>noun</i><br><ol><li>alb (long white robe worn by priests and other ministers)</li><li>dawn</li></ol>
alçar	<i>verb</i><br><ol><li>to lift; to raise</li></ol>
amarelo|amarelos|amarela|amarelas	<i>adj</i><br><ol><li>yellow</li></ol>
amig'	<i>noun</i><br><ol><li>(sometimes before a vowel) Apocopic form of amigo or amiga.</li></ol>
amigo|amigas|amiga|amigos	<i>noun</i><br><ol><li>friend</li><li>lover</li></ol>
amor	<i>noun</i><br><ol><li>love</li></ol>
amẽaçar|mẽaçar	<i>verb</i><br><ol><li>to threaten</li></ol>
ancho	<i>adj</i><br><ol><li>broad, wide, ample</li></ol>
andar	<i>verb</i><br><ol><li>to walk</li></ol>
andorỹa|andorinna	<i>noun</i><br><ol><li>swallow (bird)</li></ol>
angeo	<i>noun</i><br><ol><li>angel</li></ol>
anssar|ansar	<i>noun</i><br><ol><li>goose</li></ol>
anto	<i>abbrev</i><br><ol><li>Contraction of ante o.</li></ol>
aollar	<i>verb</i><br><ol><li>to evil-eye (to cast an evil eye upon someone or something)</li><li>to look</li></ol>
aqueste	<i>pron</i><br><ol><li>this (masculine thing)</li></ol>
ar	<i>adv</i><br><ol><li>also</li><li>again</li></ol>
aranna|arannas	<i>noun</i><br><ol><li>spider (any arachnid of the order Araneae)</li></ol>
archangeo	<i>noun</i><br><ol><li>archangel</li></ol>
arder	<i>verb</i><br><ol><li>to burn</li></ol>
arma|armas	<i>noun</i><br><ol><li>weapon; arm</li></ol>
arqueiro|arqueira|arqueiros|arqueiras	<i>noun</i><br><ol><li>archer; bowman</li></ol>
arvor|arvol	<i>noun</i><br><ol><li>tree</li></ol>
arẽa|arẽas	<i>noun</i><br><ol><li>sand</li></ol>
astroso	<i>adj</i><br><ol><li>ill-starred, unfortunate</li><li>vile, despicable, infamous</li></ol>
astẽença	<i>noun</i><br><ol><li>fasting (abstinence from eating)</li></ol>
auçon	<i>noun</i><br><ol><li>action; a doing or performing, behavior</li></ol>
