Abbingthorp	<i>name</i><br><ol><li>a village</li></ol>
Aberesdung	<i>name</i><br><ol><li>a place in Westphalia</li></ol>
Achem	<i>name</i><br><ol><li>Achēm, a place</li></ol>
Adanhe	<i>name</i><br><ol><li>Adanhē, a place</li></ol>
Addikarasluva	<i>name</i><br><ol><li>a place</li></ol>
Adikonthorp	<i>name</i><br><ol><li>a place</li></ol>
Adisthorp	<i>name</i><br><ol><li>a place</li></ol>
Aiteron	<i>name</i><br><ol><li>a place</li></ol>
Aiturnon	<i>name</i><br><ol><li>a place</li></ol>
Akinkthorp	<i>name</i><br><ol><li>a place</li></ol>
Alathorp	<i>name</i><br><ol><li>a place</li></ol>
Alberg	<i>name</i><br><ol><li>A place.</li></ol>
Albriki	<i>name</i><br><ol><li>a place</li></ol>
Alburg	<i>name</i><br><ol><li>a place</li></ol>
Aldanbochem	<i>name</i><br><ol><li>a place</li></ol>
Aldon-Hokinasluva	<i>name</i><br><ol><li>a place</li></ol>
Aldon-Hotnon	<i>name</i><br><ol><li>a place</li></ol>
Aldonthorp	<i>name</i><br><ol><li>a place</li></ol>
Athalheringwik	<i>name</i><br><ol><li>Athalheringwīk, a place</li></ol>
Aveld	<i>name</i><br><ol><li>a place</li></ol>
Avon-huvil	<i>name</i><br><ol><li>a place</li></ol>
Aðalgerasthorp	<i>name</i><br><ol><li>Aðalgērasthorp, a place</li></ol>
Bethania|Bethanio|Bethaniu	<i>name</i><br><ol><li>Bethany (biblical character)</li></ol>
Galilea|Galileu|Galileo	<i>name</i><br><ol><li>Galilee (a region of Israel)</li></ol>
Irmin	<i>name</i><br><ol><li>A deity, or an epitheton of Ziu or Wotan, mythical founder of the Hermiones.</li></ol>
Lazarus|Lazarusan|Lazaruses|Lazaruse	<i>name</i><br><ol><li>Lazarus</li></ol>
Maria|Marion|Marian|Mariun	<i>name</i><br><ol><li>(biblical) Mary.</li></ol>
Ruma|Rumu|Rumo	<i>name</i><br><ol><li>Rome</li></ol>
Saxnote	<i>name</i><br><ol><li>Saxnot, Seaxneat: a god of the Saxons.</li></ol>
Widukind	<i>name</i><br><ol><li>(historical) the Saxon leader Widukind</li></ol>
Woden	<i>name</i><br><ol><li>Odin</li></ol>
abelgan|ābulgi|ābalg|ābulgin|ābelgen|ābilgis|ābelgan|ābolgan|ābelgad|ābilgandi|ābelges|ābelge|ābelg|ābilgid|ābilgu|ābulgun|ābulgis	<i>verb</i><br><ol><li>to be angry</li></ol>
abiddian|ābādun|ābādi|ābiddien|ābiddiu|ābidis|ābiddie|ābiddian|ābiddiandi|ābiddiad|ābidid|ābiddies|ābedan|ābad|ābādis|ābiddi|ābādin	<i>verb</i><br><ol><li>to ask for, to plead</li></ol>
abolganhed|ābolganhēdi|ābolganhēdum|ābolganhēd|ābolganhēdo	<i>noun</i><br><ol><li>fury</li></ol>
adelian|ādēlid|ādēldun|ādēldin|ādēli|ādēlies|ādēldis|ādēliandi|ādēliu|ādēlie|ādēlien|ādēldes|ādēliad|ādēlis|ādēldi|ādēlian|ādēlda	<i>verb</i><br><ol><li>to recognize</li><li>to grant</li><li>to condemn</li></ol>
adogian|ādōgian|ādōgies|ādōgien|ādōgid|ādōgiu|ādōgis|ādōgda|ādōgdes|ādōgdi|ādōgie|ādōgiandi|ādōgdis|ādōgi|ādōgiad|ādōgdin|ādōgdun	<i>verb</i><br><ol><li>to bear</li></ol>
adomian|ādōmiandi|ādōmies|ādōmdin|ādōmdun|aduomean|ādōmis|ādōmid|ādōmien|ādōmdi|ādōmiad|ādōmi|ādōmian|ādōmiu|ādōmdis|ādōmdes|ādōmda|ādōmie	<i>verb</i><br><ol><li>to judge</li></ol>
af	<i>prep</i><br><ol><li>of</li><li>out</li></ol>
