A.B.C.	<i>noun</i><br><ol><li>alphabet, ABCs</li></ol>
Abraam	<i>name</i><br><ol><li>(biblical) Abram, Abraham</li></ol>
Aristotil	<i>name</i><br><ol><li>Aristotle</li></ol>
Barcilona	<i>name</i><br><ol><li>Barcelona (the capital city of the modern autonomous community of Catalonia, Spain)</li></ol>
Beldeem	<i>name</i><br><ol><li>Bethlehem (a city in the modern West Bank, Palestine)</li></ol>
Belzebub	<i>name</i><br><ol><li>Beelzebub</li></ol>
Castiella	<i>name</i><br><ol><li>Kingdom of Castile</li></ol>
Caym	<i>name</i><br><ol><li>(biblical) Cain</li></ol>
Criador	<i>name</i><br><ol><li>(religion) Creator (title given to the Abrahamic God)</li></ol>
Damasco	<i>name</i><br><ol><li>Damascus</li></ol>
Espanna	<i>name</i><br><ol><li>the Iberian Peninsula</li></ol>
Iherusalem|ihrlm	<i>name</i><br><ol><li>Jerusalem</li></ol>
Ihesu Xpisto|ihu xpo	<i>name</i><br><ol><li>(Christianity) Jesus Christ</li></ol>
Johan	<i>name</i><br><ol><li>(biblical, Christianity) The name of several persons in the Christian Bible, among them John the Baptist, John the Apostle, John the Evangelist and John of Patmos.</li></ol>
Josaphat	<i>name</i><br><ol><li>(biblical) Jehoshaphat</li></ol>
Mathathias	<i>name</i><br><ol><li>(biblical) Mattathias</li></ol>
Melchysedec	<i>name</i><br><ol><li>(biblical) Melchizedek</li></ol>
Moysen	<i>name</i><br><ol><li>(biblical) Moses</li></ol>
Nilo	<i>name</i><br><ol><li>Nile</li></ol>
Ossa Mayor	<i>name</i><br><ol><li>(astronomy) Ursa Major</li></ol>
Ossa Menor	<i>name</i><br><ol><li>(astronomy) Ursa Minor</li></ol>
Pablo	<i>name</i><br><ol><li>(biblical, Christianity) Paul</li></ol>
Passion	<i>name</i><br><ol><li>(Christianity) Passion</li></ol>
Peydro	<i>name</i><br><ol><li>(biblical, Christianity) Alternative form of Pedro, Peter</li></ol>
Roma	<i>name</i><br><ol><li>Rome</li></ol>
Salomon	<i>name</i><br><ol><li>(biblical) Solomon</li></ol>
Samaria	<i>name</i><br><ol><li>Samaria</li></ol>
Saragoça	<i>name</i><br><ol><li>Zaragoza (the capital city of the modern autonomous community of Aragon, Spain)</li></ol>
Sardenna	<i>name</i><br><ol><li>Sardinia</li></ol>
Ultramar	<i>name</i><br><ol><li>(historical) the Holy Land; the Crusader states established after the First Crusade</li></ol>
Vizcaya	<i>name</i><br><ol><li>Biscay (a lordship corresponding to the modern province of Biscay, Spain)</li></ol>
Ysaac	<i>name</i><br><ol><li>(biblical) Isaac</li></ol>
Ysmael	<i>name</i><br><ol><li>(biblical) Ishmael</li></ol>
Zorobabel	<i>name</i><br><ol><li>(biblical) Zerubbabel</li></ol>
a furto	<i>phrase</i><br><ol><li>in secret, stealthily</li></ol>
abdiencia|abdiencias	<i>noun</i><br><ol><li>audience</li></ol>
abece	<i>noun</i><br><ol><li>alphabet, ABCs</li></ol>
abeja|abejas	<i>noun</i><br><ol><li>bee</li></ol>
abismo|abismos	<i>noun</i><br><ol><li>abyss, the deep</li></ol>
aborrecimiento|aborrecimientos	<i>noun</i><br><ol><li>abhorrence, abomination</li></ol>
aborricion|aborriciones	<i>noun</i><br><ol><li>abomination, aberration</li></ol>
ací	<i>verb</i><br><ol><li>thus; like that</li></ol>
adarve|adarbe	<i>noun</i><br><ol><li>wall walk, allure (protected pathway on a wall of a city or castle)</li></ol>
adeuinança|adeuinanciella|adeuinanças|adeuinanciellas	<i>noun</i><br><ol><li>riddle</li></ol>
adeuino|adeuinos	<i>noun</i><br><ol><li>seer, soothsayer, oracle</li></ol>
adulterio	<i>noun</i><br><ol><li>defilement, rape</li></ol>
af|aues	<i>noun</i><br><ol><li>Apocopic form of aue (“bird”)</li></ol>
agora	<i>adv</i><br><ol><li>now</li></ol>
agradesçer	<i>verb</i><br><ol><li>to thank</li></ol>
agro	<i>adj</i><br><ol><li>sour</li></ol>
agua|aguas	<i>noun</i><br><ol><li>water</li></ol>
aguaducho|aguaduchos	<i>noun</i><br><ol><li>current, torrent</li></ol>
aguero|agueros	<i>noun</i><br><ol><li>omen</li></ol>
aguila|aguilas	<i>noun</i><br><ol><li>eagle</li></ol>
ala|alas	<i>noun</i><br><ol><li>wing (limb)</li></ol><br><i>abbrev</i><br><ol><li>(followed by a singular feminine noun) to the, toward the</li><li>(followed by a singular feminine noun) in the, at the</li></ol>
