Adhallunda	<i>name</i><br><ol><li>Reconstructed name for Alunda.</li></ol>
Angulstadha	<i>name</i><br><ol><li>A parish of Finnveden, later Småland, Sweden; today's Angelstad</li></ol>
Quannom	<i>name</i><br><ol><li>A parish of Finnveden, later Småland, Sweden; today's Kånna</li></ol>
Ryzby	<i>name</i><br><ol><li>A parish of Finnveden, later Småland, Sweden; today's Ryssby</li></ol>
Ti	<i>name</i><br><ol><li>(Norse mythology) Tyr</li></ol>
a	<i>noun</i><br><ol><li>creek, river</li></ol>
aghborre|aborre	<i>noun</i><br><ol><li>perch</li></ol>
aka|ak|akin|ōkts|akes|ōk|ōkin|akis|aker|akum|akins|akandi|ōkt|akums|ōkis|aks|ōke|ōkums|aki|ōkom|ōki|ōkoms|ōkins|ōkos|akom|ōku|ōkus|akas|akande|akoms|ōkes|ōkum|ōks|ake	<i>verb</i><br><ol><li>to drive</li></ol>
aker|akromen|akranir|akre|akrumin|akrum|akrar|akrana|akri|akrinum|akrom|akra|akrsins|akranna|akrenom|akraner|akrin|akers	<i>noun</i><br><ol><li>field, cultivated land</li></ol>
al|ālana|āls|ālomen|ālaner|ālinum|āler|ālom|ālumin|ālenom|ālum|ālanna|ālsins|āla|ālrin|ālar|āle|ālin|ālanir|āli|āl	<i>noun</i><br><ol><li>eel</li></ol>
alder|aldra|allan|al|aldrer|aldranir|aldre|alt|aldrumin|aldrar|aldrinum|allir|aldrrin|aldr|aldranna|allum|aldromen|aldrs|alla|aldraner|aldri|allu|aldrum|als|aldrom|aldrana|aldrin|allar|aldrenom|aldrsins	<i>adj</i><br><ol><li>all</li><li>whole, complete</li></ol><br><i>noun</i><br><ol><li>lifetime</li><li>age; how old someone or something is</li><li>age, era</li><li>old age</li></ol>
anda|andaþin|andis|andaþi|andi|andaþis|andums|andaþums|andins|andin|andaþum|andaþer|andum|andar|andaþu|andaþus|andandi|andaþins|andas	<i>verb</i><br><ol><li>to breathe</li></ol>
ande|anden|anda|andans|andonom|andana|andan|andar|andarnir|andom|andanna|andanom	<i>noun</i><br><ol><li>breath</li><li>gas, steam</li><li>spirit, soul</li></ol>
annar|annars|andri|aþra|annat|aþrum|aþrir|annan|annara|andrir|andra|aþrar|annarar|aþru|andrar|andrum|andru|annur|annari	<i>adj</i><br><ol><li>second</li><li>other</li></ol>
aptan|aptner|aptne|aptnenom|aptnanir|aptnanna|aptni|aptns|aptnomen|aptnsins|aptnar|aptnaner|aptnumin|aptnin|aptninum|aptnom|aptnrin|aptnana|aptnum|aptn|aptna	<i>noun</i><br><ol><li>afternoon, evening</li></ol>
ar|ārumin|āri|āra|ārit|āranna|ārinu|ārs|ārum|ārsins|ārin|ār	<i>noun</i><br><ol><li>year</li></ol>
arbeidare	<i>noun</i><br><ol><li>a worker</li></ol>
argher|arghu|arghra|arghir|argha|arghi|arghum|arghs|arght|arghrar|arghar|arkt|arghri|arghan|argh	<i>adj</i><br><ol><li>cowardly</li><li>bad, evil, wicked</li><li>angry</li></ol>
arve|arvom|arvanom|arvans|arvanna|arvan|arva|arvarnir|arvana|arvonom|arvar|arven	<i>noun</i><br><ol><li>heir</li></ol>
arþer|arþrit|arþrin|arþersins|arþra|arþrum|arþranna|arþri|arþrumin|arþers|arþrinu	<i>noun</i><br><ol><li>scratch plough, ard</li></ol>
asker|askomen|askar|askum|askaner|askana|askanir|asks|ask|aski|askin|askinum|askenom|askrin|askumin|asksins|askom|askanna|aske|aska	<i>noun</i><br><ol><li>ash (tree)</li><li>wooden box</li></ol>
