Adooleessa	<i>name</i><br><ol><li>July</li></ol>
Amajjii	<i>name</i><br><ol><li>January</li></ol>
Bitootessa	<i>name</i><br><ol><li>March</li></ol>
Caamsaa	<i>name</i><br><ol><li>April</li></ol>
Dilbata	<i>name</i><br><ol><li>Sunday</li></ol>
Ebla	<i>name</i><br><ol><li>May</li></ol>
Faasiikaa	<i>name</i><br><ol><li>Easter</li></ol>
Finfinnee	<i>name</i><br><ol><li>ancient name of Addis Ababa</li></ol>
Fulbaana	<i>name</i><br><ol><li>September</li></ol>
Guraandhala	<i>name</i><br><ol><li>February</li></ol>
Haggaya	<i>name</i><br><ol><li>August</li></ol>
Jimmata	<i>name</i><br><ol><li>Friday</li></ol>
Kamsa	<i>name</i><br><ol><li>Thursday</li></ol>
Kibxata	<i>name</i><br><ol><li>Tuesday</li></ol>
Kirooshiyaa	<i>name</i><br><ol><li>Croatia</li></ol>
Muddee	<i>name</i><br><ol><li>December</li></ol>
Onkoloolessa	<i>name</i><br><ol><li>October</li></ol>
Roobii	<i>name</i><br><ol><li>Wednesday</li></ol>
Sadaasa	<i>name</i><br><ol><li>November</li></ol>
Sanbata	<i>name</i><br><ol><li>Saturday</li></ol>
Waaqa	<i>name</i><br><ol><li>God, the single deity of various monotheistic religions, especially the deity of Wakeffata, Judaism, Christianity, and Islam</li></ol>
Waaqayyo	<i>noun</i><br><ol><li>God</li></ol>
Waaxabajjii	<i>name</i><br><ol><li>June</li></ol>
Wiixata	<i>name</i><br><ol><li>Monday</li></ol>
a|aa	<i>noun</i><br><ol><li>The first letter of the Oromo alphabet, written in the Latin script.</li></ol><br><i>character</i><br><ol><li>a the first letter of Kayan alphabet.</li></ol><br><i>pron</i><br><ol><li>used for he, she, third person.</li></ol>
a'aa	<i>noun</i><br><ol><li>moan, painful voice of sharp pain.</li><li>no..., don't</li><li>butter (dialect case)</li></ol>
a'ama	<i>noun</i><br><ol><li>jaw</li></ol>
aada	<i>noun</i><br><ol><li>moan, painful voice of sharp pain.</li></ol>
aadnaa	<i>noun</i><br><ol><li>moan, painful voice of sharp pain.</li></ol>
aaduu	<i>verb</i><br><ol><li>to moan, groan</li></ol>
aallaattii	<i>noun</i><br><ol><li>pelican</li></ol>
aanaa	<i>noun</i><br><ol><li>district</li></ol>
aangoo	<i>noun</i><br><ol><li>authority</li></ol>
aannan	<i>noun</i><br><ol><li>milk</li></ol>
aare	<i>verb</i><br><ol><li>angry</li></ol>
aarii	<i>noun</i><br><ol><li>anger</li></ol>
aaruu|nanaara|aaraartu|haa aartu|aarteetti|ni aartu|aari|aaraarti|haa aaru|aarte|ni aaru|aaraniiru|aaraa|ni aarta|aarteetta|aaraarta|Overview of Conjugation|aarneerra|ni aarti|aaraarra|aare|haa aarnu|aartan|aaraaru|ni aara|Verb Conjugation|ni aarna|aartaniittu|haa aaran|aaraan jira|PRONOUN|aaran|aarne|aareera|aaraara	<i>verb</i><br><ol><li>be smoke</li><li>be angry, annoy</li></ol>
abaaboo	<i>noun</i><br><ol><li>flower</li></ol>
abaaruu	<i>verb</i><br><ol><li>to curse</li></ol>
abbaa	<i>noun</i><br><ol><li>father</li></ol>
abboomamuu	<i>verb</i><br><ol><li>to obey</li></ol>
abboommachuu	<i>verb</i><br><ol><li>to control</li></ol>
abbummaa	<i>noun</i><br><ol><li>ownership</li></ol>
abbuudduu	<i>noun</i><br><ol><li>thumb</li></ol>
abdachuu	<i>verb</i><br><ol><li>to trust</li></ol>
abidda	<i>noun</i><br><ol><li>fire</li></ol>
abjuu	<i>noun</i><br><ol><li>dream</li></ol>
abuduroo	<i>noun</i><br><ol><li>ancestor</li></ol>
adaadaa	<i>noun</i><br><ol><li>aunt</li></ol>
adaala	<i>noun</i><br><ol><li>desert</li></ol>
adabuu	<i>verb</i><br><ol><li>to punish</li></ol>
adamsuu	<i>verb</i><br><ol><li>to hunt</li></ol>
adanyoo	<i>noun</i><br><ol><li>allergy</li></ol>
adda	<i>noun</i><br><ol><li>forehead</li></ol>
addunyaa	<i>noun</i><br><ol><li>world</li></ol>
adeemuu	<i>verb</i><br><ol><li>to walk</li></ol>
adii	<i>adj</i><br><ol><li>white</li></ol>
adurree	<i>noun</i><br><ol><li>cat</li></ol>
aduu	<i>noun</i><br><ol><li>the sun</li></ol>
afaa	<i>noun</i><br><ol><li>carpet, rug</li></ol>
afaan	<i>noun</i><br><ol><li>mouth</li><li>language</li></ol>
afachuu	<i>verb</i><br><ol><li>to wait</li></ol>
affeeluu	<i>verb</i><br><ol><li>to cook</li></ol>
affeeruu	<i>verb</i><br><ol><li>to invite</li></ol>
afoola	<i>noun</i><br><ol><li>folklore</li></ol>
afur	<i>num</i><br><ol><li>four</li></ol>
afurtama	<i>num</i><br><ol><li>forty</li></ol>
agarsiisuu	<i>verb</i><br><ol><li>to show, indicate</li></ol>
ajaagaarii	<i>noun</i><br><ol><li>tomato</li></ol>
ajaja	<i>noun</i><br><ol><li>command, order</li></ol>
akaafaa	<i>noun</i><br><ol><li>shovel</li></ol>
akaakayyuu	<i>noun</i><br><ol><li>grandfather</li></ol>
akankarreettii	<i>noun</i><br><ol><li>parasite</li></ol>
akkayyaa	<i>noun</i><br><ol><li>grandmother</li></ol>
akkeessuu	<i>verb</i><br><ol><li>to mimic</li></ol>
alaabaa	<i>noun</i><br><ol><li>flag, banner</li></ol>
alkoo	<i>noun</i><br><ol><li>old woman</li></ol>
amanaa	<i>noun</i><br><ol><li>believer</li></ol>
amanuu	<i>verb</i><br><ol><li>to believe</li></ol>
ammayyoomsuu	<i>verb</i><br><ol><li>to update</li></ol>
anaanaasii	<i>noun</i><br><ol><li>pineapple</li></ol>
anaaxii	<i>noun</i><br><ol><li>carpenter</li></ol>
anaaxummaa	<i>noun</i><br><ol><li>carpentry</li></ol>
annan	<i>noun</i><br><ol><li>milk</li></ol>
antuuta	<i>noun</i><br><ol><li>rat</li></ol>
araddee	<i>noun</i><br><ol><li>meadow</li></ol>
aramuu	<i>verb</i><br><ol><li>to weed</li></ol>
arbaa	<i>noun</i><br><ol><li>elephant</li></ol>
areeda	<i>noun</i><br><ol><li>beard</li><li>mustache</li></ol>
areeruu	<i>verb</i><br><ol><li>to pollute</li></ol>
arfaasaa	<i>noun</i><br><ol><li>spring, springtime</li></ol>
arfii	<i>noun</i><br><ol><li>alphabet</li></ol>
argaa	<i>noun</i><br><ol><li>gift, present</li></ol>
argachuu	<i>verb</i><br><ol><li>to find</li><li>to earn</li></ol>
ariifachuu	<i>verb</i><br><ol><li>to hurry</li></ol>
arraabuu	<i>verb</i><br><ol><li>to lick</li></ol>
arrabsoo	<i>noun</i><br><ol><li>insult</li></ol>
arrabsuu	<i>verb</i><br><ol><li>to insult</li></ol>
arrii	<i>noun</i><br><ol><li>silk</li></ol>
arroolee	<i>noun</i><br><ol><li>antelope</li></ol>
asoosama	<i>noun</i><br><ol><li>novel (work of fiction)</li></ol>
atara	<i>noun</i><br><ol><li>pea</li></ol>
awwaala	<i>noun</i><br><ol><li>burial</li></ol>
awwaara	<i>noun</i><br><ol><li>dust</li></ol>
awwagii	<i>noun</i><br><ol><li>package</li></ol>
aʼa|a'aawwan	<i>noun</i><br><ol><li>(Afaan Oromo) painful voice of sharp pain.</li></ol>
baacuu	<i>verb</i><br><ol><li>to carry</li></ol>
baadiyyaa	<i>noun</i><br><ol><li>countryside</li></ol>
baaduu	<i>noun</i><br><ol><li>cheese</li></ol>
baaldii	<i>noun</i><br><ol><li>bucket</li></ol>
baallee	<i>noun</i><br><ol><li>feather</li></ol>
baankii	<i>noun</i><br><ol><li>bank (financial institution)</li></ol>
baaqelaa	<i>noun</i><br><ol><li>bean</li></ol>
baargamoo	<i>noun</i><br><ol><li>eucalyptus</li></ol>
baasii	<i>noun</i><br><ol><li>expense</li></ol>
baatii	<i>noun</i><br><ol><li>month</li></ol>
baatuu	<i>verb</i><br><ol><li>to leave</li></ol>
baay'isuu	<i>verb</i><br><ol><li>to multiply</li></ol>
baccuu	<i>verb</i><br><ol><li>to joke, jest</li></ol>
bacoo	<i>noun</i><br><ol><li>bedbug</li></ol>
badaa	<i>adj</i><br><ol><li>bad</li></ol>
badaduu	<i>verb</i><br><ol><li>to try, attempt</li></ol>
baddaa	<i>noun</i><br><ol><li>highland</li></ol>
baduu	<i>verb</i><br><ol><li>to disappear, vanish</li></ol>
baha	<i>noun</i><br><ol><li>east</li></ol>
bahiisa aduu	<i>noun</i><br><ol><li>sunrise</li></ol>
bakakkaa	<i>noun</i><br><ol><li>thunder</li></ol>
bakka	<i>noun</i><br><ol><li>place, site, location</li></ol>
balaa	<i>noun</i><br><ol><li>accident</li></ol>
balaqqeessa	<i>noun</i><br><ol><li>lightning</li></ol>
