А|а|a	<i>character</i><br><ol><li>The first letter of the Ossetian alphabet, written in the Cyrillic script.</li></ol>
Афгъанистан|Afǧanistan	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Б|б|b|B	<i>character</i><br><ol><li>The third letter of the Ossetian alphabet, written in the Cyrillic script.</li></ol>
В|V|в|v	<i>character</i><br><ol><li>The fourth letter of the Ossetian alphabet, written in the Cyrillic script.</li></ol>
Г|g|г	<i>character</i><br><ol><li>The fifth letter of the Ossetian alphabet, written in the Cyrillic script.</li></ol>
Гуырдзыстон|Guyrdzyston	<i>name</i><br><ol><li>Georgia</li></ol>
Дагъистан|Daǧistan	<i>name</i><br><ol><li>Daghistan</li></ol>
Дж|ǵ|Ǵ|дж	<i>character</i><br><ol><li>The eighth letter of the Ossetian alphabet, written in the Cyrillic script.</li></ol>
Ирыстон|Iryston	<i>name</i><br><ol><li>Ossetia</li></ol>
Калак|Kalak	<i>name</i><br><ol><li>(South Ossetia) Tbilisi</li></ol>
Мӕхъӕл|Mæqæl	<i>noun</i><br><ol><li>Ingushetia</li></ol>
Огайо|Ogajo	<i>name</i><br><ol><li>Ohio (a state of the United States)</li><li>Ohio (a river in the central United States)</li></ol>
Сомех|Somix	<i>name</i><br><ol><li>(Digor) Armenia (a country in Europe and Asia)</li></ol>
Сомих|Somix	<i>name</i><br><ol><li>(Iron) Armenia (a country in Europe and Asia)</li></ol>
Сомихыстон|Somixyston	<i>name</i><br><ol><li>Armenia</li></ol>
Тӕтӕрстан|Tætærstan	<i>name</i><br><ol><li>Tatarstan</li></ol>
Украинӕ|Ukrainæ	<i>name</i><br><ol><li>Ukraine</li></ol>
Уӕрӕсе|Wæræse	<i>name</i><br><ol><li>Russia</li></ol>
Цхинвал|Cxinvál|Цхинва́л	<i>name</i><br><ol><li>Tskhinvali (the capital city of South Ossetia, a de-facto independent country internationally recognized as part of the country of Georgia)</li></ol>
Чъреба	<i>name</i><br><ol><li>Tskhinvali (the capital city of South Ossetia, a de-facto independent country internationally recognized as part of the country of Georgia)</li></ol>
а|А|a	<i>character</i><br><ol><li>The first letter of the Ossetian alphabet, written in the Cyrillic script.</li></ol>
абана|abána|аба́на	<i>noun</i><br><ol><li>(Iron, Digor) bathhouse</li></ol>
абон|abon	<i>noun</i><br><ol><li>today</li></ol>
авг|avg	<i>noun</i><br><ol><li>(Iron) glass</li><li>(Iron) bottle</li></ol>
авгӕ|avgæ|ӕвгитӕ	<i>noun</i><br><ol><li>(Digor) Alternative form of авг (avg)</li></ol>
авд|avd	<i>num</i><br><ol><li>seven</li></ol>
авдисӕр|avdisær	<i>noun</i><br><ol><li>(Digor) Monday</li></ol>
агъд|aǧd	<i>noun</i><br><ol><li>thigh</li></ol>
