آب آبستنی|âb-ı âbistenî	<i>noun</i><br><ol><li>semen, sperm</li><li>rain</li><li>irrigation water</li></ol>
آب حیات|ab-ı hayat	<i>noun</i><br><ol><li>elixir of life</li></ol>
آبدست|âbdest	<i>noun</i><br><ol><li>(Islam) abdest</li></ol>
آبده|abide	<i>noun</i><br><ol><li>monument</li></ol>
آبلوقه|abluka|آبلوقهلر	<i>noun</i><br><ol><li>blockade</li></ol>
آبونه|آبونهیی|abone|آبونهلر	<i>noun</i><br><ol><li>subscriber</li><li>subscription</li></ol>
آت|at	<i>noun</i><br><ol><li>horse</li><li>(dialectal) Alternative form of آد (ad, “name”)</li></ol>
آت بالغی|at balığı	<i>noun</i><br><ol><li>hippopotamus (Hippopotamus amphibius)</li></ol>
آت سینكی|at sineği	<i>noun</i><br><ol><li>horsefly, any of several flies of the family Tabanidae</li></ol>
آتا|ata	<i>noun</i><br><ol><li>father</li></ol>
آتابك|atabey|atabek	<i>noun</i><br><ol><li>atabeg</li></ol>
آترینه|aterine|aterina	<i>noun</i><br><ol><li>silverside, sandsmelt, atherina</li></ol>
آتش|ateş	<i>noun</i><br><ol><li>fire</li></ol>
آتش بوجكی|ateş böceği	<i>noun</i><br><ol><li>firefly</li></ol>
آتشه|ataşe|آتشهلر|آتشهیی	<i>noun</i><br><ol><li>attaché</li></ol>
آتلی|atlı	<i>noun</i><br><ol><li>horseman</li></ol>
آتمق|atmak	<i>verb</i><br><ol><li>(transitive) to throw, throw down, throw away</li><li>(transitive) to remove clothes</li><li>(transitive) to moult (cast off feathers)</li><li>(transitive) to reject</li><li>(transitive) to fire (a gun, a rocket, a bullet)</li><li>(intransitive) to break, crack, splinter</li><li>(intransitive) (for a gun) to go off, be fired</li><li>(intransitive) to explode</li></ol>
آتنه|Atina	<i>name</i><br><ol><li>Athens (a city in Greece)</li></ol>
آجیقمق|acıkmak	<i>verb</i><br><ol><li>to be hungry</li></ol>
آجیو|acyo	<i>noun</i><br><ol><li>agio</li></ol>
آخر|آخرده|آخرلرڭ|âhir|آخرلرده|آخرڭ|آخرلری|آخرلر|آخره|آخردن|âher|آخرلردن|آخری|آخرلره	<i>adj</i><br><ol><li>another</li><li>other</li><li>last</li></ol><br><i>adv</i><br><ol><li>at last</li><li>finally</li></ol><br><i>noun</i><br><ol><li>end, conclusion</li></ol>
آخرت|âhiret	<i>noun</i><br><ol><li>(Islam) akhirah</li></ol>
آخشام|akşam	<i>noun</i><br><ol><li>evening, the time before and after sunset</li></ol>
آخلاط|Ahlat|ahlat	<i>noun</i><br><ol><li>wild pear (Pyrus elaeagrifolia or Pyrus pyraster tree or fruit)</li></ol><br><i>name</i><br><ol><li>Ahlat (a town in Bitlis Province, Turkey; at Lake Van, 40 km northeast from Tatvan along the coastline)</li><li>Ahlat (a district of Bitlis Province, Turkey)</li></ol>
آد|آدلر|ad|آدی	<i>noun</i><br><ol><li>name</li><li>(grammar) noun</li><li>name, fame, reputation</li></ol>
آدم|Âdem|adam|âdem	<i>noun</i><br><ol><li>human</li><li>person</li><li>man</li></ol><br><i>name</i><br><ol><li>(religion) Adam</li></ol>
آرا|ara|آره|ارا	<i>noun</i><br><ol><li>interval of space; space in between</li><li>interval of time</li><li>opinion, view</li><li>vote; suffrage</li></ol>
آرامق|aramak	<i>verb</i><br><ol><li>to seek</li><li>to search</li></ol>
آرتق|artık	<i>adj</i><br><ol><li>excess, surplus</li></ol><br><i>noun</i><br><ol><li>remnant, residue, remainder</li></ol>
آرتمق|artmak	<i>verb</i><br><ol><li>to increase</li><li>to accrue</li><li>to ascend</li></ol>
آرد|ard	<i>noun</i><br><ol><li>back</li><li>(figuratively) buttocks</li></ol>
آردج|آردیج|ardıç	<i>noun</i><br><ol><li>juniper</li></ol>
آرزو|ārzū	<i>noun</i><br><ol><li>desire</li><li>wish</li><li>hope</li></ol>
آرسلان|aslan|arslan	<i>noun</i><br><ol><li>lion</li><li>brave man</li></ol>
آرش|arş|arış	<i>intj</i><br><ol><li>forward! (command to soldiers)</li></ol><br><i>noun</i><br><ol><li>warp of a fabric</li><li>clipping of آرشون (arşun, arşın, “cubit”)</li></ol>
آرشون|آرشین|arşun|arşın	<i>noun</i><br><ol><li>a linear measure of 0.68 metres, cubit, yard</li></ol>
آرشین|arşın	<i>noun</i><br><ol><li>weasel, reel, spool where one winds yarn</li></ol>
آرق|ark	<i>noun</i><br><ol><li>irrigation ditch</li></ol>
آرقه|arka	<i>noun</i><br><ol><li>back, the rear of the body from the neck to the end of the spine</li><li>back, the side of an object which is opposite the front side</li><li>backer, a powerful friend or supporter</li></ol>
آرقه‌داش|arkadaş|آرقهداش|آرقهداشلر	<i>noun</i><br><ol><li>comrade, companion, person who has one's back</li></ol>
آرقه‌داشلق|arkadaşlık|آرقهداشلقلر|آرقهداشلق	<i>noun</i><br><ol><li>camaraderie, comradeship</li></ol>
آرقه‌لق|آرقهلق|arkalık	<i>noun</i><br><ol><li>backrest, the back piece of a chair, armchair or sofa</li><li>arkhalig, a long, tight-waist jacket worn in Caucasus and Iran</li></ol>
آرمود|armud|armut	<i>noun</i><br><ol><li>pear (fruit)</li></ol>
آرموز|armuz	<i>noun</i><br><ol><li>(nautical) A seam in a wooden boat.</li></ol>
