Buddha	<i>noun</i><br><ol><li>(Buddhism) Buddha, the enlightened one.</li></ol>
Devadatta	<i>name</i><br><ol><li>Devadatta, cousin and former disciple of the Buddha.</li></ol>
Kambojaka	<i>name</i><br><ol><li>Kamboja</li></ol>
Mahākassapa	<i>name</i><br><ol><li>(Buddhism) Maha Kassapa, one of Ten Principal Disciples of Gautama Buddha</li></ol>
Rāhula	<i>name</i><br><ol><li>Rahula, son of the Buddha.</li></ol>
Sāvatthī|ᩈᩣᩅᨲ᩠ᨳᩦ	<i>name</i><br><ol><li>Savatthi, also known as Shravasti, the one-time capital of the kingdom of Kosala.</li></ol>
Takkasilā	<i>name</i><br><ol><li>Taxila (a city in Rawalpindi district, Punjab, Pakistan).</li><li>Taxila (an ancient city)</li></ol>
abbha	<i>noun</i><br><ol><li>cloud</li><li>sky</li></ol>
abbhāgata|abbhāgato	<i>adj</i><br><ol><li>having arrived</li></ol><br><i>noun</i><br><ol><li>guest</li></ol>
abhaya	<i>adj</i><br><ol><li>safe, fearless</li></ol>
abhidhāna|অভিধান	<i>noun</i><br><ol><li>name, appellation, expression</li></ol>
abhidosa|abhidoso|អភិទោស|អភិទោសោ	<i>noun</i><br><ol><li>last evening</li></ol>
abhijjamāna	<i>adj</i><br><ol><li>not breaking or separating</li></ol>
abhijjhā	<i>noun</i><br><ol><li>covetousness</li></ol>
abhinimmāti	<i>verb</i><br><ol><li>to create, to cause to appear by supernatural power</li></ol>
abhininnāmeti	<i>verb</i><br><ol><li>to bend towards, to turn or direct to</li></ol>
abhinipphādeti	<i>verb</i><br><ol><li>to bring into existence</li><li>to produce</li><li>to effect</li><li>to work</li></ol>
abhiropeti|ruh|abhiropito|abhiropita	<i>verb</i><br><ol><li>to concentrate on</li><li>to pay respect to</li></ol>
abhirūpa	<i>adj</i><br><ol><li>beautiful</li><li>lovely</li></ol>
abhisajjati	<i>verb</i><br><ol><li>to be angry； to scold</li></ol>
abhisandeti	<i>verb</i><br><ol><li>To drench, to rain upon</li></ol>
abhiseka	<i>noun</i><br><ol><li>anointing, consecration, inauguration</li></ol>
abhitiṭṭhati	<i>verb</i><br><ol><li>to stand out supreme，to excel，surpass</li></ol>
abhittharati	<i>verb</i><br><ol><li>To make haste, be quick.</li></ol>
abhivijināti	<i>verb</i><br><ol><li>to conquer</li></ol>
abhivādeti|vad	<i>verb</i><br><ol><li>to salute</li><li>to greet</li></ol>
abhiyujjhati|abhiyujjhito|yudh|abhiyujjhita	<i>verb</i><br><ol><li>to contend with</li></ol>
abhiññāta	<i>adj</i><br><ol><li>well-known; recognised</li></ol>
abhūta	<i>adj</i><br><ol><li>not real</li><li>untrue, false</li></ol>
accha	<i>noun</i><br><ol><li>bear</li></ol>
acchariya	<i>adj</i><br><ol><li>marvelous</li></ol>
accharā	<i>noun</i><br><ol><li>finger</li><li>(mythology) celestial nymph</li></ol>
acci|𑀅𑀘𑁆𑀘𑀺	<i>noun</i><br><ol><li>a ray of light, a beam, flame</li></ol>
accuta	<i>adj</i><br><ol><li>everlasting, eternal (also as an epithet for nirvana)</li></ol>
adda	<i>adj</i><br><ol><li>moist</li><li>green</li></ol>
addhan|addhā|addhuno|addhunā	<i>noun</i><br><ol><li>path</li><li>time</li></ol>
addhānamagga|អទ្ធានមគ្គ	<i>noun</i><br><ol><li>a long path, high road</li></ol>
addi	<i>noun</i><br><ol><li>mountain</li></ol>
adeti	
adhi	<i>prep</i><br><ol><li>up to</li><li>over</li><li>on</li><li>above</li></ol>
adhigacchati|ᩋᨵᩥᨣᨧ᩠ᨨᨲᩥ	<i>verb</i><br><ol><li>to get to</li><li>to acquire</li><li>to attain</li><li>to understand</li></ol>
adhigaṇhāti	<i>verb</i><br><ol><li>to surpass</li></ol>
adhika	<i>adj</i><br><ol><li>exceeding; superior</li></ol>
adhikaraṇa	<i>noun</i><br><ol><li>supervision, administration</li><li>relation, cause, consequence</li><li>question, dispute, lawsuit</li></ol>
