Alemania	<i>name</i><br><ol><li>Germany</li></ol>
Amérika	<i>name</i><br><ol><li>America</li></ol>
Antia	<i>name</i><br><ol><li>Antilles, a large group of islands in the West Indies.</li></ol>
Aruba	<i>name</i><br><ol><li>Aruba (an island, a dependent territory and constituent country of the Netherlands, in the Caribbean Sea)</li></ol>
Bandabou	<i>name</i><br><ol><li>Bandabou, the less populated area at the west ("under") side of the island of Curaçao.</li></ol>
Benezuela	<i>name</i><br><ol><li>Venezuela</li></ol>
Boneiru	<i>name</i><br><ol><li>Bonaire, an island in the Caribbean. A municipality (officially “public body”) within the country of the Netherlands.</li></ol>
Bèlgika	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Curaçao	<i>name</i><br><ol><li>Curaçao</li></ol>
Fransia	<i>name</i><br><ol><li>France</li></ol>
Hulanda	<i>name</i><br><ol><li>Netherlands</li></ol>
Hulandes	<i>adj</i><br><ol><li>Dutch</li></ol><br><i>noun</i><br><ol><li>Dutch language</li><li>Dutchman</li></ol>
Indonesia	<i>name</i><br><ol><li>Indonesia</li></ol>
Karibe	<i>adj</i><br><ol><li>Caribbean</li></ol>
Kòrsou	<i>name</i><br><ol><li>Curaçao</li></ol>
Merka	<i>name</i><br><ol><li>America</li></ol>
Nanzi	<i>name</i><br><ol><li>Anansi</li><li>A trickster spider, one of the main characters in West African and Caribbean folklore fairy tales.</li></ol>
Neerlandes	<i>name</i><br><ol><li>Netherlands</li></ol>
Oropa	<i>name</i><br><ol><li>Europe</li></ol>
Otrabanda	<i>name</i><br><ol><li>Otrabanda, the centre of Willemstad, Curaçao, at the west side of the pontoon bridge.</li></ol>
Pasku	<i>name</i><br><ol><li>Christian feast day</li><li>Christmas</li><li>Easter</li></ol>
Punda	<i>name</i><br><ol><li>the old centre of Willemstad Curaçao, at the east side of the pontoon bridge</li><li>the "city"</li></ol>
Spaña	<i>name</i><br><ol><li>Spain</li></ol>
Sürnam	<i>name</i><br><ol><li>Suriname</li></ol>
Willemstad	<i>name</i><br><ol><li>Willemstad, the capital city of Curaçao.</li></ol>
abla	<i>verb</i><br><ol><li>to speak</li></ol><br><i>noun</i><br><ol><li>speech</li></ol>
ablif	<i>intj</i><br><ol><li>I beg your pardon ?</li><li>excuse me ?</li><li>what do you say ?</li></ol>
abo	<i>pron</i><br><ol><li>you (second person singular).</li></ol>
abou	<i>prep</i><br><ol><li>down</li><li>below</li><li>under</li><li>west</li></ol>
aeropuerto	<i>noun</i><br><ol><li>airport</li></ol>
ainda	<i>adv</i><br><ol><li>yet, still</li></ol>
aki	<i>pron</i><br><ol><li>here</li></ol>
aktivo	<i>adj</i><br><ol><li>active</li></ol>
akuerdo	<i>noun</i><br><ol><li>treaty</li><li>agreement</li></ol>
ala	<i>noun</i><br><ol><li>wing</li></ol>
algun	<i>pron</i><br><ol><li>some</li><li>any</li></ol>
ami	<i>pron</i><br><ol><li>I, me, my.</li></ol>
amigu	<i>noun</i><br><ol><li>friend</li><li>(colloquial) buddy, pal, mate</li></ol>
anchu	<i>adj</i><br><ol><li>wide</li></ol>
animal	<i>noun</i><br><ol><li>beast</li><li>animal</li></ol>
anochi	<i>noun</i><br><ol><li>night</li></ol>
antes	<i>adv</i><br><ol><li>earlier</li><li>before (at an earlier time)</li><li>formerly</li></ol>
apartá	<i>verb</i><br><ol><li>to split</li></ol>
apel	<i>noun</i><br><ol><li>apple</li></ol>
apelsina	<i>noun</i><br><ol><li>orange (fruit)</li></ol>
aprel	<i>noun</i><br><ol><li>April</li></ol>
araña	<i>noun</i><br><ol><li>spider</li></ol>
area	<i>noun</i><br><ol><li>area</li></ol>
ariba	<i>prep</i><br><ol><li>upon</li><li>above</li><li>on</li><li>east</li></ol>
arohá	<i>verb</i><br><ol><li>to vomit</li></ol>
aros	<i>noun</i><br><ol><li>rice</li></ol>
asosashon	<i>noun</i><br><ol><li>association</li></ol>
atenshon	<i>noun</i><br><ol><li>attention</li></ol>
awa	<i>noun</i><br><ol><li>water</li></ol>
awaseru	<i>noun</i><br><ol><li>rain</li></ol>
awe	<i>pron</i><br><ol><li>today</li></ol>
aweró	<i>pron</i><br><ol><li>soon</li><li>later</li></ol>
awor	<i>pron</i><br><ol><li>now</li></ol>
aworo	<i>pron</i><br><ol><li>soon</li><li>later</li></ol>
awé	<i>pron</i><br><ol><li>today</li></ol>
awó	<i>pron</i><br><ol><li>now</li></ol>
aya	<i>adv</i><br><ol><li>there</li></ol>
ayera	<i>adv</i><br><ol><li>yesterday</li></ol>
ayo	<i>intj</i><br><ol><li>goodbye</li><li>farewell</li></ol>
ayó	<i>intj</i><br><ol><li>goodbye</li><li>farewell</li></ol>
aña	<i>noun</i><br><ol><li>year</li></ol>
bai	<i>verb</i><br><ol><li>to go</li><li>to walk</li></ol>
baila	<i>verb</i><br><ol><li>to dance</li></ol>
baiskel	<i>noun</i><br><ol><li>bicycle</li></ol>
baka	<i>noun</i><br><ol><li>cow</li></ol>
balia	<i>verb</i><br><ol><li>to dance</li></ol>
balor	<i>noun</i><br><ol><li>value</li></ol>
banda	<i>prep</i><br><ol><li>next to</li><li>around</li></ol><br><i>noun</i><br><ol><li>surroundings</li><li>side</li></ol>
bandera	<i>noun</i><br><ol><li>flag</li><li>banner</li></ol>
bandona	<i>verb</i><br><ol><li>to abandon</li></ol>
bapor	<i>noun</i><br><ol><li>boat, ship</li><li>steamboat</li></ol>
baranka	<i>noun</i><br><ol><li>rock</li><li>cliff</li></ol>
barbulètè	<i>noun</i><br><ol><li>butterfly</li></ol>
bari	<i>verb</i><br><ol><li>to wipe</li></ol>
barika	<i>noun</i><br><ol><li>belly</li></ol>
barku	<i>noun</i><br><ol><li>ship, boat</li></ol>
baston	<i>noun</i><br><ol><li>stick</li></ol>
batata	<i>noun</i><br><ol><li>potato</li></ol>
bataya	<i>noun</i><br><ol><li>battle</li></ol>
bati	<i>verb</i><br><ol><li>to hit</li><li>to beat</li></ol>
bebe	<i>verb</i><br><ol><li>to drink</li></ol>
bek	<i>adj</i><br><ol><li>back, again</li></ol><br><i>noun</i><br><ol><li>back</li></ol>
bende	<i>verb</i><br><ol><li>to sell</li></ol>
bendishon	<i>noun</i><br><ol><li>blessing</li></ol>
benta	<i>verb</i><br><ol><li>to throw</li></ol>
bes	<i>noun</i><br><ol><li>times as in "three times is too much"</li><li>occasion, instance</li></ol>
bestia	<i>noun</i><br><ol><li>beast</li><li>animal</li></ol>
bia	<i>noun</i><br><ol><li>travel, journey</li><li>times as in "three times is too much"</li></ol><br><i>verb</i><br><ol><li>to travel</li></ol>
biaha	<i>noun</i><br><ol><li>travel, journey</li><li>times as in "three times is too much"</li></ol><br><i>verb</i><br><ol><li>to travel</li></ol>
biahe	<i>noun</i><br><ol><li>travel, journey</li><li>times as in "three times is too much"</li></ol><br><i>verb</i><br><ol><li>to travel</li></ol>
biba	<i>verb</i><br><ol><li>to live</li><li>to dwell</li></ol>
bichi	<i>noun</i><br><ol><li>worm</li></ol>
bientu	<i>noun</i><br><ol><li>wind</li></ol>
bieu	<i>adj</i><br><ol><li>old</li></ol>
bin	<i>verb</i><br><ol><li>to come</li></ol>
bini	<i>verb</i><br><ol><li>to come</li></ol>
binti	<i>num</i><br><ol><li>twenty (20)</li></ol>
bira	<i>verb</i><br><ol><li>to turn</li><li>to bend</li></ol>
bisa	<i>verb</i><br><ol><li>to say</li></ol>
bisawela	<i>noun</i><br><ol><li>great grandmother</li></ol>
bisawelo	<i>noun</i><br><ol><li>great grandfather</li></ol>
bishitá	<i>verb</i><br><ol><li>to visit</li><li>to attend</li></ol>
bisiña	<i>noun</i><br><ol><li>neighbour</li></ol>
blachi	<i>noun</i><br><ol><li>leaf</li></ol>
blanku	<i>adj</i><br><ol><li>white</li></ol>
blas	<i>verb</i><br><ol><li>to blow</li></ol>
bleki	<i>noun</i><br><ol><li>can</li><li>tin</li></ol>
blenchi	<i>noun</i><br><ol><li>hummingbird</li><li>colibri</li><li>Trochilidae</li></ol>
blou	<i>adj</i><br><ol><li>blue</li></ol>
bo	<i>pron</i><br><ol><li>you (second person singular)</li></ol><br><i>det</i><br><ol><li>your</li></ol>
boka	<i>noun</i><br><ol><li>mouth</li><li>bay</li></ol>
