آ|alifmadā	<i>character</i><br><ol><li>alif with madda, a form of ا, the first letter of the Pashto alphabet</li></ol>
آب پاشِي|ābpāshí	<i>noun</i><br><ol><li>watering, irrigation</li></ol>
آبادانی|ābādāní	<i>noun</i><br><ol><li>population</li><li>prosperity, wellbeing</li><li>construction</li></ol>
آبخانە|ābkhāná	<i>noun</i><br><ol><li>reservoir</li></ol>
آبرو|ābráv	<i>noun</i><br><ol><li>aqueduct</li></ol>
آبکند|ābkánd	<i>noun</i><br><ol><li>ravine</li></ol>
آجر|ājúr	<i>noun</i><br><ol><li>brick (baked in a kiln)</li></ol>
آر|آره|âro|آرې|âre|آرو|âra|âr	<i>adj</i><br><ol><li>original</li><li>real</li></ol>
آره|آر|âro|آرې|âre|آرو|âra|âr	<i>noun</i><br><ol><li>original</li><li>real</li></ol>
آلمان|ālmān	<i>name</i><br><ol><li>Germany (a country in Central Europe; capital: Berlin)</li></ol>
آم|ām	<i>noun</i><br><ol><li>mango</li></ol>
آمېزش|āmezísh	<i>noun</i><br><ol><li>blending, mixture</li></ol>
آنبه|ambá	<i>noun</i><br><ol><li>mango</li></ol>
آه|āh	<i>noun</i><br><ol><li>sigh</li></ol><br><i>intj</i><br><ol><li>ah</li></ol>
آهن|āhín	<i>noun</i><br><ol><li>iron (metal)</li></ol>
آهنگ|āháng	<i>noun</i><br><ol><li>melody, musical theme, tune</li><li>sounding, sound</li><li>tone, intonation</li></ol>
آهو|āhu	<i>noun</i><br><ol><li>antelope</li><li>wild goat</li><li>(poetic) gazelle</li></ol>
آهوری|āhoráj	<i>noun</i><br><ol><li>mustard</li><li>colza, coleseed</li></ol>
آواز|āváz	<i>noun</i><br><ol><li>voice, sound</li><li>rumor, talk, talking</li></ol>
آيات|آياتونه|âyât|آياته|âyâtuna|آياتونو|âyâtuno|âyâta	<i>noun</i><br><ol><li>(Islam) verse (of the Qur'an)</li></ol>
آيرلنډ|āyrlənḍ	<i>name</i><br><ol><li>Ireland</li></ol>
ئ|fâiliya ye	<i>character</i><br><ol><li>The forty-fifth and final letter of the Pashto alphabet.</li></ol>
ا|alif	<i>character</i><br><ol><li>The first letter of the Pashto alphabet.</li></ol>
ابادول|به اباد کړی يې|bə abād kә́ṛay ye|اباد کړي يو|ابادې كړو|كړو|abā́de kṛəm|abā́d kṛəm|abād kә́ṛay wəm|abāde kә́ṛe yu|به ابادې کړې يو|bə abāde kә́ṛe di|اباد كړلو|bə (abāda kә́ṛe ye)|abād kә́ṛi yəi/yâst|اباد کړي وو\\ول|به اباده کړې يم|ابادولو|اباد كړې|abāda kә́ṛe yəm/yəma|abāde kә́ṛe wai|ابادې كړم|اباد كړي|اباد کړی و|ابادوله|abādawә́la|abād kә́ṛay ye|ابادوي|ابادوو|abā́d kṛəi|به اباد کړی دی|ابادې کړې وې|abā́da kṛələm/kṛəm|bə abāda kә́ṛe yəm/yəma|به ابادې کړې يئ|اباد کړی وې|abād kә́ṛi di|اباده کړې وه|abādāwә́|اباده كړلم|اباده کړې ده|ابادې كړﺉ|اباد کړي يئ|ابادوې|ياست|abād kә́ṛi wai|abādawә́m|abā́d kṛəlu/kṛu|abādawә́l|ابادې كړلو|اباد کړی يم|abā́da kṛe|اباد کړي وو|ابادوم|به ابادې کړې دي|abā́d kṛu|abāda kә́ṛe wa|به اباده کړې يې|اباد كړو|اباده کړې وې|به اباد کړي يو|abā́da kṛəle/kṛe|ابادې کړې وو|bə abād kә́ṛay day|abād kә́ṛay we|اباده كړو|اباد كړلې|abā́de kṛi|اباد كړلم|abādawә́i|به اباد کړی يم|ابادې کړې دي|abā́d kṛe|اباد کړي دي|اباده كړلې|ابادوئ|به اباد کړي دي|bə abāde kә́ṛe yəi/yâst|abā́d kṛəle/kṛe|abādawә́ləm|abāde kә́ṛe yəi/yâst|bə abād kә́ṛi yəi/yâst|ابادې كړې|ابادې کړې وئ|abāde kә́ṛe di|bə abāda kә́ṛe da|bə abāde kә́ṛe yu|(abā́d) kṛəl)|abā́de kṛəle/kṛe|abād kә́ṛi yu|ابادولئ|abā́d kṛi|اباد کړی دی|abā́d kṛələi/kṛəi|ابادې كړلې|ابادې کړې يو|ابادې kṛe|ابادې كړلئ|كړم|كړه|abādawә́le|اباده کړې يم|به اباده کړې ده|ابادې كړي|abād kә́ṛay wa|به اباد کړي يئ|abā́d kəṛ|abā́da kṛəla/kṛa|abā́da kṛəi|اباده كړي|اباد کړی يې|abāda kә́ṛe wəm/wəma|اباد كړم|اباده كړﺉ|abādawә́lu|اباد كړ|abād kә́ṛay day|ابادې کړې يئ|abā́de kṛəi|اباداوۀ|abādawí|اباده كړله|اباده کړې يې|abāda kә́ṛe ye|abā́da kṛəm|bə abād kә́ṛay yəm|abā́da kṛi|اباد كړلئ|كړې|abā́de kṛəlu/kṛu|اباده كړم|abā́d kṛələm/kṛəm|abādawú|اباد كړل|abāda kә́ṛe we|abādawә́ləi|كړﺉ|ابادولم|bə abād kә́ṛi yu|abādawé|abāde kә́ṛe wu|اباد کړی وم|abāde kә́ṛe we|abāda kә́ṛe da|اباد کړي وئ|abā́da kṛu|abād kә́ṛi wu/wël|ابادولې|ومه|abā́de kṛələi/kṛəi|bə abād kә́ṛi di|اباده كړې|abād kә́ṛay yəm|اباد كړﺉ|abād kә́ṛi wu|abā́de kṛu|اباده کړې وم	<i>verb</i><br><ol><li>to populate</li><li>to build</li></ol>
ابدی|abadí	<i>adj</i><br><ol><li>eternal, endless</li></ol>
اتل|atëla|اتلانو|atëlâno|اتلان|اتله|اتلو|atële|atël|atëlân|atëlo|اتلې	<i>noun</i><br><ol><li>hero, champion, victor</li></ol><br><i>adj</i><br><ol><li>brave, bold, heroic</li></ol>
اتلس|atëlas	<i>num</i><br><ol><li>eighteen</li></ol>
