Aa-Be-Ze	<i>noun</i><br><ol><li>alphabet</li></ol>
Aadler	<i>noun</i><br><ol><li>eagle</li></ol>
Aag|Aage	<i>noun</i><br><ol><li>eye</li></ol>
Aageblick	<i>noun</i><br><ol><li>moment</li></ol>
Aaguscht|Auguschde	<i>noun</i><br><ol><li>August (month)</li></ol>
Aarm|Aerm	<i>noun</i><br><ol><li>arm</li></ol>
Aarsch	<i>noun</i><br><ol><li>ass, posterior, buttocks</li><li>butt end of an egg</li></ol>
Aazeeche	<i>noun</i><br><ol><li>token</li><li>omen, sign</li></ol>
Abbel	<i>noun</i><br><ol><li>apple</li></ol>
Abschnitt	<i>noun</i><br><ol><li>section</li></ol>
Aendi|Aendis	<i>noun</i><br><ol><li>aunt</li></ol>
Aent|Aents	<i>noun</i><br><ol><li>aunt</li></ol>
Aerdabbel	<i>noun</i><br><ol><li>artichoke</li></ol>
Aerdschwamm	<i>noun</i><br><ol><li>mushroom</li></ol>
Aff|Affe	<i>noun</i><br><ol><li>ape</li><li>monkey</li><li>silly person</li></ol>
Ahorn|Ahorne	<i>noun</i><br><ol><li>(rare) maple</li></ol>
Ambos|Ambose	<i>noun</i><br><ol><li>anvil</li></ol>
Amerika|Amerikaa	<i>name</i><br><ol><li>America (the continents of North America and South America)</li><li>America, United States of America (a country in North America)</li></ol>
Amschel|Amschelche|Amschle	<i>noun</i><br><ol><li>American robin, Turdus migratorius</li></ol>
Appel|Eppel	<i>noun</i><br><ol><li>apple</li></ol>
Aprill	<i>noun</i><br><ol><li>April (month)</li></ol>
Arewet	<i>noun</i><br><ol><li>work, labor</li></ol>
Ausgang|Ausgeng	<i>noun</i><br><ol><li>outlet</li><li>issue</li></ol>
Ax|Ex|Axe	<i>noun</i><br><ol><li>axle</li><li>ax, axe</li></ol>
Axel	<i>noun</i><br><ol><li>shoulder</li></ol>
Baad|Baade	<i>noun</i><br><ol><li>bath</li></ol>
Baadschtubb|Baadschtuwwe	<i>noun</i><br><ol><li>bathroom</li></ol>
Baam|Baem|Beem	<i>noun</i><br><ol><li>tree</li></ol>
Baamgaarde	<i>noun</i><br><ol><li>orchard</li></ol>
Baargeld	<i>noun</i><br><ol><li>cash</li></ol>
Baart|Baert	<i>noun</i><br><ol><li>beard</li><li>chin</li></ol>
Baas	<i>noun</i><br><ol><li>boss</li></ol>
Baawoll	<i>noun</i><br><ol><li>cotton</li></ol>
Babier|Babiere	<i>noun</i><br><ol><li>paper</li></ol>
Backeschtee	<i>noun</i><br><ol><li>brick</li></ol>
Baer|Baere	<i>noun</i><br><ol><li>bear</li></ol>
Balle	<i>noun</i><br><ol><li>ball</li><li>bale</li></ol>
Band|Benner	<i>noun</i><br><ol><li>band</li><li>ribbon</li><li>hinge</li><li>bandage</li><li>ligature</li><li>bond</li><li>certificate of indebtedness</li></ol>
Bank|Benk	<i>noun</i><br><ol><li>bench</li><li>workbench</li></ol>
Barig|Barige	<i>noun</i><br><ol><li>hill</li><li>mountain</li></ol>
