aabaád|آباد	<i>noun</i><br><ol><li>dwelling</li></ol>
aac̣háaru|آڇھاروۡ	<i>noun</i><br><ol><li>a pine tree</li></ol>
aaghaabáanu|āghābānō|آگھا بانوۡ	<i>adj</i><br><ol><li>sky-coloured</li></ol>
aaghaá|آگھا	<i>noun</i><br><ol><li>sky</li></ol>
aaindá|آئندہ	<i>adv</i><br><ol><li>in the future</li><li>next time, another time</li></ol>
aakaaghuúṛ|آکاگُھوڑ	<i>noun</i><br><ol><li>thunder</li></ol>
aakatí|آکتیۡ	<i>pron</i><br><ol><li>some</li><li>a few</li></ol>
aakáak|آکاک	<i>num</i><br><ol><li>one each</li></ol>
aalmaarí|آلماریۡ	<i>noun</i><br><ol><li>cupboard</li></ol>
aalúg|آلُگ	<i>noun</i><br><ol><li>potato</li></ol>
aamburíi|آمبُری	<i>verb</i><br><ol><li>rub</li><li>wrinkle</li></ol>
aambúr|آمبُر	<i>noun</i><br><ol><li>instrument to pull out teeth or nails</li></ol>
aambúuṛu|آمبُوڑوۡ	<i>noun</i><br><ol><li>grain sack (a large measure)</li></ol>
aamúuṣa|āmūṣah|آمُوݜہ	<i>verb</i><br><ol><li>to forget</li></ol>
aamúuṣṭu|آمُوݜٹوۡ	<i>verb</i><br><ol><li>forgot (masc sg)</li></ol>
aandáaru|آنداروۡ	<i>noun</i><br><ol><li>intestine</li><li>guts</li></ol>
aarakiloóṛ|آرہ کِلوڑ	<i>noun</i><br><ol><li>sapling of peach tree</li></ol>
aaramúṭ|آرہ مُٹ	<i>noun</i><br><ol><li>peach tree</li></ol>
aaraám|آرام	<i>noun</i><br><ol><li>rest</li><li>ease</li></ol>
aaraám ki|آرام کیۡ	<i>phrase</i><br><ol><li>at rest, at ease</li></ol>
aaraám thíi|آرام تھی	<i>verb</i><br><ol><li>to rest</li></ol>
aarzaán|ارزان	<i>adj</i><br><ol><li>cheap</li></ol>
aarúuṣṭi|آرُوݜٹیۡ	<i>noun</i><br><ol><li>chin</li></ol>
aawaáz|آواز	<i>noun</i><br><ol><li>sound</li></ol>
aawaṛíi|آوڑی	<i>verb</i><br><ol><li>to get stuck</li></ol>
