Lebubînî|Lébúbînî́	<i>noun</i><br><ol><li>Tuesday</li></ol>
Lebuhlanu|Lébúhlanú	<i>noun</i><br><ol><li>Friday</li></ol>
Lebune|Lébúne	<i>noun</i><br><ol><li>Thursday</li></ol>
Lebutshatfu|Lébutshátfú	<i>noun</i><br><ol><li>Wednesday</li></ol>
Mgqibelo|Ḿgqibélo	<i>noun</i><br><ol><li>Saturday</li></ol>
Mulîmu|Múlî́mú	<i>noun</i><br><ol><li>God</li></ol>
Mvulo|Ḿvulo	<i>noun</i><br><ol><li>Monday</li></ol>
adleka	<i>verb</i><br><ol><li>to succeed</li></ol>
ahlula	<i>verb</i><br><ol><li>to judge</li></ol>
araba|yaraba	<i>verb</i><br><ol><li>to answer</li></ol>
ayiba|áyíba	<i>conj</i><br><ol><li>if</li></ol>
ba	<i>verb</i><br><ol><li>to be</li><li>to become</li></ol>
baba	<i>verb</i><br><ol><li>to taste bitter</li></ol>
baballa	<i>verb</i><br><ol><li>to save, to take care of</li></ol>
baga	<i>verb</i><br><ol><li>to cause (something), to abduct</li></ol>
bala	<i>verb</i><br><ol><li>to count</li></ol>
baleka	<i>verb</i><br><ol><li>to run away, to flee</li></ol>
bani|bóbaní|baní	<i>noun</i><br><ol><li>who is (it)?</li></ol>
basa	<i>verb</i><br><ol><li>to light, to kindle</li></ol>
bboya|b́boyá	<i>noun</i><br><ol><li>animal hair, fur</li><li>body hair</li></ol>
bega	<i>verb</i><br><ol><li>to cut into strips (meat for cooking)</li></ol>
beka	<i>verb</i><br><ol><li>to put, to place</li></ol>
beleka	<i>verb</i><br><ol><li>to give birth to</li></ol>
benya	<i>verb</i><br><ol><li>to flash</li></ol>
betla	<i>verb</i><br><ol><li>to carve</li></ol>
betsa	<i>verb</i><br><ol><li>to throw</li></ol>
bhacama	<i>verb</i><br><ol><li>to lie on the stomach</li></ol>
bhatsha	<i>verb</i><br><ol><li>to put on a blanket</li></ol>
bhatshulla	<i>verb</i><br><ol><li>to take off a blanket</li></ol>
bhebha	<i>verb</i><br><ol><li>to carry on the back</li></ol>
bheka	<i>verb</i><br><ol><li>to look at</li></ol>
bhoshula	<i>verb</i><br><ol><li>to take off clothes</li></ol>
bhîna	<i>verb</i><br><ol><li>to dance, to sing</li></ol>
bhûbhûdla	<i>verb</i><br><ol><li>to blow (of wind)</li></ol>
bhûdla	<i>verb</i><br><ol><li>to blow</li></ol>
bilisa	<i>verb</i><br><ol><li>to boil</li></ol>
bobosela	<i>verb</i><br><ol><li>to laugh</li></ol>
bobotsheka	<i>verb</i><br><ol><li>to laugh</li></ol>
boga	<i>verb</i><br><ol><li>to thank</li><li>to praise</li></ol>
bona|boná	<i>pron</i><br><ol><li>they, them; class 2 absolute pronoun.</li><li>it; class 14 absolute pronoun.</li></ol><br><i>verb</i><br><ol><li>to see</li></ol>
bonakala	<i>verb</i><br><ol><li>(intransitive) to appear</li></ol>
