Danimarca	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Giamàica	<i>name</i><br><ol><li>Jamaica (a country in North America)</li></ol>
Giapon	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Génoa	<i>name</i><br><ol><li>Genoa</li></ol>
Piemont	<i>name</i><br><ol><li>Piedmont</li></ol>
Transnistria	<i>name</i><br><ol><li>Transnistria (a breakaway country in Moldova)</li></ol>
Val d'Osta	<i>name</i><br><ol><li>Autonomous region of Italy situated in the Alps. See Valle d'Aosta (it)</li></ol>
Wiksionari	<i>name</i><br><ol><li>Wiktionary</li></ol>
Wiktionary	<i>name</i><br><ol><li>Wiktionary</li></ol>
abimé	<i>verb</i><br><ol><li>to destroy</li><li>to break</li><li>to collapse</li></ol>
adaté	<i>verb</i><br><ol><li>to adapt</li></ol>
afaité	
aj	<i>noun</i><br><ol><li>garlic</li></ol>
alegà	
alfabet	<i>noun</i><br><ol><li>alphabet</li></ol>
alman	<i>adj</i><br><ol><li>German</li></ol><br><i>noun</i><br><ol><li>German</li></ol>
alterné	
alteré	
alvé	
american	<i>adj</i><br><ol><li>American</li></ol>
amis|amisa	<i>noun</i><br><ol><li>friend</li></ol>
anciova|anciove	<i>noun</i><br><ol><li>anchovy</li></ol>
andè	<i>verb</i><br><ol><li>to go</li></ol>
anguila|anguile	<i>noun</i><br><ol><li>eel</li></ol>
apress	<i>prep</i><br><ol><li>after</li></ol><br><i>adv</i><br><ol><li>afterwards</li></ol>
aram	<i>noun</i><br><ol><li>copper</li></ol>
assieta|assiete	<i>noun</i><br><ol><li>dish, platter</li></ol>
autor	<i>noun</i><br><ol><li>author</li></ol>
autorità	<i>noun</i><br><ol><li>authority</li></ol>
avocat	<i>noun</i><br><ol><li>lawyer</li></ol>
avèj|l'avèissës|avoma|àbie|avèje|l'avrìës|l'avrai|l'avrà|l'has|l'heu|l'oma|l'avìo|l'àbia|l'avreve|l'ha|l'avran|l'eve|l'avèissa|avù|l'avìës|l'avras|l'àbiës|l'avrìa|l'àbio|avend|l’hèi|l'avrìo|l'avèisso|l'hai|l'avroma|l'han|l'avìa	<i>verb</i><br><ol><li>to have</li></ol>
bagna càuda	<i>noun</i><br><ol><li>bagna cauda (dip made from anchovies, olive oil and garlic)</li></ol>
balé	<i>verb</i><br><ol><li>to dance</li></ol>
barba	<i>noun</i><br><ol><li>uncle</li></ol>
bicerin	<i>noun</i><br><ol><li>A small glass.</li><li>A Turinese beverage made of espresso, hot chocolate, and milk.</li></ol>
bondon	<i>noun</i><br><ol><li>a plug, a bung</li></ol>
bonet	<i>noun</i><br><ol><li>A bonnet or cap.</li><li>(by extension) A sort of rounded cake mold.</li><li>A traditional Piedmontese pudding prepared with cocoa and amaretti.</li></ol>
bosch	<i>noun</i><br><ol><li>wood</li><li>timber</li></ol>
brila|brile	
bërgé	<i>noun</i><br><ol><li>shepherd</li></ol>
cadrega|cadreghe	<i>noun</i><br><ol><li>chair</li></ol>
cambi	
caminé	
campé	
cantant|cantanta	<i>noun</i><br><ol><li>singer</li></ol>
canté	<i>verb</i><br><ol><li>to sing</li></ol>
capacità	<i>noun</i><br><ol><li>capacity</li></ol>
car	<i>adj</i><br><ol><li>dear</li></ol>
carità	<i>noun</i><br><ol><li>charity</li></ol>
carn	<i>noun</i><br><ol><li>flesh</li><li>meat</li></ol>
carnal	<i>adj</i><br><ol><li>carnal</li></ol>
castel	<i>noun</i><br><ol><li>castle</li></ol>
catedral|catedraj	<i>noun</i><br><ol><li>cathedral</li></ol>
catàstrofe	<i>noun</i><br><ol><li>catastrophe</li></ol>
catòlich	<i>adj</i><br><ol><li>catholic / Catholic</li></ol>
certificà	<i>noun</i><br><ol><li>certificate</li></ol>
chiel	<i>pron</i><br><ol><li>he</li></ol>
chila	<i>pron</i><br><ol><li>she</li></ol>
chiri	<i>noun</i><br><ol><li>overcoat</li></ol>
chiromant	<i>noun</i><br><ol><li>chiromancer</li></ol>
chitara|chitare	<i>noun</i><br><ol><li>guitar</li></ol>
ciav	<i>noun</i><br><ol><li>key</li></ol>
