adnet	<i>verb</i><br><ol><li>to have</li></ol>
ahke|ages|igijda|igijst|ahken|igijt|igij|agest|age|agev|igijn|igijs|ahkáj|agen	
aj	<i>adv</i><br><ol><li>also, too</li></ol>
akkta	<i>num</i><br><ol><li>one</li></ol>
albme|ilmij|albmáj|almen|almes|almev|albmen|ilmijs|alme|ilmijn|ilmijst|ilmijda|almest|ilmijt	<i>noun</i><br><ol><li>sky</li><li>heaven</li></ol>
aldas	<i>noun</i><br><ol><li>leather part on the front of a shoe</li></ol>
aldna|alna|alnav|alnajn|alnajt|alnaj|alnan|aldnan|alnast|alnas|alnajs|alnajst|aldnaj|alnajda	
almatj	<i>noun</i><br><ol><li>person, human</li></ol>
arram|addam	<i>noun</i><br><ol><li>marrowbone</li></ol>
asse|isijda|isijst|ase|assáj|asev|isijn|isijs|isij|ases|isijt|assen|asest|asen	<i>noun</i><br><ol><li>inner/meat-side of a skin</li></ol>
asske|assken|iskijst|iskijt|askev|askes|asskáj|asken|askest|iskijda|iskijs|iskijn|aske|iskij	<i>noun</i><br><ol><li>lap (upper legs)</li></ol>
avve|avváj|aves|ivij|ivijs|ivijda|avest|ivijt|aven|avven|avev|ave|ivijst|ivijn	<i>noun</i><br><ol><li>belt (clothing)</li></ol>
badde|biddij|baddev|badˈde|badˈden|badden|biddijs|biddijda|baddes|biddijt|baddest|biddijst|badˈdáj|biddijn	<i>noun</i><br><ol><li>ribbon</li></ol>
baggu	
bahta|bahtaj|badast|badajs|bahtan|badaj|badajn|badan|badajt|badajst|badajda|bada|badav|badas	<i>noun</i><br><ol><li>butt, arse, rump</li></ol>
bajjka	
baksem	
ballva	
ballát|balˈlát	<i>verb</i><br><ol><li>to become scared</li></ol>
barrta	
biehtse	
bielle	
biena	
biesse	
bihttá	
billda|bildajst|billdaj|bildajs|bildajt|bildajda|bilda|bildas|billdan|bildav|bildajn|bildaj|bildast|bildan	
birem	
bissti|bistijn|bistijt|bisstin|bistijst|bistij|bistin|bistis|bistijs|bisstij|bisti|bistist|bistiv|bistijda	<i>noun</i><br><ol><li>spoon</li></ol>
buallva	
bulitj|būlitj	<i>adj</i><br><ol><li>flammable</li></ol>
bullke	
bunndi|bundin|bundijs|bundijda|bundijn|bundiv|bunndij|bundist|bundijst|bundi|bundis|bunndin|bundijt|bundij	<i>noun</i><br><ol><li>housefather</li></ol>
buorre	<i>adj</i><br><ol><li>good</li></ol>
buorre jåvvlå	<i>phrase</i><br><ol><li>merry Christmas</li></ol>
buäjjde	
bádne	
bákkte	
bállo|bällujn|bállojn|bállojst|bállon|bállojs|bälˈluj|bállojda|bálˈlon|bálloj|bállojt|bálˈlo|bállos|bállost|bállov	
bárdne	
bárro	
bäbbmo	
bägga|bieggajs|biegga|bägˈgan|bieggan|bägˈgaj|bieggajt|bieggas|bägˈga|bieggav|bieggajn|bieggajst|bieggajda|bieggast|bieggaj	<i>noun</i><br><ol><li>wind</li></ol>
bäjjve	
bällge	
bällje	
bärrgo|biergov|biergo|biergoj|biergojs|biergojt|biergon|bärrgon|biergos|biergojn|berrguj|biergojst|bergujn|biergojda|biergost	<i>noun</i><br><ol><li>meat</li></ol>
bässe|bäsˈse	
båddå	<i>noun</i><br><ol><li>pause, while</li></ol>
båhtet	<i>verb</i><br><ol><li>to come</li></ol>
båssjo	<i>noun</i><br><ol><li>kitchen</li></ol>
båsske|bå̄sske	
båtsoj|bå̄tsoj	
da	<i>pron</i><br><ol><li>these, those</li></ol>
dabme|damev|damen|dimijn|dimijs|dimijt|damest|dabmáj|dimijda|dames|dame|dabmen|dimijst|dimij	<i>noun</i><br><ol><li>glue</li></ol>
