A	<i>character</i><br><ol><li>The first letter of the Plautdietsch alphabet, called a and written in the Latin script.</li></ol>
Acht	<i>noun</i><br><ol><li>respect, esteem</li><li>attention</li></ol>
Achtel	<i>noun</i><br><ol><li>an eighth, one-eighth of something</li><li>a furlong</li></ol>
Achtelmiel	<i>noun</i><br><ol><li>furlong</li></ol>
Achtunk	<i>noun</i><br><ol><li>attention</li></ol>
Adobe	<i>noun</i><br><ol><li>adobe</li></ol>
Adrass|Adrassen	<i>noun</i><br><ol><li>address</li></ol>
Adwent|Adwenten	<i>noun</i><br><ol><li>(Christianity) Advent</li></ol>
Adwerb|Adwerben	<i>noun</i><br><ol><li>adverb</li></ol>
Afrika	<i>name</i><br><ol><li>Africa (a continent)</li></ol>
Aka|Akasch	<i>noun</i><br><ol><li>acre</li></ol>
Akamaun|Akamana	<i>noun</i><br><ol><li>farmer</li></ol>
Akj|Akjen	<i>noun</i><br><ol><li>corner</li><li>angle</li></ol>
Akjs|Akjsen	<i>noun</i><br><ol><li>axe, hatchet</li></ol>
Akjsteen|Akjsteena	<i>noun</i><br><ol><li>cornerstone, keystone</li></ol>
Alboagen|Alboages	<i>noun</i><br><ol><li>elbow</li></ol>
Alfalfa	<i>noun</i><br><ol><li>alfalfa</li></ol>
Alumienium	<i>noun</i><br><ol><li>aluminum</li></ol>
Ama|Amasch	<i>noun</i><br><ol><li>pail, bucket</li></ol>
Anabaptist|Anabaptisten	<i>noun</i><br><ol><li>Anabaptist</li></ol>
Anarkjist|Anarkjisten	<i>noun</i><br><ol><li>anarchist</li></ol>
Angst	<i>noun</i><br><ol><li>fear, trepidation</li><li>anguish, deep concern</li></ol>
Anka|Ankasch	<i>noun</i><br><ol><li>anchor</li></ol>
Antiefries	<i>noun</i><br><ol><li>antifreeze</li></ol>
Aparat	<i>noun</i><br><ol><li>apparatus</li></ol>
Apetiet	<i>noun</i><br><ol><li>appetite</li></ol>
Apostel	<i>noun</i><br><ol><li>apostle</li></ol>
Aprell|Aprells	<i>noun</i><br><ol><li>April</li></ol>
Arabein	<i>noun</i><br><ol><li>Arabia</li></ol>
Armee|Armeeen	<i>noun</i><br><ol><li>army</li></ol>
Armeejung|Armeejunges	<i>noun</i><br><ol><li>soldier</li></ol>
Arnt|Arnten	<i>noun</i><br><ol><li>crop, harvest</li><li>produce</li></ol>
Asch|Aschen	<i>noun</i><br><ol><li>ash tree</li></ol>
Asien	<i>noun</i><br><ol><li>Asia</li></ol>
Ateen	<i>noun</i><br><ol><li>Athens</li></ol>
Atomm|Atomms	<i>noun</i><br><ol><li>atom</li></ol>
Atommbomm|Atommbommen	<i>noun</i><br><ol><li>atomic bomb, atom bomb</li></ol>
Aufbilt|Aufbilda	<i>noun</i><br><ol><li>image, likeness</li><li>copy, replica</li></ol>
Aufbinjsel|Aufbinjsels	<i>noun</i><br><ol><li>tourniquet</li></ol>
Aufdrekja|Aufdrekjasch	<i>noun</i><br><ol><li>trigger</li></ol>
Aufdrief	<i>noun</i><br><ol><li>abortion (termination of birth)</li></ol>
Auffaul	<i>noun</i><br><ol><li>garbage, trash</li></ol>
Aufgank	<i>noun</i><br><ol><li>garbage, refuse, rubbish, trash</li><li>waste, rejects</li></ol>
August	<i>noun</i><br><ol><li>August (month)</li></ol>
Aumbolt|Aumboltes	<i>noun</i><br><ol><li>anvil</li></ol>
Aumpelmaun|Aumpelmana	<i>noun</i><br><ol><li>puppet, marionette</li></ol>
Aumsel	<i>noun</i><br><ol><li>blackbird</li></ol>
Aumt|Amta	<i>noun</i><br><ol><li>office, administration, ministry</li><li>function</li></ol>
Aunbäda	<i>noun</i><br><ol><li>worshipper</li></ol>
Aundiedunk|Aundiedungen	<i>noun</i><br><ol><li>indication</li></ol>
Aunfank|Aunfanks	<i>noun</i><br><ol><li>beginning, commencement, outset</li><li>origin, genesis</li></ol>
Aunfaul|Aunfal	<i>noun</i><br><ol><li>seizure, fit, attack, stroke</li></ol>
Aunfenja	<i>noun</i><br><ol><li>beginner, novice, tiro</li></ol>
Aunfiera	<i>noun</i><br><ol><li>instigator</li></ol>
Aunfroag|Aunfroagen	<i>noun</i><br><ol><li>request, inquiry</li><li>petition, application</li></ol>
Aunjedenkj|Aunjedenkja	<i>noun</i><br><ol><li>memento, souvenir, keepsake, token</li><li>remembrance</li></ol>
Aunkloag	<i>noun</i><br><ol><li>accusation, prosecution, indictment</li><li>persecution</li></ol>
Aunkloagsveträda|Aunkloagsveträdasch	<i>noun</i><br><ol><li>prosecutor</li></ol>
Aunkunft	<i>noun</i><br><ol><li>arrival</li></ol>
Aunmalda|Aunmaldasch	<i>noun</i><br><ol><li>fire alarm</li></ol>
Aunnom	<i>noun</i><br><ol><li>acceptance</li></ol>
Aunordnunk|Aunordnungen	<i>noun</i><br><ol><li>ordinance, law</li><li>demand</li></ol>
Aunreizmeddel	<i>noun</i><br><ol><li>stimulant (type of medicine)</li></ol>
Aunsaja|Ainsajasch	<i>noun</i><br><ol><li>announcer</li></ol>
Aunsiedla|Aunsiedlasch	<i>noun</i><br><ol><li>settler</li></ol>
Aunsiedlunk|Aunsiedlungen	<i>noun</i><br><ol><li>settlement</li></ol>
Aunsoag|Aunsoagen	<i>noun</i><br><ol><li>announcement</li></ol>
Aunstekjunk|Aunstekjungen	<i>noun</i><br><ol><li>infection</li></ol>
Aunstooss	<i>noun</i><br><ol><li>stumbling block</li></ol>
Aunstoot	<i>noun</i><br><ol><li>epilepsy</li></ol>
Aunstrenjunk|Aunstrenjungen	<i>noun</i><br><ol><li>effort, exertion</li></ol>
Auntwuat|Auntwieed	<i>noun</i><br><ol><li>answer, response, reply</li><li>solution</li></ol>
Aunwault|Aunwaulten	<i>noun</i><br><ol><li>lawyer, attorney</li></ol>
Aupel|Apel	<i>noun</i><br><ol><li>apple</li></ol>
Aupelkoos|Aupelkoosen	<i>noun</i><br><ol><li>apricot</li></ol>
Aupelmoos	<i>noun</i><br><ol><li>apple sauce</li></ol>
Aupelmooss	<i>noun</i><br><ol><li>apple sauce</li></ol>
Aupelsien|Aupelsienen	<i>noun</i><br><ol><li>orange (citrus fruit)</li></ol>
Ausch	<i>noun</i><br><ol><li>ash, ashes (residue from a fire)</li></ol>
Auss|Aussen	<i>noun</i><br><ol><li>axle, axis</li></ol>
Aust|Asta	<i>noun</i><br><ol><li>branch, limb (of a tree)</li></ol>
Austma	<i>noun</i><br><ol><li>asthma</li></ol>
Australien	<i>noun</i><br><ol><li>Australia</li></ol>
Auto|Autos	<i>noun</i><br><ol><li>automobile, auto, car</li></ol>
Bach|Bäakja	<i>noun</i><br><ol><li>stream, creek, brook</li></ol>
Bad|Baden	<i>noun</i><br><ol><li>bed (place for sleeping)</li></ol>
Badinj|Badinjen	<i>noun</i><br><ol><li>bedding</li></ol>
Badspreed|Badspreeden	<i>noun</i><br><ol><li>bedspread</li></ol>
Bak|Baken	<i>noun</i><br><ol><li>(anatomy) cheek</li><li>oven</li></ol>
Bakenboat|Bakenbäata	<i>noun</i><br><ol><li>sideburn</li></ol>
Bakja	<i>noun</i><br><ol><li>baker</li></ol>
Bakjarie|Bakjarieen	<i>noun</i><br><ol><li>bakery</li></ol>
Bakpulwa	<i>noun</i><br><ol><li>baking powder</li></ol>
Banan|Bananen	<i>noun</i><br><ol><li>banana</li></ol>
Bang|Bangen	<i>noun</i><br><ol><li>homesickness</li></ol>
Bank|Banken	<i>noun</i><br><ol><li>bank</li></ol>
Bankia|Bankiasch	<i>noun</i><br><ol><li>banker</li></ol>
Banktala|Banktalasch	<i>noun</i><br><ol><li>bank teller</li></ol>
Barba|Barbasch	<i>noun</i><br><ol><li>barber</li></ol>
Barscht|Barschten	<i>noun</i><br><ol><li>hairbrush</li></ol>
Bassem|Bassems	<i>noun</i><br><ol><li>broom (domestic ustensil)</li></ol>
Bassoa|Bassoaren	<i>noun</i><br><ol><li>bazaar</li></ol>
Batrie|Batries|Batrieen	<i>noun</i><br><ol><li>battery</li></ol>
Baul|Bauls	<i>noun</i><br><ol><li>ball, sphere, globe</li></ol>
Baulch|Balj	<i>noun</i><br><ol><li>brat (disobedient or unruly child)</li></ol>
Baulkjen|Baulkjes	<i>noun</i><br><ol><li>beam, rafter</li></ol>
Baun|Baune	<i>noun</i><br><ol><li>ban</li><li>interdiction</li><li>excommunication (from the church)</li></ol>
Baundiet|Baundieten	<i>noun</i><br><ol><li>bandit</li></ol>
Baunt|Benja	<i>noun</i><br><ol><li>band, cord</li></ol>
Bauntworm|Bauntwarm	<i>noun</i><br><ol><li>tapeworm</li></ol>
Bauss|Baussen	<i>noun</i><br><ol><li>boss</li></ol>
Bea|Beasch	<i>noun</i><br><ol><li>beer</li></ol>
Becht|Bechten	<i>noun</i><br><ol><li>exaggeration</li></ol>
Bedeeljunk|Bedeeljungen	<i>noun</i><br><ol><li>participation</li></ol>
Bedenkjen	<i>noun</i><br><ol><li>thought, consideration, reflection</li><li>misgiving, reservation</li></ol>
Bederfniss|Bederfnissen	<i>noun</i><br><ol><li>need, requirement</li></ol>
Bediedunk|Bediedungen	<i>noun</i><br><ol><li>portent, omen</li><li>intimation</li></ol>
Bedwinjunk	<i>noun</i><br><ol><li>enforcement</li></ol>
Been	<i>noun</i><br><ol><li>leg</li></ol>
Beesbaul|Beesbauls	<i>noun</i><br><ol><li>baseball</li></ol>
Beet|Beete	<i>noun</i><br><ol><li>beet</li></ol>
Beffel|Beffels	<i>noun</i><br><ol><li>buffalo</li></ol>
Befrädjunk	<i>noun</i><br><ol><li>satisfaction, gratification</li></ol>
