अउअ|aüa	<i>noun</i><br><ol><li>Devanagari script form of 𑀅𑀉𑀅 (“myriad, ten thousand”)</li></ol>
अक्खइ|akkhaï|Paisaci	<i>verb</i><br><ol><li>Devanagari script form of 𑀅𑀓𑁆𑀔𑀇</li></ol>
अक्खणिआ|akkhaṇiā	<i>noun</i><br><ol><li>Devanagari script form of 𑀅𑀓𑁆𑀔𑀡𑀺𑀆</li></ol>
अक्खाय|अक्खायाणं|अक्खायाओ|अक्खायासुं|अक्खायाहिंतो|अक्खायाण|अक्खायो|अक्खायेहिं|अक्खायाए|अक्खायं|अक्खायेण|अक्खायेसुं|अक्खायस्स|अक्खायासु|अक्खाये|अक्खायाइ|अक्खायाहिं|अक्खायम्मि|अक्खायाअ|अक्खायेसु|अक्खायाउ|अक्खाया|अक्खायेणं|अक्खायाहि|अक्खायेहि|akkhāya|अक्खायाइं	<i>adj</i><br><ol><li>Devanagari script form of 𑀅𑀓𑁆𑀔𑀸𑀬</li></ol>
अग्गदो|Magadhi|Sauraseni|aggado	<i>adv</i><br><ol><li>Devanagari script form of 𑀅𑀕𑁆𑀕𑀤𑁄</li></ol>
अच्चि|अच्चीहि|अच्चीहिं|acci|अच्चीहिंतो|अच्चीणं|अच्चिं|अच्चीओ|अच्ची|अच्चीण|अच्चीसु|अच्चीसुं|अच्चीए	<i>noun</i><br><ol><li>Devanagari script form of 𑀅𑀘𑁆𑀘𑀺</li></ol>
अच्छ|accha	<i>adj</i><br><ol><li>Devanagari script form of 𑀅𑀘𑁆𑀙 (“clear, transparent, pure, clean”)</li></ol>
अजुअ|अजुए|अजुआओ|अजुआहि|अजुएणं|अजुआअ|अजुअं|अजुएसुं|अजुआइ|अजुआणं|अजुआइं|अजुआण|अजुअम्मि|अजुआउ|अजुएहिं|अजुएहि|ajua|अजुआ|अजुअस्स|अजुएण|अजुआहिंतो|अजुएसु	<i>noun</i><br><ol><li>Devanagari script form of 𑀅𑀚𑀼𑀅</li></ol>
अज्जम|ajjama	<i>name</i><br><ol><li>Devanagari script form of 𑀅𑀚𑁆𑀚𑀫 (“Aryaman”)</li></ol>
अट्ठम|aṭṭhama	<i>adj</i><br><ol><li>Devanagari script form of 𑀅𑀝𑁆𑀞𑀫 (“eighth”)</li></ol>
अणुगच्छइ|Maharastri|ಅಣುಗಚ್ಛಇ|aṇugacchaï	<i>verb</i><br><ol><li>Devanagari script form of 𑀅𑀡𑀼𑀕𑀘𑁆𑀙𑀇 (“to follow”)</li></ol>
