(s)kīttos|kīttūs|skīttobom|kīttam|skīttūs|kīttū|skīttū|kīttās|skīttam|kīttābom|skīttos|kīttī|skīttom|kīttobos|skīttās|skīttous|kīttābos|kīttobim|kīttūi|kīttobom|kīttos|skīttai|skīttoi|kīttous|skīttābom|skīttams|skīttā|skīttābis|skīttābos|skīttobim|kīttams|kīttai|kītte|skīttobis|skītte|skīttobos|kīttou|skīttoms|kīttobis|skīttābim|kīttoi|kīttā|skīttūi|kīttābim|skīttī|kīttābis|kīttom|kīttoms|skīttou	<i>adj</i><br><ol><li>left, left-handed</li><li>clumsy, awkward, wrong</li><li>sinister</li><li>sad</li></ol>
Brigantī|brigantyās|brigantī|brigantyai|brigantīm	<i>name</i><br><ol><li>Brigantia, Brigid, Bride (name and goddess)</li></ol>
Lugus|Lugum|Lugou|Lugū|Lugu|Lugous	<i>name</i><br><ol><li>A Celtic god identified with Mercury.</li><li>Lugh, a Celtic god identified with Mercury.</li></ol>
Sabrinā|Sabrinās|Sabrinai|Sabrinam|Celtic	<i>name</i><br><ol><li>Severn, a river of England and Wales that flows into the Bristol Channel.</li><li>A legendary Celtic princess.</li></ol>
abalnā|abalnam|abalnom|abalnai|abalnābom|abalnābim|abalnās|abalnābos|abalnābis|abalnāms|abalnous	<i>noun</i><br><ol><li>apple tree</li></ol>
abalom|abalous|abalūi|abalū|abalī|abalobos|abalou|abalobom|abalobis|abalobim|abalā	<i>noun</i><br><ol><li>apple</li></ol>
abrants|abrantes|abrante|abrantams|abranss|abrantobom|abrantobos|abrantam|abrantē|abrantobim|abrantom|abrantos|abrante?|abrantou|abrantobis	<i>noun</i><br><ol><li>eyelid</li></ol>
abū|abonos|abonē|abombim|abonams|abombos|abone?|abones|abonom|abombom|abonows?|abombis|abonam	<i>noun</i><br><ol><li>river</li></ol>
adberos|adberom|adberī|adberūs|adberous|adberobom|adberobis|adberobos|adberobim|adberou|adberoi|adberūi|adberoms|adbere|adberū	<i>noun</i><br><ol><li>mouth, confluence (of a river)</li></ol>
adkʷiseti|adkʷikʷisedwe|adkʷikʷisonti|adkʷeissū|adkʷeissesi|adkʷisommor|adkʷikʷisommor|adkʷisedwe|adkʷiseto|adkʷisetou|adkʷisete|adkʷisesi|adkʷise|adkʷikʷisesi|adkʷisontou|adkʷikʷisontor|adkʷeisseti|adkʷiseswīs|adkʷisennem|adkʷeissetesi|adkʷisto|adkʷeissūr|adkʷisontor|adkʷisentets|adkʷikʷisetar|adkʷeissontor|adkʷistūnts|adkʷisūr|adkʷisetey|adkʷeissetor|adkʷeissommor|adkʷeissedwe|adkʷisītū|adkʷeissonti|adkʷisomos|adkʷeissetar|adkʷisetes|adkʷikʷiseti|adkʷikʷisetesi|adkʷisonti|adkʷeissomosi|adkʷisemmets|adkʷikʷisetor|adkʷikʷisūr|adkʷisetar|adkʷisū|adkʷikʷisū|adkʷikʷisomosi|adkʷisentits|adkʷisetor	<i>verb</i><br><ol><li>to see</li></ol>
ageti|agāseti|agāsommor|agemmets|agetou|agetor|agentits|agommor|ageswīs|age|agomos|axt|agonti|agāsūr|agetar|agāsesi|agete|agāsetor|axto|agāsetesi|agontor|agāsū|agāsedwe|agāsetar|agesi|agetes|agentets|agāsomosi|agennem|agūr|agetey|agītū|axtūnts|agedwe|agāsontor|agontou|agū|ageto|agāsonti	<i>verb</i><br><ol><li>to drive</li></ol>
aglos|agloi|aglous|aglobos|aglī|agloms|aglobim|aglobis|aglūs|aglobom|aglū|aglūi|aglom|aglou|agle	<i>noun</i><br><ol><li>litter, brood</li></ol>
agrinyos|agrinyoms|agrinyobis|agrinyobim|agrinyobos|agrinyobom|agrinyou|agrinyūi|agrinyom|agrinyoi|agrinye|agrinyūs|agrinyous|agrinyū|agrinyī	<i>noun</i><br><ol><li>sloe, plum, berry</li></ol>
agrom|agrā|agrobim|agrobos|agrous|agrūi|agrobis|agrobom|agrou|agrū|agrī	<i>noun</i><br><ol><li>slaughter, battle</li></ol>
aiwestom|aiwestī|aiwestou|aiwestā|aiwestobim|aiwestūi|aiwestobom|aiwestū|aiwestobos|aiwestobis|aiwestous	<i>noun</i><br><ol><li>age</li><li>lifetime</li><li>era</li></ol>
akros|akre|akrou|akrūi|akrābos|akrā|akrai|akrobom|akrobis|akrams|akrābom|akrū|akrom|akroi|akrī|akrās|akrobos|akrous|akrābis|akrābim|akram|akrobim|akroms|akrūs	<i>adj</i><br><ol><li>high</li></ol>
alamom|alamobos|alamū|alamobim|alamā|alamobom|alamou|alamobis|alamūi|alamī|alamous	<i>noun</i><br><ol><li>herd, flock</li><li>wealth, property</li></ol>
albiyū|albiyombis|albiyone?|albiyombim|albiyones|albiyonom|albiyombom|albiyonows?|albiyonē|albiyonam|albiyonams|albiyonos|albiyombos	<i>noun</i><br><ol><li>luminous world, upper world, (the habitable surface of the) world</li><li>high mountain (especially in the Alps), alp</li><li>alpine pasture</li><li>Britain</li></ol>
aleti|alonti|aletey|alomos|alto|īlāsonti|alentets|alasūr|alasetar|alete|aletor|alasonti|alītū|alontou|alasontor|alontor|īlāsesi|aledwe|īlāsontor|alasetor|alesi|alū|alemmets|īlāsedwe|īlāsetesi|aletou|alt|aleswīs|īlāsomosi|alasetesi|alūr|īlāsū|īlāsetar|aleto|alennem|alasesi|alentits|altūnts|aletar|īlāsūr|alasomosi|aletes|ale|alaseti|alasommor|alasedwe|alasū|īlāsetor|īlāsommor|īlāseti|alommor	<i>verb</i><br><ol><li>to nourish, grow</li></ol>
altos|altī|altobis|altobos|altobom|alte|altom|altous|altū|altobim|altoi|altoms|altūs|altūi|altou	<i>noun</i><br><ol><li>height, cliff</li></ol>
altēn	<i>noun</i><br><ol><li>razor</li></ol>
alyos|alyābom|alyoi|alyobos|alyās|alyobis|alyobom|alyom|alyams|alyobim|alyābos|alyābim|alyous|alyou|alyū|alyūi|alyai|alyoms|alyam|alyābis|alyūs|alyā|alye|alyī	<i>adj</i><br><ol><li>other, second</li></ol>
amarom|amarobos|amarā|amarūi|amarobom|amarou|amarous|amarobis|amarī|amarobim|amarū	<i>noun</i><br><ol><li>wailing, crying</li></ol>
ambaxtos|ambaxtom|ambaxtoi|ambaxtou|ambaxte|ambaxtobis|ambaxtū|ambaxtūs|ambaxtobos|ambaxtobim|ambaxtī|ambaxtobom|ambaxtūi|ambaxtous|ambaxtoms	<i>noun</i><br><ol><li>servant</li></ol>
amben|embane?|embembis|emban|embembos|embens|embembom|embenom|embembim|embenē|embana|embenous?	<i>noun</i><br><ol><li>butter</li></ol>
ambi	<i>prep</i><br><ol><li>around, about</li></ol>
ambirādos|ambirādom|ambirādous|ambirādobom|ambirādū|ambirādūi|ambirādoms|ambirādou|ambirāde|ambirādobis|ambirādobos|ambirādūs|ambirādoi|ambirādī|ambirādobim	<i>noun</i><br><ol><li>thought</li></ol>
ambisuweti	<i>verb</i><br><ol><li>to turn around</li><li>to doubt</li></ol>
ambostā|ambostābos|ambostābis|ambostam|ambostāms|ambostai|ambostom|ambostās|ambostous|ambostābom|ambostābim	<i>noun</i><br><ol><li>palmful, fistful</li></ol>
amɸlabros|amɸlabrou|amɸlabrābom|amɸlabrobos|amɸlabram|amɸlabrās|amɸlabrobis|amɸlabrūs|amɸlabrams|amɸlabrābos|amɸlabrūi|amɸlabrobim|amɸlabrā|amɸlabrous|amɸlabrī|amɸlabrai|amɸlabroi|amɸlabre|amɸlabrābim|amɸlabrābis|amɸlabrom|amɸlabrobom|amɸlabroms|amɸlabrū	<i>adj</i><br><ol><li>dumb, mute</li></ol>
anaman|anamembom|anamenous?|anamane?|anamembis|anamenē|anamembos|anamembim|anamana|anamenom|anamens	<i>noun</i><br><ol><li>soul, spirit</li></ol>
anamī|anamīms|anamyous|anamyās|anamyābim|anamyai|anamyom|anamīm|anamyābos|anamyābom|anamyābis	<i>noun</i><br><ol><li>blemish, fault</li></ol>
anati|anammets|anantor|anannem|anar|anatou|anatar|anammor|ananti|anamos|anadwe|anato|anatū|anaswīs|anantets|anates|anator|anantits|anasi|anami|anatey|ana|anantou|anate	<i>verb</i><br><ol><li>to pause</li><li>to remain</li></ol>
anatlā|anatlābom|anatlābos|anatlābim|anatlās|anatlam|anatlāms|anatlous|anatlai|anatlābis|anatlom	<i>noun</i><br><ol><li>breath, breathing</li></ol>
anawos|anawous|anawobim|anawe|anawoms|anawobis|anawī|anawoi|anawūs|anawūi|anawom|anawobos|anawou|anawobom|anawū	<i>noun</i><br><ol><li>wealth, profit</li></ol>
anderā|anderābis|anderāms|anderous|anderai|anderās|anderābos|anderom|anderābim|anderam|anderābom	<i>noun</i><br><ol><li>young woman</li></ol>
