abittadak|abittama|abit'akmek|abittaminen|abit'akcidak|abit'at'akcik|abit'aksen|abittakada|abit'atticik|abittoidek|abittatanek|abittakade|abittoi|abit'attu|abittakademek|abittanen|abit'attagosen|abittakodemek|abittatihen|abittapi|abit'akcik|abittanemek|abit'attanek|abittoicidak|abittanedak|abit'akcit|abittatanesen|abit'aktek|abit'aktak|abittatagasen|abittagak|abit'akci|abittatu|abit'at'akcisen|abittanet|abit'akcimek|abittanedek|abit'akcidek|abittakodadak|abit'atticisen|abit'an|abit'attagak|abit'attanesen|abittoicit|abittagot'ek|abittatagosen|abittadakcisen|abittoicimek|abittatagok|abit'at|abittoidak|abittapa|abittataba|abittani|abit'attagok|abit'ak|abittaticisen|abit'akmak|abittoici|abittanemak|abittagon|abittabat|abit'akcimak|abittoimak|abit'oit|abittoimek|abittoicin|abitta|abit'attaba|abit'akcin|abittakadamak|abittakohen|abittoicidek|abittakodamak|abit'attihen|abittakahen|abittoicik|abittatagak|abittoicimak|abittanek|abittaticik|abit'oin|abittanut|abittagos|abit'attagasen|abittadakcik|abittagok	<i>verb</i><br><ol><li>(central, southern) to help, to assist</li></ol>
abuttadak|abut'akcimak|abutteicik|abuttatagak|abut'eit|abuttakodadak|abut'attu|abutteicidek|abut'attagasen|abuttatanek|abuttagon|abut'aktak|abutteimek|abut'atticisen|abuttatagok|abutteici|abuttei|abuttaticisen|abuttakohen|abutteicin|abuttagak|abuttanemek|abuttadakcisen|abuttapi|abuttatanesen|abut'akcidek|abuttapa|abuttaminen|abuttanek|abut'an|abut'at|abuttanedek|abut'attaba|abuttatihen|abuttakodemek|abuttakademek|abut'aksen|abuttatagasen|abuttani|abutteidak|abuttanen|abuttadakcik|abuttakodamak|abut'ak|abuttataba|abut'attanek|abuttakade|abut'atticik|abuttagot'ek|abuttakahen|abut'akcimek|abut'akcidak|abuttanedak|abuttama|abut'ein|abut'akmek|abutta|abut'akcik|abutteicidak|abut'akcin|abuttagos|abut'attagak|abutteidek|abut'at'akcisen|abut'akci|abut'at'akcik|abut'akcit|abuttatu|abut'attihen|abutteicimak|abuttatagosen|abut'aktek|abut'attanesen|abuttakadamak|abutteicit|abut'attagok|abuttanet|abuttagok|abut'akmak|abut'attagosen|abuttaticik|abuttabat|abuttakada|abuttanemak|abutteicimek|abutteimak|abuttanut	<i>verb</i><br><ol><li>(Northern Finnic) Alternative form of *abittadak</li></ol>
acja|acjoilla|acjoin|acjasta|acjahen|acjassa|acjakta|acjaksi|acjoissa|acjoista|acjoida|acjan|acjoiksi|acjoiden|acjoikta|acjoinek|acjoina|acjalen|acjoilen|acjaden|acjada|acjoilta|acjalta|acjana|acjoihen|acjalla|acjanek|acjat	<i>noun</i><br><ol><li>matter, case</li></ol>
ahava|ahavaden|ahavalla|ahavoiden|ahavoilla|ahavaksi|ahavan|ahavasta|ahavoikta|ahavoina|ahavoita|ahavata|ahavanek|ahavoin|ahavoisen|ahavoiksi|ahavoilen|ahavalen|ahavoissa|ahavasen|ahavoinek|ahavoista|ahavassa|ahavalta|ahavakta|ahavat|ahavana|ahavoilta	<i>noun</i><br><ol><li>dry and cold wind</li></ol>
ahjo|ahjoista|ahjoikta|ahjoilla|ahjona|ahjolta|ahjossa|ahjoiksi|ahjoida|ahjoda|ahjoin|ahjon|ahjokta|ahjoissa|ahjolen|ahjoilen|ahjosta|ahjolla|ahjoksi|ahjoiden|ahjoden|ahjoihen|ahjohen|ahjoinek|ahjot|ahjoilta|ahjonek|ahjoina	<i>noun</i><br><ol><li>oven</li></ol>
ahku|ahkusta|ahkuksi|ahkuilen|ahkuiksi|ahkussa|ahkun|ahkuiden|ahkuina|ahkuda|ahkulla|ahkuihen|ahkuden|ahkut|ahkunek|ahkulta|ahkuhen|ahkulen|ahkuida|ahkuin|ahkuista|ahkuilla|ahkuissa|ahkuna|ahkuinek|ahkuikta|ahkuilta|ahkukta	<i>noun</i><br><ol><li>ash (residue after burning)</li><li>charcoal</li></ol>
ahma|ahmat|ahmoihen|ahmakta|ahmoista|ahmada|ahmalla|ahmoin|ahmasta|ahmoina|ahmaksi|ahmahen|ahmana|ahmoilla|ahmoida|ahman|ahmoinek|ahmoilta|ahmalta|ahmoiksi|ahmoiden|ahmanek|ahmoissa|ahmoikta|ahmalen|ahmassa|ahmaden|ahmoilen	<i>noun</i><br><ol><li>glutton (one who eats voraciously)</li><li>? wolverine (Gulo gulo)</li></ol>
ahnas|ahnahilta|ahnahina|ahnahista|ahnahiksi|ahnassa|ahnahet|ahnahelta|ahnahita|ahnahin|ahnahelen|ahnasten|ahnahesen|ahnahella|ahnahikta|ahnahekta|ahnahilen|ahnassek|ahnahiden|ahnahilla|ahnahinek|ahnahessa|ahnaheksi|ahnahesta|ahnahissa|ahnahen|ahnahisen|ahnasta	<i>adj</i><br><ol><li>greedy</li><li>voracious</li><li>eager</li></ol>
ahneh|ahneheksi|ahnehissa|ahnehin|ahnehilla|ahnehiden|ahnehilen|ahnehikta|ahnehesta|ahnehella|ahnehten|ahnehisen|ahnehenek|ahnehina|ahnehelta|ahnehista|ahnehessa|ahnehen|ahnehelen|ahnehiksi|ahnehta|ahnehita|ahnehena|ahnehinek|ahnehekta|ahnehilta|ahnehet|ahnehesen	<i>adj</i><br><ol><li>greedy</li></ol>
aho|ahokta|aholla|ahoden|aholta|ahoiden|ahohen|ahosta|ahoista|ahon|ahoikta|ahoihen|ahona|ahonek|ahoina|ahoilta|ahoinek|aholen|ahoiksi|ahoda|ahot|ahoilen|ahossa|ahoin|ahoksi|ahoissa|ahoilla|ahoida	<i>noun</i><br><ol><li>abandoned swidden; glade (grassy open or cleared space in a forest)</li></ol>
