Agilaz|Agilis|Agil|Agilō|Agilą|Agilai|Agilas	<i>name</i><br><ol><li>Egil, a famous archer of Germanic legend</li></ol>
Austrǭ|Austrōni|Austrōniz|Austrōnų|Austrōnē	<i>name</i><br><ol><li>Easter, springtime</li><li>name of a goddess</li></ol>
Auziwandilaz|Auziwandilis|Auziwandil|Auziwandilas|Auziwandilai|Auziwandilą|Auziwandilō	<i>noun</i><br><ol><li>The morning star</li></ol>
Batawjō|Batawjōmaz|Batawjōmiz|Batawjōz|Batawjǭ|Batawjǫ̂|Batawjōi|Batawjôz	<i>name</i><br><ol><li>Batavia, land of the Batavians</li></ol>
Dōnawjaz|Dōnawjas|Dōnawjai|Dōnawis|Dōnawjō|Dōnawją|Dōnawi	<i>name</i><br><ol><li>the river Danube</li></ol>
Eutalandą	<i>name</i><br><ol><li>Jutland (a peninsula in northwestern Europe)</li></ol>
Frijjō|Frijjǭ|Frijjōz|Frijjōi	<i>name</i><br><ol><li>Frigg or Frigga, the Germanic goddess of love and home, wife of Odin in the Norse tradition. Identified in later times with the Roman goddess Venus.</li></ol>
Inguz|Ingauz|Ingū|Ingiwi|Ingu|Ingų	<i>name</i><br><ol><li>Ing or Yngvi, the Germanic god of fertility. Thought to be the human incarnation of Nerthus, and the original name of the Norse fertility god Freyr.</li><li>Son of Mannus, and progenitor of the Ynglings and Ingaevones.</li><li>(Runic alphabet) name of the ŋ-rune (ᛜ)</li></ol>
Masō|Masōmiz|Masǭ|Masǫ̂|Masōmaz|Masōi|Masōz|Masôz	<i>name</i><br><ol><li>the river Meuse</li></ol>
Nerþuz|Nerþu|Nirþiwi|Nerþų|Nerþauz|Nerþū	<i>name</i><br><ol><li>A Germanic goddess (or God) , reconstructed from the Latinized form Nerthus</li></ol>
Rīnaz|Rīn|Rīnō|Rīną|Rīnai|Rīnōs|Rīnǫ̂|Rīnis|Rīnas|Rīnanz|Rīnamiz|Rīnamaz|Rīnōz	<i>name</i><br><ol><li>the river Rhine</li></ol>
Rūmō|Rūmōmiz|Rūmōz|Rūmǭ|Rūmôz|Rūmōi|Rūmōmaz|Rūmǫ̂	<i>name</i><br><ol><li>Rome</li></ol>
Skadinawjō|Skadinawjôz|Skadinawjǫ̂|Skadinawjōmaz|Skadinawjōi|Skadinawjōmiz|Skadinawjōz|Skadinawjǭ	<i>name</i><br><ol><li>Scania</li><li>Scandinavia</li></ol>
Wōdanaz|Wōdanis|Wōdanai|Wōdanō|Wōdanas|Wōdan|Wōdaną	<i>name</i><br><ol><li>Woden or Odin, the Germanic supreme god. Identified in later times with the Roman god Mercury.</li></ol>
ab	<i>prep</i><br><ol><li>away from [+dative]</li></ol><br><i>adv</i><br><ol><li>away</li></ol>
abagebaną|abagēbīn|abagebōz|abagebandai|abagēbī|abagēbun|abagibidi|abagebaindau|abagebaų|abageb|abagebanaz|abagebaizau|abagebandz|abagebaim|abagibid|abagaft|abagebandau|abagebazai|abagebamaz|abagebadiz|abagēbīw|abagebō|abagēbīdiz|abagab|abagebaidiz|abagēbudiz|abagēbum|abagēbīm|abagebaidau|abagibizi|abagebadau|abagebain|abagēbīz|abagēbud|abagebai|abagebandi|abagebaid|abagebaiz|abagebaiw|abagēbį̄|abagebadai|abagēbīd|abagēbū	<i>verb</i><br><ol><li>to give up, give away, separate from</li></ol>
abahandijaz|abahandijanǭ|abahandijammaz|abahandijōmiz|Case|abahandijōnē|abahandijōni|abahandīnē|abahandijai|abahandijōnunz|abahandijōz|abahandijaniz|abahandijaimiz|abahandijōnō|abahandīni|abahandiją|abahandijô|abahandijanō|abahandīniz|abahandijaizǫ̂|abahandijas|abahandijanų|abahandijanunz|abahandijōnų|abahandijōniz|abahandijanz|abahandijammiz|abahandijō|abahandijaizōz|abahandijaizō|abahandijammai|abahandijanǫ̂|abahandijôz|abahandijaizōi|abahandijōmaz|abahandijǭ|abahandijaimaz|abahandijōnǫ̂	<i>adj</i><br><ol><li>out of one's hand, lost to one</li></ol>
