(H)ísus	<i>noun</i><br><ol><li>arrow</li></ol>
(me)mógʰe|mem̥gʰtóm|mem̥gʰih₁tóm|memégʰowos|mem̥gʰih₁mé|mógʰth₂e|mégʰonti|memógʰe|m̥gʰih₁wé|mégʰowos|memégʰesi|mógʰh₂e|mógʰtu|memógʰtu|mem̥gʰih₁tā́m|móg|mem̥gʰih₁ént|m̥gʰyéh₁s|mógʰe|mem̥gʰéntu|mem̥gʰdʰí|m̥gʰéntu|m̥gʰih₁té|memóg|mem̥gʰwṓs|m̥gʰyéh₁m̥|mégʰete|memégʰonti|mem̥gʰih₁wé|mem̥gʰmé|memógʰth₂e|m̥gʰih₁mé|mem̥gʰtā́m|mem̥gʰih₁té|m̥gʰih₁tóm|memégʰeti|mem̥gʰé|memógʰh₂e|m̥gʰmé|m̥gʰté|mégʰoh₂|m̥gʰé|mem̥gʰté|memégʰoh₂|memégʰomos|mégʰomos|mem̥gʰyéh₁m̥|mégʰeti|memégʰete|m̥gʰih₁ént|mem̥gʰyéh₁s|m̥gʰtóm|m̥gʰwṓs|m̥gʰḗr|memégʰetes|m̥gʰwé|mégʰetes|m̥gʰdʰí|mem̥gʰḗr|m̥gʰyéh₁t|mem̥gʰyéh₁t|m̥gʰtā́m|m̥gʰih₁tā́m|mégʰesi|mem̥gʰwé	<i>verb</i><br><ol><li>to have power, to be able to</li></ol>
(s)kérdʰh₁eti|skérdʰh₁eto|skérdʰh₁ēte|kérdʰh₁oywe|kérdʰh₁ēdʰh₂we|kérdʰh₁e|skérdʰh₁oro|skérdʰh₁es|skérdʰh₁ōmos|skérdʰh₁owosdʰh₂|skérdʰh₁ōh₂er|kérdʰh₁ētor|kérdʰh₁om|skérdʰh₁eso|kérdʰh₁ōwos|skérdʰh₁etām|skérdʰh₁ōwos|kérdʰh₁oyme|kérdʰh₁ēte|kérdʰh₁esi|skérdʰh₁etes|skérdʰh₁oymedʰh₂|kérdʰh₁oyro|kérdʰh₁eto|kérdʰh₁omnos|kérdʰh₁et|kérdʰh₁oh₂|skérdʰh₁omedʰh₂|kérdʰh₁ete|kérdʰh₁oh₂e|skérdʰh₁ōntor|kérdʰh₁onto|kérdʰh₁eth₂er|skérdʰh₁oydʰh₂we|skérdʰh₁e|skérdʰh₁edʰh₂we|skérdʰh₁eth₂er|skérdʰh₁ētes|kérdʰh₁eso|kérdʰh₁oro|skérdʰh₁oyte|skérdʰh₁oyto|skérdʰh₁omosdʰh₂|kérdʰh₁es|kérdʰh₁oytom|skérdʰh₁etu|skérdʰh₁eth₂e|kérdʰh₁etes|skérdʰh₁ēti|skérdʰh₁omos|skérdʰh₁ome|kérdʰh₁oyh₁m̥|skérdʰh₁oror|skérdʰh₁oys|skérdʰh₁oywe|kérdʰh₁ontu|skérdʰh₁oyh₁n̥to|kérdʰh₁onti|kérdʰh₁ontor|skérdʰh₁owe|skérdʰh₁oyh₁o|kérdʰh₁ēti|kérdʰh₁oyh₁n̥to|kérdʰh₁oyte|skérdʰh₁et|skérdʰh₁onti|kérdʰh₁oyt|kérdʰh₁oyh₁o|kérdʰh₁etor|kérdʰh₁ōntor|kérdʰh₁oydʰh₂we|kérdʰh₁etu|kérdʰh₁omos|kérdʰh₁ōror|skérdʰh₁ōh₂|skérdʰh₁oyh₁m̥|kérdʰh₁oys|skérdʰh₁ēdʰh₂we|skérdʰh₁oyro|skérdʰh₁onts|kérdʰh₁owe|kérdʰh₁eth₂e|kérdʰh₁onts|kérdʰh₁ōnti|kérdʰh₁omedʰh₂|skérdʰh₁ēsi|kérdʰh₁ōh₂er|skérdʰh₁owedʰh₂|skérdʰh₁oh₂er|skérdʰh₁eti|skérdʰh₁oh₂e|kérdʰh₁oyto|skérdʰh₁etor|skérdʰh₁ēth₂er|skérdʰh₁ōnti|skérdʰh₁oytām|kérdʰh₁oymedʰh₂|kérdʰh₁ōwosdʰh₂|kérdʰh₁etom|kérdʰh₁ētes|skérdʰh₁oywedʰh₂|kérdʰh₁edʰh₂we|kérdʰh₁oyh₁n̥t|skérdʰh₁ōror|kérdʰh₁owedʰh₂|skérdʰh₁ōwosdʰh₂|skérdʰh₁etom|skérdʰh₁ontor|skérdʰh₁oytom|kérdʰh₁ōh₂|kérdʰh₁oytām|skérdʰh₁oyme|skérdʰh₁ētor|kérdʰh₁etām|skérdʰh₁om|kérdʰh₁owos|skérdʰh₁oh₂|kérdʰh₁oywedʰh₂|skérdʰh₁oyth₂e|skérdʰh₁onto|kérdʰh₁ēsi|kérdʰh₁oh₂er|kérdʰh₁ōmosdʰh₂|skérdʰh₁ont|kérdʰh₁oror|skérdʰh₁oyt|kérdʰh₁ont|kérdʰh₁omosdʰh₂|kérdʰh₁ōmos|skérdʰh₁ete|skérdʰh₁omnos|kérdʰh₁owosdʰh₂|kérdʰh₁oyh₂e|skérdʰh₁ōmosdʰh₂|skérdʰh₁owos|kérdʰh₁eti|skérdʰh₁ontu|skérdʰh₁oyh₂e|kérdʰh₁oyth₂e|skérdʰh₁oyh₁n̥t|kérdʰh₁ēth₂er|kérdʰh₁ome|skérdʰh₁esi	<i>verb</i><br><ol><li>to become cut, pierced</li></ol>
(s)kʷálos	<i>noun</i><br><ol><li>large fish</li><li>sheatfish</li></ol>
(s)néHtr̥|n̥Hténh₁|sn̥Hténs|n̥Htnéh₁|sn̥Htnés|n̥Htnés|sn̥Htnéy|néHtr̥|n̥Hténs|n̥Hténi|n̥Htṓr|sn̥Htén|sn̥Htnéh₁|snéHtr̥|sn̥Hténey|sn̥Hténi|n̥Hténey|sn̥Hténh₁|n̥Htnéy|n̥Htén|sn̥Htṓr	<i>noun</i><br><ol><li>adder (type of snake)</li></ol>
(s)néh₂ti|snéh₂tu|n̥h₂mé|snéh₂omos|sn̥h₂ih₁wé|snéh₂|néh₂tu|sn̥h₂tóm|n̥h₂ént|sn̥h₂yéh₁s|n̥h₂ih₁tóm|sn̥h₂mós|n̥h₂wós|sn̥h₂dʰí|snéh₂si|néh₂esi|n̥h₂ih₁mé|sn̥h₂ih₁té|sn̥h₂énti|néh₂|néh₂ti|n̥h₂énti|n̥h₂ih₁tā́m|n̥h₂yéh₁t|sn̥h₂yéh₁m̥|n̥h₂ih₁té|n̥h₂yéh₁s|néh₂eti|néh₂etes|sn̥h₂ih₁ént|n̥h₂yéh₁m̥|snéh₂s|néh₂owos|snéh₂oh₂|snéh₂t|néh₂s|sn̥h₂ént|n̥h₂dʰí|sn̥h₂wé|n̥h₂ih₁wé|sn̥h₂tā́m|snéh₂owos|n̥h₂éntu|snéh₂esi|n̥h₂tā́m|sn̥h₂éntu|n̥h₂tés|n̥h₂ih₁ént|sn̥h₂ih₁tóm|néh₂t|n̥h₂ónts|sn̥h₂té|snéh₂eti|n̥h₂tóm|sn̥h₂tés|snā́m|néh₂omos|sn̥h₂wós|sn̥h₂yéh₁t|snéh₂ete|snéh₂etes|n̥h₂mós|néh₂ete|néh₂oh₂|snéh₂onti|snéh₂mi|n̥h₂wé|sn̥h₂ih₁mé|n̥h₂té|snéh₂ti|sn̥h₂ih₁tā́m|néh₂onti|sn̥h₂mé|néh₂mi|nā́m|sn̥h₂ónts|néh₂si	<i>verb</i><br><ol><li>to swim, to be swimming</li></ol>
(s)rā́ps|rabʰés|s₁|srabʰéy|srabʰéh₁|srā́bʰm̥s|rabʰsú|(s)rḗps|s₁e|rabʰéy|srā́b|rabʰmós|srabʰsú|srabʰés|srabʰbʰí|rā́bʰh₁|srabʰmós|srḗps|srā́bʰes|srā́bʰi|rā́bʰm̥|rā́bʰh₁e|rḗps|srā́bʰm̥|rabʰóHom|rā́b|rā́bʰi|rabʰéh₁|rā́bʰm̥s|rabʰbʰí|srabʰóHom|rā́ps|rā́bʰes|srā́ps	<i>noun</i><br><ol><li>turnip, rape, cabbage</li></ol>
(s)ḱeh₃ih₂|ḱh₃yéh₂|sḱeh₃ih₂|sḱh₃yéh₂i|ḱh₃yéh₂i|ḱh₃yéh₂s|ḱeh₃ih₂|sḱh₃yéh₂|sḱh₃yéh₂h₁|ḱeh₃ih₂m̥|sḱeh₃ih₂m̥|sḱh₃yéh₂ey|sḱh₃yéh₂s|ḱh₃yéh₂h₁|ḱh₃yéh₂ey	<i>noun</i><br><ol><li>shadow, shade</li></ol>
Hrugʰís|Hrugʰí|Hrugʰéyes|Hrugʰíh₁|Hrugʰéymos|Hrugʰéy|Hrugʰéysu|Hrugʰéys|Hrugʰéyh₁|Hrugʰéybʰi|HrugʰéyoHom|Hrugʰím|Hrugʰḗy|Hrugʰíh₁e|Hrugʰéyey|Hrugʰíms	<i>noun</i><br><ol><li>rye</li></ol>
Hrunépti|Hrumpént|Hrumpth₂é|Hrumptés|Hrumpó|Hrunépt|Hrumpih₁n̥tó|Hrumpwé|Hrumpih₁mé|Hrunépesi|Hrumph₂ér|Hrumpn̥tór|Hrunéporor|Hrumptór|Hrunépmi|Hrumpdʰh₂wé|Hrunépoh₂|Hrunépetes|Hrumpsó|Hrunépm̥|Hrunépeti|Hrumptóm|Hrumpwédʰh₂|Hrumpih₁tā́m|Hrunépowos|Hrunépetor|Hrumpm̥h₁nós|Hrunépsi|Hrumpmós|Hrumpónts|Hrunépowosdʰh₂|Hrumpdʰí|Hrunéponti|Hrumpmósdʰh₂|Hrunépontor|Hrumpmé|Hrunépoh₂er|Hrumpih₁h₂é|Hrumpyéh₁t|Hrumpyéh₁s|Hrumpih₁tó|Hrumpih₁th₂é|Hrumpih₁wé|Hrunépete|Hrumpmédʰh₂|Hrumpéntu|Hrumpih₁dʰh₂wé|Hrumph₂é|Hrumpn̥tó|Hrumptó|Hrumpté|Hrunépomosdʰh₂|Hrumpih₁té|Hrunépomos|Hrumpwós|Hrumprór|Hrumpih₁ró|Hrumpró|Hrumpih₁ó|Hrunépedʰh₂we|Hrumpénti|Hrumpih₁tóm|Hrunép|Hrunéptu|Hrumptā́m|Hrumpth₂ér|Hrumpór|Hrumpyéh₁m̥|Hrumpih₁ént|Hrumpwósdʰh₂|Hrumpih₁wédʰh₂|Hrumpih₁médʰh₂|Hrunépeth₂er|Hrunéps	<i>verb</i><br><ol><li>to be breaking</li></ol>
Hréwpt|Hréwpm̥|Hréwponti|Hrupih₁wé|Hrupth₂é|Hréwpeti|Hrupih₁h₂é|Hréwporor|Hréwpetes|Hrupwédʰh₂|Hrupmédʰh₂|Hréwpoh₂er|Hréwpowosdʰh₂|Hrupdʰh₂wé|Hréwpetor|Hruptó|Hrupih₁médʰh₂|Hrupih₁th₂é|Hréwpesi|Hrupmé|Hréwpomosdʰh₂|Hrupn̥tó|Hrupih₁ó|Hrupih₁n̥tó|Hrupih₁tó|Hréwpontor|Hruph₂é|Hruptóm|Hrupónts|Hrupih₁wédʰh₂|Hrupsó|Hréwpeth₂er|Hrupih₁dʰh₂wé|Hrupró|Hrupih₁ró|Hrupm̥h₁nós|Hrupéntu|Hréwpoh₂|Hréwpowos|Hrupih₁mé|Hrupté|Hrupih₁tā́m|Hrupih₁ént|Hréwps|Hréwpete|Hréwpedʰh₂we|Hréwptu|Hrupyéh₁s|Hrupyéh₁t|Hréwpomos|Hrupih₁té|Hrupyéh₁m̥|Hrupwé|Hruptā́m|Hrupó|Hréwp|Hrupih₁tóm|Hrupdʰí|Hrupént	<i>verb</i><br><ol><li>to break</li></ol>
