abjets|abjetes|abjetens|abjetei|abjetem|abjetəβos|abjeti? -e?|abjetom	<i>noun</i><br><ol><li>fir (tree)</li></ol>
ad	<i>prep</i><br><ol><li>toward, to, on, up to, for</li></ol>
aeznos|aeznōd|aeznāzōm|aeznās|aeznom|aeznans|aeznāi|aeznei|aeznōs|aeznā|aeznosjo|aezna|aeznām|aeznons|aeznād|aeznois|aeznais|aeznōi|aezne	<i>adj</i><br><ol><li>brazen, made of bronze</li></ol>
afnis|afnēs|afnins|afnei|afnim|afniβos|afneis|afnīd|afnjom	<i>noun</i><br><ol><li>broad</li></ol>
agelis|agiliβos|agilis|agilīd|agiljā|agilins|agilēs|agileis|agilei|agile|agiljom|agilim|agiljes	<i>adj</i><br><ol><li>agile</li></ol>
agjō|agjents|agjomos|agjānd|agjont|agjām|2nd + 3rd sing.|agjād|agjezi|agjetes|agjes|agjātes|agje|agjet|agjāmos|agjās	<i>verb</i><br><ol><li>to assert</li></ol>
agros|agrōd|agre|agrom|agrōi|agrōs|agrois|agrei|agrons|agrosjo	<i>noun</i><br><ol><li>field</li></ol>
agō|agāzo|agem(e?)n(ai?)|agās|agetor|agomor|agetōd|ēgomos|agām(e?)n(ai?)|ēged|ēgistai|agents|aktum|agātes|agōr|agātor|agāmos|2nd + 3rd sing.|aktos|aget|ēgēri|agām|agontor|ēgistes|agezo|agete|agetes|ēgai|agezi|ages|ēge|agānd|agomos|agād|agāmor|agont|agār|age|agāntor	<i>verb</i><br><ol><li>drive</li><li>push, impel</li><li>do, act</li></ol>
aimelos|aimelāi|aimele|aimelais|aimelosjo|aimela|aimelōi|aimelōs|aimelans|aimelāzōm|aimelom|aimelei|aimelām|aimelons|aimelā|aimelōd|aimelād|aimelois|aimelās	<i>adj</i><br><ol><li>striving to equal or excel, rivaling</li><li>in a bad sense, envious, jealous</li></ol>
aimos|aimōi|aimōd|aimons|aimom|aimōs|aime|aimei|aimosjo|aimois	<i>noun</i><br><ol><li>imitation</li></ol>
aiwom|aiwā|aiwī|aiwosjo|aiwōd|aiwei|aiwōi|aiwois	<i>noun</i><br><ol><li>age</li></ol>
aiwotāts|aiwotātom|aiwotātens|aiwotātem|aiwotātei|aiwotāti? -e?|aiwotātəβos|aiwotātes	<i>noun</i><br><ol><li>age</li></ol>
akris|akrīd|akrēs|akrjes|akreis|akrins|akrei|akre|akrim|akrjom|akriβos|akrjā	<i>adj</i><br><ol><li>sharp</li><li>sour-tasting</li></ol>
akēō|akētes|akēs|akēātes|akēāmos|akēnt|akēnts|akēād|akēwistai|akēt|akēzi|akēānd|akēwistes|akēwe|akēmos|akēās|akēām|2nd + 3rd sing.|akē|akēwai|akēwed|akēwēri|akēwomos	<i>verb</i><br><ol><li>be sharp-tasting, be sour</li></ol>
akʷā|akʷa|akʷās|akʷāi|akʷāzom|akʷans|akʷād|akʷam|akʷais	<i>noun</i><br><ol><li>water</li></ol>
alβos|alβons|alβe|alβāzōm|alβom|alβōi|alβām|alβans|alβois|alβās|alβād|alβei|alβāi|alβosjo|alβōs|alβā|alβōd|alβais|alβa	<i>adj</i><br><ol><li>white</li></ol>
amāō|amā|amāētor?|amāēmos?|amāēd?|amāmos|amās|amāēnd?|amātos|amāēs?|amānt|amāētes?|amām(e?)n(ai?)|amāēmor?|amānts|amāōr|amātōd|amāēntor?|amāēm?|amāzo|amāēzo?|2nd + 3rd sing.|amāēr?|amāmor|amāt|amātor|amātes|amāntor|amāzi|amāēm(e?)n(ai?)?|amātum|amāte	<i>verb</i><br><ol><li>to love</li></ol>
amβi	<i>det</i><br><ol><li>both</li></ol>
anamos|anamei|anamois|aname|anamōs|anamōi|anamōd|anamom|anamosjo|anamons	<i>noun</i><br><ol><li>(perhaps originally) breath</li><li>spirit, soul, life force</li></ol>
antīkʷos|antīkʷā|antīkʷām|antīkʷons|antīkʷāzōm|antīkʷāi|antīkʷōs|antīkʷe|antīkʷans|antīkʷois|antīkʷōi|antīkʷei|antīkʷosjo|antīkʷais|antīkʷōd|antīkʷād|antīkʷās|antīkʷom|antīkʷa	<i>adj</i><br><ol><li>ancient</li></ol>
aos|aezəβos|aezi? -e?|aezes|aezā|aezom|aezei	<i>noun</i><br><ol><li>bronze, copper</li></ol>
argentom|argentosjo|argentā|argentōi|argentois|argentōd|argentei|argentī	<i>noun</i><br><ol><li>silver</li></ol>
atnos|atnois|atnosjo|atnons|atnei|atnōs|atne|atnōd|atnōi|atnom	<i>noun</i><br><ol><li>year</li></ol>
augeō|augēnts|auksed|augē|augēte|auktum|augētes|augēmos|augeām|auksistes|augeām(e?)n(ai?)|augeont|augeās|augēzi|augeār|auksistai|auksēri|augeōr|augēs|augeāmos|augeānd|aukse|augēt|augeontor|augeāntor|2nd + 3rd sing.|augeāmor|augeātor|augēm(e?)n(ai?)|augeāzo|auksai|augētōd|augēzo|augeātes|auktos|augētor|auksomos|augeād|augēmor	<i>verb</i><br><ol><li>to increase</li><li>to enlarge</li></ol>
augostos|augostōi|augostāi|augoste|augostosjo|augostisemos|augostā|augostāzōm|augostois|augostād|augostām|augostom|augostans|augosta|augostei|augostōs|augostons|augostās|augostais|augostiōs|augostōd	<i>adj</i><br><ol><li>venerable</li></ol>
auti	<i>prep</i><br><ol><li>either, or.</li></ol>
auzis|auzēs|auzins|auzeis|auzjom|auzei|auzīd|auzim|auziβos	<i>noun</i><br><ol><li>ear</li></ol>
auzom|auzōd|auzei|auzī|auzosjo|auzōi|auzā|auzois	<i>noun</i><br><ol><li>gold</li></ol>
auzōs|auzōzəβos|auzōzem|auzōzei|auzōzens|auzōzes|auzōzom|auzōzi? -e?	<i>noun</i><br><ol><li>dawn</li><li>Aurora, goddess of dawn</li></ol>
awidēō|awidēāzo|awidēāmor|awidēād|awidēwēri|awidēm(e?)n(ai?)|awidēmor|awidēwai|awidēātor|awidēām|awidēātes|awidatum|awidēāntor|awidēmos|awidēnt|awidatos|awidēāmos|awidēt|awidēzo|awidē|awidēānd|awidēār|awidēwe|awidēwistes|awidēte|awidēās|awidēntor|2nd + 3rd sing.|awidēwed|awidēwistai|awidētōd|awidētes|awidēs|awidētor|awidēzi|awidēnts|awidēōr|awidēām(e?)n(ai?)|awidēwomos	<i>verb</i><br><ol><li>to be greedy</li></ol>
awis|awēs|awīd|awim|aweis|awei|awins|awiβos|awjom	<i>noun</i><br><ol><li>bird</li></ol>
awos|awom|awōs|awōi|awois|awe|awons|awei|awōd|awosjo	<i>noun</i><br><ol><li>grandfather</li></ol>
awēō|awē|awēzi|awēt|awēs|awēānd|awēāmos|awēnt|awēātes|awēmos|2nd + 3rd sing.|awētes|awēām|awēnts|awēās|awēād	<i>verb</i><br><ol><li>to desire, to wish</li></ol>
breɣʷis|breɣʷisemom|breɣʷjezes|breɣʷisemons|breɣʷisemans|breɣʷjezom|breɣʷisema|breɣʷeis|breɣʷisemōd|breɣʷjezi? -e?|breɣʷisemās|breɣʷjā|breɣʷisemos|breɣʷisemais|breɣʷisemām|breɣʷisemois|breɣʷjes|breɣʷjezei|breɣʷiseme|breɣʷjezjā|breɣʷisemōs|breɣʷisemei|breɣʷjom|breɣʷiβos|breɣʷēs|breɣʷisemāzōm|breɣʷisemosjo|breɣʷisemāi|breɣʷim|breɣʷins|breɣʷīd|breɣʷjezem|breɣʷjezjom|breɣʷjezəβos|breɣʷe|breɣʷisemōi|breɣʷisemād|breɣʷjezens|breɣʷjōs|breɣʷisemā|breɣʷei	<i>adj</i><br><ol><li>short, small</li></ol>
daiwēr|daiwrom|daiwrem|daiwrəβos|daiwrens|daiwres|daiwer|daiwri? -e?|daiwrei	<i>noun</i><br><ol><li>brother-in-law</li></ol>
dedokai	<i>verb</i><br><ol><li>taken, accepted</li></ol>
deikō|diktum|deiketōd|deikomor|deiksistai|deikāntor|deikātor|deikāmos|deikār|deikomos|deikezo|deikād|deiksomos|diktos|deiksai|deikātes|deikezi|deikse|deikete|deike|deikāmor|deikontor|deikām(e?)n(ai?)|deikānd|2nd + 3rd sing.|deikem(e?)n(ai?)|deiket|deiketes|deikāzo|deiketor|deikes|deiksēri|deikām|deiksed|deikents|deikōr|deikās|deikont|deiksistes	<i>verb</i><br><ol><li>show, indicate</li><li>refer to</li><li>say, tell</li></ol>
deiwos|deiwōi|deiwosjo|deiwons|deiwei|deiwois|deiwe|deiwom|deiwōd|deiwōs	<i>noun</i><br><ol><li>god, deity</li></ol>
deiwā|deiwād|deiwam|deiwais|deiwa|deiwans|deiwāi|deiwās|deiwāzom	<i>noun</i><br><ol><li>goddess</li></ol>
dekem	<i>num</i><br><ol><li>ten</li></ol>
dekos|dekozā|dekozom|dekozei|dekozes|dekozəβos|dekozi? -e?	<i>noun</i><br><ol><li>dignity</li></ol>
deksiteros|deksiterās|deksiterosjo|deksiterons|deksiterād|deksiterōs|deksiterāzōm|deksiterais|deksiterei|deksiterā|deksiterōi|deksiterom|deksitere|deksiterōd|deksiterāi|deksiterans|deksiterām|deksitera|deksiterois	<i>adj</i><br><ol><li>right (side, direction)</li></ol>
dekēō|dekēwistes|dekēāmos|dekēnt|dekēātes|dekēānd|dekē|dekēwai|dekēmos|dekēwed|dekēwistai|dekētes|dekēwe|dekēnts|dekēzi|dekēwēri|dekēs|dekēād|dekēwomos|2nd + 3rd sing.|dekēām|dekēt|dekēās	<i>verb</i><br><ol><li>fit, be right</li></ol>
dents|dentes|dentom|dentem|dentens|dentəβos|denti? -e?|dentei	<i>noun</i><br><ol><li>tooth</li></ol>
denɣwā|denɣwa|denɣwans|denɣwam|denɣwās|denɣwais|denɣwād|denɣwāzom|denɣwāi	<i>noun</i><br><ol><li>tongue</li></ol>
didō	<i>verb</i><br><ol><li>give</li></ol>
diskō|diskām|diskete|disketōd|diskātor|dedoke|diskām(e?)n(ai?)|disketes|diske|diskānd|dedokēri|dedokistai|dedokomos|disketor|diskōr|diskatum|diskār|diskontor|diskāntor|diskezi|diskād|diskomos|diskāmor|diskes|diskāzo|diskezo|diskomor|2nd + 3rd sing.|dedokistes|diskatos|diskāmos|dedokai|diskont|diskents|disket|diskās|diskātes|dedoked|diskem(e?)n(ai?)	<i>verb</i><br><ol><li>learn</li></ol>
djous|djou|djowens|djowei|djowe?|djowes|djēm|djowom|djouβos	<i>noun</i><br><ol><li>day, sky</li><li>Jupiter</li></ol>
djous patēr	<i>name</i><br><ol><li>Jupiter, the Sky Father</li></ol>
dlongos|dlongans|dlongois|dlongosjo|dlongād|dlongei|dlongons|dlongōd|dlonge|dlongjōs|dlonga|dlongōi|dlongās|dlongām|dlongāzōm|dlongōs|dlongā|dlongisemos|dlongom|dlongāi|dlongais	<i>adj</i><br><ol><li>long</li></ol>
dokeō|dokeād|dokeās|dokētor|dokewistai|dokewistes|dokewe|dokē|dokeāntor|dokeānd|dokeām|dokēs|dokēnts|dokēm(e?)n(ai?)|dokewomos|dokēmos|dokeontor|dokēzo|dokeār|dokeāzo|dokeōr|dokeāmor|dokeām(e?)n(ai?)|dokēte|2nd + 3rd sing.|dokewai|dokeātes|dokēzi|dokeont|dokewēri|dokēmor|dokēt|dokewed|dokeātor|doktos|dokeāmos|dokētōd|dokētes|doktum	<i>verb</i><br><ol><li>tell, inform</li><li>teach, instruct</li></ol>
dolaō|dolawistes|dolawos|dolāzo|dolawomos|dolām(e?)n(ai?)|dolaētes?|dolaēm?|dolazi|dolāmos|dolānts|dolāmor|dolā|dolaēmor?|dolātor|dolaēntor?|dolaētor?|2nd + 3rd sing.|dolāt|dolawēri|dolātōd|dolawum|dolaēzo?|dolaēnd?|dolaontor|dolawe|dolātes|dolās|dolaēd?|dolaēm(e?)n(ai?)?|dolaēr?|dolawai|dolaēmos?|dolawistai|dolāte|dolaēs?|dolaōr|dolawed|dolaont	<i>verb</i><br><ol><li>I hew, chop into shape, fashion, devise</li></ol>
domanos|dominōd|domine|dominōi|dominōs|dominosjo|dominos|dominons|dominom|dominei|dominois	<i>noun</i><br><ol><li>master</li></ol>
domanā|domanād|domanam|domanāi|domana|domanans|domanais|domanāzom|domanās	<i>noun</i><br><ol><li>mistress</li></ol>
domaō|domāmor|domā|domātor|domāmos|domāte|domātōd|domātes|domawistai|domawum|domaēntor?|domās|domawistes|domazi|domaēm?|domawēri|domaēmor?|domawos|domaēm(e?)n(ai?)?|domaēzo?|domaēd?|domānts|2nd + 3rd sing.|domaēr?|domāzo|domawed|domaētes?|domām(e?)n(ai?)|domaētor?|domāt|domaōr|domaēs?|domawai|domaēmos?|domaont|domawe|domaontor|domaēnd?|domawomos	<i>verb</i><br><ol><li>tame</li><li>subdue</li></ol>
domos|domōd|dome|domōi|domom|domois|domei|domosjo|domons|domōs	<i>noun</i><br><ol><li>house, home</li></ol>
dormiō|dormjet|dormje|dormjānd|dormjomos|dormjewai|dormjātes|dormjezi|dormjās|dormjewed|dormjewistes|dormjō|dormjewomos|dormjewe|dormjāmos|dormjes|2nd + 3rd sing.|dormjents|dormjetes|dormjām|dormjewistai|dormjewēri|dormjād|dormjont	<i>verb</i><br><ol><li>to sleep</li></ol>
doukō|doukāmos|doukād|duktum|doukont|douket|douksistes|doukomor|doukezo|duktos|douksistai|doukomos|doukās|doukār|doukōr|doukāzo|douketor|doukām(e?)n(ai?)|doukete|doukātes|doukents|doukes|douketōd|doukse|doukezi|doukāmor|doukāntor|2nd + 3rd sing.|douksai|douketes|doukem(e?)n(ai?)|douksed|doukām|douke|douksēri|doukānd|doukātor|douksomos|doukontor	<i>verb</i><br><ol><li>lead</li></ol>
dulkwis|dulkwjom|dulkwēs|dulkwe|dulkwīd|dulkwim|dulkweis|dulkwisemos|dulkwins|dulkwei|dulkwjā|dulkwiβos|dulkwjōs|dulkwjes	<i>adj</i><br><ol><li>sweet</li></ol>
duō	<i>num</i><br><ol><li>two</li></ol>
dwenedgenos|dwenedgenois|dwenedgenās|dwenedgene|dwenedgenād|dwenedgenā|dwenedgenāi|dwenedgenans|dwenedgenām|dwenedgena|dwenedgenei|dwenedgenais|dwenedgenosjo|dwenedgenōs|dwenedgenōd|dwenedgenāzōm|dwenedgenons|dwenedgenom|dwenedgenōi	<i>adj</i><br><ol><li>kind, nice, good</li></ol>
dwenos|dwenāi|meljōs|dwenōd|dwene|dwenei|dwenom|dwenā|dwenois|dwena|dwenās|dwenais|dwenām|optimos|dwenosjo|dwenans|dwenōs|dwenons|dwenād|dwenōi|dwenāzōm|dwened	<i>adj</i><br><ol><li>good</li></ol>
dweos|dweons|dweōd|dwee|dweād|dweom|dweās|dweei|dweā|dweosjo|dwea|dweām|dweāi|dweans|dweāzōm|dweois|dweōi|dweais|dweōs	<i>adj</i><br><ol><li>happy</li></ol>
dōnom|dōnōi|dōnosjo|dōnois|dōnā|dōnī|dōnōd|dōnei	<i>noun</i><br><ol><li>gift, present</li></ol>
dōnāō|dōnānts|dōnāēzo?|dōnāōr|dōnās|dōnāmos|dōnāēm(e?)n(ai?)?|dōnām(e?)n(ai?)|dōnātōd|dōnāēmos?|dōnātum|dōnāēd?|dōnāzo|dōnātes|dōnāte|dōnāēntor?|dōnāēr?|dōnānt|dōnāēnd?|dōnā|dōnāēs?|2nd + 3rd sing.|dōnāētor?|dōnāētes?|dōnāēmor?|dōnāntor|dōnāmor|dōnāt|dōnāēm?|dōnāzi|dōnātos|dōnātor	<i>verb</i><br><ol><li>to give, to present</li></ol>
edō|edās|edāmos|ededed|edānd|edezi|edād|edete|edontor|essos|essum|ededai|edents|edes|edāntor|edezo|ededistes|edet|edātes|edetōd|edetor|edem(e?)n(ai?)|2nd + 3rd sing.|edetes|ededēri|edām|edām(e?)n(ai?)|ededomos|edede|ededistai|edomor|ede|edomos|edont|edār|edōr|edāmor|edāzo|edātor	<i>verb</i><br><ol><li>eat</li></ol>
egō|teβei|sowos|mei|tei|egō|sed|Dative|tū|Nominative|sē|sei|towos|meos|Ablative|nosterom|Possessive|nōβei|nōs|wōβei|ted|westeros|seβei|Accusative|meɣei|Genitive|med|tē|nosteros|westerom|mē|wōs	<i>pron</i><br><ol><li>I (first-person singular)</li></ol>
ekwos|ekwe|ekwōs|ekwōd|ekwei|ekwom|ekwois|ekwosjo|ekwōi|ekwons	<i>noun</i><br><ol><li>horse</li></ol>
emō|emād|emār|ememomos|emōr|emetōd|emomos|ememed|emont|emtum|ememistai|ememēri|emet|emontor|emomor|ements|ememai|emetes|emezo|eme|emām(e?)n(ai?)|emānd|emām|emāntor|emtos|ememistes|emetor|emāmos|emete|emāmor|2nd + 3rd sing.|emezi|emāzo|emem(e?)n(ai?)|emātes|emes|emās|ememe|emātor	<i>verb</i><br><ol><li>to buy, to purchase</li></ol>
en	<i>prep</i><br><ol><li>in</li></ol>
endo	<i>prep</i><br><ol><li>in</li><li>on, onto</li><li>to</li></ol><br><i>adv</i><br><ol><li>within, inside</li><li>thereupon</li></ol>
engents|engentisemos|engentjōs	<i>adj</i><br><ol><li>enormous</li></ol>
engnāros|gnāra|gnārāzōm|gnārā|gnārām|gnārom|gnārons|gnārois|gnārās|gnārans|gnāre|gnārād|gnārōi|gnāros|gnārōd|gnārei|gnārāi|gnārōs|gnārosjo|gnārais	<i>adj</i><br><ol><li>ignorant</li></ol>
