(i-)aku	<i>pron</i><br><ol><li>I (personal pronoun)</li><li>me (direct object of a verb)</li><li>me (object of a preposition)</li><li>me (indirect object of a verb)</li><li>my (belonging to me)</li></ol>
(i-)kahu	<i>pron</i><br><ol><li>you, your sg</li></ol>
(i-)kamu	<i>pron</i><br><ol><li>you, your pl</li></ol>
(i-)kita	<i>pron</i><br><ol><li>we, us, our (inclusive)</li></ol>
(i-)na	<i>pron</i><br><ol><li>that</li></ol>
(i-)ni	<i>det</i><br><ol><li>this (the (thing) here)</li><li>this (known (thing) just mentioned)</li><li>this (known (thing) about to be mentioned)</li><li>this (known (thing) that the speaker does not think is known to the audience)</li></ol><br><i>pron</i><br><ol><li>this (The thing, item, etc. being indicated)</li></ol>
(i-)nu	<i>pron</i><br><ol><li>where?</li></ol>
(i-)sai	<i>pron</i><br><ol><li>who?</li></ol>
(i-)tu	<i>det</i><br><ol><li>that (what is being indicated)</li></ol><br><i>pron</i><br><ol><li>that (that thing)</li></ol>
(ka-)wanan	<i>adj</i><br><ol><li>right (direction)</li></ol>
(ka-)wiʀi	<i>adj</i><br><ol><li>left (the west side of the body when one is facing north)</li></ol>
(m-)atay	<i>verb</i><br><ol><li>to die</li></ol>
(ma-)(h)emis|(ma-) (h)emis	<i>adj</i><br><ol><li>sweet</li></ol>
(ma-)atas	<i>adj</i><br><ol><li>high</li></ol>
(ma-)basəq	<i>adj</i><br><ol><li>wet (of an object: covered with or impregnated with liquid)</li></ol>
(ma-)biʀaw	<i>adj</i><br><ol><li>blue (blue-coloured)</li></ol>
(ma-)buʀuk	<i>adj</i><br><ol><li>rotten</li></ol>
(ma-)bəʀəqat	<i>adj</i><br><ol><li>heavy (having great weight)</li></ol>
(ma-)heʀet	<i>adj</i><br><ol><li>firm, solid</li></ol>
(ma-)huab	<i>verb</i><br><ol><li>(intransitive) to yawn (open the mouth and take a deep breath)</li></ol>
(ma-)iʀaq	<i>adj</i><br><ol><li>red (having red as its colour)</li></ol>
(ma-)kunij	<i>adj</i><br><ol><li>yellow (having yellow as its colour)</li></ol>
(ma-)nipis	<i>adj</i><br><ol><li>thin</li></ol>
(ma-)putiq	<i>adj</i><br><ol><li>white (bright and colourless)</li></ol>
(ma-)qaləsəm	<i>adj</i><br><ol><li>sour</li></ol>
(ma-)qasin	<i>adj</i><br><ol><li>salty (tasting of salt)</li></ol>
