(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
(h)earkē|ear̯k̯ijnë|hear̯k̯ij|hear̯k̯ēn|ear̯k̯ēm|ear̯k̯ēsnē|hear̯k̯ēstē|ear̯k̯ijstē|hear̯k̯ēm|hearkē|hearkēnē|ear̯k̯ēstē|hear̯k̯ijnë|hear̯k̯ēsnē|hear̯k̯ēptāk̯ëk|hear̯k̯ijtē|ear̯k̯ijtē|ear̯k̯ijnē|earkēnē|hear̯k̯ijstē|earkē|ear̯k̯ēn|ear̯k̯ēk|hearkētē|ear̯k̯ēptāk̯ëk|hear̯k̯ijnē|ear̯k̯ij|earkās̯ën|earkētē|hearkās̯ën|hear̯k̯ēk	<i>noun</i><br><ol><li>reindeer bull</li></ol>
(h)eavnē|eav̯n̯ijstē|eav̯n̯ēn|heav̯n̯ēstē|heav̯n̯ēk|heav̯n̯ijnë|heav̯n̯ijnē|eavnēnē|eav̯n̯ēm|heavnēnē|heav̯n̯ijtē|eavnētē|heavnētē|eav̯n̯ēptāk̯ëk|eav̯n̯ijnë|eavnē|eavnās̯ën|heavnās̯ën|eav̯n̯ēsnē|heav̯n̯ēsnē|eav̯n̯ijtē|heavnē|heav̯n̯ij|heav̯n̯ēn|eav̯n̯ij|heav̯n̯ijstē|heav̯n̯ēptāk̯ëk|heav̯n̯ēm|eav̯n̯ēk|eav̯n̯ēstē|eav̯n̯ijnē	<i>noun</i><br><ol><li>spider</li></ol>
(h)eaŋkë|heaŋ̯k̯ësnē|heaŋ̯k̯ëjnë|eaŋkëtē|heaŋ̯k̯ëjstē|eaŋkënē|eaŋkës̯ën|heaŋkës̯ën|eaŋ̯k̯ëjnë|heaŋ̯k̯ëj|eaŋ̯k̯ëptāk̯ëk|heaŋ̯k̯ëptāk̯ëk|heaŋ̯k̯ëjtē|eaŋkë|heaŋkënē|heaŋkë|eaŋ̯k̯ëstē|heaŋ̯k̯ëm|eaŋ̯k̯ëj|eaŋ̯k̯ën|heaŋkëtē|heaŋ̯k̯ëjnē|heaŋ̯k̯ëk|eaŋ̯k̯ëjnē|heaŋ̯k̯ëstē|eaŋ̯k̯ëjtē|eaŋ̯k̯ëm|eaŋ̯k̯ëjstē|heaŋ̯k̯ën|eaŋ̯k̯ësnē|eaŋ̯k̯ëk	<i>noun</i><br><ol><li>spirit</li></ol>
(h)iplē|(h)iplēs	<i>adj</i><br><ol><li>fine</li><li>thin</li></ol>
(h)oajpōtēk	<i>verb</i><br><ol><li>to wrestle</li></ol>
(h)oaššē|hoaššē|oaš̯š̯ēsnē|oaš̯š̯ēptāk̯ëk|oaš̯š̯ijtē|hoaš̯š̯ijtē|oaš̯š̯ijnë|oaš̯š̯ijnē|hoaš̯š̯ēsnē|oaš̯š̯ijstē|oaššē|oaš̯š̯ēm|hoaš̯š̯ēn|oaššēnē|hoaš̯š̯ijnē|hoaš̯š̯ēstē|oaššētē|hoaš̯š̯ēm|hoaššēnē|hoaš̯š̯ēptāk̯ëk|hoaš̯š̯ēk|hoaš̯š̯ijstē|hoaššētē|oaš̯š̯ēk|oaš̯š̯ēstē|hoaš̯š̯ij|hoaššās̯ën|hoaš̯š̯ijnë|oaš̯š̯ēn|oaš̯š̯ij|oaššās̯ën	<i>noun</i><br><ol><li>horsetail, Equisetum</li></ol>
(h)ojkëtēk	<i>verb</i><br><ol><li>to push</li></ol>
(h)olkë|hol̯k̯ëm|ol̯k̯ëstē|ol̯k̯ëm|hol̯k̯ëk|olkës̯ën|hol̯k̯ëj|hol̯k̯ëptāk̯ëk|hol̯k̯ën|ol̯k̯ëjstē|holkës̯ën|ol̯k̯ëptāk̯ëk|olkëtē|hol̯k̯ëjstē|hol̯k̯ëstē|ol̯k̯ëjtē|ol̯k̯ëjnē|hol̯k̯ëjnë|ol̯k̯ësnē|holkënē|ol̯k̯ëk|holkëtē|hol̯k̯ëjtē|holkë|ol̯k̯ën|ol̯k̯ëjnë|hol̯k̯ëjnē|hol̯k̯ësnē|ol̯k̯ëj|olkë|olkënē	<i>noun</i><br><ol><li>lath, pole</li></ol>
(h)olpē|ol̯p̯ēn|hol̯p̯ijnē|ol̯p̯ijnë|ol̯p̯ēptāk̯ëk|ol̯p̯ijstē|olpē|holpē|olpētē|hol̯p̯ijstē|holpētē|olpēnē|hol̯p̯ēstē|hol̯p̯ēk|ol̯p̯ēm|hol̯p̯ēptāk̯ëk|holpēnē|hol̯p̯ijnë|ol̯p̯ēsnē|hol̯p̯ij|olpās̯ën|holpās̯ën|hol̯p̯ēsnē|ol̯p̯ijnē|ol̯p̯ēstē|ol̯p̯ijtē|hol̯p̯ijtē|ol̯p̯ij|ol̯p̯ēk|hol̯p̯ēm|hol̯p̯ēn	<i>noun</i><br><ol><li>selvage</li></ol>
(h)olvōtēk	<i>verb</i><br><ol><li>to howl</li></ol>
