(j)azъ|nàmi|tobojǫ̀|tobòjǫ|nȃ|vȃ|va|vàsъ|tȅbe|sobòjǫ|svojь|nàju|vàma|sobojǫ̀|sę̑|ti|našь|mьně̀|mъnòjǫ|sebě̀|mę̑|tebě̀|(j)ãzъ|mojь|mȅne|sȅbe|vàmi|tvojь|na|nàmъ|my̑|jãzъ|vàju|ty̑|si|vàmъ|vy̑|vašь|vě̑|mъnojǫ̀|ny̑|nàma|nàsъ|tę̑	<i>pron</i><br><ol><li>I</li></ol>
(j)edъva	<i>adv</i><br><ol><li>barely, scarcely</li></ol>
(j)esenь|esenьjǫ́|esenьmì|jesenьmì|jȅseni|ȅsenьxъ|esenьmà|esení|jȅsenь|Dative|Instrumental|eseňu|ȅseni|jȅsenьxъ|Nominative|jesenьjù|ȅsenьmъ|c|esenь̀jь|esenьjù|jeseni|Locative|jesenьmà|jesenьjǫ́|ȅsenь|Genitive|jesenь̀jь|eseni|Vocative|(j)ȅsenь|Accusative|jesení|jeseňu|jȅsenьmъ	<i>noun</i><br><ol><li>autumn</li></ol>
(j)uže	<i>particle</i><br><ol><li>already</li><li>anymore</li></ol>
(j)ęčьmy|ęčьmenьma|ęčьmeni|Dative|Instrumental|jęčьmy|ęčьmenu|jęčьmenъ|Nominative|ęčьmene|ęčьmenьmь|Locative|ęčьmy|ęčьmenьxъ|jęčьmenu|ęčьmenьmi|jęčьmenьmь|Genitive|jęčьmenьxъ|ęčьmenь|Vocative|jęčьmenьma|jęčьmene|Accusative|jęčьmenь|jęčьmeni|ęčьmenьmъ|ęčьmenъ|jęčьmenьmъ|jęčьmenьmi	<i>noun</i><br><ol><li>barley</li></ol>
(s)kvьrčěti|skvьrčěxъ|kvьrčěaxъ|skvьrčita|skvьrčěaxově|kvьrčěšę|skvьrčěaxǫ|kvьrčętь|kvьrčěxově|kvьrčěašeta|skvьrčę|skvьrčětъ|kvьrčǫ|skvьrčitь|skvьrčiši|kvьrčěaxomъ|skvьrčěaše|skvьrčěste|kvьrči|skvьrčěxově|kvьrčę|kvьrčitь|skvьrčěsta|kvьrčěvъ|skvьrčěnьje|skvьrčělъ|kvьrčělъ|skvьrčivě|kvьrčěste|skvьrčě|skvьrčite|kvьrčěti|kvьrčiši|kvьrčěnьje|skvьrčěxomъ|kvьrčěxomъ|kvьrčěašete|skvьrčěašete|kvьrčě|skvьrčěti|skvьrčěšę|kvьrčita|kvьrčěsta|kvьrčětъ|skvьrčimъ|skvьrčętь|skvьrčǫ|skvьrčěaxomъ|kvьrčite|kvьrčěaše|skvьrčěvъ|kvьrčěaxově|skvьrčěaxъ|kvьrčivě|kvьrčimъ|skvьrčěašeta|kvьrčěxъ|kvьrčěaxǫ|skvьrči	<i>verb</i><br><ol><li>to squeak</li></ol>
(s)kvьrъ|skvьri|skvьromъ|skvьromь|kvьromь|Dative|skvьrěxъ|kvьry|kvьrě|Instrumental|kvьre|kvьri|Nominative|kvьroma|Locative|skvьrъ|kvьra|Genitive|skvьrě|kvьromъ|skvьra|skvьry|skvьroma|Vocative|kvьrъ|Accusative|kvьrěxъ|skvьrъmь|skvьre|kvьru|kvьrъmь|skvьru	<i>noun</i><br><ol><li>squeak, creak</li></ol>
(s)mъlžь|smъlžьmi|smъlžьma|Dative|mъlžьxъ|smъlže|smъlžьmъ|Instrumental|smъlžьje|smъlžьmь|mъlžьma|Nominative|mъlžьmъ|Locative|smъlžьju|mъlžu|mъlžьmь|smъlžьxъ|mъlže|Genitive|smъlžьjь|mъlžьjь|mъlžьje|mъlžьmi|mъlžьju|Vocative|mъlži|Accusative|smъlžь|smъlžu|smъlži|mъlžь	<i>noun</i><br><ol><li>slug, snail</li><li>bivalve</li></ol>
(s)tъrčati|stъrčaxъ|stъrčiši|stъrčaaxově|tъrčalъ|stъrčanъ|tъrčaaxъ|stъrčimъ|stъrčętь|tъrčita|tъrčitь|tъrčite|stъrčaxově|tъrčati|stъrčanьje|stъrčitь|stъrčasta|tъrčaašete|tъrčimъ|tъrči|tъrčatъ|stъrčati|stъrčita|stъrčaaxъ|tъrčivě|stъrčaste|tъrčaaxǫ|stъrča|stъrčaaxǫ|tъrčasta|tъrčiši|tъrčaste|stъrčaaše|stъrčaxomъ|stъrčalъ|tъrčaxъ|tъrčašę|stъrčę|stъrčatъ|tъrčanьje|stъrčivě|tъrčę|stъrčavъ|stъrčite|tъrčaxomъ|stъrčašę|tъrčaaše|tъrčaaxově|stъrčǫ|tъrčaxově|stъrčaašeta|stъrči|tъrčaaxomъ|tъrčavъ|tъrča|tъrčǫ|tъrčaašeta|stъrčaaxomъ|tъrčanъ|stъrčaašete|tъrčętь	<i>verb</i><br><ol><li>(intransitive) to jut, to protrude, to stick out</li></ol>
Bělovoldъ|Bělovoldu|Bělovoldomь|Instrumental|Bělovoldъmь|Locative|Vocative|Bělovolde|Bělovolda|Accusative|Nominative|Bělovoldě|Dative|Genitive	
Daďьbogъ|Instrumental|Locative|Vocative|Daďьbogu|Accusative|Daďьbože|Daďьbodzě|Nominative|Daďьbogъmь|Daďьbogomь|Daďьboga|Dative|Genitive	<i>name</i><br><ol><li>Dažbog</li></ol>
Dъněprъ	<i>name</i><br><ol><li>Dnieper (a river in Russia, Belarus and Ukraine)</li></ol>
Mokošь|Mokoši|Instrumental|Mokošьjǫ|Locative|Vocative|Mokošǫ|Accusative|Nominative|Dative|Genitive	<i>name</i><br><ol><li>water deity</li></ol>
Perunъ|Perunu|Instrumental|Locative|Peruně|Vocative|Accusative|Perune|Perunomь|Nominative|Peruna|Dative|Genitive|Perunъmь	<i>name</i><br><ol><li>Perun</li></ol>
Rimъ|b|Instrumental|Locative|Rīmě̀|Rīmù|Vocative|Rĩmъ|Rīmъ̀mь|Accusative|Rime|Rīmà|Nominative|Dative|Genitive	<i>name</i><br><ol><li>Rome</li></ol>
Semь|Instrumental|Locative|Vocative|Semьmь|Semi|Accusative|Nominative|Dative|Genitive	<i>name</i><br><ol><li>Seym (a river in Russia and Ukraine)</li></ol>
Strybogъ|Strybogomь|Strybože|Stryboga|Instrumental|Strybodzě|Locative|Vocative|Strybogu|Accusative|Strybogъmь|Nominative|Dative|Genitive	<i>name</i><br><ol><li>(Slavic mythology) Stribog (Slavic god of the water or river)</li></ol>
