adak|adaknï|adakča|adaknïg|adakka|adakïn|adakdan|adakda|adaknïŋ	<i>noun</i><br><ol><li>foot</li><li>end</li></ol>
adgïr|adgïrnï|adgïrnïg|adgïrta|adgïrča|adgïrka|adgïrnïŋ|adgïrïn|adgïrtan	<i>noun</i><br><ol><li>stallion</li></ol>
adïg|adïgdan|adïgnïŋ|adïgda|adïglarnïŋ|adïglardan|adïglar|adïglarnï|adïgnï|adïgka|adïglarda|adïglarka	<i>noun</i><br><ol><li>(Common Turkic) bear</li></ol>
agrïg|agrïgta|agrïgïn|agrïgnïg|agrïgnïŋ|agrïgča|agrïgka|agrïgtan|agrïgnï	<i>noun</i><br><ol><li>(medicine) pain, ache</li></ol>
alabuda|alabudalarnï|alabudanï|alabudada|alabudanïŋ|alabudalardan|alabudalarnïŋ|alabudalar|alabudaka|alabudalarda|alabudadan|alabudalarka	<i>noun</i><br><ol><li>saltbush, orach (Atriplex gen. et spp.)</li><li>white goosefoot (Chenopodium album)</li></ol>
alaŋ|alaŋlar|alaŋlarda|alaŋdan|alaŋnï|alaŋnïŋ|alaŋka|alaŋlarnïŋ|alaŋlarka|alaŋda|alaŋlarnï|alaŋlardan	<i>noun</i><br><ol><li>(Common Turkic) land, open land, (flat) ground, heath, (open) space, plain, open field, open place</li></ol>
alma|almalarda|almalarka|almada|almadan|almalarnïŋ|almanï|almalardan|almaka|almalarnï|almalar|almanïŋ	<i>noun</i><br><ol><li>apple (Common Turkic)</li></ol>
almïla|almïlalar|almïlanïŋ|almïlalarnïŋ|almïlanï|almïlalarda|almïladan|almïlalarka|almïlada|almïlalardan|almïlaka|almïlalarnï	<i>noun</i><br><ol><li>apple (Common Turkic)</li></ol>
alp	<i>noun</i><br><ol><li>difficult, hard</li><li>warrior</li><li>hero</li><li>brave</li><li>giant</li><li>landlord</li></ol>
altmïĺ|altmïĺča|altmïĺka|altmïĺnïg|altmïĺïn|altmïĺnïŋ|altmïĺnï|altmïĺtan|altmïĺta	<i>num</i><br><ol><li>sixty</li></ol>
altun|altunnug|altunta|altunča|altunka|altunun|altunnuŋ|altunnu|altuntan	<i>noun</i><br><ol><li>gold (metal)</li></ol>
altï	<i>num</i><br><ol><li>six</li></ol>
apa|apalarda|apalar|apalardan|apanïŋ|apadan|apanï|apalarka|apaka|apalarnï|apalarnïŋ|apada	<i>noun</i><br><ol><li>(Common Turkic) middle-aged elder female</li><li>(Common Turkic) mother</li><li>(Common Turkic) elder sister</li><li>(Common Turkic) aunt</li></ol>
arka|arkanï|arkan|arkanïŋ|arkaka|arkanïg|arkada|arkadan|arkača	<i>noun</i><br><ol><li>back</li></ol>
arpa|arpaka|arpanïg|arpača|arpada|arpan|arpanï|arpadan|arpanïŋ	<i>noun</i><br><ol><li>barley</li></ol>
at|atïn|atnï|atnïg|atča|atda|atnïŋ|atka|atdan	<i>noun</i><br><ol><li>horse</li></ol>
ata|atan|ataka|atadan|atanï|atada|atanïg|atanïŋ|atača	<i>noun</i><br><ol><li>father</li><li>ancestor</li></ol>
ayran|ayrannïg|ayrannïŋ|ayranïn|ayrannï|ayrantan|ayranta|ayranka|ayranča	<i>noun</i><br><ol><li>buttermilk, airan</li></ol>
ańaŕ|ańaŕtan|ańaŕnï|ańaŕka|ańaŕča|ańaŕnïŋ|ańaŕnïg|ańaŕïn|ańaŕta	<i>noun</i><br><ol><li>clear sky, frost</li></ol>
bakïr|bakïrka|bakïrnïŋ|bakïrnïg|bakïrnï|bakïrtan|bakïrča|bakïrïn|bakïrta	<i>noun</i><br><ol><li>copper (metal)</li></ol>
batgak|batgakča|batgaknï|batgaknïg|batgakda|batgaknïŋ|batgakka|batgakdan|batgakïn	<i>noun</i><br><ol><li>swamp, marsh</li></ol>
baĺč|baĺčnïg|baĺčča|baĺčka|baĺčnïŋ|baĺčda|baĺčdan|baĺčïn|baĺčnï	<i>noun</i><br><ol><li>(anatomy) head</li><li>beginning</li></ol>
baŕ|baŕnï|baŕča|baŕïn|baŕnïg|baŕtan|baŕka|baŕta|baŕnïŋ	<i>noun</i><br><ol><li>peace</li></ol>
bedük	<i>adj</i><br><ol><li>big</li><li>high</li></ol>
bek	<i>adj</i><br><ol><li>firm, solid</li></ol>
bel	<i>noun</i><br><ol><li>mark, sign</li></ol>
ben|benke|bẹ|beniŋ|beni|bente|benten|ben bile	<i>pron</i><br><ol><li>I</li></ol><br><i>postp</i><br><ol><li>Denotes "to be" for first person singular when at the end of an object; am</li><li>Denotes first person singular after various tenses</li></ol>
beniŋ	<i>pron</i><br><ol><li>my</li></ol>
birinči	<i>adj</i><br><ol><li>first</li></ol>
bitig|bitigniŋ|bitignig|bitigni|bitigin|bitigten|bitigte|bitigke|bitigče	<i>noun</i><br><ol><li>inscription, scripture</li></ol>
biŕ|biŕte|biŕni|biŕ bile|biŕten|biŕke|biŕniŋ	<i>pron</i><br><ol><li>we</li></ol><br><i>postp</i><br><ol><li>Denotes "to be" for first person plural when at the end of an object; are</li><li>Denotes first person plural after various tenses</li></ol>
bol	<i>adj</i><br><ol><li>abundant, full</li></ol>
borsuk|borsukda|borsukdan|borsukun|borsukka|borsukča|borsuknug|borsuknuŋ|borsuknu	<i>noun</i><br><ol><li>badger</li></ol>
boĺ	<i>adj</i><br><ol><li>empty</li><li>free</li></ol>
boŕ	<i>adj</i><br><ol><li>grey</li></ol>
buka|bukanï|bukadan|bukada|bukača|bukanïŋ|bukan|bukaka|bukanïg	<i>noun</i><br><ol><li>bull</li></ol>
bulan|bulannïŋ|bulanïn|bulanta|bulanka|bulantan|bulanča|bulannïg|bulannï	<i>noun</i><br><ol><li>elk</li></ol>
bulït|bulïtïn|bulïtča|bulïtnï|bulïtnïg|bulïtda|bulïtnïŋ|bulïtdan|bulïtka	<i>noun</i><br><ol><li>cloud</li></ol>
burgu|burgudan|burguča|burguka|burgun|burgunug|burgunu|burgunuŋ|burguda	<i>noun</i><br><ol><li>trumpet</li><li>pipe (of a plant)</li><li>horn</li></ol>
