'ਚ|'ca|چہ|ch	<i>postp</i><br><ol><li>Contraction of ਵਿੱਚ (vicca).</li></ol>
'ਤੇ|'تے|'te	<i>postp</i><br><ol><li>Short for ਉੱਤੇ (utte, “on”).</li></ol><br><i>conj</i><br><ol><li>Short for ਅਤੇ (ate, “and”).</li></ol>
آتما|ਆਤਮਾ|ātmā	<i>noun</i><br><ol><li>soul</li><li>spirit</li><li>ghost</li></ol>
آسمان|ਆਸਮਾਨ|āsmān	<i>noun</i><br><ol><li>sky</li></ol>
آواجائی|ਆਵਾਜਾਈ|āvājāī	<i>noun</i><br><ol><li>traffic</li></ol>
آٹا|آٹِیو|ਆਟਿਓ|atta|ਆਟਾ|āṭā|ਆਟੇ|ਆਟਿਆਂ|ਆਟਿਓਂ|آٹِیاں|آٹِیوں|آٹے|آٹِیا|ਆਟਿਆ	<i>noun</i><br><ol><li>flour</li></ol>
آکاش|ākāś|ਆਕਾਸ਼	<i>noun</i><br><ol><li>sky</li></ol>
آکھنا|ਆਖਦਿਆਂ ਹਾਂ|ਆਖਣਗਿਆਂ|ਆਖਦੇ|ਆਖ ਰਹਿਆਂ ਹੋਣ|ਆਖੀ ਹੋਵੇ|ਆਖਦੇ ਹੋਏ|ਆਖੀ ਹਾਂ|ਆਖਦਿਆਂ|ਆਖ ਰਹੀ ਹੋਵਾਂ|ਆਖਦਿਆਂ ਹੋ|ਆਖ ਰਹੀ ਹੋਵਾਂਗੀ|ਆਖੇ ਹੋਵੋਗੇ|ਆਖਿਆਂ ਹੋਵੋ|ਆਖਿਆਂ ਹੁੰਦਿਆਂ|ਆਖਿਆ ਹੋਵਾਂ|ਆਖ ਰਿਹਾ ਸੀ|ਆਖਦਾ ਹਾਂ|ਆਖਿਆਂ ਹੋਵੋਗੇ|ਆਖ ਰਹਿਆਂ ਹੋਇਏ|ākhṇā|ਆਖਦਿਆਂ ਹੋਇਆਂ|ਆਖਿਆ ਹੋਵਾਂਗਾ|ਆਖ ਰਹੀ ਹਾਂ|ਆਖਦੀ ਹੋਈ|ਆਖਦਾ ਹੋਵੇਗਾ|ਆਖ ਰਿਹਾ ਹੋਵੇ|ਆਖਦੀ ਹੁੰਦੀ|ਆਖੇ ਹੋਵੋ|ਆਖਾਂਗਾ|ਆਖਿਆਂ ਹੋਇਏ|ਆਖੀ|ਆਖੀ ਹੋਵਾਂ|ਆਖਿਆ ਹੋਵੇਗਾ|ਆਖਿਆ ਹੋਵੇ|ਆਖਦਾ ਹੋਵਾਂ|ਆਖ ਰਿਹਾ ਹੈ|ਆਖ ਰਹੀ ਹੋਵੇ|ਆਖ ਰਹੇ ਹੋਵਾਂਗੇ|ਆਖਦਾ ਹੋਇਆ|ਆਖਿਆ ਹੋਇਆ|ਆਖਣ ਵਾਲ਼ਿਆਂ|ਆਖਦਾ|ਆਖਦਾ ਹੋਵਾਂਗਾ|ਆਖਿਆ|ਆਖਾਂਗੇ|ਆਖੇ ਹੋਇਏ|ਆਖੀ ਸੀ|ਆਖ ਰਹਿਆਂ ਸੀ|ਆਖ ਰਹਿਆਂ ਹਾਂ|ਆਖਦਿਆਂ ਹੁੰਦਿਆਂ|ਆਖਦਿਆਂ ਹੋਣਗਿਆਂ|ਆਖੇ ਸੀ|ਆਖਦੇ ਹੋਵੋ|ਆਖਦਿਆਂ ਹੋਣ|ਆਖੇ ਹੋਵਾਂਗੇ|ਆਖੇਗੀ|ਆਖਣ ਵਾਲ਼ਾ|ਆਖੂਂਗੀ|ਆਖੇ ਹੁੰਦੇ|ਆਖ ਰਹੀ ਹੋਵੇਗੀ|ਆਖਿਆਂ ਸੀ|ਆਖ ਰਿਹਾ ਹੋਵੇਗਾ|ਆਖਿਓ|ਆਖੇ ਹਾਂ|ਆਖੇ ਹਨ|ਆਖਿਆਂ|ਆਖੇ|ਆਖੋਗਿਆਂ|ਆਖਾਂਗਿਆਂ|ਆਖੇ ਹੋਣਗੇ|ਆਖ ਰਹਿਆਂ ਹੁੰਦਿਆਂ|ਆਖਣਾ|ਆਖਦੇ ਹੋ|ਆਖਿਆ ਸੀ|ਆਖ ਰਹਿਆਂ ਹੋਵੋਗਿਆਂ|ਆਖਦੀ ਹਾਂ|ਆਖਦੇ ਹੋਣਗੇ|ਆਖਦਿਆਂ ਹੋਵਾਂਗਿਆਂ|ਆਖਦੇ ਹੋਣ|ਆਖੀ ਹੁੰਦੀ|ਆਖ ਰਿਹਾ ਹਾਂ|ਆਖਿਆਂ ਹਨ|ਆਖ ਰਹਿਆਂ ਹੋਵੋ|ਆਖ ਰਹੀ ਹੁੰਦੀ|ਆਖਿਆਂ ਹੋ|ਆਖਦੀ ਹੋਵਾਂ|ਆਖਣਗੇ|ਆਖ ਰਹੇ ਹੋਵੋਗੇ|ਆਖੀ ਹੋਵੇਗਾ|ਆਖੂਂਗਾ|ਆਖਿਆਂ ਹੋਣਗੇ|ਆਖਦੀ ਹੋਵੇਗੀ|ਆਖਦੀ|ākhaṇā|ਆਖ ਰਹਿਆਂ ਹੋਵਾਂਗਿਆਂ|ਆਖ ਰਿਹਾ ਹੋਵਾਂ|ਆਖ ਰਹੇ ਸੀ|ਆਖਿਆਂ ਹੋਇਆਂ|ਆਖਾਂਗੀ|ਆਖਦਾ ਸੀ|ਆਖਣ ਵਾਲ਼ੀ|ਆਖਦੀ ਹੈ|ਆਖੇ ਹੋ|ਆਖ ਰਹੀ ਹੈ|ਆਖਦਿਆਂ ਹੋਵੋ|ਆਖ ਰਿਹਾ ਹੋਵਾਂਗਾ|ਆਖਣ ਵਾਲ਼ੇ|ਆਖਦੇ-ਆਖਦੇ|ਆਖਦਾ ਹੋਵੇ|ਆਖੀਂ|ਆਖੇਗਾ|ਆਖੀ ਹੈ|ਆਖ ਰਹੇ ਹੁੰਦੇ|ਆਖਦੇ ਹੋਵੋਗੇ|ਆਖਦਿਆਂ ਹੋਇਏ|ਆਖਦੇ ਹੋਇਏ|ਆਖ ਰਹੀ ਸੀ|ਆਖੇ ਹੋਣ|ਆਖਿਆਂ ਹੋਣ|ਆਖਦੇ ਹਾਂ|ਆਖ|ਆਖੂਂ|ਆਖਦਾ ਹੁੰਦਾ|ਆਖ ਰਿਹਾ ਹੁੰਦਾ|ਆਖਿਆਂ ਹਾਂ|ਆਖਦੀ ਹੋਵਾਂਗੀ|ਆਖ ਰਹੇ ਹੋਣ|ਆਖਕੇ|ਆਖ ਰਹੇ ਹੋਣਗੇ|ਆਖਿਆਂ ਹੋਵਾਂਗੇ|ਆਖਿਆ ਹੈ|ਆਖਦੀ ਹੋਵੇ|ਆਖ ਰਹੇ ਹਾਂ|ਆਖਿਆ ਹੁੰਦਾ|ਆਖਿਆ ਹਾਂ|ਆਖੇ ਹੋਏ|ਆਖਦਿਆਂ ਹਨ|ਆਖੋ|ਆਖ ਰਹਿਆਂ ਹੋ|ਆਖ ਰਹੇ ਹਨ|ਆਖਦੀ ਸੀ|آکھݨا|ਆਖ ਰਹੇ ਹੋਇਏ|ਆਖਾਂ|ਆਖਦੇ ਹਨ|ਆਖੋਗੇ|ਆਖਦੇ ਸੀ|ਆਖਦਿਆਂ ਸੀ|ਆਖ ਰਹੇ ਹੋਵੋ|ਆਖੀ ਹੋਈ|ਆਖਦਿਆਂ ਹੋਵੋਗਿਆਂ|ਆਖ ਰਹਿਆਂ ਹਨ|ਆਖਣ|ਆਖਦੇ ਹੋਵਾਂਗੇ|ਆਖ ਰਹਿਆਂ ਹੋਣਗਿਆਂ|ਆਖੀ ਹੋਵਾਂਗਾ|ਆਖ ਰਹੇ ਹੋ|ਆਖਦਾ ਹੈ|ਆਖਦੇ ਹੁੰਦੇ	<i>verb</i><br><ol><li>to say, speak</li><li>to state</li></ol>
ا|a	<i>character</i><br><ol><li>The first letter of the Punjabi written in the Shahmukhi script.</li></ol>
اؤجلا|aujalā|aujlā|ਔਜਲਾ	<i>name</i><br><ol><li>a Punjabi surname, Aujla</li></ol>
ابا|abbā|اَبّا|ਅੱਬਾ|ابّا	<i>noun</i><br><ol><li>(Western Punjab) father, dad</li></ol>
اتہاس|ਇਤਿਹਾਸੀਂ|اِتِہاسے|اِتِہاسوں|ਇਤਿਹਾਸੋ|ਇਤਿਹਾਸਾਂ|اِتِہاس|ਇਤਿਹਾਸ|ਇਤਿਹਾਸੇ|اِتِہاسیں|اِتِہاساں|itihās|ਇਤਿਹਾਸੋਂ|اِتِہاسو|ਇਤਿਹਾਸਾ	<i>noun</i><br><ol><li>history; the past</li></ol>
اتے|ਉੱਤੇ|utte	<i>postp</i><br><ol><li>on</li><li>over, atop</li></ol>
اخبار نویس|ਅਖ਼ਬਾਰ ਨਵੀਸ|اَخبار نَویس|اخبار نویسی|axbār naues|ਅਖ਼ਬਾਰ ਨਵੀਸੀ|axbār noesī	<i>noun</i><br><ol><li>journalist, newspaper writer</li></ol>
اخبار نویسی|اخبار نویس|ਅਖ਼ਬਾਰ ਨਵੀਸ|اَخبار نَویس|axbār naues|ਅਖ਼ਬਾਰ ਨਵੀਸੀ|axbār noesī	<i>noun</i><br><ol><li>journalist, newspaper writer</li></ol>
استت|ਉਸਤਤ|ustat|اُستَت	<i>noun</i><br><ol><li>praise, admiration</li></ol>
