'd	<i>prep</i><br><ol><li>Apocopic form of ad (“of”)</li></ol>
Abrâm	<i>name</i><br><ol><li>Abraham</li></ol>
Abróz	<i>name</i><br><ol><li>Abruzzo</li></ol>
Babilògna|Babilògn	<i>noun</i><br><ol><li>Babylonia</li><li>mess, hustle, commotion</li></ol>
Bìbia	<i>noun</i><br><ol><li>Bible</li></ol>
Dalmàzia	<i>noun</i><br><ol><li>Dalmatia</li></ol>
Dalmêzia	<i>noun</i><br><ol><li>Dalmatia</li></ol>
Emìglia	<i>name</i><br><ol><li>(uncountable) Emilia</li></ol>
Fiurẽza	<i>name</i><br><ol><li>Florence</li></ol>
Jèmla	<i>name</i><br><ol><li>Imola (a city of Italy)</li></ol>
Jèmula	<i>name</i><br><ol><li>Imola (a city of Italy)</li></ol>
Ligùria|Ligùri	<i>name</i><br><ol><li>Liguria</li></ol>
Milân	<i>name</i><br><ol><li>Milan</li></ol>
Milã	<i>name</i><br><ol><li>Milan</li></ol>
Murcien	<i>name</i><br><ol><li>Morciano, more properly Morciano di Romagna (a comune in the Province of Rimini in the Italian region Emilia-Romagna)</li></ol>
Nadêl|Nadél	<i>name</i><br><ol><li>Christmas (25 December celebration of Christ’s birth)</li></ol>
Noè	<i>name</i><br><ol><li>Noah (biblical figure)</li></ol>
Nêpul	<i>name</i><br><ol><li>Naples</li></ol>
Roma	<i>name</i><br><ol><li>Rome</li></ol>
Rumâgna	<i>name</i><br><ol><li>Romagna</li></ol>
Róma	<i>name</i><br><ol><li>Rome</li></ol>
Signôr	<i>name</i><br><ol><li>(Lugo) Lord</li></ol>
Venezia	<i>name</i><br><ol><li>Venice</li></ol>
a|a	<i>pron</i><br><ol><li>(Ville Unite) I</li></ol>
abadânt|abadént	<i>noun</i><br><ol><li>caretaker</li></ol>
abadêr	<i>verb</i><br><ol><li>(Ville Unite) to pay attention, listen</li></ol>
abadānt	<i>noun</i><br><ol><li>Synonym of guardiān (“keeper”)</li></ol>
