A|a	<i>character</i><br><ol><li>The first letter of the Romani alphabet, written in the Latin script.</li></ol>
B|b	<i>character</i><br><ol><li>The second letter of the Romani alphabet, written in the Latin script.</li></ol>
Bakro	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
C|c	<i>character</i><br><ol><li>The third letter of the Romani alphabet, written in the Latin script.</li></ol>
D|d	<i>character</i><br><ol><li>The sixth letter of the Romani alphabet, written in the Latin script.</li></ol>
Devel|Del|Devles|Devleça|Devl!a	<i>name</i><br><ol><li>God</li></ol>
Dumali	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
Dž|dž	<i>character</i><br><ol><li>(Pan-Vlax) The seventh letter of the Romani alphabet, written in the Latin script.</li></ol>
E|e	<i>character</i><br><ol><li>(International Standard) The seventh letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The eighth letter of the Romani alphabet, written in the Latin script.</li></ol>
F|f	<i>character</i><br><ol><li>(International Standard) The eighth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The ninth letter of the Romani alphabet, written in the Latin script.</li></ol>
G|g	<i>character</i><br><ol><li>(International Standard) The ninth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The tenth letter of the Romani alphabet, written in the Latin script.</li></ol>
H|h	<i>character</i><br><ol><li>(International Standard) The tenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The eleventh letter of the Romani alphabet, written in the Latin script.</li></ol>
I|i	<i>character</i><br><ol><li>(International Standard) The twelfth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The thirteenth letter of the Romani alphabet, written in the Latin script.</li></ol>
J|j	<i>character</i><br><ol><li>(International Standard) The thirteenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The fourteenth letter of the Romani alphabet, written in the Latin script.</li></ol>
K|k	<i>character</i><br><ol><li>(International Standard) The fourteenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The fifteenth letter of the Romani alphabet, written in the Latin script.</li></ol>
Kh|kh	<i>character</i><br><ol><li>(International Standard) The fifteenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The sixteenth letter of the Romani alphabet, written in the Latin script.</li></ol>
L|l	<i>character</i><br><ol><li>(International Standard) The sixteenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The seventeenth letter of the Romani alphabet, written in the Latin script.</li></ol>
M|m	<i>character</i><br><ol><li>(International Standard) The seventeenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The eighteenth letter of the Romani alphabet, written in the Latin script.</li></ol>
N|n	<i>character</i><br><ol><li>(International Standard) The eighteenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The nineteenth letter of the Romani alphabet, written in the Latin script.</li></ol>
O|o	<i>character</i><br><ol><li>(International Standard) The nineteenth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The twentieth letter of the Romani alphabet, written in the Latin script.</li></ol>
P|p	<i>character</i><br><ol><li>(International Standard) The twentieth letter of the Romani alphabet, written in the Latin script.</li><li>(Pan-Vlax) The twenty-first letter of the Romani alphabet, written in the Latin script.</li></ol>
Patrin	<i>name</i><br><ol><li>an unknown-gender given name</li></ol>
