Argovia	<i>name</i><br><ol><li>Aargau, Argovia</li></ol>
Aserbeidschan	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Asia	<i>name</i><br><ol><li>Asia (a continent)</li></ol>
Bassa|La Bassa	<i>name</i><br><ol><li>the parts of Switzerland that are lower than Grisons</li></ol>
Berna	<i>name</i><br><ol><li>Bern (the capital city of Switzerland)</li><li>Bern (a canton of Switzerland)</li></ol>
Cambodscha	<i>name</i><br><ol><li>Cambodia</li></ol>
Chiasso	<i>name</i><br><ol><li>Chiasso: A village and former commune of Mendrisio, Ticino canton, Switzerland</li></ol>
Cipra|La Cipra	<i>name</i><br><ol><li>(Rumantsch Grischun, Sursilvan, Surmiran, Puter, Vallader) Cyprus</li></ol>
Closomat|Closomats	<i>noun</i><br><ol><li>a toilet with a built-in intimate washing facility</li></ol>
Corea	<i>name</i><br><ol><li>Korea</li></ol>
Corea dal Nord	<i>name</i><br><ol><li>North Korea</li></ol>
Corea dal Sid	<i>name</i><br><ol><li>South Korea</li></ol>
Corean|Coreans|Coreanas|Coreana	<i>noun</i><br><ol><li>Korean person (male or unspecified)</li></ol>
Croazia	<i>name</i><br><ol><li>Croatia</li></ol>
Egipta	<i>name</i><br><ol><li>Egypt</li></ol>
Emirats Arabs|Ils Emirats Arabs	<i>name</i><br><ol><li>the United Arab Emirates</li></ol>
Engiadina	<i>name</i><br><ol><li>(Rumantsch Grischun, Sursilvan, Puter, Vallader) Engadin (a valley in Switzerland)</li></ol>
Engiadina bassa	<i>name</i><br><ol><li>(Rumantsch Grischun, Sursilvan, Puter, Vallader) Lower Engadin</li></ol>
Europa|L'Europa	<i>name</i><br><ol><li>(geography) Europe</li><li>(astronomy) Europa</li></ol>
Filippinas|Las Filippinas	<i>name</i><br><ol><li>the Philippines</li></ol>
Frantscha|La Frantscha	<i>name</i><br><ol><li>(Rumantsch Grischun, Surmiran, Vallader) France</li></ol>
Frauntscha|La Frauntscha	<i>name</i><br><ol><li>(Puter) France</li></ol>
Frontscha|La Frontscha	<i>name</i><br><ol><li>(Sursilvan) France</li></ol>
Fràntscha|La Fràntscha	<i>name</i><br><ol><li>(Sutsilvan) France</li></ol>
Genevra	<i>name</i><br><ol><li>Geneva (a city in Switzerland)</li><li>Geneva (a canton of Switzerland)</li></ol>
Genevrin|Genevrinas|Genevrins|Genevrina	<i>noun</i><br><ol><li>Genevan</li></ol>
Giadina	<i>name</i><br><ol><li>(Sursilvan) Engadin (a valley in Switzerland)</li></ol>
Giamaica	<i>name</i><br><ol><li>Jamaica (an island and country in the Caribbean)</li></ol>
Gidegna	<i>name</i><br><ol><li>(Sutsilvan) Engadin (a valley in Switzerland)</li></ol>
Grischun	<i>name</i><br><ol><li>(Rumantsch Grischun, Sursilvan, Surmiran, Puter, Vallader) Grisons, Graubünden</li></ol>
Grischùn	<i>name</i><br><ol><li>(Sutsilvan) Grisons, Graubünden</li></ol>
Gronda Britannia	<i>name</i><br><ol><li>Great Britain</li></ol>
Holanda	<i>name</i><br><ol><li>(Sutsilvan, Surmiran) Holland, the Netherlands</li></ol>
Inslas britanicas	<i>name</i><br><ol><li>(geography, Sutsilvan) the British Isles</li></ol>
Inslas britannicas	<i>name</i><br><ol><li>(geography, Rumantsch Grischun, Sursilvan, Surmiran) the British Isles</li></ol>
Inslas da Marshall	<i>name</i><br><ol><li>Marshall Islands</li></ol>
Inslas da Salomon	<i>name</i><br><ol><li>Solomon Islands</li></ol>
Irlanda	<i>name</i><br><ol><li>Ireland (a country in Europe)</li></ol>
Irlanda dal nord	<i>name</i><br><ol><li>Northern Ireland</li></ol>
Islas Britannicas	<i>name</i><br><ol><li>(geography, Puter) the British Isles</li></ol>
Islas britannicas	<i>name</i><br><ol><li>(geography, Vallader) the British Isles</li></ol>
Jangtse	<i>name</i><br><ol><li>Yangtze (a river in China)</li></ol>
Kirghisia	<i>name</i><br><ol><li>Kyrgyzstan</li></ol>
Lag da Genevra	<i>name</i><br><ol><li>(Sursilvan) Geneva (lake)</li></ol>
Lai Leman	<i>name</i><br><ol><li>(Vallader) Geneva (lake)</li></ol>
Lai da Genevra	<i>name</i><br><ol><li>(Rumantsch Grischun, Sutsilvan, Surmiran) Geneva (lake)</li></ol>
Lej Leman	<i>name</i><br><ol><li>(Puter) Geneva (lake)</li></ol>
Leman	<i>name</i><br><ol><li>(Sutsilvan, Surmiran) Geneva (lake)</li></ol>
Lisbona	<i>name</i><br><ol><li>Lisbon (the capital city of Portugal)</li></ol>
Losanna	<i>name</i><br><ol><li>Lausanne (a city in Switzerland)</li></ol>
Lucerna	<i>name</i><br><ol><li>(Rumantsch Grischun, Sursilvan, Surmiran, Puter, Vallader) Lucerne (the capital city of the canton of Lucerne, Switzerland)</li><li>(Rumantsch Grischun, Sursilvan, Surmiran, Puter, Vallader) Lucerne (a canton of Switzerland)</li></ol>
Lucernais|Lucernaisa|Lucernaisas	<i>noun</i><br><ol><li>(Rumantsch Grischun, Puter, Vallader) citizen, native or inhabitant of Lucerne</li></ol>
Lucernes|Lucernesas|Lucernesa	<i>noun</i><br><ol><li>(Sursilvan, Surmiran) citizen, native or inhabitant of Lucerne</li></ol>
Luzerna	<i>name</i><br><ol><li>(Sutsilvan) Lucerne (the capital city of the canton of Lucerne, Switzerland)</li><li>(Sutsilvan) Lucerne (a canton of Switzerland)</li></ol>
Luzernes|Luzernesa|Luzernesas	<i>noun</i><br><ol><li>(Sutsilvan) citizen, native or inhabitant of Lucerne</li></ol>
Nadal	<i>name</i><br><ol><li>Christmas</li></ol>
Nagiadegna	<i>name</i><br><ol><li>(Surmiran) Engadin (a valley in Switzerland)</li></ol>
Ollanda|L'Ollanda	<i>name</i><br><ol><li>(Rumantsch Grischun, Sursilvan, Puter, Vallader) Holland, the Netherlands</li></ol>
Pajais Bass	<i>name</i><br><ol><li>(Rumantsch Grischun, Puter, Vallader) the Netherlands, Low Countries</li></ol>
Papua-Nova Guinea	<i>name</i><br><ol><li>Papua New Guinea</li></ol>
Pologna	<i>name</i><br><ol><li>Poland</li></ol>
Ragn	<i>name</i><br><ol><li>(Sutsilvan, Surmiran) the Rhine (a river in Central Europe)</li></ol>
Rain	<i>name</i><br><ol><li>(Rumantsch Grischun, Puter, Vallader) the Rhine (a river in Western Europe)</li></ol>
Reginavel Unì	<i>name</i><br><ol><li>(Rumantsch Grischun) the United Kingdom</li></ol>
Reginavel unì dal la Gronda Britannia ed Irlanda dal nord	<i>name</i><br><ol><li>(Rumantsch Grischun) the United Kingdom of Great Britain and Northern Ireland</li></ol>
Rein	<i>name</i><br><ol><li>(Sursilvan) the Rhine (a river in Central Europe)</li></ol>
Republica Corea	<i>name</i><br><ol><li>South Korea</li></ol>
Romontsch|Romontschs|Romontschas|Romontscha	<i>noun</i><br><ol><li>(Sursilvan) (male) Romansch-speaker, Romansch man</li></ol>
Romontscha|Romontschas	<i>noun</i><br><ol><li>(Sursilvan) (female) Romansch-speaker, Romansch woman</li></ol>
Rumantsch|Rumantschs|Rumantschas|Rumantscha	<i>noun</i><br><ol><li>(Rumantsch Grischun, Surmiran, Vallader) (male) Romansch-speaker, Romansch man</li></ol>
Rumantsch Grischun	<i>name</i><br><ol><li>standard literary Romansch</li></ol>
Rumantscha|Rumantschas	<i>noun</i><br><ol><li>(Rumantsch Grischun, Surmiran, Vallader) (female) Romansch-speaker, Romansch woman</li></ol>
Rumauntsch|Rumauntscha|Rumauntschs|Rumauntschas	<i>noun</i><br><ol><li>(Puter) (male) Romansch-speaker, Romansch man</li></ol>
Rumauntscha|Rumauntschas	<i>noun</i><br><ol><li>(Puter) (female) Romansch-speaker, Romansch woman</li></ol>
Rumenia	<i>name</i><br><ol><li>Romania</li></ol>
Rumàntsch|Rumàntschas|Rumàntscha|Rumàntschs	<i>noun</i><br><ol><li>(Sutsilvan) (male) Romansch-speaker, Romansch man</li></ol>
Rumàntscha|Rumàntschas	<i>noun</i><br><ol><li>(Sutsilvan) (female) Romansch-speaker, Romansch woman</li></ol>
