Afuganisitani	<i>name</i><br><ol><li>Afghanistan (a country in Asia)</li></ol>
Afurika|Afuriká	<i>name</i><br><ol><li>Africa</li></ol>
Bibiliya|Bibiliyá	<i>name</i><br><ol><li>Bible</li></ol>
Burundi|Burǔndi	<i>noun</i><br><ol><li>(no augment) Burundi (a country in Africa)</li></ol>
Gashyantare|Gashyântáre	<i>name</i><br><ol><li>(Kinyarwanda) February</li></ol>
Gicurasi|Gicurâsi	<i>name</i><br><ol><li>(Kinyarwanda) May</li></ol>
Gitugutu|Gitugútu	<i>name</i><br><ol><li>(Kirundi) October</li></ol>
Icongereza|Icôngerezá	<i>noun</i><br><ol><li>(Kirundi) the English language or culture</li></ol>
Icyarabu|Icyârabú	<i>noun</i><br><ol><li>(Kinyarwanda) Arabic language</li></ol>
Icyongereza|Icyôngerezá	<i>noun</i><br><ol><li>(Kinyarwanda) the English language or culture</li></ol>
Igifaransa|Igifarānsá	<i>noun</i><br><ol><li>French language or culture</li></ol>
Igiha	<i>noun</i><br><ol><li>Ha language (a dialect of Rwanda-Rundi)</li></ol>
Ikidage|Ikidǎge	<i>noun</i><br><ol><li>(Kinyarwanda) the German language or culture</li></ol>
Ikidagi|Ikidǎgi	<i>noun</i><br><ol><li>(Kirundi) the German language or culture</li></ol>
Ikiganda|Ikigândá	<i>noun</i><br><ol><li>Luganda or Ganda culture</li></ol>
Ikinyarwanda|Ikinyarwānda	<i>noun</i><br><ol><li>Kinyarwanda (the Rwandan standard of Rwanda-Rundi)</li></ol>
Ikirundi|Ikirǔndi	<i>noun</i><br><ol><li>Kirundi (the Burundian standard of Rwanda-Rundi)</li></ol>
Kaboza|Kabozá	<i>name</i><br><ol><li>(Kirundi) April</li></ol>
Kamena|Kaména	<i>name</i><br><ol><li>(Kinyarwanda) June</li></ol>
Kanama|Kānamá	<i>name</i><br><ol><li>(Kinyarwanda) August</li></ol>
Kanzenze|Kānzēnze	<i>name</i><br><ol><li>Kanzenze (a town in Rwanda)</li></ol>
Kigali|Kigalí|Kigáli	<i>name</i><br><ol><li>Kigali (the capital city of Rwanda)</li></ol>
Kigarama	<i>name</i><br><ol><li>(Kirundi) December</li></ol>
Kiyumpu|Kiyūmpu	<i>name</i><br><ol><li>(Kirundi) June</li></ol>
Mata|Matá	<i>name</i><br><ol><li>(Kinyarwanda) April</li></ol>
Mukakaro|Mukákaro	<i>name</i><br><ol><li>(Kirundi) July</li></ol>
Munyonyo|Munyōnyó	<i>name</i><br><ol><li>(Kirundi) November</li></ol>
Mutarama|Mutaráma	<i>name</i><br><ol><li>(Kinyarwanda) January</li></ol>
Myandagaro	<i>name</i><br><ol><li>(Kirundi) August</li></ol>
Ndamukiza	<i>name</i><br><ol><li>(Kirundi) April</li></ol>
Ngozi|Ngōzi	<i>name</i><br><ol><li>Ngozi (a city in Burundi)</li><li>Ngozi (a province of Burundi)</li></ol>
Ntwarante|Ntwaranté	<i>name</i><br><ol><li>(Kirundi) March</li></ol>
Nyakanga|Nyakǎnga|Nyakânga	<i>name</i><br><ol><li>(Kinyarwanda) July</li><li>(Kirundi) September</li></ol>
Nyamagoma	<i>name</i><br><ol><li>(Kirundi) February</li></ol>
Nyamirambo|Nyamirāmbo	<i>name</i><br><ol><li>Nyamirambo (a sector in Kigali, Rwanda)</li></ol>
