alimbawa|alimbawà	<i>noun</i><br><ol><li>example</li></ol>
ambay	<i>noun</i><br><ol><li>sea</li></ol>
amog	<i>noun</i><br><ol><li>dew</li></ol>
anlikolan|anlikolán	<i>noun</i><br><ol><li>exit</li></ol>
asin|asín	<i>noun</i><br><ol><li>salt</li></ol>
awlo	<i>noun</i><br><ol><li>day</li><li>sun</li></ol>
ba-yo	<i>adj</i><br><ol><li>new</li></ol>
baboy	<i>noun</i><br><ol><li>pig</li></ol>
balo|balô	<i>noun</i><br><ol><li>widow; widower</li></ol><br><i>conj</i><br><ol><li>but</li></ol>
balok	<i>noun</i><br><ol><li>(anatomy) gall bladder</li></ol>
balotabot|balotabót	<i>noun</i><br><ol><li>mildew; mold</li></ol>
bana	<i>conj</i><br><ol><li>because</li></ol>
banga|bangâ	<i>noun</i><br><ol><li>earthen jar</li></ol>
bangkay	<i>noun</i><br><ol><li>corpse</li></ol>
bangkita	<i>noun</i><br><ol><li>sidewalk</li></ol>
bangko|bangkò	<i>noun</i><br><ol><li>bench</li></ol>
bangongot	<i>noun</i><br><ol><li>nightmare</li></ol>
banta|bantà	<i>noun</i><br><ol><li>threat; menace</li></ol>
bantaw	<i>noun</i><br><ol><li>(anatomy) collarbone</li></ol>
bantog	<i>adj</i><br><ol><li>famous; well-known</li></ol>
baog|baóg	<i>adj</i><br><ol><li>barren; sterile</li></ol>
baol|baól	<i>noun</i><br><ol><li>chest; trunk</li></ol>
bapor|bapór	<i>noun</i><br><ol><li>ship</li></ol>
bara-nan	<i>noun</i><br><ol><li>reason; cause; excuse</li></ol>
barado	<i>adj</i><br><ol><li>clogged</li></ol>
baso	<i>noun</i><br><ol><li>drinking glass</li></ol>
basora	<i>noun</i><br><ol><li>garbage</li></ol>
batag|batág	<i>noun</i><br><ol><li>banana</li></ol>
bato|bató	<i>noun</i><br><ol><li>stone; rock</li></ol>
batya|batyâ	<i>noun</i><br><ol><li>tub</li></ol>
bawang	<i>noun</i><br><ol><li>garlic</li></ol>
baya|bayâ	<i>noun</i><br><ol><li>ember</li><li>(anatomy) lung</li></ol>
bayabay	<i>noun</i><br><ol><li>handrail</li></ol>
bayar	<i>noun</i><br><ol><li>pay; payment</li></ol>
bayaw|bayáw	<i>noun</i><br><ol><li>brother-in-law</li></ol>
bayli	<i>noun</i><br><ol><li>dance</li></ol>
baytan	<i>noun</i><br><ol><li>east</li></ol>
bi-hing	<i>noun</i><br><ol><li>piece</li></ol>
bi-tang	<i>noun</i><br><ol><li>step</li></ol>
bihira	<i>adj</i><br><ol><li>rarely; seldom</li></ol>
bilang	<i>noun</i><br><ol><li>number</li></ol>
binabayi	<i>adj</i><br><ol><li>sissy</li></ol>
binatilyo	<i>noun</i><br><ol><li>teenager</li></ol>
bintay	<i>noun</i><br><ol><li>snare</li></ol>
birdi	<i>adj</i><br><ol><li>green</li></ol>
bisagra	<i>noun</i><br><ol><li>hinge</li></ol>
bisita	<i>noun</i><br><ol><li>guest; visitor</li></ol>
bista	<i>noun</i><br><ol><li>(law) trial</li></ol>
bistawan|bistawán	<i>verb</i><br><ol><li>to try</li></ol>
bisyo	<i>noun</i><br><ol><li>vice</li></ol>
bitayon	<i>verb</i><br><ol><li>to hang</li></ol>
bitil|bitíl	<i>noun</i><br><ol><li>hunger</li></ol>
bitkolon|bitkolón	<i>verb</i><br><ol><li>to choke; to strangle</li></ol>
bitoka	<i>noun</i><br><ol><li>bowels; intestines</li></ol>
bitoon	<i>noun</i><br><ol><li>(astronomy) star</li></ol>
bitsay	<i>noun</i><br><ol><li>sieve</li></ol>
bitsayon|bitsayón	<i>verb</i><br><ol><li>to sift</li></ol>
biya|biyâ	<i>noun</i><br><ol><li>scar</li></ol>
biyay|biyáy	<i>noun</i><br><ol><li>life</li></ol>
boagon|boagón	<i>verb</i><br><ol><li>to devour</li></ol>
boaya	<i>noun</i><br><ol><li>crocodile; alligator</li></ol>
bobon|bobón	<i>noun</i><br><ol><li>well</li></ol>
bobongan|bobongán	<i>noun</i><br><ol><li>roof; housetop</li></ol>
boboy|bobóy	<i>noun</i><br><ol><li>mouth</li></ol>
bodiga	<i>noun</i><br><ol><li>storeroom; warehouse</li></ol>
boga-boga|bogâ-bogâ	<i>adv</i><br><ol><li>barely</li></ol>
bogang|bogáng	<i>noun</i><br><ol><li>(anatomy) molar</li></ol>
boghay	<i>noun</i><br><ol><li>oar; paddle</li></ol>
bogtong	<i>noun</i><br><ol><li>riddle</li></ol>
bohaghag	<i>adj</i><br><ol><li>rash; reckless</li></ol>
bohoy|bohóy	<i>adj</i><br><ol><li>full (from eating)</li></ol>
bois|boís	<i>noun</i><br><ol><li>tax</li></ol>
boklaw	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
bokol|bokól	<i>noun</i><br><ol><li>lump; bump</li><li>wheel</li></ol>
bokot|bokót	<i>noun</i><br><ol><li>back</li></ol><br><i>adj</i><br><ol><li>hunchbacked</li></ol>
boktot	<i>adj</i><br><ol><li>pregnant (of an animal)</li></ol>
bokya	<i>noun</i><br><ol><li>jellyfish</li></ol>
bola|bolâ	<i>noun</i><br><ol><li>ball</li><li>foam; bubble</li></ol>
bolador|boladór	<i>noun</i><br><ol><li>kite</li></ol>
bolag	<i>adj</i><br><ol><li>blind</li></ol>
bolak	<i>noun</i><br><ol><li>flower</li></ol>
bolaki|bolakì	<i>noun</i><br><ol><li>rat</li></ol>
bolan	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
bolati	<i>noun</i><br><ol><li>worm</li></ol>
bolbol	<i>noun</i><br><ol><li>bundle</li></ol>
bolong|bolóng	<i>noun</i><br><ol><li>leaf</li></ol>
bolsa	<i>noun</i><br><ol><li>pocket</li></ol>
bongat	<i>adv</i><br><ol><li>only; just</li></ol>
bongit|bongít	<i>adj</i><br><ol><li>harelipped</li></ol>
bongo|bongô	<i>noun</i><br><ol><li>skull</li></ol>
bontal	<i>noun</i><br><ol><li>blow of a fist</li></ol>
bosay|bosáy	<i>noun</i><br><ol><li>waterfall</li></ol>
bosis	<i>noun</i><br><ol><li>voice</li></ol>
boyak	<i>adj</i><br><ol><li>widespread</li></ol>
boyangin	<i>noun</i><br><ol><li>sand</li></ol>
braso	<i>noun</i><br><ol><li>(anatomy) arm</li></ol>
dalan	<i>noun</i><br><ol><li>path; road; way</li></ol>
damag	<i>noun</i><br><ol><li>news</li></ol>
dangal|dangál	<i>noun</i><br><ol><li>honor</li></ol>
dawat	<i>noun</i><br><ol><li>request</li></ol>
daya|dayà	<i>noun</i><br><ol><li>blood</li></ol>
dila|dilà	<i>noun</i><br><ol><li>(antomy) tongue</li></ol>
dilap	<i>adv</i><br><ol><li>tomorrow</li></ol>
dotak|doták	<i>noun</i><br><ol><li>mud</li></ol>
gamot|gamót	<i>noun</i><br><ol><li>hand</li></ol>
gatas	<i>noun</i><br><ol><li>milk</li></ol>
gayaman	<i>noun</i><br><ol><li>centipede</li></ol>
gigang	<i>noun</i><br><ol><li>spider</li></ol>
gira	<i>noun</i><br><ol><li>war</li></ol>
golotoy	<i>noun</i><br><ol><li>(medicine) sty</li></ol>
hahakyan|hahakyán	<i>noun</i><br><ol><li>vehicle</li></ol>
halak|halák	<i>noun</i><br><ol><li>fear</li></ol>
halay|haláy	<i>noun</i><br><ol><li>nest</li></ol>
halot	<i>noun</i><br><ol><li>epidemic; plague</li></ol>
