cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
kṛṇóti	<i>romanization</i><br><ol><li>Romanization of कृणोति</li></ol>
ँ	<i>character</i><br><ol><li>The candrabindu nasal vowel diacritic of the Devanagari script.</li></ol>
अ|एनाः|एनौ|a-stem|अम्|एनानि|आय|एनाम्|अयोः|आत्|एसु|एभ्यः|एनत्|asya|आः|एने|एनम्|एनयोः|अस्य|ena|a|ā-stem|औ|आनाम्|ऐः|एनेन|आन्|आभ्याम्|एनान्|अः|एनेया|ए|एन	<i>character</i><br><ol><li>The first vowel of Sanskrit, written in the Devanagari script. Inherent after consonants.</li></ol><br><i>intj</i><br><ol><li>A vocative particle; o, oh</li><li>An interjection of pity; ah</li></ol><br><i>pron</i><br><ol><li>a pronominal base</li></ol>
अंकुश|aṃkuśa	<i>noun</i><br><ol><li>a hook, especially an elephant-driver's hook</li></ol>
अंगद|aṃgada	<i>noun</i><br><ol><li>a bracelet worn on the upper arm, armband</li></ol><br><i>name</i><br><ol><li>name of a brother of राम (rāma)</li><li>name of a son of गद (gada)</li><li>name of an ape, son of बालिन् (bālin)</li></ol>
अंश|अंशेभ्यः|अंशैः|अंशासः1|a-stem|अंशेषु|अंशः|अंशयोः|अंशाभ्याम्|अंशेभिः1|अंशे|अंशाय|अंशात्|अंशेन|अंशाः|अंशौ|अंशानाम्|अंशान्|áṃśa|अंशम्|अंशस्य	<i>noun</i><br><ol><li>a share, portion, part, party</li><li>partition, inheritance</li><li>a share of booty</li><li>earnest money</li><li>stake (in betting)</li><li>a lot</li><li>the denominator of a fraction</li><li>a degree of latitude or longitude</li><li>a day</li><li>name of an Aditya</li></ol>
अंशक|a-stem|अंशिके|अंशकात्|अंशकेन|अंशिकायाम्|अंशिकया|अंशकेभ्यः|अंशकानाम्|अंशके|अंशकयोः|अंशकानि|aṃśaka|अंशिकासु|अंशिकायै|अंशकाः|अंशकः|अंशिकाभ्यः|अंशिकानाम्|अंशकाभ्याम्|अंशिकाः|ā-stem|अंशकेषु|अंशकौ|अंशकम्|अंशक|अंशकस्य|अंशिकाभ्याम्|अंशकाय|अंशिकायाः|अंशकान्|अंशिकयोः|अंशिकाम्|अंशिका|अंशकैः|अंशिकाभिः	<i>adj</i><br><ol><li>(at the end of a compound) forming part</li></ol><br><i>noun</i><br><ol><li>share</li><li>degree of latitude or longitude</li><li>co-heir</li><li>day</li></ol>
अंशकरण|अंशकरणस्य|अंशकरणानाम्|a-stem|अंशकरणाय|अंशकरणे|अंशकरणान्|अंशकरणैः|अंशकरणेभ्यः|अंशकरणयोः|अंशकरणेषु|अंशकरणः|अंशकरणम्|अंशकरणेन|अंशकरणौ|अंशकरणात्|aṃśakaraṇam|अंशकरणाभ्याम्|अंशकरणाः|aṃśakaraṇa	<i>noun</i><br><ol><li>the act of dividing</li></ol>
अंशु|u-stem|अंशुभ्याम्|अंश्वा1|अंशो|अंश्वः2|अंशुना|अंशुः|अंश्वोः|अंशुभिः|अंशवे|अंशुभ्यः|अंशोः|अंशुम्|अंशवः|अंशुषु|अंश्वे2|aṃśú|अंशौ|अंशूनाम्|अंशू|अंशून्	<i>noun</i><br><ol><li>filament, stalk (especially of the Soma plant)</li><li>kind of Soma libation</li><li>thread</li><li>end of a thread, a minute particle</li><li>point, end</li><li>array, sunbeam</li><li>cloth</li><li>name of a rishi</li><li>name of an ancient Vedic teacher, son of a धनंजय (dhanaṃjaya)</li><li>name of a prince</li></ol>
अंशुक|अंशुकेन|aṃśuka|अंशुकाभ्याम्|अंशुकैः|अंशुकात्|अंशुकेषु|अंशुकम्|अंशुकस्य|अंशुके|a-stem|अंशुकेभिः1|अंशुकानाम्|अंशुकयोः|अंशुकानि|अंशुकेभ्यः|अंशुका1|अंशुकाय	<i>noun</i><br><ol><li>cloth</li><li>fine or white cloth, muslin</li><li>garment, upper garment</li><li>tie (for binding a churning-stick)</li></ol>
अंशुमती|aṃśumatī	<i>noun</i><br><ol><li>Desmodium gangeticum</li></ol>
अंशुमत्|aṃśumat	<i>adj</i><br><ol><li>fibrous, rich in filaments</li><li>rich in Soma plants or Soma juice</li><li>radiant, luminous</li><li>pointed</li></ol><br><i>noun</i><br><ol><li>the sun</li><li>the moon</li></ol>
अंस|अंसेभिः1|अंसेषु|a-stem|अंसे|अंसात्|अंसः|अंसेभ्यः|अंसान्|अंसम्|अंसैः|अंसाभ्याम्|अंसाः|áṃsa|अंसौ|अंसस्य|अंसाय|अंसयोः|अंसासः1|अंसेन|अंसानाम्	<i>noun</i><br><ol><li>(anatomy) shoulder, shoulder-blade</li><li>corner of a quadrangle</li><li>(in the dual) the two shoulders or angles of an altar</li></ol>
