Albania	<i>name</i><br><ol><li>Albania (a country in Europe)</li></ol>
Arghentina	<i>name</i><br><ol><li>Argentina (country in South America)</li></ol>
Armènia	<i>name</i><br><ol><li>Armenia (a country in Europe and Asia)</li></ol>
Azerbaigián	<i>name</i><br><ol><li>Azerbaijan (a country in Europe and Asia)</li></ol>
Belchidda	<i>name</i><br><ol><li>Berchidda (a city and commune of the province of Sassari, Sardinia, Italy)</li></ol>
Berlinu	<i>name</i><br><ol><li>Berlin (the capital of Germany)</li></ol>
Bielorùssia	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Bolìvia	<i>name</i><br><ol><li>Bolivia (a country in South America)</li></ol>
Brasile	<i>name</i><br><ol><li>Brazil (a country in South America)</li></ol>
Bulgaria	<i>name</i><br><ol><li>Bulgaria (a country in Europe)</li></ol>
Bèlgiu	<i>name</i><br><ol><li>Belgium (a country in Europe)</li></ol>
Camerùn	<i>name</i><br><ol><li>Cameroon (a country in Africa)</li></ol>
Canada	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Casteddu	<i>name</i><br><ol><li>Cagliari (a city and province of Sardinia, Italy)</li></ol>
Cina	<i>name</i><br><ol><li>China (a country in Asia)</li></ol>
Croàtzia	<i>name</i><br><ol><li>Croatia (a country in Europe)</li></ol>
Danimarca	<i>name</i><br><ol><li>Denmark (a country in Europe)</li></ol>
Deus	<i>name</i><br><ol><li>God</li></ol>
Egitu	<i>name</i><br><ol><li>Egypt (a country in Africa)</li></ol>
Estònia	<i>name</i><br><ol><li>Estonia (a country in Europe)</li></ol>
Finlàndia	<i>name</i><br><ol><li>Finland (a country in Europe)</li></ol>
Frantza	<i>name</i><br><ol><li>France (a country in Europe)</li></ol>
Fær Øer	<i>name</i><br><ol><li>The Faroe Islands, a Danish Atlantic overseas territory comprising a group of North Sea islands, between Scotland, Iceland and Norway</li></ol>
Gaddura	<i>name</i><br><ol><li>Gallura (region in Sardinia)</li></ol>
Germania	<i>name</i><br><ol><li>Germany (a country in Europe)</li></ol>
Giamàica	<i>name</i><br><ol><li>Jamaica (a country in North America)</li></ol>
Giappone	<i>name</i><br><ol><li>Japan (a country in Asia)</li></ol>
Groenlàndia	<i>name</i><br><ol><li>Greenland (an island and autonomous territory of Denmark)</li></ol>
Grèghia	<i>name</i><br><ol><li>Greece (a country in Europe)</li></ol>
Gènova	<i>name</i><br><ol><li>Genoa (the capital city of Liguria, Italy)</li><li>Genoa (a metropolitan city of Liguria, Italy)</li></ol>
Indonèsia	<i>name</i><br><ol><li>Indonesia (a country in Asia)</li></ol>
Irlanda	<i>name</i><br><ol><li>Ireland (an island and country in Europe)</li></ol>
Islanda	<i>name</i><br><ol><li>Iceland (a country in Europe)</li></ol>
Islovàchia	<i>name</i><br><ol><li>Slovakia (a country in Europe)</li></ol>
Islovènia	<i>name</i><br><ol><li>Slovenia (a country in Europe)</li></ol>
Ispagna	<i>name</i><br><ol><li>Spain (a country in Europe)</li></ol>
Istocolma	<i>name</i><br><ol><li>Stockholm (the capital of Sweden)</li></ol>
Isvetzia	<i>name</i><br><ol><li>Sweden (a country in Europe)</li></ol>
Isvìtzera	<i>name</i><br><ol><li>Switzerland (a country in Europe)</li></ol>
Itàlia	<i>name</i><br><ol><li>Italy (a country in Europe)</li></ol>
Kòssovu	<i>name</i><br><ol><li>Kosovo (partly-recognized country in Southeast Europe)</li></ol>
Lettonia	<i>name</i><br><ol><li>Latvia (a country in Europe)</li></ol>
Lituània	<i>name</i><br><ol><li>Lithuania (a country in Europe)</li></ol>
Lussemburgu	<i>name</i><br><ol><li>Luxembourg (a country in Europe)</li></ol>
Malta	<i>name</i><br><ol><li>Malta (a country in Europe)</li></ol>
Moldàvia	<i>name</i><br><ol><li>Moldova (a country in Europe)</li></ol>
Montenegro	<i>name</i><br><ol><li>Montenegro (a country in Europe)</li></ol>
Mèssicu	<i>name</i><br><ol><li>Mexico (a country in North America)</li></ol>
Noa Zelanda	<i>name</i><br><ol><li>New Zealand (a country in Oceania)</li></ol>
Norvègia	<i>name</i><br><ol><li>Norway (a country in Europe)</li></ol>
Nugoro	<i>name</i><br><ol><li>Nuoro (a city and province of Sardinia, Italy)</li></ol>
Polonia	<i>name</i><br><ol><li>Poland (a country in Europe)</li></ol>
Portugallu	<i>name</i><br><ol><li>Portugal (a country in Europe)</li></ol>
Roma	<i>name</i><br><ol><li>Rome (the capital of Italy)</li></ol>
Romania	<i>name</i><br><ol><li>Romania (a country in Europe)</li></ol>
Rùssia	<i>name</i><br><ol><li>Russia (a country in Europe and Asia)</li></ol>
Santu Marinu	<i>name</i><br><ol><li>San Marino (a country in Europe)</li></ol>
Sardigna|sa Sardinnia|Sardinnia|sa Sardigna	<i>name</i><br><ol><li>Sardinia (a region of Italy)</li></ol>
Sàssari	<i>name</i><br><ol><li>(Campidanese) Sassari (city; province)</li></ol>
Sèrbia	<i>name</i><br><ol><li>Serbia (a country in Europe)</li></ol>
Tailàndia	<i>name</i><br><ol><li>Thailand (a country in Asia)</li></ol>
Turkia	<i>name</i><br><ol><li>Turkey (a country in Europe and Asia)</li></ol>
Tzipru	<i>name</i><br><ol><li>Cyprus (an island and country)</li></ol>
Tàtari|Tatari	<i>name</i><br><ol><li>Sassari (a city and province of Sardinia, Italy)</li></ol>
Ucraina	<i>name</i><br><ol><li>Ukraine (a country in Europe)</li></ol>
Ungheria	<i>name</i><br><ol><li>Hungary (a country in Europe)</li></ol>
