Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
Aalmoose|Aalmooses	<i>noun</i><br><ol><li>alms</li></ol>
Aanter|Aantere	<i>noun</i><br><ol><li>one-year-old foal</li></ol>
Aap|Ape	<i>noun</i><br><ol><li>kiss</li></ol>
Aaste	<i>noun</i><br><ol><li>east</li></ol>
Aastfräislound	<i>name</i><br><ol><li>East Frisia (a region of Lower Saxony, Germany)</li></ol>
Aate	<i>noun</i><br><ol><li>(botany) pea</li></ol>
Adder|Adderje	<i>noun</i><br><ol><li>common European viper (Vipera berus)</li></ol>
Akster|Akstere	<i>noun</i><br><ol><li>magpie (Pica pica)</li></ol>
Ankumst	<i>noun</i><br><ol><li>The act of coming; arrival</li></ol>
Appel|Apel|Appele|Apele	<i>noun</i><br><ol><li>apple</li></ol>
Appelboom	<i>noun</i><br><ol><li>(botany) apple tree</li></ol>
Aptäik|Aptäike	<i>noun</i><br><ol><li>apothecary, pharmacy, drugstore</li></ol>
Atter	<i>noun</i><br><ol><li>infected matter; pus; purulence</li></ol>
Baal|Bale|Bal	<i>noun</i><br><ol><li>ball (round object)</li><li>ball (social gathering for dancing)</li></ol>
Baate	<i>noun</i><br><ol><li>use; advantage; profit; benefit; avail</li></ol>
Babe|Baabe|Baben	<i>noun</i><br><ol><li>dad, daddy</li></ol>
Bakhuus	<i>noun</i><br><ol><li>A detached building where baking is carried out; a bakehouse</li></ol>
Balch	<i>noun</i><br><ol><li>bellows</li></ol>
Bedroach	<i>noun</i><br><ol><li>fraud; deceit</li></ol>
Been|Bene	<i>noun</i><br><ol><li>leg</li><li>ceiling</li><li>attic</li><li>hard palate</li></ol>
Beere	<i>noun</i><br><ol><li>bier; stretcher</li></ol>
Begin	<i>noun</i><br><ol><li>beginning; start</li></ol>
Beloang	<i>noun</i><br><ol><li>relevance; significance; importance</li></ol>
Beloonenge	<i>noun</i><br><ol><li>reward</li></ol>
Besirk	<i>noun</i><br><ol><li>A district</li></ol>
Bichte	<i>noun</i><br><ol><li>confession</li></ol>
Bidden|Biddene	<i>noun</i><br><ol><li>Strukelje form of Bäiden</li></ol>
Biebel	<i>noun</i><br><ol><li>bible</li></ol>
Bieker	<i>noun</i><br><ol><li>cup; mug; tumbler; goblet</li><li>beaker</li><li>tub</li></ol>
Bielde	<i>noun</i><br><ol><li>image; picture</li></ol>
Biende	<i>noun</i><br><ol><li>A bandage</li></ol>
Bierme	<i>noun</i><br><ol><li>barm; yeast</li></ol>
Biespil	<i>noun</i><br><ol><li>example</li></ol>
Bisamrotte|Bisamrotten	<i>noun</i><br><ol><li>muskrat</li></ol>
Bisdum	<i>noun</i><br><ol><li>bishopric</li></ol>
Biskop	<i>noun</i><br><ol><li>bishop</li></ol>
Bispil	<i>noun</i><br><ol><li>example</li></ol>
Bjoor	<i>noun</i><br><ol><li>beer</li></ol>
