'	<i>symbol</i><br><ol><li>Replaces one or more letters which have been removed from a word.</li><li>The apologetic apostrophe: inserted into a Scots word to give the appearance that it is a contraction of an English word.</li></ol>
'bootgates|'bootgateses	<i>noun</i><br><ol><li>A roundabout way.</li><li>A ruse, underhand means.</li></ol>
'cause	<i>conj</i><br><ol><li>Aphetic form of acause (“because”).</li></ol>
8t	<i>adj</i><br><ol><li>Abbreviation of aicht: 8th</li></ol>
A|ma|me|a|mines|masel|I	<i>character</i><br><ol><li>The first letter of the Scots alphabet, called aw and written in the Latin script.</li></ol><br><i>pron</i><br><ol><li>I</li></ol>
A B brod|brod|B|A B broad|A|A B broads|A, B, brod|brods|A B brods	<i>noun</i><br><ol><li>thin board with the alphabet on it, used for teaching children</li><li>schoolmaster</li></ol>
A'an	<i>name</i><br><ol><li>Avon, the river in Banffshire.</li></ol>
A'd	<i>abbrev</i><br><ol><li>Contraction of A haed (“I had”): I'd</li></ol>
A'll	<i>abbrev</i><br><ol><li>Contraction of A will: I will, I shall</li></ol>
A'm	<i>abbrev</i><br><ol><li>Contraction of A am (“I am”): I'm</li></ol>
A'v	<i>abbrev</i><br><ol><li>contraction of A hiv: I have</li></ol>
A-B-buff|A-B-buffs	<i>noun</i><br><ol><li>alphabet</li></ol>
A-an-teen|Aan taan	<i>intj</i><br><ol><li>Used by boys to indicate that the game is ended.</li></ol>
Aan	<i>name</i><br><ol><li>Avon (a river in the Highlands of Scotland; a tributary of the River Spey)</li></ol>
Abe	<i>name</i><br><ol><li>Pet form of Albert</li></ol>
Aberdeen-awa|Aiberdeen awa'|Aberdeen-a-way|maist Aberdeen-a-way|Aberdeen awa|mair Aberdeen-a-way|Aberdeen-awa'	<i>adj</i><br><ol><li>Of or pertaining to Aberdeen (and its neighbourhood).</li></ol><br><i>noun</i><br><ol><li>Aberdeen; neighbourhood of Aberdeen; the Aberdeen dialect</li></ol>
Abraham|Aubrahaum|Awbrahawm|Aubrahawm	<i>name</i><br><ol><li>(biblical) Abraham</li></ol>
Abriven	<i>name</i><br><ol><li>Aberuthven, a village in Perth and Kinross, Scotland</li></ol>
Abyne	<i>name</i><br><ol><li>Aboyne, a village in Aberdeenshire, Scotland</li></ol>
Achencraw	<i>name</i><br><ol><li>Auchencrow, a village in the Scottish Borders.</li></ol>
Adam	<i>name</i><br><ol><li>Adam (biblical figure)</li></ol>
Adderton	<i>name</i><br><ol><li>Edrington, a medieval estate in Berwickshire in the Scottish Borders</li></ol>
Addinston	<i>name</i><br><ol><li>Addinston (a village in Scotland)</li></ol>
Aderom	<i>name</i><br><ol><li>Edrom, a village in Berwickshire in the Scottish Borders.</li></ol>
Advocat|Advocatt	<i>name</i><br><ol><li>Lord Advocate, the chief law officer of the Crown in Scotland; formerly “King's Advocate.</li><li>solicitor</li></ol>
Africae	<i>name</i><br><ol><li>Africa</li></ol>
Ahauchill	<i>name</i><br><ol><li>Ahoghill, a village in County Antrim, Northern Ireland.</li></ol>
Aiberdeen	<i>name</i><br><ol><li>Aberdeen (a city in Scotland)</li></ol>
Aiberdeenshire	<i>name</i><br><ol><li>Aberdeenshire</li></ol>
Aiberdour	<i>name</i><br><ol><li>Aberdour, a village in Fife, Scotland.</li></ol>
Aiberfyle	<i>name</i><br><ol><li>Aberfoyle, a village in Perthshire, Scotland.</li></ol>
Aiberleddy	<i>name</i><br><ol><li>Aberlady, a village in East Lothian, Scotland.</li></ol>
Aiberlour	<i>name</i><br><ol><li>Aberlour, a town in Moray, Scotland.</li></ol>
Aibey St Bathans	<i>name</i><br><ol><li>Abbey St Bathans, a village in Berwickshire, Scotland</li></ol>
Americae	<i>name</i><br><ol><li>America.</li></ol>
Apryle	<i>name</i><br><ol><li>April</li></ol>
Aristotle	<i>name</i><br><ol><li>Aristotle</li></ol>
Arkleton	<i>name</i><br><ol><li>Arkleton</li></ol>
Armenie	<i>name</i><br><ol><li>(Middle Scots) Armenia (a country in Europe and Asia)</li></ol>
Armstrong	<i>name</i><br><ol><li>a Scottish surname from Scots, originally a nickname for someone with strong arms; primarily referring to members of the Armstrong clan in the West and Middle Marches of the Anglo-Scottish Borders country, or their descendants</li></ol>
August	<i>name</i><br><ol><li>August (month)</li></ol>
Auld Deer	<i>name</i><br><ol><li>Old Deer (a village in Scotland)</li></ol>
Auld Enemy	<i>name</i><br><ol><li>The English people, especially when in a sporting context.</li></ol>
Auld Reekie	<i>name</i><br><ol><li>(colloquial) The city of Edinburgh.</li></ol>
Australie	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Babylon	<i>name</i><br><ol><li>Babylon</li></ol>
Baltic Sea	<i>noun</i><br><ol><li>The Baltic Sea.</li></ol>
Bavarie	<i>name</i><br><ol><li>Bavaria</li></ol>
Bedshiel	<i>name</i><br><ol><li>Bedshiel (a village in Scotland)</li></ol>
Birkenside	<i>name</i><br><ol><li>Birkenside (a village in Scotland)</li></ol>
Botswana	<i>name</i><br><ol><li>Botswana (a country in Africa)</li></ol>
Braidhauch	<i>name</i><br><ol><li>Broadhaugh (a village in Scotland)</li></ol>
Breetish Columbie	<i>name</i><br><ol><li>British Columbia</li></ol>
Burgheid	<i>name</i><br><ol><li>Burghead (a town in Scotland)</li></ol>
Caddonfoot	<i>name</i><br><ol><li>Caddonfoot, a village in the Scottish Borders where the Caddon Water joins the Tweed Water (Scots Watter o Tweid).</li></ol>
Canadae	<i>name</i><br><ol><li>Canada (a country in North America)</li></ol>
Cardrona	<i>name</i><br><ol><li>Cardrona (a village in Scotland), near Peebles</li></ol>
Catalanais	<i>name</i><br><ol><li>Catalan.</li></ol>
Caustrim	<i>name</i><br><ol><li>Coldstream (a village in Scotland)</li></ol>
Cheenae	<i>name</i><br><ol><li>China</li></ol>
Cheenese|maist Cheenese|mair Cheenese	<i>adj</i><br><ol><li>Chinese</li></ol>
Christ	<i>name</i><br><ol><li>Christ</li></ol>
