'ille	<i>noun</i><br><ol><li>A shortened form of a ghille, the vocative case of gille.</li></ol>
's	<i>verb</i><br><ol><li>Contraction of is (“is”).</li></ol><br><i>conj</i><br><ol><li>Contraction of is (“and”).</li></ol>
's beò duine an dèidh a shàrachaidh, ach cha bheò e an dèidh a nàrachaidh|'s beò duine an dèidh a shàrachaidh|ach cha bheò e an dèidh a nàrachaidh	<i>proverb</i><br><ol><li>A person may live after his harassment, but he will not survive his disgrace.</li></ol>
's dòcha	<i>adv</i><br><ol><li>maybe, perhaps</li></ol>
's e	<i>phrase</i><br><ol><li>it is (contraction of is e)</li><li>yes (in answer to a question formed with an e)</li></ol>
's e do bheatha	<i>phrase</i><br><ol><li>don't mention it, you're welcome (in response to tapadh leat) (informal and singular)</li><li>no problem (informal and singular)</li><li>do as you please (informal and singular)</li></ol>
's e miann na lacha an loch air nach bi i	<i>proverb</i><br><ol><li>the grass is always greener on the other side</li></ol>
's e ur beatha	<i>phrase</i><br><ol><li>don't mention it (formal)</li><li>no problem (formal)</li><li>do as you please (formal)</li><li>it's your life (lit., formal)</li></ol>
's fheàrr a bhith cinnteach na caillteach	<i>proverb</i><br><ol><li>It's better to be safe than sorry.</li></ol>
's math a rinn thu|'s math a rinn thu!	<i>intj</i><br><ol><li>well done!</li></ol>
's mathaid	<i>adv</i><br><ol><li>maybe, perhaps</li></ol>
's tric a bhios cridhe gheal ann an seiche dhonn	<i>proverb</i><br><ol><li>don't judge a book by its cover (lit. "Often a bright heart is in a brown skin")</li></ol>
's urrainn do|is urrainn do|chan urrainn do|b' urrainn do	<i>verb</i><br><ol><li>can, be able to</li></ol>
's àirde tuathanach air a chasan na duine-uasal air a ghlùinean|'s àirde tuathanach air a chasan na duine-uasal air a glùinean	<i>proverb</i><br><ol><li>A peasant on his feet is more powerful than a nobleman on his knees.</li></ol>
'san Earrach, nuair a bhios a' chaora caol, bidh am maorach reamhar|bidh am maorach reamhar|'san Earrach|nuair a bhios a' chaora caol	<i>proverb</i><br><ol><li>In Springtime, when the sheep will be thin, the shellfish will be fat.</li></ol>
.i.	<i>adv</i><br><ol><li>i.e. (that is to say)</li></ol>
A|a	<i>character</i><br><ol><li>The first letter of the Scottish Gaelic alphabet, called a and written in the Latin script.</li></ol>
AE	<i>name</i><br><ol><li>EU (European Union)</li></ol>
AFE	<i>name</i><br><ol><li>IPA (International Phonetic Alphabet)</li></ol>
Abrahàm	<i>name</i><br><ol><li>Abraham</li></ol>
Afraga a Deas|t-Afraga a Deas|h-Afraga a Deas|n-Afraga a Deas	<i>name</i><br><ol><li>South Africa (a country in Africa)</li></ol>
Afragach|Afragaiche|t-Afragach|n-Afragach|h-Afragach	<i>adj</i><br><ol><li>African</li></ol>
Afragàns	<i>name</i><br><ol><li>Afrikaans</li></ol>
Aibidil Fhogharach Eadar-Nàiseanta|Aibidilean Fogharach Eadar-Nàiseanta|Aibidil Fogharach Eadar-Nàiseanta	<i>noun</i><br><ol><li>(linguistics) International Phonetic Alphabet</li></ol>
Aifreann|Aifreannan|h-Aifreann|Aifhrinn|tAifrinn|Aifhreannan|Aifrinn|tAifreann|aifrionn|h-Aifreannan|nAifrinn|Aifhreann|nAifreannan|nAifreann|tAifreannan|h-Aifrinn	<i>noun</i><br><ol><li>Mass (liturgical service or the music for it)</li></ol>
Aimeireaga	<i>name</i><br><ol><li>America</li></ol>
Aimeireaga-a-Deas	<i>name</i><br><ol><li>South America</li></ol>
Aimeireaga-a-Tuath	<i>name</i><br><ol><li>North America</li></ol>
Aimeireaganach|n-Aimeireaganach|t-Aimeireaganach|Aimeireaganaich|h-Aimeireaganach	<i>adj</i><br><ol><li>American</li></ol><br><i>noun</i><br><ol><li>American</li></ol>
Airmìnia	<i>name</i><br><ol><li>Armenia</li></ol>
Alba|nAlba|tAlba|h-Alba	<i>name</i><br><ol><li>Scotland</li></ol>
Alba Nuadh	<i>name</i><br><ol><li>Nova Scotia (a province of Canada)</li></ol>
Albais|Albaise	<i>name</i><br><ol><li>Scots (language)</li></ol>
Albais Uladh	<i>name</i><br><ol><li>Ulster Scots</li></ol>
Albannach|a Albannaich|Albannaiche|nan Albannach|Albannacha|t-Albannach|I adjective|tAlbannach|na h-Albannaich|an Albannaich|h-Albannach|h-Albannaich|a Albannacha|nAlbannach|an t-Albannach|an Albannach|Albannaich|I masculine noun	<i>noun</i><br><ol><li>Scot, Scotsman</li></ol><br><i>adj</i><br><ol><li>Scottish</li></ol>
Albannaich	<i>name</i><br><ol><li>(with article, na h-Albannaich) the Scottish (collectively as a nation)</li></ol>
Albàinis|Albàinaise	<i>name</i><br><ol><li>Albanian (language)</li></ol>
Am fear nach seall roimhe seallaidh e as a dheigh.	<i>proverb</i><br><ol><li>He who will not look before him will look behind him.</li></ol>
Ameireaganach|t-Ameireaganach|Ameireaganaich|n-Ameireaganach|h-Ameireaganach	<i>adj</i><br><ol><li>American</li></ol><br><i>noun</i><br><ol><li>American</li></ol>
An Gearasdan|A' Ghearasdain	<i>name</i><br><ol><li>Fort William (a town in Highland council area, Scotland)</li></ol>
An uair a chluinneas tu sgeul gun dreach na creid i.	<i>proverb</i><br><ol><li>When you hear a tale that is not pleasant, do not believe it. (This means that one should turn a deaf ear to scandalmongers.)</li></ol>
Aonadh na h-Eòrpa|Aonaidh na h-Eòrpa	<i>name</i><br><ol><li>European Union</li></ol>
Ar Baintighearna	<i>name</i><br><ol><li>Our Lady, the Virgin Mary</li></ol>
Arabach|t-Arabach|Arabaich|n-Arabach|h-Arabach	<i>adj</i><br><ol><li>Arab, Arabic, Arabian</li></ol><br><i>noun</i><br><ol><li>Arab</li></ol>
Arabais|Arabaise	<i>name</i><br><ol><li>Arabic (language)</li></ol>
Arasdotal	<i>name</i><br><ol><li>Aristotle</li></ol>
Arcaibh|h-Arcaibh|t-Arcaibh|n-Arcaibh	<i>name</i><br><ol><li>Orkney (an archipelago in Scotland)</li></ol>
Argantain|An Argantain	<i>name</i><br><ol><li>Argentina (a country in South America)</li></ol>
Artair	<i>name</i><br><ol><li>Arthur</li></ol>
Aràibia	<i>name</i><br><ol><li>Arabia</li></ol>
Astràilia	<i>name</i><br><ol><li>Australia (a continent and country in Oceania)</li></ol>
Ath-leasachadh|Ath-leasachaidh|an t-Ath-leasachadh	<i>name</i><br><ol><li>Reformation</li></ol>
Athair|Athraichean	<i>noun</i><br><ol><li>Father</li></ol>
BP	<i>noun</i><br><ol><li>Initialism of Ball Pàrlamaid (Member of Parliament)</li></ol>
BPA	<i>noun</i><br><ol><li>Initialism of Ball Pàrlamaid na h-Alba (“Member of the Scottish Parliament”).</li></ol>
Baile na h-Eaglaise|Bhaile na h-Eaglaise	<i>name</i><br><ol><li>Kirkwall (a town in and the administrative centre of the Orkney Islands council area, Scotland).</li></ol>
Baintighearna|Bainthighearnan	<i>noun</i><br><ol><li>Baintighearna Mhic Beatha (Lady MacBeth)</li><li>Fàilte dhan Tighearna agus dham Bhaintighearna Dhòmhnallaich (Hail to Lord and Lady MacDonald)!</li><li>In Wiccan circles, referring to the Goddess</li><li>Cluinn m'ùrnaigh, a Bhaintighearna (Hear my prayer, O Lady).</li></ol>
Ball Pàrlamaid|Buill Pàrlamaid	<i>noun</i><br><ol><li>Member of Parliament</li></ol>
Barabal	<i>name</i><br><ol><li>Barbara</li></ol>
Barraigh|Bharraigh	<i>name</i><br><ol><li>Barra (an island in Western Isles council area, Outer Hebrides, Scotland).</li></ol>
Bealaruis	<i>name</i><br><ol><li>Belarus (a country in Europe)</li></ol>
Bealaruiseach|Bealaruisich|Bhealaruiseach	<i>adj</i><br><ol><li>Belarusian</li></ol><br><i>noun</i><br><ol><li>Belarusian (person)</li></ol>
Bealaruisis	<i>name</i><br><ol><li>Belarusian</li></ol>
Bealltainn|Bealltainnean|Bealltainne	<i>noun</i><br><ol><li>May Day</li><li>Beltane</li></ol>
Bean-phòsda|A' Bhean-phòsda	<i>noun</i><br><ol><li>Mrs, Mistress</li></ol>
Bean-uasal|A' Bhean-uasal	<i>noun</i><br><ol><li>Lady, Madame</li></ol>
Beilg|Bheilg|a' Bheilg|na Beilge	<i>name</i><br><ol><li>Belgium</li></ol>
Beinn na Faoghla|Bheinn na Faoghla	<i>name</i><br><ol><li>Benbecula (An island in the Outer Hebrides, in Western Isles council area, Scotland).</li></ol>
Beurla	<i>name</i><br><ol><li>the English language</li></ol>
Beurla Ghallta|Beurla Ghallda|Bheurla Ghallta	<i>name</i><br><ol><li>Scots (language)</li></ol>
Beurlachd|Beurlachdan|Beurlachas|Beurlachasan|Beurlachais	<i>noun</i><br><ol><li>anglicism</li></ol>
Bh-ph|a' Bh-ph	<i>noun</i><br><ol><li>Mrs</li></ol>
Bh-uas|a' Bh-uas	<i>noun</i><br><ol><li>Miss, Mrs, Ms</li></ol>
Bhatarsaigh	<i>name</i><br><ol><li>Vatersay (an island in Western Isles council area, Outer Hebrides, Scotland).</li></ol>
Bliadhna Mhath Ùr|Bliadhn' Ùr Mhath	<i>phrase</i><br><ol><li>Happy New Year</li></ol>
Bliadhna a' Chnàmha|Bhliadhna a' Chnàmha	<i>name</i><br><ol><li>Year of the Potato Blight (1846)</li></ol>
Bliadhna Ùr|na Bliadhna Ùire|a' Bhliadhna Ùr	<i>name</i><br><ol><li>New Year</li></ol>
